cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
ABal:1,ABal,1,7236,-17763,-173,-173,7236,43.2,584,155,79,2740565
ABala:5,ABala,5,7367,-17632,-151,-151,7367,36.6,594,189,63,1415316
ABalaa:16,ABalaa,16,7846,-17153,-111,-111,7846,36.9,602,208,58,1146218
ABalaaa:32,ABalaaa,32,8288,-16711,-28,-28,8288,32.8,607,214,49,749849
ABalaaaa:51,ABalaaaa,51,8217,-16782,-72,-75,8217,38.8,598,228,42,481620
ABalaaaal:76,ABalaaaal,76,7717,-17282,-57,-58,7717,38.1,610,151,35,317633
ABalaaaala:106,ABalaaaala,106,8596,-16403,-76,-82,8596,46.3,595,112,33,383937
ABalaaaalp:106,ABalaaaalp,106,8602,-16397,-62,-60,8602,49.8,563,87,34,470336
ABalaaaar:76,ABalaaaar,76,7742,-17257,-25,-24,7742,42.2,618,200,37,394588
ABalaaaarl:108,ABalaaaarl,108,8682,-16317,4,8,8682,43.2,613,154,31,313929
ABalaaaarr:108,ABalaaaarr,108,8552,-16447,-79,-71,8552,43.2,605,205,30,273291
ABalaaap:51,ABalaaap,51,8222,-16777,-68,-69,8222,29.1,567,234,43,419453
ABalaaapa:73,ABalaaapa,73,7790,-17209,-11,-13,7790,33.1,612,198,35,316644
ABalaaapal:102,ABalaaapal,102,8294,-16705,-18,-20,8294,37.6,604,119,32,322910
ABalaaapar:102,ABalaaapar,102,8448,-16551,-5,-4,8448,33.8,614,150,31,302735
ABalaaapp:73,ABalaaapp,73,7741,-17258,-69,-72,7741,29.6,587,228,34,260955
ABalaaappl:102,ABalaaappl,102,8430,-16569,-24,-18,8430,34.1,609,214,32,316443
ABalaaappr:102,ABalaaappr,102,8220,-16779,-70,-74,8220,39.2,599,239,33,326897
ABalaap:32,ABalaap,32,8247,-16752,-174,-174,8247,42.5,554,190,50,784313
ABalaapa:51,ABalaapa,51,8223,-16776,-82,-85,8223,36.3,540,246,41,429298
