Cell	Mean division time (minutes at 22 degrees C).  Start times aligned to ABala division = 74' 	Mean division time (minutes) - normalized to Sulston rate (20 degrees C)	Parent	Birth	Mean cell cycle length (minutes) - normalized to Sulston rate (20 degrees C)	Division Time Stdev (minutes at 20C)	Cell Cycle Stdev (minutes at 20C)	Division Time CV	Cell Cycle CV	# of embryos in which division was observed	# of embryos in which birth was observed	Mean Movement rate (microns per minute)	Mean movement distance (microns)
Cpapap	n/a	n/a	Cpapa	225	n/a	n/a	n/a	n/a	n/a	0	22	0.08	3.27
ABalapapap	257	290	ABalapapa	226	63	3.983	2.578	0.014	0.041	22	22	0.03	1.07
ABprppapaa	262	296	ABprppapa	226	69	3.697	2.474	0.013	0.036	22	22	0.02	1.03
ABalaaappr	266	299	ABalaaapp	226	73	5.726	5.541	0.019	0.075	22	22	0.14	2.05
ABprpapaaa	270	304	ABprpapaa	226	77	4.768	4.624	0.016	0.059	22	22	0.04	0.94
ABprpapaap	270	304	ABprpapaa	226	77	2.41	2.586	0.008	0.033	22	22	0.06	1.49
ABalaaappl	276	311	ABalaaapp	226	85	5.163	3.713	0.017	0.043	22	22	0.06	1.38
ABprppapap	281	318	ABprppapa	226	91	6.885	6.049	0.022	0.066	22	22	0.03	1.67
ABalapapaa	n/a	n/a	ABalapapa	226	n/a	n/a	n/a	n/a	n/a	0	22	0.03	0.35
ABarpppapa	n/a	n/a	ABarpppap	226	n/a	n/a	n/a	n/a	n/a	0	22	0.06	2.61
ABarpppapp	n/a	n/a	ABarpppap	226	n/a	n/a	n/a	n/a	n/a	0	22	0.08	3.35
ABprappaaa	n/a	n/a	ABprappaa	226	n/a	n/a	n/a	n/a	n/a	0	22	0.03	1.41
ABprappaap	n/a	n/a	ABprappaa	226	n/a	n/a	n/a	n/a	n/a	0	22	0.03	1.94
ABprappapa	n/a	n/a	ABprappap	226	n/a	n/a	n/a	n/a	n/a	0	22	0.06	2.86
ABprappapp	n/a	n/a	ABprappap	226	n/a	n/a	n/a	n/a	n/a	0	22	0.06	2.13
ABalappapp	261	294	ABalappap	227	66	4.752	2.605	0.016	0.039	22	22	0.1	2.08
ABplppapaa	263	295	ABplppapa	227	68	3.181	1.926	0.011	0.028	22	22	0.04	1.17
ABalpppaaa	277	312	ABalpppaa	227	85	6.224	6.268	0.02	0.074	22	22	0.1	2.9
ABplppapap	278	314	ABplppapa	227	87	5.121	4.174	0.016	0.047	21	22	0.05	1.86
ABalpppaap	281	317	ABalpppaa	227	89	4.221	3.919	0.013	0.044	22	22	0.07	2.47
ABalappapa	291	331	ABalappap	227	103	13.275	13.537	0.04	0.134	16	22	0.06	2.05
ABarppaapa	n/a	n/a	ABarppaap	227	n/a	n/a	n/a	n/a	n/a	0	22	0.07	2.98
ABarppaapp	n/a	n/a	ABarppaap	227	n/a	n/a	n/a	n/a	n/a	0	22	0.06	3.01
ABplapaapa	n/a	n/a	ABplapaap	227	n/a	n/a	n/a	n/a	n/a	0	22	0.09	4.71
ABplapaapp	n/a	n/a	ABplapaap	227	n/a	n/a	n/a	n/a	n/a	0	22	0.06	2.23
Cpappd	n/a	n/a	Cpapp	227	n/a	n/a	n/a	n/a	n/a	0	22	0.07	2.63
Cpappv	n/a	n/a	Cpapp	227	n/a	n/a	n/a	n/a	n/a	0	22	0.03	2.16
Ealpa	n/a	n/a	Ealp	227	n/a	n/a	n/a	n/a	n/a	0	22	0.04	2.14
Ealpp	n/a	n/a	Ealp	227	n/a	n/a	n/a	n/a	n/a	0	22	0.06	2.5
ABarapaaaa	271	305	ABarapaaa	228	76	5.31	3.454	0.017	0.045	22	22	0.04	1.26
ABarappaaa	273	308	ABarappaa	228	79	6.017	5.399	0.02	0.068	22	22	0.03	0.91
ABarappaap	279	314	ABarappaa	228	86	6.483	5.263	0.021	0.061	22	22	0.05	1.12
ABarapaaap	279	315	ABarapaaa	228	86	6.481	6.012	0.021	0.069	21	22	0.02	0.96
ABarpappaa	n/a	n/a	ABarpappa	228	n/a	n/a	n/a	n/a	n/a	0	22	0.09	3.48
ABarpappap	n/a	n/a	ABarpappa	228	n/a	n/a	n/a	n/a	n/a	0	22	0.1	3.76
ABalapaaap	266	300	ABalapaaa	229	71	3.17	3.111	0.011	0.044	22	22	0.07	2.23
ABalapaaaa	323	347	ABalapaaa	229	118	5.878	3.441	0.017	0.028	7	22	0.06	2.24
ABplaaapaa	n/a	n/a	ABplaaapa	229	n/a	n/a	n/a	n/a	n/a	0	22	0.07	3.01
ABplaaapap	n/a	n/a	ABplaaapa	229	n/a	n/a	n/a	n/a	n/a	0	22	0.08	3.63
ABplapppap	266	300	ABplapppa	230	69	4.99	2.9	0.017	0.042	22	22	0.08	1.89
ABalaappap	273	307	ABalaappa	230	76	4.173	3.995	0.014	0.052	22	22	0.16	2.91
ABalpaaapp	277	312	ABalpaaap	230	81	6.556	4.808	0.021	0.059	22	22	0.07	2.25
ABalpaaapa	277	314	ABalpaaap	230	83	4.91	3.654	0.016	0.044	21	22	0.05	2.22
ABplapppaa	286	325	ABplapppa	230	95	6.522	4.612	0.02	0.049	20	22	0.08	2.53
Earaa	n/a	363	Eara	230	131	n/a	n/a	n/a	n/a	5	22	0.05	2.56
ABalaappaa	n/a	n/a	ABalaappa	230	n/a	n/a	n/a	n/a	n/a	0	22	0.17	1.05
ABplappppa	n/a	n/a	ABplapppp	230	n/a	n/a	n/a	n/a	n/a	0	22	0.05	1.48
ABplappppp	n/a	n/a	ABplapppp	230	n/a	n/a	n/a	n/a	n/a	0	22	0.02	1.24
ABprapaapa	n/a	n/a	ABprapaap	230	n/a	n/a	n/a	n/a	n/a	0	22	0.13	5.51
ABprapaapp	n/a	n/a	ABprapaap	230	n/a	n/a	n/a	n/a	n/a	0	22	0.08	2.74
Earap	n/a	n/a	Eara	230	n/a	n/a	n/a	n/a	n/a	0	22	0.04	1.74
MSpaapap	258	290	MSpaapa	231	58	3.705	2.28	0.013	0.039	22	22	0.05	1
MSpapapp	261	294	MSpapap	231	63	4.936	3.128	0.017	0.05	22	22	0.04	1.01
MSaapapp	261	294	MSaapap	231	63	4.912	2.646	0.017	0.042	22	22	0.02	0.52
ABalppaapp	273	307	ABalppaap	231	75	5.331	4.213	0.017	0.055	22	22	0.11	2.94
ABprppaapp	273	308	ABprppaap	231	76	4.065	4.272	0.013	0.055	22	22	0.05	0.96
ABprppappa	273	308	ABprppapp	231	77	3.651	3.859	0.012	0.05	22	22	0.07	1.42
ABplppappa	274	308	ABplppapp	231	77	5.076	3.256	0.016	0.042	22	22	0.07	1.91
ABplppaapp	274	309	ABplppaap	231	77	5.868	4.396	0.019	0.057	22	22	0.08	1.7
ABplppaapa	280	316	ABplppaap	231	85	4.67	4.287	0.015	0.05	21	22	0.03	1.64
ABprppaapa	280	316	ABprppaap	231	84	7.701	7.667	0.024	0.089	22	22	0.04	1.99
MSpaapaa	282	318	MSpaapa	231	86	6.693	5.898	0.021	0.069	22	22	0.08	2.22
ABplppappp	281	319	ABplppapp	231	88	6.209	5.325	0.019	0.06	20	22	0.04	1.22
ABprppappp	286	322	ABprppapp	231	91	4.073	4.484	0.013	0.049	22	22	0.04	1.04
MSpapapa	300	342	MSpapap	231	110	8.886	9.385	0.026	0.085	12	22	0.05	2.17
MSaapapa	313	350	MSaapap	231	118	2.385	3.908	0.007	0.032	8	22	0.05	2.39
ABalppaapa	n/a	n/a	ABalppaap	231	n/a	n/a	n/a	n/a	n/a	0	22	0.08	0.66
ABarpppaaa	n/a	n/a	ABarpppaa	231	n/a	n/a	n/a	n/a	n/a	0	22	0.06	2.44
ABarpppaap	n/a	n/a	ABarpppaa	231	n/a	n/a	n/a	n/a	n/a	0	22	0.09	3.09
Caappd	n/a	n/a	Caapp	231	n/a	n/a	n/a	n/a	n/a	0	22	0.07	2.71
Caappv	n/a	n/a	Caapp	231	n/a	n/a	n/a	n/a	n/a	0	22	0.03	1.78
ABalpaaaaa	272	306	ABalpaaaa	232	73	5.714	4.479	0.019	0.061	22	22	0.07	2.08
ABaraaaaap	278	313	ABaraaaaa	232	80	7.54	7.606	0.024	0.095	22	22	0.07	2.17
ABaraaaaaa	279	314	ABaraaaaa	232	80	7.597	5.509	0.024	0.068	22	22	0.09	2.75
ABpraaaaaa	279	315	ABpraaaaa	232	83	5.506	4.808	0.017	0.058	21	22	0.1	2.83
ABalpaaaap	280	317	ABalpaaaa	232	84	6.03	4.862	0.019	0.058	22	22	0.04	1.34
ABarpaaaap	283	323	ABarpaaaa	232	91	6.02	5.811	0.019	0.063	19	22	0.04	0.97
ABalaaaalp	287	324	ABalaaaal	232	91	5.173	5.656	0.016	0.061	22	22	0.04	2.38
ABarpaaaaa	287	326	ABarpaaaa	232	94	5.505	5.43	0.017	0.057	18	22	0.06	1.41
ABpraaaaap	286	326	ABpraaaaa	232	93	5.471	4.813	0.017	0.051	20	22	0.08	2.58
ABalaaaala	289	329	ABalaaaal	232	97	8.549	7.942	0.026	0.082	17	22	0.05	1.45
ABarppppaa	n/a	n/a	ABarppppa	232	n/a	n/a	n/a	n/a	n/a	0	22	0.07	2.4
ABarppppap	n/a	n/a	ABarppppa	232	n/a	n/a	n/a	n/a	n/a	0	22	0.08	2.45
Earpa	n/a	n/a	Earp	232	n/a	n/a	n/a	n/a	n/a	0	22	0.04	1.92
Earpp	n/a	n/a	Earp	232	n/a	n/a	n/a	n/a	n/a	0	22	0.07	2.29
Eplaa	n/a	n/a	Epla	232	n/a	n/a	n/a	n/a	n/a	0	22	0.03	1.49
Eplap	n/a	n/a	Epla	232	n/a	n/a	n/a	n/a	n/a	0	22	0.03	1.49
Cpppaa	268	302	Cpppa	233	69	5.439	2.366	0.018	0.034	22	22	0.08	1.88
ABprapppap	270	305	ABprapppa	233	71	5.524	3.806	0.018	0.053	22	22	0.05	1.3
ABalaaaarr	278	313	ABalaaaar	233	79	5.965	4.311	0.019	0.054	22	22	0.05	1.38
ABalaaaarl	278	313	ABalaaaar	233	79	5.513	3.61	0.018	0.045	22	22	0.05	1.24
Cpppap	279	316	Cpppa	233	83	5.857	5.774	0.019	0.07	22	22	0.03	1.07
ABprapppaa	291	332	ABprapppa	233	99	6.804	6.434	0.02	0.065	19	22	0.06	2.18
ABprappppa	n/a	n/a	ABprapppp	233	n/a	n/a	n/a	n/a	n/a	0	22	0.05	1.68
ABprappppp	n/a	n/a	ABprapppp	233	n/a	n/a	n/a	n/a	n/a	0	22	0.02	1.03
ABalppaaap	275	310	ABalppaaa	234	76	5.385	4.672	0.017	0.061	22	22	0.11	2.47
ABalppaaaa	n/a	n/a	ABalppaaa	234	n/a	n/a	n/a	n/a	n/a	0	22	0.11	1.03
ABarppaaaa	n/a	n/a	ABarppaaa	234	n/a	n/a	n/a	n/a	n/a	0	22	0.06	2.35
ABarppaaap	n/a	n/a	ABarppaaa	234	n/a	n/a	n/a	n/a	n/a	0	22	0.08	2.9
ABarpppppa	n/a	n/a	ABarppppp	234	n/a	n/a	n/a	n/a	n/a	0	22	0.05	1.68
ABarpppppp	n/a	n/a	ABarppppp	234	n/a	n/a	n/a	n/a	n/a	0	22	0.07	2.37
ABplppaaaa	263	296	ABplppaaa	235	61	4.511	1.993	0.015	0.033	22	22	0.03	1.4
ABprppaaaa	264	297	ABprppaaa	235	61	3.528	2.155	0.012	0.035	22	22	0.02	1.43
ABalaapapp	274	308	ABalaapap	235	73	6.835	4.155	0.022	0.056	22	22	0.12	2.26
ABalaapapa	n/a	n/a	ABalaapap	235	n/a	n/a	n/a	n/a	n/a	0	22	0.22	1.44
ABarppapaa	n/a	n/a	ABarppapa	235	n/a	n/a	n/a	n/a	n/a	0	22	0.06	2.05
ABarppapap	n/a	n/a	ABarppapa	235	n/a	n/a	n/a	n/a	n/a	0	22	0.06	2.2
ABplppaaap	n/a	n/a	ABplppaaa	235	n/a	n/a	n/a	n/a	n/a	0	22	0.12	1.18
ABprppaaap	n/a	n/a	ABprppaaa	235	n/a	n/a	n/a	n/a	n/a	0	22	0.09	1.06
Epraa	n/a	n/a	Epra	235	n/a	n/a	n/a	n/a	n/a	0	22	0.04	1.91
Eprap	n/a	n/a	Epra	235	n/a	n/a	n/a	n/a	n/a	0	22	0.04	1.72
ABalaapaap	287	324	ABalaapaa	236	87	5.584	3.501	0.017	0.04	20	22	0.07	1.92
ABalaapaaa	294	333	ABalaapaa	236	97	6.319	5.148	0.019	0.053	14	22	0.05	1.58
ABarppappa	n/a	n/a	ABarppapp	236	n/a	n/a	n/a	n/a	n/a	0	22	0.05	1.9
ABarppappp	n/a	n/a	ABarppapp	236	n/a	n/a	n/a	n/a	n/a	0	22	0.06	2.04
Cappaa	275	310	Cappa	237	72	6.062	3.312	0.02	0.046	22	22	0.08	1.71
Cppppa	280	316	Cpppp	237	78	9.319	6.975	0.029	0.089	22	22	0.11	3.08
Cappap	283	319	Cappa	237	82	4.786	3.566	0.015	0.043	21	22	0.04	1.27
ABarpaaapa	284	324	ABarpaaap	237	87	7.04	6.579	0.022	0.076	19	22	0.06	1.66
Cppppp	290	328	Cpppp	237	90	7.644	6.367	0.023	0.072	19	22	0.04	1.5
ABarpaaapp	n/a	n/a	ABarpaaap	237	n/a	n/a	n/a	n/a	n/a	0	22	0.02	0.34
ABaraaaapa	292	329	ABaraaaap	238	91	6.467	4.324	0.02	0.048	18	22	0.02	1.19
MSppaaaa	n/a	369	MSppaaa	238	130	n/a	n/a	n/a	n/a	6	22	0.03	1.37
Eplpp	n/a	373	Eplp	238	134	n/a	n/a	n/a	n/a	5	22	0.03	1.25
ABaraaaapp	n/a	n/a	ABaraaaap	238	n/a	n/a	n/a	n/a	n/a	0	22	0.11	1.09
Eplpa	n/a	n/a	Eplp	238	n/a	n/a	n/a	n/a	n/a	0	22	0.03	1.97
MSppaaap	n/a	n/a	MSppaaa	238	n/a	n/a	n/a	n/a	n/a	0	22	0.04	2.41
MSppapaa	n/a	n/a	MSppapa	238	n/a	n/a	n/a	n/a	n/a	0	22	0.04	1.89
MSppapap	n/a	n/a	MSppapa	238	n/a	n/a	n/a	n/a	n/a	0	22	0.03	1.3
ABalappaap	300	338	ABalappaa	239	98	7.332	7.114	0.022	0.073	13	22	0.03	1.14
MSapaaaa	n/a	375	MSapaaa	239	133	n/a	n/a	n/a	n/a	4	22	0.05	2.33
ABalappaaa	n/a	n/a	ABalappaa	239	n/a	n/a	n/a	n/a	n/a	0	22	0.09	1.14
MSapaaap	n/a	n/a	MSapaaa	239	n/a	n/a	n/a	n/a	n/a	0	22	0.03	1.86
MSapapaa	n/a	n/a	MSapapa	239	n/a	n/a	n/a	n/a	n/a	0	22	0.06	2.35
MSapapap	n/a	n/a	MSapapa	239	n/a	n/a	n/a	n/a	n/a	0	22	0.04	1.43
Eprpp	n/a	385	Eprp	241	146	n/a	n/a	n/a	n/a	5	22	0.03	1.62
Eprpa	n/a	n/a	Eprp	241	n/a	n/a	n/a	n/a	n/a	0	22	0.03	1.47
Capppa	283	322	Cappp	242	79	7.945	3.807	0.025	0.048	20	22	0.1	2.65
Capppp	295	336	Cappp	242	94	10.247	6.383	0.03	0.067	16	22	0.03	1.2
Cppaaa	286	323	Cppaa	244	79	7.534	4.926	0.023	0.062	21	22	0.09	1.98
Cppaap	301	336	Cppaa	244	92	6.354	4.054	0.019	0.044	15	22	0.1	3.39
Cppapa	291	330	Cppap	245	84	8.564	5.478	0.026	0.065	19	22	0.12	3.12
Cppapp	301	339	Cppap	245	94	7.47	5.523	0.022	0.058	14	22	0.06	1.99
Capaaa	287	326	Capaa	247	79	6.724	3.858	0.021	0.048	19	22	0.08	1.77
Capaap	296	335	Capaa	247	89	6.975	4.729	0.021	0.054	16	22	0.1	2.96
Capapa	293	332	Capap	248	84	5.997	3.729	0.018	0.044	17	22	0.11	2.72
Capapp	300	342	Capap	248	95	8.181	8.773	0.024	0.091	13	22	0.03	1.46
MSppappa	n/a	n/a	MSppapp	248	n/a	n/a	n/a	n/a	n/a	0	22	0.05	1.58
MSppappp	n/a	n/a	MSppapp	248	n/a	n/a	n/a	n/a	n/a	0	22	0.08	3.02
MSapappa	n/a	n/a	MSapapp	249	n/a	n/a	n/a	n/a	n/a	0	22	0.05	1.42
MSapappp	n/a	n/a	MSapapp	249	n/a	n/a	n/a	n/a	n/a	0	22	0.08	2.65
MSaaappa	n/a	n/a	MSaaapp	259	n/a	n/a	n/a	n/a	n/a	0	22	0.13	0.87
MSaaappp	n/a	n/a	MSaaapp	259	n/a	n/a	n/a	n/a	n/a	0	22	0.07	2.31
MSapppaa	n/a	n/a	MSapppa	260	n/a	n/a	n/a	n/a	n/a	0	22	0.01	0.51
MSapppap	n/a	n/a	MSapppa	260	n/a	n/a	n/a	n/a	n/a	0	22	0.06	1.7
MSapaapa	n/a	n/a	MSapaap	261	n/a	n/a	n/a	n/a	n/a	0	22	0.04	0.74
MSapaapp	n/a	n/a	MSapaap	261	n/a	n/a	n/a	n/a	n/a	0	22	0.13	4.03
MSpppaaa	n/a	n/a	MSpppaa	261	n/a	n/a	n/a	n/a	n/a	0	22		
MSpppaap	n/a	n/a	MSpppaa	261	n/a	n/a	n/a	n/a	n/a	0	22	0.12	3.74
MSppppaa	n/a	n/a	MSppppa	261	n/a	n/a	n/a	n/a	n/a	0	22	0.02	0.74
MSppppap	n/a	n/a	MSppppa	261	n/a	n/a	n/a	n/a	n/a	0	22	0.09	2.15
MSpapppa	301	347	MSpappp	263	85	15.114	14.551	0.044	0.184	9	22	0.06	1.43
MSpapppp	n/a	366	MSpappp	263	102	n/a	n/a	n/a	n/a	6	22	0.07	2.09
ABalpaapapa	n/a	n/a	ABalpaapap	263	n/a	n/a	n/a	n/a	n/a	0	22	0.1	2.95
ABalpaapapp	n/a	n/a	ABalpaapap	263	n/a	n/a	n/a	n/a	n/a	0	22	0.09	2.48
MSappaaa	n/a	n/a	MSappaa	263	n/a	n/a	n/a	n/a	n/a	0	22	0.09	2.57
MSappaap	n/a	n/a	MSappaa	263	n/a	n/a	n/a	n/a	n/a	0	22	0.13	3.89
MSppaapa	n/a	n/a	MSppaap	263	n/a	n/a	n/a	n/a	n/a	0	22	0.05	0.7
MSppaapp	n/a	n/a	MSppaap	263	n/a	n/a	n/a	n/a	n/a	0	22	0.18	5.23
ABalppppppp	293	337	ABalpppppp	264	74	4.218	4.002	0.013	0.055	11	22	0.07	2.05
ABalppppppa	308	347	ABalpppppp	264	83	2.697	3.383	0.008	0.04	9	22	0.03	1.32
ABalpappppa	n/a	n/a	ABalpapppp	265	n/a	n/a	n/a	n/a	n/a	0	22	0.03	0.89
ABalpappppp	n/a	n/a	ABalpapppp	265	n/a	n/a	n/a	n/a	n/a	0	22	0.04	1.76
MSappppa	n/a	n/a	MSapppp	265	n/a	n/a	n/a	n/a	n/a	0	22	0.09	1.95
MSappppp	n/a	n/a	MSapppp	265	n/a	n/a	n/a	n/a	n/a	0	22	0.07	2.13
MSaapppa	309	350	MSaappp	266	85	5.232	4.641	0.015	0.055	8	22	0.04	1.3
MSaapppp	n/a	376	MSaappp	266	109	n/a	n/a	n/a	n/a	6	22	0.05	1.62
ABarapapppa	n/a	n/a	ABarapappp	266	n/a	n/a	n/a	n/a	n/a	0	22	0.04	1.27
ABarapapppp	n/a	n/a	ABarapappp	266	n/a	n/a	n/a	n/a	n/a	0	22	0.07	2.19
MSpppppa	n/a	n/a	MSppppp	266	n/a	n/a	n/a	n/a	n/a	0	22	0.09	2.16
MSpppppp	n/a	n/a	MSppppp	266	n/a	n/a	n/a	n/a	n/a	0	22	0.06	1.8
Dappa	315	351	Dapp	268	85	6.553	1.386	0.019	0.017	7	22	0.08	2.08
Dappp	330	362	Dapp	268	96	0.283	6.718	0.001	0.073	7	22	0.1	2.62
ABplpappaaa	n/a	n/a	ABplpappaa	268	n/a	n/a	n/a	n/a	n/a	0	22	0.04	1.29
ABplpappaap	n/a	n/a	ABplpappaa	268	n/a	n/a	n/a	n/a	n/a	0	22	0.03	1.04
MSpppapa	n/a	n/a	MSpppap	268	n/a	n/a	n/a	n/a	n/a	0	22	0.13	1.18
MSpppapp	n/a	n/a	MSpppap	268	n/a	n/a	n/a	n/a	n/a	0	22	0.06	1.35
ABpraaapppp	312	348	ABpraaappp	269	78	3.844	1.045	0.011	0.013	9	22	0.07	2.16
Dpppa	320	352	Dppp	269	85	7.233	6.192	0.02	0.073	8	22	0.09	2.21
ABpraaapppa	323	358	ABpraaappp	269	87	1.779	1.436	0.005	0.017	8	22	0.03	1.54
Dpppp	n/a	364	Dppp	269	98	n/a	n/a	n/a	n/a	6	22	0.08	2.2
MSaaaaapa	307	345	MSaaaaap	271	74	3.334	2.978	0.01	0.04	8	22	0.06	1.32
Dapaa	n/a	n/a	Dapa	271	n/a	n/a	n/a	n/a	n/a	0	22	0.03	0.77
Dapap	n/a	n/a	Dapa	271	n/a	n/a	n/a	n/a	n/a	0	22	0.06	1.56
MSaaaaapp	n/a	n/a	MSaaaaap	271	n/a	n/a	n/a	n/a	n/a	0	22	0.06	1.38
ABalpappapa	n/a	n/a	ABalpappap	273	n/a	n/a	n/a	n/a	n/a	0	22	0.03	0.91
ABalpappapp	n/a	n/a	ABalpappap	273	n/a	n/a	n/a	n/a	n/a	0	22	0.1	2.59
MSappapa	n/a	n/a	MSappap	273	n/a	n/a	n/a	n/a	n/a	0	22	0.1	0.91
MSappapp	n/a	n/a	MSappap	273	n/a	n/a	n/a	n/a	n/a	0	22	0.05	1.33
ABaraapapaa	n/a	416	ABaraapapa	274	142	n/a	n/a	n/a	n/a	3	22	0.12	2.41
ABaraaapapa	n/a	n/a	ABaraaapap	274	n/a	n/a	n/a	n/a	n/a	0	22	0.1	2.14
ABaraaapapp	n/a	n/a	ABaraaapap	274	n/a	n/a	n/a	n/a	n/a	0	22	0.1	1.89
ABaraapapap	n/a	n/a	ABaraapapa	274	n/a	n/a	n/a	n/a	n/a	0	22	0.1	2.15
ABaraapppaa	n/a	n/a	ABaraapppa	274	n/a	n/a	n/a	n/a	n/a	0	22	0.09	2.16
ABaraapppap	n/a	n/a	ABaraapppa	274	n/a	n/a	n/a	n/a	n/a	0	22	0.1	2.09
Dppaa	n/a	n/a	Dppa	274	n/a	n/a	n/a	n/a	n/a	0	22	0.02	0.66
Dppap	n/a	n/a	Dppa	274	n/a	n/a	n/a	n/a	n/a	0	22	0.06	1.55
MSaapaapa	n/a	388	MSaapaap	276	114	n/a	n/a	n/a	n/a	4	22	0.06	1.26
Daaaa	n/a	n/a	Daaa	276	n/a	n/a	n/a	n/a	n/a	0	22	0.02	0.88
Daaap	n/a	n/a	Daaa	276	n/a	n/a	n/a	n/a	n/a	0	22	0.08	1.31
MSaapaapp	n/a	n/a	MSaapaap	276	n/a	n/a	n/a	n/a	n/a	0	22	0.05	1.24
MSaappaa	n/a	n/a	MSaappa	276	n/a	n/a	n/a	n/a	n/a	0	22	0.06	1.58
MSaappap	n/a	n/a	MSaappa	276	n/a	n/a	n/a	n/a	n/a	0	22	0.07	1.58
MSpapaapa	n/a	391	MSpapaap	277	115	n/a	n/a	n/a	n/a	3	22	0.06	1.18
MSpapaapp	n/a	n/a	MSpapaap	277	n/a	n/a	n/a	n/a	n/a	0	22	0.03	1.27
ABalappppaa	n/a	398	ABalappppa	278	120	n/a	n/a	n/a	n/a	3	22	0.08	2.14
ABalappppap	n/a	n/a	ABalappppa	278	n/a	n/a	n/a	n/a	n/a	0	22	0.1	2.13
ABarapaappa	n/a	n/a	ABarapaapp	278	n/a	n/a	n/a	n/a	n/a	0	22	0.1	2.09
ABarapaappp	n/a	n/a	ABarapaapp	278	n/a	n/a	n/a	n/a	n/a	0	22	0.07	1.19
ABplpppapaa	n/a	n/a	ABplpppapa	278	n/a	n/a	n/a	n/a	n/a	0	22	0.03	0.82
ABplpppapap	n/a	n/a	ABplpppapa	278	n/a	n/a	n/a	n/a	n/a	0	22	0.04	0.78
MSaaapaaa	n/a	n/a	MSaaapaa	278	n/a	n/a	n/a	n/a	n/a	0	22	0.06	0.99
MSaaapaap	n/a	n/a	MSaaapaa	278	n/a	n/a	n/a	n/a	n/a	0	22	0.04	1.04
MSpaaaapa	n/a	n/a	MSpaaaap	278	n/a	n/a	n/a	n/a	n/a	0	22	0.05	1.05
MSpaaaapp	n/a	n/a	MSpaaaap	278	n/a	n/a	n/a	n/a	n/a	0	22	0.03	0.62
ABalapappaa	n/a	399	ABalapappa	279	121	n/a	n/a	n/a	n/a	3	22	0.08	1.72
ABalapappap	n/a	n/a	ABalapappa	279	n/a	n/a	n/a	n/a	n/a	0	22	0.06	1.75
Dpaaa	n/a	n/a	Dpaa	279	n/a	n/a	n/a	n/a	n/a	0	22	0.02	0.91
Dpaap	n/a	n/a	Dpaa	279	n/a	n/a	n/a	n/a	n/a	0	22	0.08	1.42
MSpappaa	n/a	n/a	MSpappa	279	n/a	n/a	n/a	n/a	n/a	0	22	0.11	2.54
MSpappap	n/a	n/a	MSpappa	279	n/a	n/a	n/a	n/a	n/a	0	22	0.1	2.54
ABprpppapaa	n/a	n/a	ABprpppapa	280	n/a	n/a	n/a	n/a	n/a	0	21	0.04	0.98
ABprpppapap	n/a	n/a	ABprpppapa	280	n/a	n/a	n/a	n/a	n/a	0	21	0.06	1.15
Dpapa	n/a	n/a	Dpap	280	n/a	n/a	n/a	n/a	n/a	0	22	0.04	0.95
Dpapp	n/a	n/a	Dpap	280	n/a	n/a	n/a	n/a	n/a	0	22	0.05	1.29
Daapa	n/a	n/a	Daap	281	n/a	n/a	n/a	n/a	n/a	0	22	0.05	0.78
Daapp	n/a	n/a	Daap	281	n/a	n/a	n/a	n/a	n/a	0	22	0.06	1.09
MSpaaappa	n/a	n/a	MSpaaapp	281	n/a	n/a	n/a	n/a	n/a	0	22	0.05	1.08
MSpaaappp	n/a	n/a	MSpaaapp	281	n/a	n/a	n/a	n/a	n/a	0	22	0.05	1.07
MSaapaaaa	n/a	n/a	MSaapaaa	282	n/a	n/a	n/a	n/a	n/a	0	22	0.06	1.11
MSaapaaap	n/a	n/a	MSaapaaa	282	n/a	n/a	n/a	n/a	n/a	0	22	0.04	0.84
ABaraappapa	n/a	n/a	ABaraappap	283	n/a	n/a	n/a	n/a	n/a	0	22	0.06	0.95
ABaraappapp	n/a	n/a	ABaraappap	283	n/a	n/a	n/a	n/a	n/a	0	22	0.08	1.25
MSpapaaaa	n/a	n/a	MSpapaaa	283	n/a	n/a	n/a	n/a	n/a	0	22	0.05	1.06
MSpapaaap	n/a	n/a	MSpapaaa	283	n/a	n/a	n/a	n/a	n/a	0	22	0.06	1.4
ABalapppapa	n/a	400	ABalapppap	284	115	n/a	n/a	n/a	n/a	3	22	0.05	1.26
ABalapppapp	n/a	n/a	ABalapppap	284	n/a	n/a	n/a	n/a	n/a	0	22	0.05	1.36
ABalpaapaaa	n/a	n/a	ABalpaapaa	284	n/a	n/a	n/a	n/a	n/a	0	22	0.05	1
ABalpaapaap	n/a	n/a	ABalpaapaa	284	n/a	n/a	n/a	n/a	n/a	0	22	0.06	0.83
ABarapapapa	n/a	n/a	ABarapapap	284	n/a	n/a	n/a	n/a	n/a	0	22	0.06	1.01
ABarapapapp	n/a	n/a	ABarapapap	284	n/a	n/a	n/a	n/a	n/a	0	22	0.09	1.91
ABplaapappp	n/a	389	ABplaapapp	285	99	n/a	n/a	n/a	n/a	3	22	0.02	0.61
ABplaapappa	n/a	n/a	ABplaapapp	285	n/a	n/a	n/a	n/a	n/a	0	22	0.03	0.69
MSaaapapa	n/a	n/a	MSaaapap	285	n/a	n/a	n/a	n/a	n/a	0	22	0.08	1.4
MSaaapapp	n/a	n/a	MSaaapap	285	n/a	n/a	n/a	n/a	n/a	0	22	0.08	1.29
ABalppapppa	n/a	410	ABalppappp	286	124	n/a	n/a	n/a	n/a	3	22	0.05	1.04
