Cell	Mean division time (minutes at 22 degrees C).  Start times aligned to ABala division = 74' 	Mean division time (minutes) - normalized to Sulston rate (20 degrees C)	Parent	Birth	Mean cell cycle length (minutes) - normalized to Sulston rate (20 degrees C)	Division Time Stdev (minutes at 20C)	Cell Cycle Stdev (minutes at 20C)	Division Time CV	Cell Cycle CV	# of embryos in which division was observed	# of embryos in which birth was observed	Mean Movement rate (microns per minute)	Mean movement distance (microns)
Cpaapp	n/a	n/a	Cpaap	216	n/a	n/a	n/a	n/a	n/a	0	22	0.07	3.77
ABarapapap	252	283	ABarapapa	217	65	5.229	3.631	0.018	0.055	22	22	0.03	0.76
ABarapapaa	261	293	ABarapapa	217	76	4.798	3.525	0.016	0.046	22	22	0.05	1.5
ABaraapppa	243	273	ABaraappp	218	54	2.969	1.759	0.011	0.033	22	22	0.05	0.85
ABalapappa	247	278	ABalapapp	218	59	3.448	2.649	0.012	0.045	22	22	0.06	1.22
ABalppappp	254	285	ABalppapp	218	67	7.001	5.785	0.024	0.086	22	22	0.03	1.13
ABalppppap	257	289	ABalppppa	218	70	4.161	3.171	0.014	0.045	22	22	0.05	1.34
ABalapappp	260	293	ABalapapp	218	74	3.252	2.029	0.011	0.027	22	22	0.1	2.53
ABalppappa	262	295	ABalppapp	218	77	4.573	4.223	0.016	0.055	22	22	0.04	1.53
ABalppppaa	263	296	ABalppppa	218	78	5.572	3.923	0.019	0.05	22	22	0.06	1.86
ABaraapppp	275	310	ABaraappp	218	91	5.82	5.624	0.019	0.062	22	22	0.03	0.97
ABpraapppa	n/a	n/a	ABpraappp	218	n/a	n/a	n/a	n/a	n/a	0	22	0.09	3.54
ABpraapppp	n/a	n/a	ABpraappp	218	n/a	n/a	n/a	n/a	n/a	0	22	0.06	2.09
ABaraapapa	243	273	ABaraapap	219	53	3.664	2.343	0.013	0.044	22	22	0.08	1.39
ABarapaapp	247	277	ABarapaap	219	57	3.819	2.068	0.014	0.036	22	22	0.07	1.23
ABalappppa	246	277	ABalapppp	219	58	3.145	1.951	0.011	0.034	22	22	0.1	1.99
ABaraappap	251	282	ABaraappa	219	63	3.39	3.086	0.012	0.049	22	22	0.08	1.47
ABalapppap	251	283	ABalapppa	219	64	3.174	2.266	0.011	0.035	22	22	0.07	1.37
ABprpappaa	255	286	ABprpappa	219	67	3.524	2.678	0.012	0.04	22	22	0.08	1.55
ABarappppp	254	286	ABarapppp	219	67	3.31	2.029	0.012	0.03	22	22	0.05	1.34
ABplpaappp	256	288	ABplpaapp	219	68	4.685	2.748	0.016	0.04	22	22	0.07	1.73
ABprpappap	256	288	ABprpappa	219	69	2.288	2.282	0.008	0.033	22	22	0.05	0.98
ABalappppp	258	290	ABalapppp	219	71	3.098	2.954	0.011	0.042	22	22	0.11	2.78
ABplppppap	259	291	ABplppppa	219	72	3.814	3.484	0.013	0.048	22	22	0.08	0.97
ABplppppaa	259	292	ABplppppa	219	72	5.346	4.41	0.018	0.061	22	22	0.09	1.74
ABplpaappa	260	292	ABplpaapp	219	73	4.809	2.986	0.016	0.041	22	22	0.06	1.69
ABalapppaa	261	294	ABalapppa	219	75	4.319	3.688	0.015	0.049	22	22	0.07	1.85
ABarappppa	262	295	ABarapppp	219	76	4.123	4.059	0.014	0.053	22	22	0.07	1.65
ABaraappaa	268	301	ABaraappa	219	82	5.726	5.262	0.019	0.063	22	22	0.1	2.34
ABprapappp	275	309	ABprapapp	219	90	4.496	3.982	0.015	0.044	22	22	0.01	1.05
ABaraapapp	277	312	ABaraapap	219	92	7.813	7.214	0.025	0.078	22	22	0.06	1.74
ABarapaapa	279	314	ABarapaap	219	94	7.067	4.957	0.022	0.052	22	22	0.05	1.88
ABplapapaa	n/a	n/a	ABplapapa	219	n/a	n/a	n/a	n/a	n/a	0	22	0.05	2.21
ABplapapap	n/a	n/a	ABplapapa	219	n/a	n/a	n/a	n/a	n/a	0	22	0.07	2.79
ABprapappa	n/a	n/a	ABprapapp	219	n/a	n/a	n/a	n/a	n/a	0	22	0.09	3.54
Caaaaa	n/a	n/a	Caaaa	219	n/a	n/a	n/a	n/a	n/a	0	22	0.1	4.43
Caaaap	n/a	n/a	Caaaa	219	n/a	n/a	n/a	n/a	n/a	0	22	0.1	4.12
ABalpppapp	253	286	ABalpppap	220	65	2.875	1.765	0.01	0.027	21	22	0.04	1.27
ABplpaaaap	257	289	ABplpaaaa	220	68	4.941	2.804	0.017	0.041	22	22	0.11	2.58
ABprppppap	257	290	ABprppppa	220	69	3.345	2.522	0.012	0.037	22	22	0.04	0.62
ABprpaappp	257	290	ABprpaapp	220	70	4.15	1.925	0.014	0.028	22	22	0.09	2.23
ABprpapppp	259	291	ABprpappp	220	71	2.311	2.239	0.008	0.032	22	22	0.06	1.41
ABprpaappa	259	292	ABprpaapp	220	72	3.672	2.049	0.013	0.028	22	22	0.07	2.01
ABprppppaa	260	293	ABprppppa	220	72	2.615	2.373	0.009	0.033	22	22	0.08	1.66
ABprpapppa	260	294	ABprpappp	220	73	3.282	2.36	0.011	0.032	22	22	0.07	1.97
ABalpppapa	263	297	ABalpppap	220	77	4.497	3.816	0.015	0.05	22	22	0.05	1.88
ABplpaaaaa	264	298	ABplpaaaa	220	77	5.758	3.401	0.019	0.044	22	22	0.03	1.35
ABalppapap	264	298	ABalppapa	220	77	4.048	2.457	0.014	0.032	22	22	0.05	2.14
ABalppapaa	270	304	ABalppapa	220	83	4.441	3.86	0.015	0.047	22	22	0.05	1.8
Cpaaaa	n/a	n/a	Cpaaa	220	n/a	n/a	n/a	n/a	n/a	0	22	0.07	3.68
Cpaaap	n/a	n/a	Cpaaa	220	n/a	n/a	n/a	n/a	n/a	0	22	0.07	3.94
MSaaaaap	241	270	MSaaaaa	221	49	2.7	1.971	0.01	0.04	22	22	0.07	1.01
MSaapaap	245	275	MSaapaa	221	54	4.171	2.507	0.015	0.046	22	22	0.03	0.78
MSaapaaa	250	281	MSaapaa	221	59	4.604	2.635	0.016	0.044	22	22	0.07	1.37
ABplaapapp	253	284	ABplaapap	221	63	3.774	2.188	0.013	0.035	22	22	0.1	1.98
ABprpaaaap	258	290	ABprpaaaa	221	69	4.065	3.008	0.014	0.044	22	22	0.08	2.58
ABplpapapa	258	290	ABplpapap	221	69	4.254	2.813	0.015	0.041	22	22	0.05	1.26
ABplpapapp	260	292	ABplpapap	221	71	3.441	3.237	0.012	0.046	22	22	0.07	1.42
ABarapppap	265	299	ABarapppa	221	77	3.659	3.41	0.012	0.044	22	22	0.04	1.33
ABprpaaaaa	266	300	ABprpaaaa	221	79	3.972	3.028	0.013	0.038	22	22	0.03	1.27
ABarapppaa	269	303	ABarapppa	221	82	3.507	3.382	0.012	0.041	22	22	0.04	1.1
ABplaapapa	272	307	ABplaapap	221	86	5.427	4.331	0.018	0.05	22	22	0.08	2.83
MSaaaaaa	n/a	368	MSaaaaa	221	146	n/a	n/a	n/a	n/a	6	22	0.03	1.42
ABplaappaa	n/a	n/a	ABplaappa	221	n/a	n/a	n/a	n/a	n/a	0	22	0.13	5.45
ABplaappap	n/a	n/a	ABplaappa	221	n/a	n/a	n/a	n/a	n/a	0	22	0.07	4
MSpapaap	246	276	MSpapaa	222	53	2.533	1.319	0.009	0.024	22	22	0.08	1.21
MSpaaaap	247	277	MSpaaaa	222	55	3.868	3.082	0.014	0.056	22	22	0.07	1.45
MSpapaaa	251	282	MSpapaa	222	59	3.854	2.669	0.014	0.044	22	22	0.06	1.24
ABpraapapp	254	286	ABpraapap	222	63	4.893	1.854	0.017	0.029	22	22	0.12	2.72
ABaraapaap	256	287	ABaraapaa	222	64	3.981	3.016	0.014	0.046	22	22	0.08	1.46
ABplpaaapp	256	289	ABplpaaap	222	66	4.482	2.477	0.016	0.038	22	22	0.04	0.97
ABalpapapa	257	289	ABalpapap	222	67	2.618	2.264	0.009	0.034	22	22	0.09	2.24
ABprpaaapp	258	289	ABprpaaap	222	67	4.254	3.253	0.015	0.049	22	22	0.06	1.05
ABprpapapa	257	290	ABprpapap	222	67	2.896	1.59	0.01	0.024	22	22	0.04	1.08
ABprpapapp	260	292	ABprpapap	222	69	3.031	2.266	0.01	0.033	22	22	0.04	0.8
ABplpppppp	260	292	ABplppppp	222	69	5.815	4.186	0.02	0.06	22	22	0.07	1.49
ABplaapaap	261	294	ABplaapaa	222	71	4.579	2.426	0.016	0.034	22	22	0.07	1.63
ABalpaappp	263	296	ABalpaapp	222	73	5.932	3.722	0.02	0.05	22	22	0.07	1.7
ABplpaapap	265	298	ABplpaapa	222	75	4.184	3.506	0.014	0.046	22	22	0.03	0.87
ABplpapppa	266	298	ABplpappp	222	76	5.361	3.492	0.018	0.045	22	22	0.1	1.88
ABplapaaap	265	299	ABplapaaa	222	76	4.551	4.391	0.015	0.058	22	22	0.04	1.13
ABplpaapaa	265	299	ABplpaapa	222	76	3.585	3.647	0.012	0.049	22	22	0.04	1.36
ABalpapapp	266	301	ABalpapap	222	78	3.268	3.723	0.011	0.048	22	22	0.1	2.18
ABplapaaaa	267	301	ABplapaaa	222	79	4.177	3.17	0.014	0.04	22	22	0.03	1.12
ABaraapaaa	268	302	ABaraapaa	222	79	5.738	4.845	0.019	0.061	22	22	0.09	2.57
ABplpapppp	269	303	ABplpappp	222	81	6.069	4.239	0.02	0.052	22	22	0.07	1.12
ABplaapaaa	271	306	ABplaapaa	222	83	4.118	2.509	0.013	0.03	22	22	0.08	1.81
ABpraapapa	273	308	ABpraapap	222	86	4.564	2.217	0.015	0.026	22	22	0.09	3.09
ABalpaappa	273	308	ABalpaapp	222	85	6.965	5.962	0.023	0.069	22	22	0.08	2.4
ABplpppppa	277	312	ABplppppp	222	90	8.311	7.955	0.027	0.088	20	22	0.08	1.71
ABprpaaapa	280	316	ABprpaaap	222	94	4.475	3.878	0.014	0.041	22	22	0.05	1.31
ABplpaaapa	280	316	ABplpaaap	222	94	5.637	3.991	0.018	0.042	21	22	0.03	1.14
MSpaaaaa	282	319	MSpaaaa	222	96	5.626	4.726	0.018	0.049	21	22	0.12	4.76
ABarpapapa	n/a	n/a	ABarpapap	222	n/a	n/a	n/a	n/a	n/a	0	22	0.07	3.44
ABarpapapp	n/a	n/a	ABarpapap	222	n/a	n/a	n/a	n/a	n/a	0	22	0.05	2.46
ABarpapppa	n/a	n/a	ABarpappp	222	n/a	n/a	n/a	n/a	n/a	0	22	0.07	3.12
ABarpapppp	n/a	n/a	ABarpappp	222	n/a	n/a	n/a	n/a	n/a	0	22	0.07	3.32
ABplappaaa	n/a	n/a	ABplappaa	222	n/a	n/a	n/a	n/a	n/a	0	22	0.02	1.02
ABplappaap	n/a	n/a	ABplappaa	222	n/a	n/a	n/a	n/a	n/a	0	22	0.01	1.43
ABplappapa	n/a	n/a	ABplappap	222	n/a	n/a	n/a	n/a	n/a	0	22	0.04	2.41
ABplappapp	n/a	n/a	ABplappap	222	n/a	n/a	n/a	n/a	n/a	0	22	0.03	1.48
ABprapapaa	n/a	n/a	ABprapapa	222	n/a	n/a	n/a	n/a	n/a	0	22	0.04	1.52
ABprapapap	n/a	n/a	ABprapapa	222	n/a	n/a	n/a	n/a	n/a	0	22	0.08	2.69
MSaaapaa	247	277	MSaaapa	223	54	4.919	2.616	0.018	0.048	22	22	0.08	1.22
ABplpppapa	247	277	ABplpppap	223	53	3.893	2.605	0.014	0.049	22	22	0.11	1.51
MSaaapap	253	284	MSaaapa	223	61	5.487	3.018	0.019	0.049	22	22	0.03	0.88
ABarpapaap	255	286	ABarpapaa	223	62	3.703	3.108	0.013	0.05	22	22	0.08	1.34
ABalaapppp	256	288	ABalaappp	223	65	3.172	2.16	0.011	0.033	22	22	0.09	2.42
ABalpapaaa	257	290	ABalpapaa	223	66	3.769	2.721	0.013	0.041	22	22	0.08	1.57
ABprpppppp	259	292	ABprppppp	223	68	4.462	3.557	0.015	0.052	22	22	0.04	1.14
ABarappapa	261	294	ABarappap	223	71	3.268	2.76	0.011	0.039	22	22	0.03	1.15
ABplpppaap	266	299	ABplpppaa	223	75	3.779	3.331	0.013	0.044	22	22	0.16	1.39
ABprpaapap	266	300	ABprpaapa	223	76	3.926	2.897	0.013	0.038	22	22	0.07	1.55
ABarappapp	267	300	ABarappap	223	77	3.439	2.752	0.011	0.036	22	22	0.04	1.24
ABprpaapaa	266	300	ABprpaapa	223	76	4.009	2.716	0.013	0.036	22	22	0.05	1.25
ABplpppaaa	269	303	ABplpppaa	223	79	4.335	4.425	0.014	0.056	22	22	0.08	1.55
ABprpppppa	274	309	ABprppppp	223	85	6.192	5.172	0.02	0.06	22	22	0.07	2.09
ABalpapaap	274	309	ABalpapaa	223	86	5.419	4.855	0.018	0.056	22	22	0.06	1.82
ABarpapaaa	278	314	ABarpapaa	223	91	5.137	4.839	0.016	0.053	21	22	0.04	1.13
ABalaapppa	279	315	ABalaappp	223	92	5.746	6.393	0.018	0.069	22	22	0.11	3.35
ABplaaaapa	n/a	n/a	ABplaaaap	223	n/a	n/a	n/a	n/a	n/a	0	22	0.03	1.74
ABplaaaapp	n/a	n/a	ABplaaaap	223	n/a	n/a	n/a	n/a	n/a	0	22	0.04	2.32
ABplaaappa	n/a	n/a	ABplaaapp	223	n/a	n/a	n/a	n/a	n/a	0	22	0.07	3.13
ABplaaappp	n/a	n/a	ABplaaapp	223	n/a	n/a	n/a	n/a	n/a	0	22	0.06	2.56
ABplpppapp	n/a	n/a	ABplpppap	223	n/a	n/a	n/a	n/a	n/a	0	22	0.08	0.99
ABplaaaaap	255	288	ABplaaaaa	224	63	4.168	1.966	0.015	0.031	22	22	0.03	0.99
ABpraaaapp	259	292	ABpraaaap	224	67	4.899	3.323	0.017	0.049	22	22	0.05	1.35
ABpraapaap	261	294	ABpraapaa	224	70	4.552	2.637	0.015	0.038	22	22	0.12	2.41
ABpraaapap	264	298	ABpraaapa	224	74	4.124	3.591	0.014	0.049	22	22	0.06	1.64
ABprpppaaa	267	302	ABprpppaa	224	77	4.864	3.604	0.016	0.047	21	22	0.05	0.83
ABpraaaapa	268	302	ABpraaaap	224	77	4.478	3.287	0.015	0.042	22	22	0.03	1.47
ABplpapaaa	268	303	ABplpapaa	224	78	6.148	6.137	0.02	0.08	22	22	0.03	0.96
ABprpppaap	269	303	ABprpppaa	224	78	5.294	4.065	0.017	0.051	22	22	0.04	0.68
ABplpapaap	269	304	ABplpapaa	224	79	3.809	3.61	0.013	0.046	22	22	0.03	1.04
ABpraapaaa	271	306	ABpraapaa	224	82	5.988	3.015	0.02	0.037	22	22	0.12	2.64
ABpraaapaa	273	308	ABpraaapa	224	83	4.444	3.921	0.014	0.047	22	22	0.05	1.7
ABplaaaaaa	279	316	ABplaaaaa	224	91	7.788	6.284	0.025	0.068	21	22	0.01	1.07
Ealaa	n/a	357	Eala	224	131	n/a	n/a	n/a	n/a	5	22	0.06	2.95
Ealap	n/a	n/a	Eala	224	n/a	n/a	n/a	n/a	n/a	0	22	0.05	2.14
ABprpppapa	248	279	ABprpppap	225	54	3.278	1.63	0.012	0.03	21	22	0.06	0.96
MSpaaapp	249	280	MSpaaap	225	54	3.025	2.172	0.011	0.039	22	22	0.04	1.09
MSaaaapa	254	286	MSaaaap	225	60	3.715	2.855	0.013	0.048	22	22	0.09	1.67
ABalapaapp	258	290	ABalapaap	225	65	3.907	3.534	0.013	0.054	22	22	0.05	1.15
ABalaaapal	264	298	ABalaaapa	225	72	3.866	1.955	0.013	0.027	22	22	0.12	1.89
MSaaaapp	266	299	MSaaaap	225	73	4.509	4.797	0.015	0.065	22	22	0.06	1.46
ABaraaappp	268	301	ABaraaapp	225	76	5.792	3.896	0.019	0.051	22	22	0.07	1.57
ABprapaaap	268	302	ABprapaaa	225	76	4.382	3.324	0.015	0.044	22	22	0.07	1.99
ABprapaaaa	271	306	ABprapaaa	225	80	3.926	3.058	0.013	0.038	22	22	0.07	2.28
MSpaaapa	275	310	MSpaaap	225	84	3.634	3.831	0.012	0.046	22	22	0.11	3.33
ABalaaapar	276	312	ABalaaapa	225	86	5.376	4.097	0.017	0.047	21	22	0.08	1.88
ABaraaappa	278	313	ABaraaapp	225	87	5.462	5.326	0.017	0.061	22	22	0.09	2.29
ABalapaapa	282	320	ABalapaap	225	95	7.118	7.742	0.022	0.082	21	22	0.08	3.13
ABpraappaa	n/a	n/a	ABpraappa	225	n/a	n/a	n/a	n/a	n/a	0	22	0.1	4.31
ABpraappap	n/a	n/a	ABpraappa	225	n/a	n/a	n/a	n/a	n/a	0	22	0.09	4.15
ABprpppapp	n/a	n/a	ABprpppap	225	n/a	n/a	n/a	n/a	n/a	0	22	0.07	0.9
Cpapaa	n/a	n/a	Cpapa	225	n/a	n/a	n/a	n/a	n/a	0	22	0.03	2.31
