"","x"
"ABalpppppppp",-131
"ABar",-86
"ABara",-86
"ABaraa",-86
"ABaraaa",-86
"ABaraaaa",-86
"ABaraaaaa",-81
"ABaraaaaaa",-72
"ABaraaaaaaa",16
"ABaraaaaaap",-72
"ABaraaaaap",-81
"ABaraaaaapa",-73
"ABaraaaaapp",67
"ABaraaaap",-86
"ABaraaaapa",-78
"ABaraaaapaa",-78
"ABaraaaapap",-51
"ABaraaaapp",132
"ABaraaap",-86
"ABaraaapa",-40
"ABaraaapaa",276
"ABaraaapaaa",384
"ABaraaapaap",377
"ABaraaapap",343
"ABaraaapapa",384
"ABaraaapapp",343
"ABaraaapp",-44
"ABaraaappa",-44
"ABaraaappaa",-44
"ABaraaappap",-44
"ABaraaappp",-44
"ABaraaapppa",-44
"ABaraaapppp",-44
"ABaraap",-86
"ABaraapa",-86
"ABaraapaa",-86
"ABaraapaaa",-86
"ABaraapaaaa",-14
"ABaraapaaap",-32
"ABaraapaap",95
"ABaraapaapa",1654
"ABaraapaapp",2027
"ABaraapap",-86
"ABaraapapa",1119
"ABaraapapaa",1422
"ABaraapapaad",1422
"ABaraapapaav",1422
"ABaraapapap",1119
"ABaraapapp",1027
"ABaraapappa",1252
"ABaraapappp",1027
"ABaraapp",-86
"ABaraappa",426
"ABaraappaa",831
"ABaraappaaa",831
"ABaraappaap",831
"ABaraappap",971
"ABaraappapa",1482
"ABaraappapp",1933
"ABaraappp",578
"ABaraapppa",3051
"ABaraapppaa",3051
"ABaraapppaad",3051
"ABaraapppaav",3051
"ABaraapppap",3051
"ABaraapppp",2695
"ABaraappppa",2695
"ABaraappppp",2695
"ABarap",-86
"ABarapa",-63
"ABarapaa",-63
"ABarapaaa",-63
"ABarapaaaa",-63
"ABarapaaaaa",-52
"ABarapaaaap",-63
"ABarapaaap",-63
"ABarapaaapa",-61
"ABarapaaapp",43
"ABarapaap",-63
"ABarapaapa",1400
"ABarapaapaa",1400
"ABarapaapap",1400
"ABarapaapp",1310
"ABarapaappa",2221
"ABarapaappp",1310
"ABarapap",-58
"ABarapapa",44
"ABarapapaa",410
"ABarapapaaa",410
"ABarapapaap",410
"ABarapapaapa",410
"ABarapapaapp",410
"ABarapapap",702
"ABarapapapa",3330
"ABarapapapp",3295
"ABarapapp",111
"ABarapappa",1412
"ABarapappaa",1412
"ABarapappap",1412
"ABarapappp",1307
"ABarapapppa",2003
"ABarapapppp",2127
"ABarapp",-86
"ABarappa",-68
"ABarappaa",-68
"ABarappaaa",-68
"ABarappaaaa",-64
"ABarappaaap",-62
"ABarappaap",-68
"ABarappaapa",-68
"ABarappaapp",-68
"ABarappap",-68
"ABarappapa",981
