"","x"
"MSaapaapa",1855
"MSaapaapaa",1855
"MSaapaapap",1855
"MSaapaapp",1855
"MSaapap",1805
"MSaapapa",1805
"MSaapapaa",1805
"MSaapapap",1805
"MSaapapp",1805
"MSaapappa",1805
"MSaapappp",1805
"MSaapp",1084
"MSaappa",2197
"MSaappaa",2197
"MSaappap",2197
"MSaappp",2223
"MSaapppa",2223
"MSaapppaa",2223
"MSaapppap",2223
"MSaapppp",2223
"MSaappppa",2223
"MSaappppp",2223
"MSap",-241
"MSapa",-94
"MSapaa",-20
"MSapaaa",-20
"MSapaaaa",-20
"MSapaaaad",-20
"MSapaaaav",-20
"MSapaaap",-20
"MSapaap",-20
"MSapaapa",-20
"MSapaapp",-20
"MSapap",-80
"MSapapa",-80
"MSapapaa",-80
"MSapapaaa",-80
"MSapapaap",-80
"MSapapap",-80
"MSapapp",-80
"MSapappa",-76
"MSapappp",-67
"MSapp",-154
"MSappa",-36
"MSappaa",-36
"MSappaaa",-36
"MSappaap",-36
"MSappap",-36
"MSappapa",-36
"MSappapp",-36
"MSappp",-39
"MSapppa",-39
"MSapppaa",-39
"MSapppap",-39
"MSapppp",-39
"MSappppa",-39
"MSappppp",-39
"MSp",-239
"MSpa",-239
"MSpaa",29
"MSpaaa",173
"MSpaaaa",173
"MSpaaaaa",173
"MSpaaaaaa",173
"MSpaaaaap",173
"MSpaaaap",173
"MSpaaaapa",197
"MSpaaaapp",173
"MSpaaap",173
"MSpaaapa",173
"MSpaaapaa",173
"MSpaaapap",173
"MSpaaapp",173
"MSpaaappa",173
"MSpaaappp",173
"MSpaap",151
"MSpaapa",587
"MSpaapaa",915
"MSpaapaaa",915
"MSpaapaap",915
"MSpaapap",1121
"MSpaapapa",1121
"MSpaapapp",1121
"MSpaapp",152
"MSpap",-185
"MSpapa",669
"MSpapaa",1328
"MSpapaaa",1328
"MSpapaaaa",1328
"MSpapaaap",1328
"MSpapaap",1328
"MSpapaapa",1328
"MSpapaapaa",1328
"MSpapaapap",1328
"MSpapaapp",1328
"MSpapap",1245
"MSpapapa",1245
"MSpapapaa",1245
"MSpapapap",1245
"MSpapapp",1245
"MSpapappa",1245
"MSpapappp",1245
"MSpapp",990
"MSpappa",990
"MSpappaa",990
"MSpappap",990
"MSpappp",1289
"MSpapppa",1289
"MSpapppaa",1289
"MSpapppap",1289
"MSpapppp",1289
"MSpappppa",1289
"MSpappppp",1289
"MSpp",-239
"MSppa",-147
"MSppaa",-147
"MSppaaa",-90
"MSppaaaa",-74
"MSppaaaad",-74
"MSppaaaav",-74
"MSppaaap",-90
"MSppaap",-126
"MSppaapa",-126
"MSppaapp",-126
"MSppap",-115
"MSppapa",-115
"MSppapaa",-106
"MSppapaaa",-106
"MSppapaap",-106
"MSppapap",-115
"MSppapp",-115
"MSppappa",-115
"MSppappp",-115
"MSppp",-223
"MSpppa",-88
"MSpppaa",-88
"MSpppaaa",-88
"MSpppaap",-88
"MSpppap",-88
"MSpppapa",-88
"MSpppapp",-88
"MSpppappa",-88
"MSpppappp",-88
"MSpppp",-119
"MSppppa",-115
"MSppppaa",-115
"MSppppap",-115
"MSppppp",-119
"MSpppppa",-119
"MSpppppp",-119
"P",NA
"P0",NA
"P1",NA
"P2",NA
"P3",-198
"P4",-198
"Z2",-198
"Z3",-198
