Cells,WTDivMeans.Cells.,LateCalls,EarlyCalls,MissedCalls,EctopicCalls,TotalDefects,CC_Dif_pValues,WTCCMeans.Cells.,MutantCCMeans.Cells.
ABalapaaap,300.331818181818,2,0,0,0,2,0.0161447036395487,70.7409090909091,81.36
ABalapaaapa,NA,0,0,0,0,0,NA,NA,NA
ABalapaaapp,NA,0,0,0,0,0,NA,NA,NA
ABalapaap,223.968181818182,0,0,0,0,0,0.687507654680286,48.4045454545455,48.06
ABalapaapa,320.066666666667,1,0,0,0,1,0.0332357923076426,94.5142857142857,106.38
ABalapaapaa,NA,0,0,0,0,0,NA,NA,NA
ABalapaapap,NA,0,0,0,0,0,NA,NA,NA
ABalapaapp,290.5,2,0,0,0,2,0.00344915742024162,64.8727272727273,74.7
ABalapaappa,408.366666666667,0,0,0,0,0,NA,117.9,NA
ABalapaappaa,NA,0,0,0,0,0,NA,NA,NA
ABalapaappap,NA,0,0,0,0,0,NA,NA,NA
ABalapaappp,NA,0,0,0,0,0,NA,NA,NA
ABalapap,170.245454545455,0,0,0,0,0,0.0275542839915637,34.9045454545455,33.1
ABalapapa,224.504545454545,0,0,0,0,0,0.00376061620179577,52.6045454545455,48.3
ABalapapaa,NA,0,0,0,0,0,NA,NA,NA
ABalapapap,289.563636363636,4,0,0,0,4,0.000564613048167602,63.4318181818182,73.28
ABalapapapa,400.866666666667,0,0,0,0,0,NA,110.366666666667,NA
ABalapapapaa,NA,0,0,0,0,0,NA,NA,NA
ABalapapapap,NA,0,0,0,0,0,NA,NA,NA
ABalapapapp,NA,0,0,0,0,0,NA,NA,NA
ABalapapp,217.336363636364,0,0,0,0,0,0.925393185275574,45.45,45.36
ABalapappa,277.586363636364,0,0,0,0,0,0.0209940724393788,58.6454545454545,61.88
ABalapappaa,399.066666666667,0,0,0,0,0,NA,120.633333333333,NA
ABalapappaaa,NA,0,0,0,0,0,NA,NA,NA
ABalapappaap,NA,0,0,0,0,0,NA,NA,NA
ABalapappap,NA,0,0,0,0,0,NA,NA,NA
ABalapappp,293.05,4,0,0,0,4,0.0144391891425608,74.1045454545455,86.94
ABalapapppa,NA,0,0,0,0,0,NA,NA,NA
ABalapapppp,NA,0,0,0,0,0,NA,NA,NA
ABalapp,133.759090909091,0,0,0,0,0,0.000596183833016273,30.45,27.32
ABalappa,177.286363636364,0,1,0,0,1,0.00349755035946368,41.8863636363636,37.7
