paste.Cells..round.CC_Dif_pValues..4..	X20110316_mir.1_L3	X20110316_mir.1_L2	X20110203_RW10890_pal.1_L4	X20110125_RW10890_pal.1_L3	X20110125_RW10890_pal.1_L4	X20101213_RW10889_pal.1_L2	X20101213_RW10889_pal.1_L3	X20110209_UP2051_mls.2_L1	X20110209_UP2051_mls.2_L2	X20110209_UP2051_mls.2_L3	X20110225_NX68_L3	X20110408_RW10425_pha.4_L2	X20110927_RW11144_L4	X20110929_ceh.43_L1	X20110726_RW10713_L1	X20110731_RW10434_L1	X20111116_RW10226_L4	X20110916_ceh.36_L1	X20120426_JIM122_L2	X20120612_JIM127_L4	X20120331_RW10871_L4	X20120807_mir.57_L4	X20230224_RW10265_tbx.8_die.1_L4	X20230224_RW10265_tbx.8_die.1_L3	X20230224_RW10265_tbx.8_die.1_L1	X20230223_JIM188_tbx.9_die.1_L4	X20230222_JIM188_tbx.9_die.1_L1
ABaraaaaaa 0.2514	-7	5	7	10	0	4	-2	-6	-6	5	-2	-5	4	1	-9	1	6	5	-1	-1	-2	-6	9	-3	5	8	-2
ABaraaaaaaa NA																											
ABaraaaaaap NA																											
ABaraaaaap 0.5537	-3	1	6	9	2	2	0	-2	3	-3	-2	-6	9	15	0	-7	-1	-20	6	-2	-3	-2	1	-4	3	2	6
ABaraaaaapa NA																											
ABaraaaaapp NA																											
ABaraaaap 0.5944	-1	1	7	2	-1	-5	-2	2	-2	-2	1	-1	2	4	-3	2	1	-1	-1	0	1	-2	-2	-6	-1	2	1
ABaraaaapa 0.2234	1	1		10	-5	-5	1	-4	0		-2	-4			-1	3	-3	6	-5	-2	10	-2	5	-7	14	3	17
ABaraaaapaa NA																											
ABaraaaapap NA																											
ABaraaaapp NA																											
ABaraaap 0.1346	0	-1	0	0	0	2	0	2	0	1	3	-2	-1	-2	-2	1	4	2	-3	-2	0	0	-6	3	-2	-5	-4
ABaraaapa 0.1498	-1	0	-1	-1	-2	2	1	-2	1	-1	0	0	-1	-1	-1	-1	1	3	0	2	1	0	-5	-2	2	-3	-3
ABaraaapaa 0.2159	-7	-3	-1	2	0	7	2	1	6	2	-1	-1	-3	-5	-6	-2	4	25	-4	-6	-4	-7	8	-4	16	4	1
ABaraaapaaa NA																											
ABaraaapaap NA																											
ABaraaapap 0.9791	-2	0	4	2	-3	6	1	0	7	1	-5	-3	-4	-3	-3	-2	1	8	1	-3	1	-4	-1	-3	7	1	-4
ABaraaapapa NA																											
ABaraaapapp NA																											
ABaraaapp 0.0844	-1	0	-1	0	-5	2	2	-1	0	2	0	-1	-2	0	-3	5	1	0	-1	1	1	2	-5	-8	-1	-8	1
ABaraaappa 0.505	-8	-7	11	4	8	0	3	-1	2	-1	-5	1	4	2	0	1	9	-8	-5	-3	-6	-2	-5	8	-4	11	2
ABaraaappaa NA																											
ABaraaappap NA																											
ABaraaappp 0.049	-2	-3	3	7	-3	-3	3	5	-1	5	-2	-2	2	8	-6	-1	3	0	-2	-3	-6	-4	8	-2	16	18	26
ABaraaapppa NA																											
ABaraaapppp NA																											
ABaraap 5e-04	3	0	0	-1	-2	-1	0	1	-1	-1	1	0	-1	0	0	0	2	1	-2	-1	1	1	-3	-4	-5	-4	-3
ABaraapa 0.0012	-1	-1	-3	2	-3	-1	0	1	2	2	4	0	-1	-1	-1	0	2	3	-1	-2	0	-2	-7	-3	-5	-8	-4
ABaraapaa 0.0068	-1	0	1	2	-1	2	0	0	0	0	-2	-1	0	-2	-2	2	-1	2	-1	0	3	0	-6	-1	-4	-5	-6
ABaraapaaa 0.2293	-7	-5	10	7	1	-5	-4	0	0	3	-4	4	7	-2	-3	-4	1	2	-2	3	-3	0	-1	-6	-7	5	-12
ABaraapaaaa NA																											
ABaraapaaap NA																											
ABaraapaap 0.04	-1	-4	8	4	1	-2	-1	2	-3	2	-4	2	2	-1	-3	0	-2	1	-2	0	-1	0	-1	-2	-6	-1	-6
ABaraapaapa NA																											
ABaraapaapp NA																											
ABaraapap 0.0257	-2	1	1	-1	-1	2	0	-2	0	1	0	2	-2	-2	1	1	-1	2	0	0	-1	2	-5	-2	-1	-2	-6
ABaraapapa 0.0197	0	-2	-2	-3	-3	2	2	-1	-1	4	4	-2	0	4	-2	-3	-1	-1	0	6	-2	0	2	3	2	5	9
ABaraapapaa NA																			0		-1	1					
ABaraapapaad NA																											
ABaraapapaav NA																											
ABaraapapap NA																											
ABaraapapp 0.0198	-4	12	2	14	-4	8	-1	-2	-6	-3	-10	-5	-4	-1	-11	9	3	6	4	4	-6	-8	10	0	8	10	5
ABaraapappa NA																											
ABaraapappp NA																											
ABaraapp 0.0025	0	-2	-2	1	0	1	1	1	1	-1	2	-3	0	0	-2	0	3	0	-2	-1	2	1	-5	-1	-5	-5	-5
ABaraappa 0.0871	-2	0	4	1	-1	3	1	-2	0	-2	1	0	-1	-2	1	0	0	1	-1	0	1	-2	3	0	3	-1	4
ABaraappaa 0.956	-1	5	17	2	4	2	1	1	0	-2	-7	-2	2	-8	-4	-1	1	4	-5	2	-9	-3	2	-3	3	-1	-1
ABaraappaaa NA																											
ABaraappaap NA																											
ABaraappap 0.4704	0	0	10	-4	2	1	1	1	-1	-1	-1	-2	0	-1	-2	-4	-2	2	-1	2	-3	0	-2	-1	3	-2	-4
ABaraappapa NA																											
ABaraappapp NA																											
ABaraappp 0.4077	-1	0	-1	0	-3	3	0	0	-3	3	-2	0	-2	0	2	-2	-1	4	-1	2	1	0	-1	-3	3	-2	-2
ABaraapppa 0.1284	-2	-1	3	2	1	0	0	1	2	2	-4	1	0	-3	-1	0	-1	0	-3	3	-3	3	9	-2	1	8	17
ABaraapppaa NA																											
ABaraapppaad NA																											
ABaraapppaav NA																											
ABaraapppap NA																											
ABaraapppp 0.3995	3	2	12	6	2	-4	1	-2	-7	4	-8	2	-9	8	-7	1	1	0	0	0	-2	-2	-7	-5	12	7	15
ABaraappppa NA																											
ABaraappppp NA																											
ABarap 0.0045	1	0	0	-2	1	-3	0	0	-1	2	4	-1	1	-1	0	-1	1	0	0	0	0	-1	-4	-1	-5	-5	-3
ABarapa 0.0056	1	0	-2	-1	-1	-1	-2	2	1	0	2	0	-1	-2	0	1	0	1	0	0	1	1	-5	-3	-6	-3	-2
ABarapaa 9e-04	2	0	-2	-2	-3	0	0	0	-1	2	2	1	-1	0	0	1	3	0	-2	-1	0	0	-6	-2	-5	-5	-4
ABarapaaa 9e-04	-2	0	2	-2	0	2	3	3	-1	3	-1	0	-2	-3	-1	1	1	-1	-2	0	2	-2	-8	-5	-5	-4	-4
ABarapaaaa 0.0072	-1	5	4	4	1	-2	9	2	-1	4	-3	1	-2	-2	-3	-3	3	-1	-5	-2	-4	-3	-2	-2	-6	-3	-5
ABarapaaaaa NA																											
ABarapaaaap NA																											
ABarapaaap 0.0815	-3	-6		13	5	-3	2	11	10	-1	-5	-4	0	0	3	-5	-3	-4	-7	-2	0	1	1	-13	-9	-7	-1
ABarapaaapa NA																											
ABarapaaapp NA																											
ABarapaap 5e-04	-1	2	-2	0	-1	0	-1	2	0	3	0	-1	-2	-1	-2	3	-1	0	-3	3	1	-1	-6	-3	-3	-3	-4
ABarapaapa 0.3481	-3	3	-1	7	1	2	1	4	13	1	3	3	-6	-10	-4	1	0	0	-8	5	-3	-7	1	-6	-3	0	0
ABarapaapaa NA																											
ABarapaapap NA																											
ABarapaapp 0.1734	-1	4	1	1	1	5	1	0	-1	1	-2	-2	-2	-2	0	-2	2	2	-3	0	-3	0	0	-2	1	-6	-5
ABarapaappa NA																											
ABarapaappp NA																											
ABarapap 0.0195	1	1	-2	-1	-1	-2	1	-1	-1	1	1	-1	0	-1	-1	2	2	0	0	1	-1	1	-3	0	-4	-4	-3
ABarapapa 0.0192	-1	3	-1	-2	-2	0	4	1	-1	3	0	-1	-2	-3	2	-2	2	-1	-1	2	3	-1	-6	-3	-5	0	-5
ABarapapaa 0.4619	-1	-6	-2	7	6	1	3	2	-3	1	6	-1	1	-4	-3	1	1	3	-7	4	-3	-5	6	-3	-1	10	-2
ABarapapaaa NA																											
ABarapapaap 0.9555															-6				-1		-5	12		11			-13
ABarapapaapa NA																											
ABarapapaapp NA																											
ABarapapap 0.2487	-7	6	1	3	4	-1	5	4	0	2	-5	0	2	-3	-6	3	-1	-1	-1	-2	-4	-2	3	-1	1	9	0
ABarapapapa NA																											
ABarapapapp NA																											
ABarapapp 0.1016	0	1	2	-1	-2	0	0	2	0	1	2	0	-1	-1	0	-1	1	2	-3	0	-1	-2	-3	0	-2	0	-1
ABarapappa 0.0934	-3	-2		3	0	2	-5	-2	2	-9	3	4			-1	0	-10	3	3	7	-3	7	10	2		11	28
ABarapappaa NA																											
ABarapappap NA																											
ABarapappp 0.9515	-1	1	0	-3	1	4	1	5	-2	1	-3	0	-4	0	-4	1	1	5	-1	-1	-1	2	5	5	-5	-3	-3
ABarapapppa NA																											
ABarapapppp NA																											
ABarapp 4e-04	2	0	-2	0	1	-1	-2	0	1	0	0	0	-1	0	0	-1	0	0	0	0	1	2	-3	-3	-4	-2	-3
ABarappa 0	1	2	-1	-3	-3	1	-2	0	0	-1	1	-1	1	-1	1	3	2	2	1	-2	0	-1	-4	-4	-3	-5	-4
ABarappaa 4e-04	-1	1	4	3	-2	3	2	-1	0	1	-1	1	-2	-2	0	-2	-1	1	-3	1	1	0	-8	-4	-6	-4	-6
ABarappaaa 0.2012	-1	5	7	9	1	4	3	2	0	-2	-3	4	1	-7	-3	-5	1	-15	-5	6	2	-3	3	1	6	2	-1
ABarappaaaa NA																											
ABarappaaap NA																											
ABarappaap 0.9091	-6	-2	7	4	-2	2	0	-1	8	7	-9	-2	-1	-4	-6	-3	9	4	0	3	-3	-7	5	-7	2	4	-6
ABarappaapa NA																											
ABarappaapp NA																											
ABarappap 0.0452	-1	-1	1	1	-3	3	5	-2	-3	1	-2	1	-1	0	1	1	-2	1	-3	2	-1	0	-2	0	-4	-5	-4
ABarappapa 0.688	0	-2	1	-4	0	6	3	2	2	0	-3	1	-3	0	-3	-1	1	4	2	-1	-2	-4	0	-6	-2	6	-1
ABarappapaa NA																											
ABarappapap NA																			3		0	-3					
ABarappapapa NA																											
ABarappapapp NA																											
ABarappapp 0.4112	-3	1	2	-1	2	-1	2	1	-2	-3	-3	-1	-3	3	0	3	2	7	2	-3	1	-7	6	-5	1	8	1
ABarappappa NA																											
ABarappappp NA																											
ABarappp 2e-04	0	2	-2	-2	-2	0	-1	0	0	0	2	1	0	0	-2	1	2	2	-1	-1	1	0	-4	-3	-2	-3	-3
ABarapppa 0.0126	-1	-1	3	0	2	2	1	-1	0	2	-3	1	0	-2	-1	-1	-1	0	1	2	-3	-1	-4	0	-2	-4	-3
ABarapppaa 0.466	-4	4	8	5	-1	1	5	1	1	2	-3	-3	-1	0	1	-5	0	-2	-3	1	-1	-4	7	-7	8	1	1
ABarapppaaa NA																											
ABarapppaap NA																											
ABarapppap 0.3949	1	-1	4	-3	1	0	0	-1	0	-4	-3	-2	-2	1	-3	4	0	10	0	-2	1	-1	1	0	5	4	-3
ABarapppapa NA																											
ABarapppapp NA																											
ABarapppp 0.0081	-2	0	1	-1	-1	3	3	0	1	3	0	-1	-1	0	-2	-2	-2	1	-2	1	0	1	-2	-2	-1	-2	-4
ABarappppa 8e-04	1	2	6	2	-9	0	5	2	0	-2	-8	-1	1	2	7	-3	2	-2	0	2	-3	-5	6	7	5	12	9
ABarappppaa NA																											
ABarappppap NA																											
ABarappppp 0.055	-2	0	-1	0	-1	-4	1	1	3	2	-2	0	2	5	1	0	2	-1	-4	-2	1	-3	6	1	0	5	3
ABarapppppa NA																			2		-1	-1					
ABarapppppaa NA																											
ABarapppppap NA																											
ABarapppppp NA																											
ABarp 0	2	2	0	-6	0	-1	0	0	0	0	2	0	1	0	-1	1	0	1	0	0	1	0	-3	-3	-4	-4	-2
ABarpa 4e-04	1	-1	0	0	3	-2	0	2	1	0	1	1	1	-1	0	-1	1	1	-2	-2	-2	-1	-6	-3	-5	-4	-3
ABarpaa 0.0034	1	1	0	0	1	-1	0	0	-1	0	0	-1	-1	-1	-1	1	0	1	-1	2	1	0	-3	-2	-5	-4	-3
ABarpaaa 0.0037	-1	-1	0	1	-3	7	7	-4	-4	-4	3	-1	2	-1	4	2	-1	-1	0	-2	-1	-1	-6	-3	-2	-5	-5
ABarpaaaa 0.0396	-1	0	3	0	2	3	2	-3	0	2	0	-1	0	-2	-3	0	-1	-1	1	1	-1	-1	-3	0	-1	-5	-5
ABarpaaaaa 0.0108	-2	10		1	7			0	-1		-11	0	-1	6	5	-6	2	5	-5	-3	0	-7	12	13	31	33	12
ABarpaaaaal NA																											
ABarpaaaaar NA																											
ABarpaaaap 0.1734	5	7		-1	6			-7	2	-9	-1	-4	5	13	3	-4	0	0	-4	-7	3	-6	8	-3	10	23	-1
ABarpaaaapa NA																											
ABarpaaaapp NA																											
ABarpaaap 0.0396	-3	1	7	2	2	-1	1	-1	1	1	-1	-3	-3	5	-2	-2	-1	-2	-3	2	-3	3	-3	-2	0	-2	-1
ABarpaaapa 0.1549	16	2		-2	9			-1	-9	-7	-5	0	-4	10	-2	0	1	2	1	-3	-1	-6	0	2		20	15
ABarpaaapaa NA																											
ABarpaaapap NA																											
ABarpaaapp NA																											
ABarpaap 0.0337	0	-1	0	0	2	2	0	-1	-1	-2	2	-2	-1	0	3	-1	1	2	-1	-3	0	-1	-1	-1	-3	-3	-1
ABarpaapa 0.0282	-1	-1	3	0	1	1	0	-3	-3	-3	2	-1	2	1	3	-1	-1	-1	-1	1	1	-1	1	-4	-4	-6	-5
ABarpaapaa NA																											
ABarpaapap NA																											
ABarpaapp 0.1473	-1	0	3	1	1	3	2	-5	-3	-2	0	-1	1	1	5	-2	-3	0	-1	2	-1	0	0	1	-4	-6	-2
ABarpaappa NA																											
ABarpaappp NA																											
ABarpap 0.0066	3	0	0	-1	0	-1	0	-1	-1	0	1	0	-1	0	0	1	-1	0	0	-1	1	-1	-4	-1	-5	-4	-3
ABarpapa 0.0261	0	1	-1	1	1	0	-3	-1	-2	1	2	0	2	-2	1	0	2	0	0	-1	-1	1	-5	0	-5	-4	-3
ABarpapaa 0.0461	-1	0	4	0	0	2	2	2	-2	0	0	-2	-2	-1	1	-2	1	0	1	0	1	-1	-5	-4	0	-5	0
ABarpapaaa 0.1213	-6	1		3	4	0	-2	-5	3	-1	0	1	0	9	0	-2	11	-7	-3	-1	-1	-2	16	-8	13	14	9
ABarpapaaaa NA																											
ABarpapaaap NA																											
ABarpapaap 0.1566	-2	0	7	-3	0	-4	2	0	1	0	0	1	-4	8	1	-3	0	-2	2	0	-2	-1	6	2	7	-2	2
ABarpapaapa NA																											
ABarpapaapp NA											-2								8	-3	-8	6		23			
ABarpapaappa NA																											
ABarpapaappp NA																											
ABarpapap 0.6247	-2	0	1	0	-1	2	1	1	-1	0	-1	0	-3	-1	0	2	0	2	1	-1	0	-1	2	2	-3	-5	0
ABarpapapa NA																											
ABarpapapp NA																											
ABarpapp 0.1325	-1	0	1	0	2	-1	-3	-1	-3	0	1	1	1	-2	5	1	1	-2	3	0	-3	0	-3	1	-3	-5	-1
ABarpappa 0.0107	-2	0	3	1	1	-1	2	1	-3	-1	1	2	-1	1	2	1	-2	-1	-2	0	0	-3	-12	-3	-6	-5	-6
ABarpappaa NA																											
ABarpappap NA																											
ABarpappp 0.0016	-1	0	0	0	0	1	6	-1	-4	0	2	-2	-1	1	2	0	-2	0	1	0	0	-2	-2	-4	-5	-7	-5
ABarpapppa NA																											
ABarpapppp NA																											
ABarpp 4e-04	2	0	-1	-1	5	-1	1	1	-1	0	1	1	1	-1	1	-2	-1	1	-1	-2	-1	-2	-5	-3	-6	-6	-4
ABarppa 0.0113	1	0	-1	1	0	0	-1	-1	1	-1	-1	0	-1	0	0	2	1	1	-2	0	0	1	-4	-1	-5	-2	-3
ABarppaa 0.3868	-1	-2	1	0	0	-1	3	0	-2	0	0	-1	-1	0	2	-1	0	4	-1	-2	3	-2	0	0	-4	2	-3
ABarppaaa 0.1673	-2	-1	0	2	-2	2	0	-2	1	1	-1	-3	3	-4	3	-2	-4	2	0	-1	4	3	1	5	3	8	-2
ABarppaaaa NA																											
ABarppaaap NA																											
ABarppaap 0.0888	-3	-1	3	-1	1	1	0	-4	1	1	-1	-2	1	-2	3	1	-2	1	2	1	0	0	6	6	4	6	-3
ABarppaapa NA																											
ABarppaapp NA																											
ABarppaappa NA																											
ABarppaappp NA																											
ABarppap 0.6133	3	0	0	-2	2	0	1	-2	-2	0	1	-1	1	-2	0	-1	0	3	1	-3	0	0	3	1	-3	-1	4
ABarppapa 0.3065	-3	2	-3	-1	-3	0	-2	-4	1	0	-4	2	0	4	2	0	-1	4	1	0	1	3	41	35	-6	-7	
ABarppapaa NA																											
ABarppapap NA																											
ABarppapp 0.9053	-4	-2	0	5	-1	2	-1	-4	0	1	-3	2	-1	1	-1	-3	-3	3	2	1	5	1			-9	6	
ABarppappa NA																											
ABarppappp NA																											
ABarppp 0.0435	2	0	0	0	1	0	1	0	-1	0	0	-1	0	0	-2	1	0	-1	-1	-1	1	0	-5	0	-6	-3	-2
ABarpppa 0.8431	-1	0	0	2	-1	1	0	-1	-1	-2	1	-1	1	-1	2	1	-1	3	-1	0	-1	2	0	0	-1	0	1
ABarpppaa 0.2741	-2	0	1	5	-2	1	-2	0	-3	1	-1	-2	1	2	3	-2	-3	8	0	-2	0	-2	-1	-3	-5	3	-4
ABarpppaaa NA																											
ABarpppaap NA																											
ABarpppap 0.9821	-1	-2	1	1	3	-2	-2	-3	-4	-2	-1	-1	7	3	3	-2	6	-1	0	0	1	-2	0	1	-4	4	-1
ABarpppapa NA																											
ABarpppapp NA																											
ABarpppappa NA																											
ABarpppappp NA																											
ABarpppp 0.5911	1	1	-1	-1	0	1	1	-1	-1	1	2	-2	0	1	-1	-3	1	3	-2	-2	1	-1	1	2	1	-2	0
ABarppppa 0.1707	-5	1	0	4	1	-1	1	-2	-6	-1	0	-2	3	3	1	-1	0	5	0	1	-2	2	-1			-4	-1
ABarppppaa NA																											
ABarppppap NA																											
ABarppppp 0.2839	-2	2	0	1	5	1	3	-2	-4	-2	0	2	5	4	-2	-4	-3	0	3	0	-1	-5	-4			-4	1
ABarpppppa NA																											
ABarpppppp NA																											
ABp NA						-1							0	0	0		0		1								
ABpl 0.0107	3	-4	3		-5	2	1	3	-3	-7	-6	-5	3	1	3	4	2	2	1	3	3	-2	-6	-4	-3	-1	-4
ABpla 7e-04	2	0	0	-8	2	1	1	1	0	0	2	0	-1	-2	-1	-1	1	0	1	0	2	0	-4	-5	-4	-2	-2
ABplaa 0.007	1	2	0	0	1	-3	-2	0	0	0	3	0	-1	-1	0	1	1	1	0	-1	0	1	-4	-2	-5	-4	-2
ABplaaa 1e-04	2	-1	-1	-2	0	-2	-1	0	2	1	1	-1	0	1	0	0	1	-1	1	-2	2	1	-4	-4	-5	-2	-4
ABplaaaa 0.5231	2	-1	2	-2	-1	-1	-2	-1	2	2	2	0	1	-1	-1	0	1	2	-1	-2	0	0	-1	2	-5	0	1
ABplaaaaa 0.0017	1	0	0	-3	-1	0	-1	-1	4	2	0	0	-3	-4	0	0	-3	1	3	4	0	2	-3	-5	-7	-3	-5
ABplaaaaaa 0.0181	-2	0		0	-9	7	-8	-5	4	2	5	5	-4	17	0	4	1	-5	-1	-3	-4	-4	20	25		16	6
ABplaaaaaaa NA																											
ABplaaaaaap NA																											
ABplaaaaap 3e-04	-1	3	3	2	-1	3	-2	0	1	0	2	-1	-1	2	-3	-2	0	-2	0	-2	-1	-1	5	3	7	6	3
ABplaaaaapa NA																											
ABplaaaaapp NA															-4				8		-6	1		24			
ABplaaaaappa NA																											
ABplaaaaappp NA																											
ABplaaaap 1e-04	-2	-3	1	-3	2	3	2	1	0	5	-2	0	-1	-3	-3	2	-3	-1	1	1	-2	2	-3	-4	-5	-4	-3
ABplaaaapa NA																											
ABplaaaapp NA																											
ABplaaap 0.1404	-1	1	0	-3	3	-1	0	-1	0	0	5	-2	-1	-3	0	0	2	3	-1	-2	0	0	-4	0	-4	-2	1
ABplaaapa 0.0021	-4	-3	1	-1	-1	2	-1	1	4	2	0	-2	-1	2	2	-1	0	-3	0	1	2	-1	-6	-10	-4	-6	-10
ABplaaapaa NA																											
ABplaaapap NA																											
ABplaaapp 0.0027	-4	-2	1	-1	2	0	0	1	4	0	0	-4	-1	1	-1	0	0	0	6	-1	0	1	-6	-4	-5	-3	-2
ABplaaappa NA																											
ABplaaappp NA																											
ABplaap 2e-04	3	0	-2	-1	1	1	2	1	1	-2	1	-2	-1	-1	0	0	2	-1	0	-2	1	1	-4	-3	-5	-3	-5
ABplaapa 0.4803	-1	1	4	-1	-1	-1	0	-1	1	-3	2	0	-2	-2	-1	0	4	0	0	-2	1	1	-1	0	-2	-2	1
ABplaapaa 0.0945	0	-3	0	-1	1	2	1	1	2	1	2	-2	-1	-2	-1	-3	-2	-1	1	3	0	-1	-2	0	-6	-3	-1
ABplaapaaa 0.0916	2	-1	-2	3	-3	5	-1	3	4	-1	-2	0	1	2	-2	2	-4	-2	-4	0	3	-4	10	2	5	5	-1
ABplaapaaaa NA																											
ABplaapaaap NA																											
ABplaapaap 0.4396	-4	-1	1	3	2	0	0	1	4	1	3	-1	0	-3	0	1	-5	2	-3	0	1	-4	0	1	3	3	-3
ABplaapaapa NA																											
ABplaapaapp NA																											
ABplaapap 0.0105	-2	-2	-1	-1	-1	0	1	2	1	4	2	-1	-2	1	-1	-1	-3	2	0	1	-1	3	-2	-1	-4	-5	-6
ABplaapapa 0.0791	-2	4	2	0	0	4	6	5	1	-4	0	1	-2	5	1	-6	0	-11	3	-4	1	-4	3	2	5	16	4
ABplaapapaa NA																											
ABplaapapap NA																											
ABplaapapp 0.1565	-5	-1	-1	0	1	3	1	1	2	-3	2	4	0	-2	1	-4	0	-1	4	-2	0	0	-2	3	3	8	3
ABplaapappa NA																											
ABplaapappp NA																			4		-3	-1		7			
ABplaapapppa NA																											
ABplaapapppp NA																											
ABplaapp 0.0115	-2	-1	1	-3	0	0	2	0	0	-1	3	-1	-2	-2	1	-1	2	2	0	-1	1	0	-2	-3	-3	-1	-1
ABplaappa 0	-2	1	2	-4	5	1	0	0	0	0	1	-3	-2	-3	1	-4	-2	1	4	-1	5	0	-10	-6	-8	-7	-8
ABplaappaa NA																											
ABplaappap NA																											
ABplaappp 0.0025	-1	2	1	-5	1	2	4	-1	-1	-1	0	-4	0	-4	0	-1	1	0	4	0	0	2	-6	-4	-5	-1	-4
ABplaapppa NA																											
ABplaapppp NA																											
ABplap 0.0025	3	1	0	0	0	-3	-2	0	0	0	2	2	1	-1	0	1	2	1	-2	-1	0	-1	-6	-2	-5	-4	-3
ABplapa 0.0058	1	0	0	0	1	-1	-2	1	-1	-2	4	0	-1	-1	0	0	1	0	0	1	-1	1	-3	-1	-5	-4	-3
ABplapaa 0.2848	0	0	-1	-2	0	4	3	0	0	1	1	-1	-1	-2	-1	-1	3	1	-2	-3	3	1	0	-3	1	-3	0
ABplapaaa 0.0089	0	-1	2	-2	-1	3	-2	0	0	-1	1	-1	-1	-1	-1	-2	0	1	2	1	1	4	-3	-1	-4	-4	-1
ABplapaaaa 0.0191	1	-3	-2	-3	-2	6	-2	-1	-1	-2	-2	-4	2	1	7	5	-1	-1	2	1	-1	-1	9	2	16	6	8
ABplapaaaaa NA																											
ABplapaaaap NA																					5	-5					
ABplapaaaapa NA																											
ABplapaaaapp NA																											
ABplapaaap 0.0055	5	-2	-1	-8	-5	2	1	-3	-5	-4	-1	-1	1	10	1	7	1	1	1	8	2	-7	13	6	13	18	5
ABplapaaapa NA																											
ABplapaaapad NA																											
ABplapaaapav NA																											
ABplapaaapp NA																											
ABplapaap 0.131	0	-2	-3	-2	2	7	0	-1	-2	-4	1	1	-4	1	1	0	1	-2	2	3	-1	3	-6	-3	0	-4	1
ABplapaapa NA																											
ABplapaapp NA																											
ABplapap 0.0153	2	1	-3	0	0	4	2	-1	0	0	1	-2	-1	-2	-2	1	1	1	-1	-2	2	0	-3	-1	-2	-3	-1
ABplapapa 0.0043	-1	0	2	-2	1	0	-3	0	-2	1	1	-3	3	-1	5	-2	0	0	-1	1	2	-2	-6	-6	-2	-7	-4
ABplapapaa NA																											
ABplapapaaa NA																											
ABplapapaap NA																											
ABplapapap NA																											
ABplapapp 0.1323	0	0	3	-2	-3	0	-3	2	2	3	3	-1	0	1	-2	-2	-1	-1	-1	2	1	-1	0	-3	-1	0	-4
ABplapappa NA																											
ABplapappp 0.1491	0	1	2	-1		0	-7	-2	4	2	-6	-1	5	2	0	1	3	-1	0	-7	3	3	21	13	3	1	-1
ABplapapppa NA																											
ABplapapppp NA																					-3	3					
ABplapappppa NA																											
ABplapappppaa NA																											
ABplapappppap NA																											
ABplapappppp NA																											
ABplapp 0.003	0	1	-1	0	1	0	-1	0	0	-1	1	-3	-2	1	-1	1	1	0	-1	0	0	0	-3	-2	-6	-5	-4
ABplappa 0.57	1	0	2	-3	1	0	1	1	-1	-2	0	-1	2	-1	-1	-3	0	4	2	0	1	-1	-4	2	-2	0	0
ABplappaa 0.1963	0	-2	-1	-2	1	2	0	-3	-2	0	0	-4	2	4	3	-3	-1	0	1	1	4	0	-3	1	0	-2	-2
ABplappaaa NA																											
ABplappaap NA																											
ABplappap 0.8206	-3	-3	1	0	0	2	2	-1	0	0	3	-2	2	1	2	0	-1	-2	1	0	1	-1	3	1	-1	0	-2
ABplappapa NA																											
ABplappapp NA																											
ABplappp 0.8699	0	-2	1	-2	0	1	-2	0	1	-2	1	2	0	-1	-2	-1	0	1	0	0	1	3	-2	3	-2	0	2
ABplapppa 0.0082	3	-2	4	3	0	1	0	-3	0	1	-1	-3	-4	2	-2	3	-1	-3	2	-1	2	0	-7	-4	-1	-5	-5
ABplapppaa 0.984	8	5		3	1		-6	0	2	-1	0	-6	7	4	-4	1	5	-7	-9	-5	8	-6	7	-6	-3	2	0
ABplapppaaa NA																											
ABplapppaap NA																											
ABplapppap 0.2886	1	1	5	-2	2	-1	-5	-1	4	3	-4	0	3	-1	-1	-1	3	-4	-3	-1	3	-1	7	1	-2	1	1
ABplapppapa NA																											
ABplapppapp NA																			5		0	-5					
ABplapppappa NA																											
ABplapppappp NA																											
ABplapppp 0.7248	1	-3	1	-3	2	0	-1	1	-3	-1	1	1	-1	0	0	-1	3	0	-2	3	1	1	-4	0	3	-1	0
ABplappppa NA																											
ABplappppp NA																											
ABplp 1e-04	3	1	0	-6	2	1	0	0	1	0	1	0	-1	-1	-1	-1	2	1	0	-1	1	-1	-5	-3	-3	-3	-3
ABplpa 0.001	0	-1	-1	-1	2	-2	1	1	0	1	3	2	0	-2	1	0	0	1	-2	-1	1	0	-3	-2	-6	-5	-4
ABplpaa 9e-04	3	0	0	-3	0	-1	-1	-1	1	0	2	0	-1	0	-2	0	1	1	0	-2	1	2	-4	-3	-7	-4	-4
ABplpaaa 0.0285	0	2	-1	-2	-2	0	3	0	1	0	2	-3	-1	-1	0	1	2	-2	1	-1	1	-2	-4	-1	-2	-6	-3
ABplpaaaa 0	-3	-3	1	-2	-3	-1	0	2	3	1	2	-3	0	2	0	-2	-1	-1	-1	5	1	2	-4	-5	-2	-3	-4
ABplpaaaaa 0.0554	-2	-1	3	-1	0	2	2	3	7	0	-3	-5	-1	8	-1	-4	-1	2	-1	3	-4	-4	14	-2	14	5	8
ABplpaaaaaa NA																											
ABplpaaaaap NA																											
ABplpaaaap 0.1965	-3	-2	7	0	1	1	2	0	3	-5	3	0	-1	3	1	0	-3	-3	1	3	-2	-6	4	-2	12	4	1
ABplpaaaapa NA																											
ABplpaaaapp NA																											
