paste.Cells..round.CC_Dif_pValues..4..	X20110316_mir.1_L3	X20110316_mir.1_L2	X20110203_RW10890_pal.1_L4	X20110125_RW10890_pal.1_L3	X20110125_RW10890_pal.1_L4	X20101213_RW10889_pal.1_L2	X20101213_RW10889_pal.1_L3	X20110209_UP2051_mls.2_L1	X20110209_UP2051_mls.2_L2	X20110209_UP2051_mls.2_L3	X20110225_NX68_L3	X20110408_RW10425_pha.4_L2	X20110927_RW11144_L4	X20110929_ceh.43_L1	X20110726_RW10713_L1	X20110731_RW10434_L1	X20111116_RW10226_L4	X20110916_ceh.36_L1	X20120426_JIM122_L2	X20120612_JIM127_L4	X20120331_RW10871_L4	X20120807_mir.57_L4	X20230224_RW10265_tbx.8_die.1_L4	X20230224_RW10265_tbx.8_die.1_L3	X20230224_RW10265_tbx.8_die.1_L1	X20230223_JIM188_tbx.9_die.1_L4	X20230222_JIM188_tbx.9_die.1_L1
ABalaapppp 0.076	-1	2	-4	-2	1	0	1	3	0	-1	-2	0	-1	3	-2	0	5	1	2	2	1	-5	5	5	0	20	10
ABalaappppa NA																			1		-4	3					
ABalaappppaa NA																											
ABalaappppap NA																											
ABalaappppp NA																											
ABalap 0.0091	1	0	0	0	2	-2	-2	2	0	1	0	-1	-1	-1	2	-1	1	1	0	-3	1	1	-3	-2	-5	-4	-2
ABalapa 0.0045	1	0	-2	-2	1	-1	0	0	-1	-2	3	0	1	-2	-2	1	0	2	0	0	1	1	-5	-3	-6	-3	-2
ABalapaa 0	0	1	-1	1	-2	0	1	0	0	-1	4	2	-2	-1	-2	4	0	2	-3	0	-1	-2	-3	-3	-3	-3	-3
ABalapaaa 0.0178	-1	-4	2	-2	-4	1	0	0	0	0	-2	2	0	1	-3	0	1	1	2	2	1	2	-5	-1	-6	-3	-2
ABalapaaaa 0.4918		3													6		6		-5	3	-4	-7	26	-9		-6	16
ABalapaaaaa NA																											
ABalapaaaap NA																											
ABalapaaap 0.0161	-1	5	0	3	4	3	3	-1	-4	-7	-3	-1	-2	2	0	-1	-1	-2	3	0	1	-3	17	5	17	6	8
ABalapaaapa NA																											
ABalapaaapp NA																											
ABalapaap 0.6875	-2	-1	1	-1	-2	2	2	1	-3	-1	-3	0	0	-2	-3	2	-1	0	0	6	2	1	-2	0	0	-1	2
ABalapaapa 0.0332	-10	0	-5	-3	2	-2		-4	1	-1	-4	-4	10	24	0	-4	-7	-1	-2	20	-3	-7	7	13	5	26	9
ABalapaapaa NA																											
ABalapaapap NA																											
ABalapaapp 0.0034	-5	0	2	-3	1	1	6	0	-5	-1	-3	4	2	8	1	-2	1	-4	-1	0	0	-2	9	7	10	17	7
ABalapaappa NA																			0		-3	3					
ABalapaappaa NA																											
ABalapaappap NA																											
ABalapaappp NA																											
ABalapap 0.0276	-1	0	1	0	0	-1	-1	0	0	0	3	1	0	0	-2	-1	-1	2	-3	2	1	-2	-3	-1	-1	-3	-1
ABalapapa 0.0038	-2	1	4	-2	-4	1	5	-1	-4	-5	1	2	0	-1	-2	3	-1	2	0	3	-1	0	-3	-3	-8	-4	-4
ABalapapaa NA																											
ABalapapap 6e-04	-2	-1	-2	-2	0	3	0	1	0	-3	-6	0	2	4	-2	4	-1	0	2	5	0	-2	11	10	14	8	6
ABalapapapa NA																			10		-13	4					
ABalapapapaa NA																											
ABalapapapap NA																											
ABalapapapp NA																											
ABalapapp 0.9254	-1	-1	1	0	0	-1	2	1	-1	2	-1	1	0	0	-1	-1	-1	0	-2	2	1	1	-3	1	2	-1	0
ABalapappa 0.021	-2	0	-4	-3	1	6	2	1	-2	4	3	-2	1	-3	-2	-3	1	-2	-2	2	0	1	0	6	5	3	2
ABalapappaa NA																			-2		1	2					
ABalapappaaa NA																											
ABalapappaap NA																											
ABalapappap NA																											
ABalapappp 0.0144	1	-1	-1	-4	1	3	0	2	0	1	3	3	3	-3	-1	-1	2	-2	-4	5	0	-8	10	3	22	13	16
ABalapapppa NA																											
ABalapapppp NA																											
ABalapp 6e-04	1	3	-2	-2	0	-1	-2	0	-1	-2	3	0	1	-2	-1	1	0	2	1	0	1	-1	-5	-3	-3	-3	-2
ABalappa 0.0035	4	2	1	0	-3	0	-1	-1	-1	1	4	0	0	-3	-1	1	0	0	-2	-2	-1	1	-7	-4	-3	-5	-2
ABalappaa 0.0933	-4	-2	5	2	4	1	2	-1	1	1	-1	4	-3	-1	-4	-2	0	-2	-3	3	1	0	-4	-9	-5	-2	1
ABalappaaa NA																											
ABalappaap 0.1301	3	6		3	-5				-14						-7	2	8	3	6	-4	0	-2	38	11		14	
ABalappaapa NA																											
ABalappaapp NA																											
ABalappap 0.0147	-2	-2	4	0	1	-1	2	-1	-2	0	0	2	0	-3	0	0	-1	-2	-1	3	0	3	-3	-3	-2	-1	0
ABalappapa 0.0813	1	11		5	11	-1		-18	-17	-24					6	-14	8	15	0	15	8	-5	36	0		23	15
ABalappapaa NA																											
ABalappapap NA																											
ABalappapp 0.0159	1	-2	6	3	-4	-1	-2	1	3	5	1	0	0	-2	-3	-1	-1	0	-2	1	-1	-1	8	0	6	4	8
ABalappappa NA																											
ABalappappp NA																											
ABalappp 0.0134	1	0	1	-1	0	-2	-1	1	1	1	3	0	-2	0	-2	-1	-1	2	-1	1	0	0	-3	-1	-4	-5	-2
ABalapppa 0.0929	-1	-1	3	-2	0	-1	4	-3	-3	-1	0	1	2	0	-1	0	-1	0	-1	3	0	2	-1	1	-5	-3	-3
ABalapppaa 1e-04	2	1	8	-3	-4	2	-4	0	-3	1	-4	-1	3	1	3	-5	0	7	1	-2	3	-5	11	6	10	11	14
ABalapppaaa NA																											
ABalapppaap NA																											
ABalapppap 0.0398	-2	0	4	-2	2	-2	2	-4	-3	-2	0	1	3	1	1	-1	2	-2	2	3	-1	0	8	0	7	11	2
ABalapppapa NA																			3		-5	2					
ABalapppapaa NA																											
ABalapppapap NA																											
ABalapppapp NA																											
ABalapppp 0.1509	1	-1	-2	0	0	-1	1	-1	-3	-1	0	3	0	-1	-1	-1	-1	1	-2	6	1	2	-2	1	-5	-4	0
ABalappppa 0.1591	-3	-1	0	3	0	2	1	0	4	2	-1	0	0	-2	0	-4	-1	0	-4	3	2	0	1	2	2	-1	4
ABalappppaa NA																			5		-13	8					
ABalappppaaa NA																											
ABalappppaap NA																											
ABalappppap NA																											
ABalappppp 0	-6	2	0	3	2	5	0	-4	-1	-4	0	3	1	1	0	-1	5	-2	0	-3	-1	-3	11	10	15	13	9
ABalapppppa NA																											
ABalapppppp NA																											
ABalp 1e-04	3	2	-1	-7	1	0	0	0	1	0	3	1	0	-1	-2	-1	1	1	0	-1	1	-1	-4	-2	-4	-4	-4
ABalpa 0.0091	-1	0	0	-2	2	-2	0	2	-1	1	0	-1	1	-3	0	1	1	3	0	-1	0	1	-4	-2	-5	-3	-2
ABalpaa 0.0018	1	1	-3	-3	2	0	1	-1	0	-1	1	0	0	1	0	0	1	0	-1	0	2	0	-4	-2	-6	-5	-4
ABalpaaa 0.0017	2	1	0	-2	-4	-4	1	-2	1	1	4	-1	2	-3	-2	2	1	1	2	0	2	1	-5	-3	-5	-2	-5
ABalpaaaa 0.0563	-2	-3	3	1	-1	1	3	-2	2	1	-1	-3	-2	0	1	1	0	3	-3	4	2	-2	-1	-5	-2	-4	-11
ABalpaaaaa 0.5981	-2	-2	6	3	0	-7	5	1	0	-3	-1	-5	11	5	-2	-5	1	0	-1	1	2	-5	6	6	6	0	-9
ABalpaaaaaa NA																											
ABalpaaaaap NA																											
ABalpaaaap 0.082	-1	-4	1	1	1	-2	-2	1	0	-4	1	-7	9	6	-6	-5	11	3	-5	5	3	-8	-1	-10	-4	-12	0
ABalpaaaapa NA																											
ABalpaaaapp NA																											
