"Cells","Fates","Times","CC_Defects","Pos_Defects","Angle_Defects","Cell_Count","Division_Count","Expression","ceh36_peak.Cells.","unc30_peak.Cells.","mls2_peak.Cells.","nob1_peak.Cells.","ceh13_peak.Cells.","MeanMaxPositionDev","MeanMeanPositionDev"
"ABalaapppa",NA,223,2,0,0,5,5,16580,0,0,0,0,0,4.28321957562396,2.8256240279422
"ABalaapppaa","RIAR",316,0,0,0,5,0,16580,0,0,0,0,0,3.79168698899974,2.68302394653063
"ABalaapppap","death",316,0,0,0,5,0,16580,0,0,0,0,0,4.64292483999846,3.37191069999617
"ABalaapppp",NA,223,2,0,0,5,5,15382,0,0,0,0,0,4.34316547075284,2.97620163615112
"ABalaappppa",NA,289,0,2,0,5,0,15382,0,0,24,0,0,4.99913833091403,3.46087127640958
"ABalaappppaa","IL1R",400,0,0,0,NA,0,15382,0,0,24,0,0,NA,NA
"ABalaappppap","death",400,0,0,0,NA,0,15382,0,0,24,0,0,NA,NA
"ABalaappppp","IL2R",289,0,2,0,5,0,15382,0,0,0,0,0,5.14762284963382,3.49032013939825
"ABalap",NA,75,1,0,0,5,5,2957,0,0,0,0,0,3.7536575580034,2.80113285722084
"ABalapa",NA,103,1,0,0,5,5,3846,0,0,0,0,217,3.53614254308178,2.44467119936666
"ABalapaa",NA,135,0,0,0,5,5,6699,0,0,0,0,217,4.19814787022882,2.65585127592824
"ABalapaaa",NA,175,1,0,0,5,5,12066,0,0,0,0,217,4.16159787201369,2.65180444983862
"ABalapaaaa",NA,229,2,0,0,5,5,12066,0,0,171,0,217,5.5146529427332,3.05071749955179
"ABalapaaaaa","AVHL",348,0,3,0,4,0,12066,0,0,171,0,217,7.51244111987512,5.99146660659765
"ABalapaaaap","death",348,0,2,0,4,0,12066,0,0,171,0,217,8.73326598632684,7.18459658980571
"ABalapaaap",NA,229,2,0,0,5,5,12066,0,0,0,0,217,4.70758288796069,2.89422933684477
"ABalapaaapa","CANL",301,0,2,0,5,0,12066,0,132,4,0,217,5.03522744243086,2.96357392015278
"ABalapaaapp","OLLsoL",301,0,2,0,5,0,12066,0,119,0,0,217,4.48467959148165,3.09662756612225
"ABalapaap",NA,175,0,0,0,5,5,11135,0,0,0,0,217,5.42542178609704,3.53109631599129
"ABalapaapa",NA,225,1,0,0,5,5,12274,0,0,0,0,217,4.79332023937254,2.75867109092281
"ABalapaapaa","RIAL",321,0,0,0,5,0,12274,0,0,0,0,217,3.01445308058328,1.71041609344963
"ABalapaapap","death",321,0,0,0,5,0,12274,0,0,0,0,217,3.74112235921692,2.39048731960115
"ABalapaapp",NA,225,2,0,0,5,5,11464,0,0,0,0,217,4.72876307076491,2.797192663975
"ABalapaappa",NA,291,0,3,0,5,0,11464,0,54,0,0,217,3.42017453541005,2.22887526081303
"ABalapaappaa","IL1L",400,0,0,0,NA,0,11464,0,54,0,0,217,NA,NA
"ABalapaappap","death",400,0,0,0,NA,0,11464,0,54,0,0,217,NA,NA
"ABalapaappp","IL2L",291,0,0,0,5,0,11464,0,0,0,0,217,3.87624416555688,2.37978940067086
"ABalapap",NA,135,0,0,0,5,5,5598,0,0,0,0,217,4.46015390398272,2.65380950245269
"ABalapapa",NA,171,0,0,0,5,5,9604,4,0,917,0,217,5.34130003476241,3.7089834566263
"ABalapapaa","death",226,0,0,0,5,0,9604,4,0,1349,0,217,4.42875156859854,2.52606690478409
"ABalapapap",NA,226,4,0,0,5,5,9884,4,0,2411,37,217,3.62099819894225,2.16657498854604
"ABalapapapa",NA,291,0,0,0,5,0,9884,4,0,2411,37,217,3.81096938646023,2.44478593471763
"ABalapapapaa","OLQDL",400,0,0,0,NA,0,9884,4,0,2411,37,217,NA,NA
"ABalapapapap","death",400,0,0,0,NA,0,9884,4,0,2411,37,217,NA,NA
"ABalapapapp","URYDL",291,0,1,0,5,0,9884,4,0,2411,37,217,3.27520626343134,1.86222471058186
"ABalapapp",NA,171,0,0,0,5,5,10692,0,0,922,0,217,4.48076713744657,2.9069252237673
"ABalapappa",NA,218,0,0,0,5,5,10775,0,0,6274,0,217,3.44685944349136,2.1001816975476
"ABalapappaa",NA,279,0,1,0,5,0,10775,0,0,9532,0,217,3.69524038475512,2.20109170461732
"ABalapappaaa","IL1DL",400,0,0,0,NA,0,10775,0,0,9532,0,217,NA,NA
"ABalapappaap","death",400,0,0,0,NA,0,10775,0,0,9532,0,217,NA,NA
"ABalapappap","IL2DL",279,0,0,0,5,0,10775,0,0,8299,0,217,3.91971659376301,2.16582753478605
"ABalapappp",NA,218,4,0,0,5,5,10692,0,0,5496,0,217,3.99840477334461,2.41459828911585
"ABalapapppa","AVJL",294,0,1,0,5,0,10692,0,0,10446,0,217,4.23062900585732,2.35795609545511
"ABalapapppp","CEPsoDL",294,0,1,0,5,0,10692,0,0,10112,0,217,4.3223214803203,2.06658964311348
"ABalapp",NA,103,0,0,0,5,5,2957,0,0,0,0,88,3.42244044605662,2.36636095627793
"ABalappa",NA,135,1,0,0,5,5,5646,0,0,469,0,92,4.58213777126375,2.87655798860755
"ABalappaa",NA,178,1,0,0,5,5,10122,0,0,1761,0,92,5.12018782478734,3.25721820360697
"ABalappaaa","death",239,0,0,0,5,0,10122,2,0,1761,0,92,4.3645054061479,3.01418452424812
"ABalappaap",NA,239,3,0,0,5,5,10122,0,0,1761,0,92,4.12141369206639,2.60602290241295
"ABalappaapa","RID",339,0,1,0,3,0,10122,0,0,1761,0,92,4.46081511206006,3.33100291732773
"ABalappaapp","death",339,0,0,0,3,0,10122,0,0,1761,0,92,6.53357354578273,3.12684289465329
"ABalappap",NA,178,0,0,0,5,5,11080,3,0,1315,0,92,4.86446551981439,3.512565026214
"ABalappapa",NA,227,0,0,0,5,5,11132,3,0,1653,0,92,4.7584496023777,2.83150983225134
"ABalappapaa","AVHR",332,0,1,0,4,0,11132,3,0,2409,0,92,4.50014348555285,2.79241591739322
"ABalappapap","death",332,0,1,0,4,0,11132,3,0,2756,0,92,4.5170210143613,3.09466298002291
"ABalappapp",NA,227,2,0,0,5,5,11080,3,0,2003,0,92,4.67569657723063,2.88032274307529
"ABalappappa","CANR",295,0,0,0,5,0,11080,3,100,2003,0,92,3.36066082921986,2.34795144744807
"ABalappappp","OLLsoR",295,0,0,0,5,0,11080,3,1,2541,0,92,3.68924720249182,2.46344990633705
"ABalappp",NA,135,1,0,0,5,5,5514,0,0,322,0,88,4.24943591750088,2.36663471394701
"ABalapppa",NA,172,0,0,0,5,5,9326,0,0,3239,0,88,4.40469688967804,2.91169974099946
"ABalapppaa",NA,219,3,0,0,5,5,9326,0,0,7177,0,88,4.95895325716456,2.58208136233365
"ABalapppaaa","ALA",295,0,0,0,5,0,9326,0,0,7177,0,88,3.3352461856425,2.28927724527388
"ABalapppaap","RMED",295,0,1,0,5,0,9326,0,0,7177,0,88,3.69518812516198,2.32941577975789
"ABalapppap",NA,219,3,0,0,5,3,9326,0,0,6513,0,88,3.85107886214756,2.44276543528947
"ABalapppapa",NA,284,0,1,0,5,0,9326,0,0,6513,0,88,3.71098693612481,2.0067823174395
"ABalapppapaa","OLQDR",400,0,0,0,NA,0,9326,0,0,6513,0,88,NA,NA
"ABalapppapap","death",400,0,0,0,NA,0,9326,0,0,6513,0,88,NA,NA
"ABalapppapp","URYDR",284,0,1,0,5,0,9326,0,0,6513,0,88,4.56469236522778,2.11912609963249
"ABalapppp",NA,172,0,0,0,5,5,8719,0,0,2802,0,88,3.91821157104204,2.34737765613077
"ABalappppa",NA,219,0,0,0,5,5,9911,0,0,7483,0,88,3.6689615184912,2.48905958668056
"ABalappppaa",NA,278,0,1,0,5,0,9911,0,0,7483,0,88,4.17428020014691,2.27157402337684
"ABalappppaaa","IL1DR",400,0,0,0,NA,0,9911,0,0,7483,0,88,NA,NA
"ABalappppaap","death",400,0,0,0,NA,0,9911,0,0,7483,0,88,NA,NA
"ABalappppap","IL2DR",278,0,1,0,5,0,9911,0,0,7483,0,88,4.36171710415016,2.36531854337364
"ABalappppp",NA,219,5,0,0,5,5,8719,0,0,7313,0,88,3.83581461394924,2.4336759920926
"ABalapppppa","AVJR",291,0,0,0,5,0,8719,0,0,12621,0,88,3.68608039340815,2.0871704277558
"ABalapppppp","CEPsoDR",291,0,0,0,5,0,8719,0,0,10742,0,88,3.02215161033828,1.87957852210278
"ABalp",NA,56,0,0,0,5,5,2957,0,0,0,0,0,4.96001225882253,2.89740742105607
"ABalpa",NA,75,1,0,0,5,4,2957,0,0,0,0,0,4.00425478534303,2.88426633503094
"ABalpaa",NA,102,2,0,0,5,5,3849,0,0,0,0,0,4.41486293098725,3.31108149839786
"ABalpaaa",NA,134,0,0,0,5,5,6846,0,0,0,0,0,5.47204199912769,3.87060394022141
"ABalpaaaa",NA,177,1,0,0,5,5,7608,0,0,0,0,0,6.06638939281636,4.15478546709891
"ABalpaaaaa",NA,232,0,0,0,5,5,7608,0,0,0,29,0,4.98413582395881,3.26167765664474
"ABalpaaaaaa","e3VL",307,0,1,0,5,0,7608,0,0,0,29,0,4.19832495631724,2.63732705177496
"ABalpaaaaap","m2VL",307,0,3,0,5,0,7608,0,0,0,29,0,5.39403569932994,3.47491079172538
"ABalpaaaap",NA,232,0,0,0,5,5,7608,0,0,0,11,0,4.53667122867884,3.01405765136415
"ABalpaaaapa","m1VL",318,0,1,0,5,0,7608,1,28,0,11,0,4.25249097475632,2.43838044333996
"ABalpaaaapp","death",318,0,2,0,5,0,7608,0,0,0,11,0,5.42933372213015,2.09991942828187
"ABalpaaap",NA,177,1,0,0,5,5,6846,0,0,0,0,0,5.35846351268458,3.6696169675201
"ABalpaaapa",NA,230,1,0,0,5,5,6846,136,0,0,0,0,4.79972053767075,3.06781706462543
"ABalpaaapaa","m2L",315,0,0,0,5,0,6846,303,0,3,0,0,3.93373390705325,2.81184859179156
"ABalpaaapap","death",315,0,2,0,5,0,6846,193,0,0,0,0,4.63186156301053,3.2276866533155
"ABalpaaapp",NA,230,0,0,0,5,5,6846,268,0,19,0,0,4.1060969520036,2.82264531092178
"ABalpaaappa","death",313,0,2,0,5,0,6846,1191,216,19,0,0,4.78001967130538,2.96726796436254
"ABalpaaappp","MCL",313,0,1,0,5,0,6846,341,0,108,0,0,4.54023629634832,2.81620808828531
"ABalpaap",NA,134,1,0,0,5,5,9277,0,0,0,0,0,5.01012987517379,3.55390679994731
"ABalpaapa",NA,170,0,0,0,5,5,13644,0,0,0,0,0,5.86084205972196,4.29212662932692
"ABalpaapaa",NA,212,1,0,0,5,5,13644,212,0,0,0,0,5.03889192326975,2.93119472076578
"ABalpaapaaa","arcpost",284,0,3,0,5,0,13644,212,0,0,0,0,4.74533181678591,2.6442099634887
"ABalpaapaap","e2DL",284,0,2,0,5,0,13644,251,0,0,0,0,3.86980032724023,2.06435799250041
"ABalpaapap",NA,212,0,0,1,5,5,13644,25,0,0,0,0,5.05298279314576,3.10882948274157
"ABalpaapapa","mc1DL",263,0,1,0,5,0,13644,364,0,0,0,0,4.58011942271986,2.49693699250147
"ABalpaapapp","m3L",263,0,0,0,5,0,13644,353,0,0,0,0,3.2067143476113,1.85324272533303
"ABalpaapp",NA,170,0,0,0,5,5,9779,0,0,0,0,0,5.90821885652575,3.95733324437149
"ABalpaappa",NA,222,0,0,0,5,5,11498,0,0,0,0,0,5.18502853834165,2.60212411624546
"ABalpaappaa","arc_ant",309,0,0,0,5,0,11498,0,0,36,0,0,3.37722913635143,1.96965024123592
"ABalpaappap","arcpost",309,0,0,0,5,0,11498,0,0,0,0,0,3.63410370809831,2.17740447245969
"ABalpaappp",NA,222,1,0,1,5,5,9779,0,0,0,0,0,4.10141861451203,2.89603261527611
"ABalpaapppa","hyp1",297,0,1,0,5,0,9779,0,0,0,0,0,3.76426369446631,2.28598535919354
"ABalpaapppp","hyp2",297,0,0,0,5,0,9779,0,193,39,0,0,4.08892434577906,2.65622967693998
"ABalpap",NA,102,1,0,0,5,5,3818,0,0,0,0,0,4.34579632381188,3.50201787126467
"ABalpapa",NA,133,1,0,0,5,5,6722,0,0,0,0,0,5.7070466159643,4.056964404835
"ABalpapaa",NA,172,0,0,0,5,5,7715,0,0,0,0,0,6.34257657913803,4.47741520190369
"ABalpapaaa",NA,223,0,0,0,5,5,7715,0,0,0,0,0,3.99364720075161,2.30294129800521
"ABalpapaaaa","RIPL",291,0,1,0,5,0,7715,0,0,0,0,0,3.9952394597749,2.69701955660239
"ABalpapaaap","hyp2",291,0,2,0,5,0,7715,0,0,0,0,0,5.64219685527141,3.13100394053269
"ABalpapaap",NA,223,0,0,0,5,5,7715,0,0,0,0,0,4.16141644074996,2.41935972660533
"ABalpapaapa","arc_ant",310,0,0,0,5,0,7715,0,54,0,0,0,3.68845670441834,2.35955986260543
"ABalpapaapp","death",310,0,0,0,5,0,7715,251,334,0,0,0,4.17807786475434,2.19502666027278
"ABalpapap",NA,172,0,0,0,5,5,6722,0,0,0,0,0,5.76540742458293,3.96305993165179
"ABalpapapa",NA,222,0,0,0,5,5,6722,1732,0,0,0,0,4.5168106468073,2.81987168762562
"ABalpapapaa","RMDDL",290,0,0,0,5,0,6722,1784,0,0,0,0,3.1714616374642,1.83859596668615
"ABalpapapap",NA,290,0,0,0,5,0,6722,2235,0,0,0,0,3.71716813099435,2.16930494697415
"ABalpapapapa","death",400,0,0,0,NA,0,6722,2235,0,0,0,0,NA,NA
"ABalpapapapp","SMBDL",400,0,0,0,NA,0,6722,2235,0,0,0,0,NA,NA
"ABalpapapp",NA,222,0,0,0,5,5,6722,2007,0,0,43,0,5.04092713810712,2.67751055119887
"ABalpapappa","death",302,0,0,0,5,0,6722,3056,9,174,43,0,5.17935329705211,3.04284637590268
