"Cells","Names","Birth Times","peak exp","CC X20230222_JIM188_tbx.9_die.1_L1","CC X20230223_JIM188_tbx.9_die.1_L4","CC X20230224_RW10265_tbx.8_die.1_L1","CC X20230224_RW10265_tbx.8_die.1_L3","CC X20230224_RW10265_tbx.8_die.1_L4","Position X20230222_JIM188_tbx.9_die.1_L1","Position X20230223_JIM188_tbx.9_die.1_L4","Position X20230224_RW10265_tbx.8_die.1_L1","Position X20230224_RW10265_tbx.8_die.1_L3","Position X20230224_RW10265_tbx.8_die.1_L4","Angle X20230222_JIM188_tbx.9_die.1_L1","Angle X20230223_JIM188_tbx.9_die.1_L4","Angle X20230224_RW10265_tbx.8_die.1_L1","Angle X20230224_RW10265_tbx.8_die.1_L3","Angle X20230224_RW10265_tbx.8_die.1_L4"
"ABalaappaa","death",230,9698,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA
"ABalaappap",NA,230,17246,0,0,NA,NA,1,0,NA,NA,0,0,0,NA,NA,NA,0
"ABalaappapa","AVAR",308,17246,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalaappapp","OLQsoVR",308,17246,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalaappp",NA,175,10880,0,1,1,1,0,0,0,0,0,0,0,NA,NA,NA,0
"ABalaapppa",NA,223,28164,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ABalaapppaa","RIAR",316,28164,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalaapppap","death",316,28164,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalaapppp",NA,223,31475,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ABalaappppa",NA,289,31475,0,NA,NA,NA,0,0,NA,NA,NA,1,NA,NA,NA,NA,NA
"ABalaappppaa","IL1R",400,31475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalaappppap","death",400,31475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalaappppp","IL2R",289,39406,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA
"ABalap",NA,75,51,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0
"ABalapa",NA,103,110,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0
"ABalapaa",NA,135,2096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapaaa",NA,175,8288,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0
"ABalapaaaa",NA,229,8632,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0
"ABalapaaaaa","AVHL",348,21314,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalapaaaap","death",348,13962,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalapaaap",NA,229,11199,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ABalapaaapa","CANL",301,11199,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalapaaapp","OLLsoL",301,11199,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalapaap",NA,175,8540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapaapa",NA,225,17036,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ABalapaapaa","RIAL",321,17036,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalapaapap","death",321,17036,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalapaapp",NA,225,22341,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ABalapaappa",NA,291,23347,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalapaappaa","IL1L",400,23347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalapaappap","death",400,23347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalapaappp","IL2L",291,30160,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalapap",NA,135,1572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapapa",NA,171,2560,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
"ABalapapaa","death",226,3301,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalapapap",NA,226,3034,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"ABalapapapa",NA,291,16680,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalapapapaa","OLQDL",400,16680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalapapapap","death",400,16680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalapapapp","URYDL",291,10234,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalapapp",NA,171,2952,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapappa",NA,218,2952,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0
"ABalapappaa",NA,279,15639,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalapappaaa","IL1DL",400,15639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalapappaap","death",400,15639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalapappap","IL2DL",279,11060,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalapappp",NA,218,2952,1,0,0,0,1,0,0,1,1,0,0,NA,0,0,0
"ABalapapppa","AVJL",294,2952,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalapapppp","CEPsoDL",294,2952,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA
"ABalapp",NA,103,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalappa",NA,135,863,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalappaa",NA,178,932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalappaaa","death",239,5141,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalappaap",NA,239,15871,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"ABalappaapa","RID",339,15960,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
