"Cells","Names","Birth Times","peak exp","CC X20230222_JIM188_tbx.9_die.1_L1","CC X20230223_JIM188_tbx.9_die.1_L4","CC X20230224_RW10265_tbx.8_die.1_L1","CC X20230224_RW10265_tbx.8_die.1_L3","CC X20230224_RW10265_tbx.8_die.1_L4","Position X20230222_JIM188_tbx.9_die.1_L1","Position X20230223_JIM188_tbx.9_die.1_L4","Position X20230224_RW10265_tbx.8_die.1_L1","Position X20230224_RW10265_tbx.8_die.1_L3","Position X20230224_RW10265_tbx.8_die.1_L4","Angle X20230222_JIM188_tbx.9_die.1_L1","Angle X20230223_JIM188_tbx.9_die.1_L4","Angle X20230224_RW10265_tbx.8_die.1_L1","Angle X20230224_RW10265_tbx.8_die.1_L3","Angle X20230224_RW10265_tbx.8_die.1_L4"
"ABalaappap",NA,230,15050,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"ABalaappapa","AVAR",308,15050,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA
"ABalaappapp","OLQsoVR",308,15050,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA
"ABalaappp",NA,175,12351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalaapppa",NA,223,16580,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"ABalaapppaa","RIAR",316,16580,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalaapppap","death",316,16580,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalaapppp",NA,223,15382,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"ABalaappppa",NA,289,15382,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA
"ABalaappppaa","IL1R",400,15382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalaappppap","death",400,15382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalaappppp","IL2R",289,15382,NA,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA
"ABalap",NA,75,2957,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapa",NA,103,3846,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapaa",NA,135,6699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapaaa",NA,175,12066,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapaaaa",NA,229,12066,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapaaaaa","AVHL",348,12066,NA,NA,NA,NA,NA,1,1,NA,1,0,NA,NA,NA,NA,NA
"ABalapaaaap","death",348,12066,NA,NA,NA,NA,NA,0,1,NA,1,0,NA,NA,NA,NA,NA
"ABalapaaap",NA,229,12066,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapaaapa","CANL",301,12066,NA,NA,NA,NA,NA,0,1,0,1,0,NA,NA,NA,NA,NA
"ABalapaaapp","OLLsoL",301,12066,NA,NA,NA,NA,NA,0,1,0,1,0,NA,NA,NA,NA,NA
"ABalapaap",NA,175,11135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapaapa",NA,225,12274,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ABalapaapaa","RIAL",321,12274,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalapaapap","death",321,12274,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalapaapp",NA,225,11464,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"ABalapaappa",NA,291,11464,0,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA
"ABalapaappaa","IL1L",400,11464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalapaappap","death",400,11464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalapaappp","IL2L",291,11464,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalapap",NA,135,5598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapapa",NA,171,9604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapapaa","death",226,9604,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalapapap",NA,226,9884,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"ABalapapapa",NA,291,9884,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalapapapaa","OLQDL",400,9884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalapapapap","death",400,9884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalapapapp","URYDL",291,9884,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA
"ABalapapp",NA,171,10692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapappa",NA,218,10775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalapappaa",NA,279,10775,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA
"ABalapappaaa","IL1DL",400,10775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalapappaap","death",400,10775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABalapappap","IL2DL",279,10775,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
"ABalapappp",NA,218,10692,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"ABalapapppa","AVJL",294,10692,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA
"ABalapapppp","CEPsoDL",294,10692,NA,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA
"ABalapp",NA,103,2957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalappa",NA,135,5646,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalappaa",NA,178,10122,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABalappaaa","death",239,10122,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
