series	offset	slope	ABala	ABalp	ABara	ABarp	ABpla	ABplp	ABpra	ABprp	E	MS	C	D
20081128_sulston	0	1	1	1	1	1	1	1	1	1	1	1	1	1
20230224_RW10265_tbx-8_die-1_L4	-60.9	0.984	1.027	0.956	0.933	0.965	1.002	1.017	1.025	1.016	1.05	0.968	1.024	0.995
20230224_RW10265_tbx-8_die-1_L3	-46.5	0.877	0.867	0.849	0.83	0.879	0.898	0.882	0.893	0.917	0.879	0.886	0.909	0.95
20230224_RW10265_tbx-8_die-1_L1	-56.7	1.097	1.129	1.06	1.044	1.091	1.08	1.164	1.137	1.175	1.034	1.045	1.148	1.134
20230223_JIM188_tbx-9_die-1_L4	-51	1.05	1.086	1.011	1.01	1.062	1.057	1.104	1.077	1.103	1.023	1.019	1.078	1.104
20230222_JIM188_tbx-9_die-1_L1	-51.4	0.936	0.979	0.897	0.899	0.916	0.927	0.965	0.959	0.962	0.912	0.932	0.954	1
