series	parent	daughter1	x1	y1	z1	daughter2	x2	y2	z2	dx	dy	dz	refx	refy	refz	dot
20230222_JIM188_tbx-9_die-1_L1	ABa	ABal	-0.0542006037163959	27.7495144198657	16	ABar	8.05997178425701	15.844370050382	25	0.477657875671914	-0.700821438982925	0.529803986838998	0.267321344951963	-0.387703795413468	0.560700440856913	0.696460606540698
20230222_JIM188_tbx-9_die-1_L1	ABal	ABala	-1.55082174471055	23.2962763664567	18.5	ABalp	2.42795950808268	30.2194660751402	21.5	0.466444492293363	0.811626350770215	0.351699022382222	0.347193663487952	0.409712638120011	0.734965142874175	0.75296666766875
20230222_JIM188_tbx-9_die-1_L1	ABala	ABalaa	-3.37324288563423	20.6046030606645	18.5	ABalap	0.58790392995694	20.3747424391305	16	0.844643740822263	-0.0490136680811786	-0.533080304861287	0.438969301403456	-0.175802873448653	-0.805279949754001	0.808668297644025
20230222_JIM188_tbx-9_die-1_L1	ABalaa	ABalaaa	-4.96715990019331	21.3238419296775	22	ABalaap	-2.14970432227898	25.8838713228371	23.5	0.506177556787528	0.81924434060377	0.269486532860743	0.509266734486307	0.67774597121396	0.379815353072066	0.915374065326153
20230222_JIM188_tbx-9_die-1_L1	ABalaaa	ABalaaaa	-5.18616856037218	21.764572240374	23	ABalaaap	-2.60535607983879	19.6122816140126	19	0.494004865521893	-0.411979579864688	-0.765657899205129	0.245702381385887	-0.314717231521662	-0.847462604108424	0.89990168180998
20230222_JIM188_tbx-9_die-1_L1	ABalaaaa	ABalaaaal	-3.80854721565319	22.5865329636295	15	ABalaaaar	-4.53185557017434	19.3419120267125	18	-0.161531891531137	-0.724600723834726	0.669971073283439	-0.126726816970437	-0.555238884836189	0.765968792380594	0.93597385423929
20230222_JIM188_tbx-9_die-1_L1	ABalaaaal	ABalaaaala	-6.16763804566893	25.3985625608663	18.5	ABalaaaalp	-6.10542515719258	28.3146705075149	18.5	0.0213293665324724	0.999772503184261	0	0.519706621372971	0.776184290436468	0.0971249081885247	0.787092723998584
20230222_JIM188_tbx-9_die-1_L1	ABalaaaala	ABalaaaalal	-1.97798710371317	28.5796141141375	23.5	ABalaaaalar	-1.98205658922135	26.9289101917796	21	-0.00135839523292557	-0.551005362863688	-0.834500596079983	-0.358375603723389	-0.723020845817016	-0.411013032675348	0.74186579998333
20230222_JIM188_tbx-9_die-1_L1	ABalaaaalp	ABalaaaalpa	-3.7949822639593	28.0888793714891	24.5	ABalaaaalpp	-1.48046988521785	29.5137921578212	26	0.745556957333423	0.458996742121937	0.483184037498319	0.684240662553775	0.445225972622768	0.514939249694884	0.963308083133248
20230222_JIM188_tbx-9_die-1_L1	ABalaaaar	ABalaaaarl	-4.96580340502391	21.8740765704635	22	ABalaaaarr	-3.97755144388021	20.991259453901	24	0.411914415003634	-0.367967998467885	0.833622256670102	0.340037490232564	-0.865978102382106	-0.0681450060257178	0.401911379215055
20230222_JIM188_tbx-9_die-1_L1	ABalaaaarl	ABalaaaarla	-3.58004308928859	25.9974451384347	23	ABalaaaarlp	-2.81758226417071	22.804185128639	22	0.222165715674052	-0.930451600972298	-0.291379843206636	0.322207103402077	-0.817912062114628	-0.226298945488204	0.898549910625875
20230222_JIM188_tbx-9_die-1_L1	ABalaaaarr	ABalaaaarra	-2.82843422552582	18.4023080023513	25	ABalaaaarrp	-1.49946081758931	21.8105071868177	25	0.363292061595742	0.931675307165278	0	0.128405837841803	0.751521562278952	-0.509297139465318	0.74682290392805
20230222_JIM188_tbx-9_die-1_L1	ABalaaap	ABalaaapa	-1.89425618184214	17.904790783856	15.5	ABalaaapp	1.35579073575237	19.3824209924787	16.5	0.876593739145472	0.39854236646207	0.269717256818641	0.814026490252884	-0.228157122022022	-0.397549090612412	0.515414395347684
20230222_JIM188_tbx-9_die-1_L1	ABalaaapa	ABalaaapal	-5.40110773504289	23.8560064734284	16.5	ABalaaapar	-5.71072273759752	21.0230441457239	17.5	-0.102515134169276	-0.938008529059867	0.331105189746702	-0.00697575473657635	-0.918780924108448	-0.0942406584538064	0.831335892484781
20230222_JIM188_tbx-9_die-1_L1	ABalaaapal	ABalaaapall	-3.45968679784404	30.1789571093741	21.5	ABalaaapalr	-4.95223845333001	27.3764229783231	21	-0.464343216396196	-0.871887889232647	-0.155553482751994	-0.446010311051153	-0.813274376513992	-0.298483079329631	0.962616024417406
20230222_JIM188_tbx-9_die-1_L1	ABalaaapar	ABalaaaparl	-4.07484731744514	26.1637363763229	21.5	ABalaaaparr	-4.0802732981227	23.9627978131791	19.5	-0.00182452554163941	-0.740081629969858	-0.672514573884987	-0.0361646156499272	-0.943118168270808	-0.0380505333742628	0.723639952731293
20230222_JIM188_tbx-9_die-1_L1	ABalaaapp	ABalaaappl	-4.47642515754493	19.5068467694314	18	ABalaaappr	-1.29130411876555	16.9678997498335	19.5	0.733788848983439	-0.584923143722862	0.345570312736677	0.57478592985822	-0.755485464490547	0.0292741634271576	0.873788720619903
20230222_JIM188_tbx-9_die-1_L1	ABalaaappl	ABalaaappll	-4.1938471137203	22.5324590461695	19	ABalaaapplr	-4.0356948468484	19.7258554296103	21	0.0458421303243813	-0.813524151780883	0.579721444796134	0.085965243901362	-0.877217633962916	0.386492832272662	0.941636744639665
20230222_JIM188_tbx-9_die-1_L1	ABalaaappr	ABalaaapprl	-3.21373412359294	18.3482340848913	21.5	ABalaaapprr	-1.07365195375607	15.976934798351	21	0.661926432843078	-0.733441780911884	-0.154649770502395	0.471708623383472	-0.711558875261068	0.409630907813309	0.770774089228659
