"","Cells","20230222_JIM188_tbx.9_die.1_L1","20230223_JIM188_tbx.9_die.1_L4","20230224_RW10265_tbx.8_die.1_L1","20230224_RW10265_tbx.8_die.1_L3","20230224_RW10265_tbx.8_die.1_L4"
"ABalaappapa","ABalaappapa",3.66626187634086,-Inf,-Inf,3.14292016312859,-Inf
"ABalaappapp","ABalaappapp",3.84090357673382,-Inf,-Inf,4.16142836234613,-Inf
"ABalaappp","ABalaappp",5.98571318375245,7.81613001881432,3.33435705904124,4.24694044744997,4.64382485973497
"ABalaapppa","ABalaapppa",4.62840043757754,4.87285397772931,3.38773643658111,3.97376699155711,4.55334003467474
"ABalaapppaa","ABalaapppaa",3.62272727272727,4.0411533098807,2.63016516795878,4.27940821895041,4.38498097548154
"ABalaapppap","ABalaapppap",4.77087013175364,4.01622148694261,3.22512197079013,5.70933666300069,5.49307394750521
"ABalaapppp","ABalaapppp",3.60602261304518,5.18417410558565,3.3312490003199,5.04856667290872,4.54581496190476
"ABalaappppa","ABalaappppa",4.04844884079433,4.96549960691287,3.84684454531649,6.00969369099058,6.12520497055588
"ABalaappppp","ABalaappppp",4.21618536218042,3.84071203763894,5.42260561718853,6.79834822390516,5.46026300725605
"ABalap","ABalap",4.15375781474984,3.87275293645282,3.70062672446696,3.28552678349689,3.75562353085051
"ABalapa","ABalapa",2.8417687563817,5.23233939032891,3.65698145354031,2.30992406907266,3.63969904608532
"ABalapaa","ABalapaa",3.12241395051598,4.48128505496388,4.02241395372375,4.50131725498144,4.86330913695905
"ABalapaaa","ABalapaaa",4.22271700506083,3.95705399580987,3.73181140752005,3.79365111270614,5.10275583897157
"ABalapaaaa","ABalapaaaa",4.12835745257994,7.05395331558661,3.91279431890917,7.9755055071554,4.50265411943489
"ABalapaaaaa","ABalapaaaaa",4.19394341324487,9.66076054453543,-Inf,14.0934576349032,2.101602886817
"ABalapaaaap","ABalapaaaap",2.95906209872046,13.0565615714121,-Inf,16.8574224428763,2.06001783229849
"ABalapaaap","ABalapaaap",2.58677448600799,5.09304883769388,4.66928475492124,7.39709935533841,3.79170700584194
"ABalapaaapa","ABalapaaapa",4.37804387101344,4.94331406321066,4.45991589100282,9.12253652052918,2.27232686639821
"ABalapaaapp","ABalapaaapp",3.38310813724606,4.60046341001977,4.3179996522794,7.20697017667609,2.91485658118695
"ABalapaap","ABalapaap",3.4785977068155,4.25110429505853,5.1493831090901,7.41532650414861,6.83269731537245
"ABalapaapa","ABalapaapa",3.18610990265073,5.02085725513628,3.88176616608428,8.80033965094856,3.07752822204284
"ABalapaapaa","ABalapaapaa",3.4296423982702,2.22706526640454,2.18615515835844,4.10155108844335,3.12785149143985
"ABalapaapap","ABalapaapap",2.37350995723732,3.1584111223974,3.19105366526414,5.60477467185657,4.37786237932917
"ABalapaapp","ABalapaapp",3.03795933097359,4.74505655519882,3.84411841657141,8.20917136317355,3.80750968790717
"ABalapaappa","ABalapaappa",2.31540300157927,4.40682579284007,3.55848574368729,4.28033875592423,2.53981938301937
"ABalapaappp","ABalapaappp",3.29426279834712,4.30183534214709,3.8928189458411,3.90453573824201,3.9877680032071
"ABalapap","ABalapap",3.00883341386603,4.88325223426376,4.17846980030382,4.38713136858491,5.84308270289507
"ABalapapa","ABalapapa",5.25800548166146,4.00687742166377,5.32857115721781,4.77165138771165,7.34139472555737
"ABalapapaa","ABalapapaa",4.21853907817958,4.25034718940513,3.59954196013926,5.4038115211813,4.67151809408743
"ABalapapap","ABalapapap",2.89481755009487,3.1663820499842,3.19593867304865,3.89674874384006,4.95110397774348
"ABalapapapa","ABalapapapa",3.28871096855755,2.51966685783332,5.10705802519108,5.12363046185092,3.01578061886826
"ABalapapapp","ABalapapapp",2.32114338453492,2.74142266258055,2.57851500575343,6.03140891959394,2.70354134469387
"ABalapapp","ABalapapp",2.35674097545474,4.26733621974865,3.86508892034614,4.82080833940379,7.09386123227955
"ABalapappa","ABalapappa",2.82858555797427,4.03476479405887,2.88712167078802,3.85442276542815,3.62940242920748
"ABalapappaa","ABalapappaa",2.50349342696221,3.21168679256181,3.75297785730896,5.20546775464413,3.80257609229851
"ABalapappap","ABalapappap",3.57718758397069,3.77440890241896,3.35326298274314,5.17842475797849,3.71529874170378
"ABalapappp","ABalapappp",3.52948271862022,3.51416556007773,4.80244037680484,4.38481206332987,3.76112314789041
"ABalapapppa","ABalapapppa",2.55282108113213,4.33183400895802,4.04585476821143,7.3508060267342,2.87182914425084
"ABalapapppp","ABalapapppp",4.56528105022952,2.9014060366609,4.2600724087457,5.94286632939758,3.9419815765678
"ABalapp","ABalapp",3.15464896239234,2.68491605310254,3.84686149768658,3.53703262535291,3.88874309174872
"ABalappa","ABalappa",3.6898197753396,4.57832680923442,4.84411996740803,4.80835610142431,4.9900662029124
"ABalappaa","ABalappaa",4.23401819832007,6.86969196233027,4.54993788372003,5.63498317823367,4.31230790133266
"ABalappaaa","ABalappaaa",4.20238027789014,3.99368396354936,5.32665591103564,5.21599007030172,3.08381680796263
"ABalappaap","ABalappaap",3.9256133301153,3.76380876040414,4.33026302504772,6.00394677738574,2.58343656737905
"ABalappaapa","ABalappaapa",-Inf,5.24509589883447,-Inf,5.96662481908685,2.17072461825886
"ABalappaapp","ABalappaapp",-Inf,4.28635792696953,-Inf,13.1073137556073,2.20704895477137
"ABalappap","ABalappap",3.62796242801229,5.08430571190557,3.73070442739942,6.44214701088356,5.43720802087111
"ABalappapa","ABalappapa",4.17150378099707,4.30318579012736,4.01630072586741,7.52109159688593,3.78016611801075
"ABalappapaa","ABalappapaa",5.51857631150253,4.30794059489108,-Inf,5.76069722933315,2.41335980648463
"ABalappapap","ABalappapap",5.75027204559401,4.34305669786591,-Inf,5.22684066549215,2.74791464849313
"ABalappapp","ABalappapp",4.49345409709692,4.20631303072767,4.30441332031352,6.27964508867453,4.09465734934051
"ABalappappa","ABalappappa",3.04570216089698,3.58737641231157,3.14046832850039,4.02875665256542,3.00100059182492
"ABalappappp","ABalappappp",3.11618188961444,3.39405775625546,3.96560967030225,4.42669119895963,3.5436954973273
"ABalappp","ABalappp",3.3214856210283,4.20967135033208,4.08463556238841,5.41229447342535,4.21909258033025
"ABalapppa","ABalapppa",3.91049103902125,7.14682077530691,2.85871411443536,4.34066108978227,3.76679742984441
"ABalapppaa","ABalapppaa",6.57710373659799,4.48540245177877,4.33270397589262,5.44381644033307,3.95573968122033
"ABalapppaaa","ABalapppaaa",2.41277304335088,3.75116556654978,3.03243538339169,4.15203456824456,3.32782236667558
"ABalapppaap","ABalapppaap",3.28804760673638,4.09320019115949,3.74061165979838,4.64659732698196,2.70748384113368
"ABalapppap","ABalapppap",3.77114679493627,4.89405244696686,4.20066947060011,3.90772470817169,2.48180089006286
"ABalapppapa","ABalapppapa",3.2568987312788,3.00701449413095,3.76993804652311,5.78798485922243,2.73309854946874
"ABalapppapp","ABalapppapp",4.68255453593806,2.97455581920984,4.44713670785273,7.8844967745758,2.83471798856249
"ABalapppp","ABalapppp",3.37540485083604,5.43913950173137,2.91869704778691,4.82099722801375,3.03681922684214
"ABalappppa","ABalappppa",4.02339646280024,4.36119929803831,3.48464805733779,4.23475939148853,2.24080438279114
