"","Cells","20230222_JIM188_tbx.9_die.1_L1","20230223_JIM188_tbx.9_die.1_L4","20230224_RW10265_tbx.8_die.1_L1","20230224_RW10265_tbx.8_die.1_L3","20230224_RW10265_tbx.8_die.1_L4"
"Capaapp","Capaapp",1.33910871785907,1.06515092621028,0.982961332138454,1.30146638937614,1.52384110822001
"Capap","Capap",0.574577977674715,0.441776522611896,0.41728768560183,0.543622208959177,0.586903886275134
"Capapa","Capapa",0.820922696602713,0.595908988128898,0.709742644394148,0.759801895062357,0.819133396495401
"Capapaa","Capapaa",1.3546850659429,1.10243062071996,1.03237449140514,1.55350357197149,1.35918947987032
"Capapap","Capapap",1.71456746436508,1.18310835447428,1.06904936824975,1.57912701616267,1.28386813328503
"Capapp","Capapp",0.936281577939415,0.646398587224767,0.948369147330596,0.993454677522579,0.936491560827745
"Capappa","Capappa",1.15906961024531,0.831608888218689,0.921957068896327,1.12774763180305,1.16007091390776
"Capappp","Capappp",1.13815805436189,0.94549360333284,1.01204005434765,1.20822056294909,1.16177520432768
"Capp","Capp",0.302261028523299,0.324942831262391,0.423456512766894,0.374684572377364,0.347469262908871
"Cappa","Cappa",0.49056127130327,0.487663451822808,0.392657131310714,0.642792566952092,0.418416448566807
"Cappaa","Cappaa",0.797264163900742,0.607637558352647,0.500632600754372,0.855413456263693,0.832320132293958
"Cappaaa","Cappaaa",1.25010857034199,0.825473378055804,0.865543626041868,1.30518757895136,1.1833555684059
"Cappaap","Cappaap",1.53411891543697,1.09152861606305,1.0675559836596,1.58855480858229,1.35429548010397
"Cappap","Cappap",0.958442068038775,0.624658030468218,0.815452769303229,0.946477535985474,0.950224198434378
"Cappapa","Cappapa",1.30495885071276,0.911480190827422,0.851213462706855,1.54379867638437,1.31622072022862
"Cappapp","Cappapp",1.20106244711597,0.728644740716286,0.898945678159939,1.3045325714478,1.01981714746056
"Cappp","Cappp",0.503406579703009,0.527755222233821,0.530572797086762,0.561985353638195,0.533861116161994
"Capppa","Capppa",0.79793225790707,0.550548952948663,0.693462150504691,0.701980865536275,0.755979310356374
"Capppaa","Capppaa",1.37265520600623,1.10422665072808,NA,1.47901151121065,1.34995067931129
"Capppap","Capppap",1.22145088458082,0.967638993982106,NA,1.36844209918088,1.05779229901483
"Capppp","Capppp",0.778512767298476,0.611152088763785,0.757107514206933,0.959064540783659,0.807997452272544
"Cappppd","Cappppd",0.95324490009432,0.817816339473631,NA,1.29951306109515,1.08930437168307
"Cappppv","Cappppv",1.07121247069747,0.684179581995512,NA,1.35265927880872,0.919119678632728
"Cp","Cp",0.172634575118405,0.184197801061765,0.250945676373299,0.147849975664456,0.273484204610819
"Cpa","Cpa",0.28900462158245,0.219963223564151,0.406299489020092,0.256085897662375,0.306417566308454
"Cpaa","Cpaa",0.326829613347658,0.22681403747885,0.54938442265266,0.361222124684248,0.365932485272607
"Cpaaa","Cpaaa",0.388779726155223,0.487000006298697,0.762109923472658,0.587147173281492,0.524968962682862
"Cpaaaa","Cpaaaa",0.695479341666417,0.748536099331426,1.09359560865373,1.36397569821366,0.965015039045357
"Cpaaap","Cpaaap",0.511417136251929,0.499684454047175,0.793299572824457,1.26693358169906,0.853311748543944
"Cpaap","Cpaap",0.364015131065152,0.451121282822095,0.618349054405847,0.401161275905079,0.506610789060469
"Cpaapa","Cpaapa",0.955722788987483,0.629176597040862,0.777354592438276,1.14592866693361,0.797778356553157
"Cpaapp","Cpaapp",0.668246049684887,0.515165205411528,0.980678083479173,1.16840700764943,0.919648368069042
"Cpap","Cpap",0.36674171941377,0.265198735707543,0.464352440383733,0.332266130212043,0.33329567048012
"Cpapa","Cpapa",0.488036173713287,0.442698609659511,0.62555548670578,0.447176536163254,0.500917056638121
"Cpapaa","Cpapaa",0.715786005320241,0.674514147643888,0.990495796569487,0.907460413628424,0.845264745417684
"Cpapap","Cpapap",0.581308444427217,0.49751084216417,0.778850641901285,1.10765110254608,0.655083969183843
"Cpapp","Cpapp",0.42097171785935,0.460724974166723,0.586860981314884,0.494842437813489,0.510841795750375
"Cpappd","Cpappd",0.79800973101835,0.679336116208475,0.799571661648693,0.917513831071851,0.958321482011054
"Cpappv","Cpappv",0.815774018989973,0.914851689953034,0.880301844446515,0.887229818002116,0.889522358321049
"Cpp","Cpp",0.252261507015563,0.184492251373478,0.321342054314408,0.201660230676866,0.283841649457868
"Cppa","Cppa",0.337893380337134,0.395282494513535,0.489723082725362,0.342945241696363,0.412431824548896
"Cppaa","Cppaa",0.646660449674643,0.447444097332153,0.717449405567586,0.594425101897293,0.808043984487211
"Cppaaa","Cppaaa",0.8461897411347,0.686008834627732,0.696447916474596,0.853867698144875,0.713508346687652
"Cppaaaa","Cppaaaa",1.17562523909507,0.795054252966108,0.832281556650819,0.941833460699945,0.817831892334902
"Cppaaap","Cppaaap",1.1790605009445,0.8048213738415,0.957890984730323,1.04089830100087,0.842360540987326
"Cppaap","Cppaap",1.04167377017348,0.701886374001359,0.954462789086836,0.958179839468136,0.956448735064093
"Cppaapa","Cppaapa",1.50326061440955,0.815562113959234,0.967352099499647,0.992700431448653,0.912374194981252
"Cppaapp","Cppaapp",1.14989530537532,1.1273402185755,1.05354595629402,0.987352398298895,1.14314482724749
"Cppap","Cppap",0.710371299331025,0.504934527595895,0.705390640366355,0.608245362995017,0.705912971294368
"Cppapa","Cppapa",0.666997922315516,0.565830631559172,0.835848591974296,0.762031385323688,0.880879547641658
"Cppapaa","Cppapaa",1.1097557902542,0.933381072544605,1.23485249402014,1.32273692894949,1.17893400308961
"Cppapap","Cppapap",1.25938424808328,1.08638748749073,1.32453925713414,1.56870198078866,1.3314217605909
"Cppapp","Cppapp",0.868104589951838,0.765295075178588,0.940394394417409,1.18473357585264,1.07930345783619
"Cppappa","Cppappa",1.19718858639243,0.83779475235329,1.02759992697481,1.2549947948224,1.15353272208153
"Cppappp","Cppappp",1.23346113956676,0.707624321934244,1.18223920366483,1.20845418684936,1.2098848414134
"Cppp","Cppp",0.412530666972318,0.325844771960653,0.511129082802801,0.384672554537864,0.397120445653998
"Cpppa","Cpppa",0.957173986475107,0.806178366458945,0.989769951941671,0.411201618507078,0.807007586304782
"Cpppaa","Cpppaa",0.905153875192587,0.839348379932607,1.3013905219043,0.775258607753814,0.90582963190444
"Cpppaaa","Cpppaaa",1.18797718853646,0.7030854907403,1.25522571142463,1.1641462169131,0.871464889862669
"Cpppaap","Cpppaap",1.21966843890146,1.00156212299279,1.56612870828134,1.25167689867568,1.32516083438381
"Cpppap","Cpppap",0.836866962625447,0.841014391844977,1.1741305880473,0.933212768207856,0.802728721485628
"Cpppapa","Cpppapa",1.30304965830709,0.824564998414503,1.25889900741661,1.27448266795234,1.10400245904253
"Cpppapp","Cpppapp",1.10194206216218,0.87182206415835,1.21855905307198,1.24553297928246,1.13513245839943
