paste.Cells..round.CC_Dif_pValues..4..	X20110316_mir.1_L3	X20110316_mir.1_L2	X20110203_RW10890_pal.1_L4	X20110125_RW10890_pal.1_L3	X20110125_RW10890_pal.1_L4	X20101213_RW10889_pal.1_L2	X20101213_RW10889_pal.1_L3	X20110209_UP2051_mls.2_L1	X20110209_UP2051_mls.2_L2	X20110209_UP2051_mls.2_L3	X20110225_NX68_L3	X20110408_RW10425_pha.4_L2	X20110927_RW11144_L4	X20110929_ceh.43_L1	X20110726_RW10713_L1	X20110731_RW10434_L1	X20111116_RW10226_L4	X20110916_ceh.36_L1	X20120426_JIM122_L2	X20120612_JIM127_L4	X20120331_RW10871_L4	X20120807_mir.57_L4	X20230224_RW10265_tbx.8_die.1_L4	X20230224_RW10265_tbx.8_die.1_L3	X20230224_RW10265_tbx.8_die.1_L1	X20230223_JIM188_tbx.9_die.1_L4	X20230222_JIM188_tbx.9_die.1_L1
ABaraapap 0.0257	43	46	45	44	43	46	44	43	44	46	44	47	42	43	46	46	43	47	45	44	44	46	40	43	43	42	39
ABaraapapa 0.0197	54	51	52	51	51	55	56	53	52	57	57	52	53	57	51	51	52	52	54	59	52	54	56	57	56	58	62
ABaraapapaa NA																			142		141	143					
ABaraapapaad NA																											
ABaraapapaav NA																											
ABaraapapap NA																											
ABaraapapp 0.0198	88	104	94	106	88	100	90	89	86	88	81	87	88	91	81	100	95	98	96	96	86	84	102	92	100	102	97
ABaraapappa NA																											
ABaraapappp NA																											
ABaraapp 0.0025	35	34	33	36	35	37	36	36	36	35	37	32	35	35	33	36	38	36	34	34	38	37	30	34	30	30	30
ABaraappa 0.0871	44	46	50	47	45	49	48	45	46	44	47	46	46	44	47	46	46	47	45	46	47	44	49	46	49	46	50
ABaraappaa 0.956	81	87	99	85	86	84	84	83	82	80	75	80	84	74	78	82	83	86	77	84	73	79	84	79	85	81	82
ABaraappaaa NA																											
ABaraappaap NA																											
ABaraappap 0.4704	63	63	74	60	65	64	64	64	62	62	62	62	64	62	61	59	61	65	62	65	60	63	61	62	66	62	59
ABaraappapa NA																											
ABaraappapp NA																											
ABaraappp 0.4077	44	46	45	46	43	49	46	46	43	49	44	46	44	46	47	44	45	50	45	48	47	46	44	43	49	44	44
ABaraapppa 0.1284	52	52	56	56	54	54	54	55	56	56	50	55	53	51	53	54	52	53	50	56	50	57	62	51	54	62	71
ABaraapppaa NA																			147								
ABaraapppaad NA																											
ABaraapppaav NA																											
ABaraapppap NA																											
ABaraapppp 0.3995	94	93	103	97	93	88	92	89	84	95	83	93	82	99	84	92	92	91	91	91	89	89	84	86	104	98	106
ABaraappppa NA																											
ABaraappppp NA																											
ABarap 0.0045	27	26	25	23	26	22	26	26	24	27	29	24	26	24	26	24	26	25	26	25	25	25	21	24	20	20	22
ABarapa 0.0056	31	30	28	29	30	30	29	32	31	30	32	30	29	29	30	32	31	31	30	31	31	31	26	27	25	27	29
ABarapaa 9e-04	40	38	36	36	35	38	38	38	36	40	40	39	37	38	38	39	41	38	36	37	38	38	32	36	33	33	34
ABarapaaa 9e-04	51	53	55	51	52	55	56	56	52	55	52	53	51	49	52	54	53	52	51	53	55	51	44	48	48	49	49
ABarapaaaa 0.0072	75	81	80	79	77	74	85	78	75	80	72	77	74	74	73	73	79	75	71	74	71	73	74	74	70	73	71
ABarapaaaaa NA																											
ABarapaaaap NA																											
ABarapaaap 0.0815	83	81		99	92	83	89	98	97	85	82	82	86	86	89	82	83	82	79	84	86	87	87	74	77	80	85
ABarapaaapa NA																											
ABarapaaapp NA																											
ABarapaap 5e-04	43	46	42	44	43	44	43	46	44	47	44	43	42	43	42	47	43	44	41	48	45	43	38	41	41	41	40
ABarapaapa 0.3481	91	96	92	101	95	95	95	98	106	95	97	97	88	83	89	95	93	94	86	98	91	87	95	88	91	94	94
ABarapaapaa NA																											
ABarapaapap NA																											
ABarapaapp 0.1734	55	60	58	58	58	62	57	56	56	57	54	55	55	55	56	54	58	58	54	56	53	57	57	55	57	51	52
ABarapaappa NA																											
ABarapaappp NA																											
ABarapap 0.0195	35	35	32	33	33	32	34	33	33	35	35	32	34	32	33	36	36	34	34	34	33	35	30	34	30	30	30
ABarapapa 0.0192	44	49	45	44	43	46	49	46	44	49	46	45	44	43	47	44	48	44	45	47	48	44	40	43	40	46	40
ABarapapaa 0.4619	75	70	74	83	82	77	79	78	73	77	81	75	77	72	73	76	77	79	69	80	73	71	82	73	75	86	74
ABarapapaaa NA																											
ABarapapaap 0.9555															93				98		94	111		110			86
ABarapapaapa NA																											
ABarapapaapp NA																											
ABarapapap 0.2487	59	71	66	68	69	64	70	69	65	67	60	65	67	62	60	68	64	65	64	64	62	63	68	64	66	74	65
ABarapapapa NA																											
ABarapapapp NA																											
ABarapapp 0.1016	42	43	44	40	40	41	41	43	41	42	43	41	40	40	41	41	42	43	38	42	40	40	38	41	39	41	40
ABarapappa 0.0934	111	112		117	113	115	108	111	116	105	116	117			112	114	104	117	116	120	111	120	124	116		125	142
ABarapappaa NA																											
ABarapappap NA																											
ABarapappp 0.9515	50	53	52	49	52	55	52	56	49	52	48	52	48	52	48	52	52	57	50	50	50	54	57	57	46	49	48
ABarapapppa NA																											
ABarapapppp NA																											
ABarapp 4e-04	33	30	28	31	32	30	29	31	31	30	31	30	29	30	30	30	31	31	30	31	31	33	27	27	26	29	27
ABarappa 0	38	40	36	34	35	38	36	38	38	36	38	37	39	36	38	41	40	39	39	36	38	37	34	34	34	33	34
ABarappaa 4e-04	51	53	56	56	50	55	54	51	52	54	52	53	51	51	52	51	52	53	50	53	53	52	44	48	46	49	47
ABarappaaa 0.2012	78	84	86	88	80	83	82	81	79	77	77	84	81	73	76	75	80	65	74	86	81	76	82	81	85	81	78
ABarappaaaa NA																											
ABarappaaap NA																											
ABarappaap 0.9091	80	84	92	90	84	88	85	84	94	93	77	84	84	82	79	83	95	90	86	88	83	79	91	79	88	89	80
ABarappaapa NA																											
ABarappaapp NA																											
ABarappap 0.0452	46	47	48	49	45	51	52	46	44	49	46	48	47	48	49	49	46	48	45	50	47	48	46	48	44	43	44
ABarappapa 0.688	70	68	72	67	71	77	74	73	73	70	68	72	67	70	68	70	72	75	72	70	68	66	71	64	68	76	69
ABarappapaa NA																											
ABarappapap NA																			117		113	111					
ABarappapapa NA																											
ABarappapapp NA																											
ABarappapp 0.4112	73	78	78	76	78	75	79	78	75	74	74	75	74	79	76	80	79	84	79	74	78	70	82	72	77	84	78
ABarappappa NA																											
ABarappappp NA																											
ABarappp 2e-04	35	37	33	33	33	35	34	35	35	35	37	36	35	35	33	36	37	37	34	34	36	35	30	32	33	32	32
ABarapppa 0.0126	48	47	52	49	50	51	49	48	49	51	46	50	49	47	47	47	48	48	50	50	45	48	44	48	46	44	45
ABarapppaa 0.466	78	85	89	86	80	83	87	83	82	83	78	78	81	82	83	76	82	80	79	83	81	78	89	75	90	83	83
ABarapppaaa NA																											
ABarapppaap NA																											
ABarapppap 0.3949	78	76	81	74	78	77	77	76	78	74	74	75	76	78	74	81	77	88	77	75	78	76	79	77	82	81	74
ABarapppapa NA																											
ABarapppapp NA																											
ABarapppp 0.0081	44	46	47	46	45	49	49	46	47	49	46	45	46	47	44	44	45	47	45	47	47	48	44	45	45	44	42
ABarappppa 8e-04	76	78	81	77	67	75	80	78	76	74	68	75	77	78	83	73	77	73	76	78	73	71	82	82	80	87	85
ABarappppaa NA																											
ABarappppap NA																											
ABarappppp 0.055	65	67	66	67	65	63	67	68	70	69	65	67	69	72	68	66	68	66	62	65	68	63	72	68	66	71	69
ABarapppppa NA																			123		120	121					
ABarapppppaa NA																											
ABarapppppap NA																											
ABarapppppp NA																											
ABarp 0	18	19	17	11	17	16	17	17	16	17	18	17	17	16	16	18	17	18	17	16	18	16	14	14	12	13	14
ABarpa 4e-04	28	26	27	27	30	25	27	29	28	27	28	28	28	26	27	26	28	28	26	25	25	26	21	24	22	23	24
ABarpaa 0.0034	28	28	27	27	28	26	27	27	26	27	28	26	26	26	27	28	28	28	27	29	28	28	24	26	22	23	24
ABarpaaa 0.0037	44	44	46	47	42	52	52	42	41	41	49	44	47	44	50	48	44	45	45	43	44	44	40	43	44	40	40
ABarpaaaa 0.0396	50	50	53	51	52	54	52	48	51	52	50	50	51	48	48	50	49	50	52	52	50	49	48	50	50	46	45
ABarpaaaaa 0.0108	93	104		96	101			94	94		83	94	93	100	99	89	96	99	90	91	94	87	106	108	125	127	107
ABarpaaaaal NA																											
ABarpaaaaar NA																											
ABarpaaaap 0.1734	96	98		90	97			84	94	82	91	87	96	104	94	87	92	91	88	84	94	86	100	89	101	114	91
ABarpaaaapa NA																											
ABarpaaaapp NA																											
ABarpaaap 0.0396	53	56	62	58	58	55	57	54	57	57	55	53	53	61	54	54	55	53	53	58	53	59	52	54	55	54	55
ABarpaaapa 0.1549	103	89		85	95			86	78	80	81	87	82	96	84	87	88	89	88	84	86	81	86	89		106	102
ABarpaaapaa NA																											
ABarpaaapap NA																											
ABarpaaapp NA																											
ABarpaap 0.0337	35	34	35	34	37	37	34	33	33	33	37	33	34	35	38	34	36	37	34	32	35	34	34	34	32	32	34
ABarpaapa 0.0282	45	44	48	46	47	46	46	43	43	42	47	44	47	47	49	44	45	45	45	46	47	44	46	41	42	40	40
ABarpaapaa NA																											
ABarpaapap NA																											
ABarpaapp 0.1473	45	46	48	47	47	49	48	41	43	44	46	44	47	47	51	44	43	46	45	48	45	46	46	46	42	40	44
ABarpaappa NA																											
ABarpaappp NA																											
ABarpap 0.0066	31	28	28	27	28	28	29	27	28	29	29	28	28	29	28	30	28	28	28	28	30	28	24	27	23	24	26
ABarpapa 0.0261	35	37	34	36	37	35	33	35	33	36	37	36	37	34	36	36	37	36	35	34	35	37	30	36	30	32	32
ABarpapaa 0.0461	49	50	55	51	50	52	52	53	49	51	50	48	49	49	52	49	52	51	51	50	52	49	46	46	50	46	50
ABarpapaaa 0.1213	85	92		94	95	91	89	86	94	90	91	92	91	100	91	88	102	84	88	90	89	89	107	83	104	105	99
ABarpapaaaa NA																											
ABarpapaaap NA																											
ABarpapaap 0.1566	60	62	69	60	62	58	64	63	63	62	62	63	59	70	63	59	63	61	64	62	60	62	69	64	70	60	64
ABarpapaapa NA																											
ABarpapaapp NA											85								95	84	79	94		110			
ABarpapaappa NA																											
ABarpapaappp NA																											
ABarpapap 0.6247	48	50	52	51	49	52	51	51	49	51	49	50	47	49	51	52	50	52	51	49	50	49	52	52	48	46	50
ABarpapapa NA																											
ABarpapapp NA																											
ABarpapp 0.1325	35	37	38	36	38	35	33	35	33	36	37	37	37	34	41	37	37	34	39	36	33	37	34	38	33	32	35
ABarpappa 0.0107	53	55	58	56	56	54	57	56	52	54	56	56	54	56	57	56	53	53	53	55	55	52	43	52	49	50	49
ABarpappaa NA																											
ABarpappap NA																											
ABarpappp 0.0016	48	49	48	49	49	49	54	48	44	49	50	47	47	49	51	49	46	48	50	49	48	46	46	45	43	41	44
ABarpapppa NA																											
ABarpapppp NA																											
ABarpp 4e-04	30	29	27	27	34	27	29	29	28	29	29	30	30	27	29	26	28	30	27	27	27	26	23	26	22	23	24
ABarppa 0.0113	29	29	27	29	28	28	27	27	30	27	28	28	28	29	28	30	29	29	27	28	28	29	24	27	23	26	26
ABarppaa 0.3868	38	38	41	40	40	38	43	40	38	40	40	39	39	40	41	39	40	43	39	37	43	38	40	39	36	42	37
ABarppaaa 0.1673	54	55	56	58	54	58	56	54	57	57	55	53	59	52	59	54	52	58	56	55	60	59	57	61	59	64	54
ABarppaaaa NA																											
ABarppaaap NA																											
ABarppaap 0.0888	46	49	53	49	50	51	49	46	51	51	49	48	51	48	52	51	48	51	51	50	50	49	56	55	54	55	47
ABarppaapa NA																											
ABarppaapp NA																											
ABarppaappa NA																											
ABarppaappp NA																											
ABarppap 0.6133	45	41	41	40	44	42	43	40	40	41	43	40	42	39	41	41	41	45	42	39	41	41	44	43	38	40	45
ABarppapa 0.3065	53	58	53	54	52	55	54	51	57	55	52	58	56	60	57	56	55	60	56	56	56	59	96	91	49	49	
ABarppapaa NA																											
ABarppapap NA																											
ABarppapp 0.9053	53	55	56	61	56	58	56	53	57	57	53	58	56	57	56	54	54	60	58	58	61	57			48	63	
ABarppappa NA																											
ABarppappp NA																											
ABarppp 0.0435	31	29	28	29	30	29	30	29	28	29	29	28	29	29	27	30	29	28	28	28	30	29	24	29	23	26	27
ABarpppa 0.8431	37	38	38	40	36	38	38	36	36	36	38	37	39	36	40	39	37	41	37	37	36	40	38	38	37	37	38
ABarpppaa 0.2741	53	55	56	60	52	55	52	54	52	55	53	53	56	57	57	53	52	62	55	53	55	52	54	52	49	58	50
ABarpppaaa NA																											
ABarpppaap NA																											
ABarpppap 0.9821	48	47	50	51	52	48	48	46	46	47	49	48	56	52	52	47	55	48	50	49	50	48	49	50	45	54	49
ABarpppapa NA																											
ABarpppapp NA																					198						
ABarpppappa NA																											
ABarpppappp NA																											
ABarpppp 0.5911	41	41	39	40	40	42	41	40	40	41	43	39	40	42	40	37	41	43	39	39	41	40	41	43	41	39	40
ABarppppa 0.1707	48	55	53	58	54	52	54	51	48	52	53	51	56	56	54	52	54	58	53	55	52	56	52			49	52
ABarppppaa NA																											
ABarppppap NA																											
ABarppppp 0.2839	53	56	55	56	60	55	57	53	51	52	55	56	59	58	52	51	52	55	58	55	53	49	51			50	56
ABarpppppa NA																											
ABarpppppp NA																											
ABp NA						11							12	12	12		12		14								
ABpl 0.0107	15	8	15		7	14	14	15	10	5	6	7	16	14	15	16	14	14	14	15	15	10	6	8	10	11	8
ABpla 7e-04	18	16	17	9	19	18	17	17	16	17	18	17	16	15	16	16	17	17	17	16	18	16	12	12	12	14	14
ABplaa 0.007	27	27	25	25	26	22	24	26	26	25	29	26	25	24	26	26	26	27	26	25	25	26	21	24	20	21	24
ABplaaa 1e-04	31	28	28	27	30	28	29	29	31	30	31	28	29	30	30	30	31	28	30	28	31	31	26	26	25	27	26
ABplaaaa 0.5231	38	35	38	34	35	35	34	35	38	38	38	36	37	35	35	36	37	38	36	34	36	37	35	38	32	36	37
ABplaaaaa 0.0017	53	52	52	49	50	52	51	51	56	54	52	52	49	48	52	52	49	53	55	56	52	54	49	46	45	49	47
ABplaaaaaa 0.0181	90	92		92	82	98	84	86	95	93	96	97	88	108	91	95	92	86	91	88	88	87	111	116		108	98
ABplaaaaaaa NA																											
ABplaaaaaap NA																											
ABplaaaaap 3e-04	62	65	66	65	62	66	61	63	64	62	65	62	62	65	60	61	63	61	62	61	62	62	68	66	69	69	66
ABplaaaaapa NA																											
ABplaaaaapp NA															86				98		84	90		114			
ABplaaaaappa NA																											
ABplaaaaappp NA																											
ABplaaaap 1e-04	48	47	52	47	52	54	52	51	51	55	49	50	49	47	47	52	48	50	51	52	48	52	48	46	45	46	47
ABplaaaapa NA																											
ABplaaaapp NA																											
ABplaaap 0.1404	36	38	38	34	40	37	38	37	38	38	43	36	37	35	38	38	40	41	37	36	38	38	34	38	34	36	38
ABplaaapa 0.0021	51	52	56	54	54	57	54	56	59	57	55	53	54	57	57	54	55	52	55	56	56	54	49	45	51	49	45
ABplaaapaa NA																											
ABplaaapap NA																											
ABplaaapp 0.0027	44	47	50	47	50	49	49	50	52	49	49	45	47	49	47	49	49	48	55	48	48	49	43	45	44	46	47
ABplaaappa NA																											
ABplaaappp NA																											
ABplaap 2e-04	31	28	27	27	30	30	30	29	30	27	29	26	28	28	28	28	31	27	28	26	30	29	24	26	23	26	24
ABplaapa 0.4803	36	38	41	36	37	37	38	37	38	35	40	38	35	35	36	38	41	37	37	36	38	38	37	38	36	36	38
ABplaapaa 0.0945	49	47	50	49	50	52	51	51	52	51	52	48	49	48	49	47	48	48	51	53	50	49	48	50	44	47	49
ABplaapaaa 0.0916	85	82	81	86	80	88	82	86	87	82	81	83	84	85	81	85	79	81	79	83	86	79	93	85	88	88	82
ABplaapaaaa NA																											
ABplaapaaap NA																											
ABplaapaap 0.4396	67	70	72	74	73	71	70	71	75	72	74	70	70	68	71	71	66	72	67	71	71	66	71	72	74	73	68
ABplaapaapa NA																											
ABplaapaapp NA																											
ABplaapap 0.0105	46	46	47	47	47	48	49	50	49	52	50	47	46	49	47	47	45	50	48	49	47	51	46	46	44	43	42
ABplaapapa 0.0791	85	90	88	86	86	91	92	91	87	82	86	87	84	91	88	80	86	75	89	82	88	82	89	88	91	102	90
ABplaapapaa NA																											
ABplaapapap NA																											
ABplaapapp 0.1565	59	62	62	63	64	66	64	65	65	60	65	67	64	61	64	59	63	62	67	61	63	63	61	66	66	72	66
ABplaapappa NA																											
ABplaapappp NA																			103		97	98		106			
ABplaapapppa NA																											
ABplaapapppp NA																											
ABplaapp 0.0115	32	32	35	31	33	34	36	33	33	33	37	33	32	31	35	32	36	36	34	33	35	33	32	31	30	33	32
ABplaappa 0	51	53	55	49	58	54	52	53	52	52	53	50	51	49	54	49	50	54	56	52	58	52	43	46	45	46	45
ABplaappaa NA																											
ABplaappap NA																											
ABplaappp 0.0025	45	47	47	40	47	48	49	45	44	44	46	42	46	42	46	44	46	46	50	46	45	48	40	41	40	44	42
ABplaapppa NA																											
ABplaapppp NA														91													
ABplap 0.0025	28	27	25	25	26	22	24	26	26	25	28	28	26	24	26	26	28	27	24	25	25	25	20	24	20	21	22
ABplapa 0.0058	30	28	28	29	30	28	27	29	28	27	32	28	28	28	28	28	29	28	29	29	28	29	26	27	23	24	26
ABplapaa 0.2848	38	38	38	36	39	43	41	38	38	40	40	37	37	36	38	38	41	39	37	36	41	40	38	36	40	36	38
ABplapaaa 0.0089	48	47	50	46	47	51	46	48	47	47	49	47	47	47	47	46	48	48	50	49	48	52	45	46	44	44	47
ABplapaaaa 0.0191	80	76	77	76	77	84	77	78	78	77	77	75	81	79	86	83	77	77	81	80	78	78	88	81	94	84	87
ABplapaaaaa NA																											
ABplapaaaap NA																					118	108					
ABplapaaaapa NA																											
ABplapaaaapp NA																											
ABplapaaap 0.0055	81	74	75	68	71	78	77	73	71	72	75	75	77	86	78	83	77	77	77	84	78	70	89	83	90	94	82
ABplapaaapa NA																						117					
ABplapaaapad NA																											
ABplapaaapav NA																											
ABplapaaapp NA																											
ABplapaap 0.131	53	50	50	51	54	60	52	51	51	49	53	53	49	53	54	52	54	51	55	56	52	56	46	50	52	49	54
ABplapaapa NA																											
ABplapaapp NA																											
ABplapap 0.0153	36	35	32	34	35	38	36	33	35	35	35	32	34	32	33	36	36	36	34	33	36	35	32	34	33	32	34
ABplapapa 0.0043	48	49	52	47	50	49	46	50	47	51	50	46	52	48	54	47	49	50	48	50	52	48	43	43	48	42	45
ABplapapaa NA																											
ABplapapaaa NA																											
ABplapapaap NA																											
ABplapapap NA																											
ABplapapp 0.1323	46	46	48	44	43	46	43	48	47	49	49	45	46	47	44	44	45	44	45	47	47	45	46	43	45	46	42
ABplapappa NA																											
ABplapappp 0.1491	88	88	89	86		88	80	86	92	90	81	87	93	90	88	88	90	86	87	81	91	90	109	101	91	89	86
ABplapapppa NA																											
ABplapapppp NA																					89	94					
ABplapappppa NA																											
ABplapappppaa NA																											
ABplapappppap NA																											
ABplapappppp NA																											
ABplapp 0.003	30	30	28	29	30	30	29	29	30	29	31	26	28	30	28	30	31	30	29	29	30	29	26	27	23	24	26
ABplappa 0.57	38	37	39	34	39	37	38	38	36	35	37	36	39	36	36	34	37	41	39	37	38	37	34	39	36	37	37
ABplappaa 0.1963	49	47	48	47	50	51	49	46	47	49	49	45	51	53	52	46	48	50	50	50	53	49	46	50	49	47	47
ABplappaaa NA																											
ABplappaap NA																											
ABplappap 0.8206	46	46	50	49	49	51	51	48	49	49	52	47	51	49	51	49	48	47	50	49	50	48	52	50	48	49	47
ABplappapa NA																											
ABplappapp NA																											
ABplappp 0.8699	40	38	41	38	40	42	38	40	41	38	41	42	40	39	38	39	40	41	40	40	41	43	38	43	38	40	42
ABplapppa 0.0082	58	52	58	58	54	55	54	51	54	55	53	51	51	56	52	57	54	51	56	53	56	54	48	50	54	49	49
ABplapppaa 0.984	103	100		97	95		89	94	97	93	95	89	102	99	91	95	99	88	86	90	103	89	101	89	92	96	95
ABplapppaaa NA																											
ABplapppaap NA																											
ABplapppap 0.2886	70	70	74	67	71	68	64	68	73	72	65	69	72	68	68	68	72	65	66	68	72	68	76	70	67	70	70
ABplapppapa NA																											
ABplapppapp NA																			108		104	98					
ABplapppappa NA																											
ABplapppappp NA																											
ABplapppp 0.7248	54	50	55	51	56	54	52	54	51	52	55	55	52	53	54	52	56	53	51	56	55	54	49	54	57	52	54
ABplappppa NA																											
ABplappppp NA																											
ABplp 1e-04	20	18	17	11	19	18	17	17	18	17	18	17	16	16	16	16	19	18	17	16	18	16	12	14	14	14	14
ABplpa 0.001	27	26	25	25	28	24	27	27	26	27	29	28	26	24	27	26	26	27	24	25	27	26	23	24	20	21	22
ABplpaa 9e-04	33	30	30	27	30	30	29	29	31	30	32	30	29	30	28	30	31	31	30	28	31	32	26	27	23	26	26
ABplpaaa 0.0285	37	38	36	34	35	37	39	36	38	36	38	34	35	35	36	38	38	34	37	36	38	35	32	36	34	30	34
ABplpaaaa 0	43	43	47	44	43	44	46	48	49	47	47	43	46	48	46	44	45	44	45	50	47	48	41	41	44	42	42
ABplpaaaaa 0.0554	75	76	80	76	76	78	79	80	84	77	74	72	76	85	76	73	76	78	76	80	73	73	90	75	91	82	85
ABplpaaaaaa NA																											
ABplpaaaaap NA																											
ABplpaaaap 0.1965	65	66	75	68	69	69	70	68	71	64	71	68	67	72	69	68	66	66	69	71	66	62	72	66	80	73	69
ABplpaaaapa NA																											
ABplpaaaapp NA																											
ABplpaaap 0.0384	46	43	50	46	45	49	48	48	47	47	49	45	46	49	51	47	46	46	46	50	48	48	44	43	48	44	45
ABplpaaapa 0.0246	96	95		99	88	98	100	94	94	95	92	93	94	102	93	95	101	88	91	93	91	87	104	99	115	115	99
ABplpaaapaa NA																											
ABplpaaapap NA																											
ABplpaaapp 0.0113	62	63	66	63	64	69	70	68	65	64	69	67	69	66	66	68	68	66	64	72	65	65	74	75	79	78	68
ABplpaaappa NA																			117		108	113					
ABplpaaappaa NA																											
ABplpaaappap NA																											
ABplpaaappp NA																											
ABplpaap 0.0022	37	37	36	34	35	37	34	35	35	35	37	34	35	34	35	34	38	34	34	34	40	35	30	32	32	30	34
ABplpaapa 0.0059	46	47	50	47	47	51	51	50	50	49	50	48	49	51	52	49	48	48	50	49	48	51	41	46	46	44	45
ABplpaapaa 0.0242	75	74	77	78	80	78	84	71	72	75	74	74	70	82	73	75	74	73	86	75	75	73	87	75	86	86	92
ABplpaapaaa NA																											
ABplpaapaap NA																											
ABplpaapap 0	80	73	78	74	75	75	79	84	75	75	74	77	72	79	70	73	79	73	76	75	72	68	87	82	88	86	87
ABplpaapapa NA																											
ABplpaapapp NA																											
ABplpaapp 0.0738	41	44	50	42	45	48	46	45	47	46	46	47	44	46	49	44	45	46	46	44	44	46	38	43	45	44	44
ABplpaappa 0.0542	72	71	80	72	73	72	69	74	75	72	71	72	70	78	71	73	79	74	72	72	70	71	82	70	82	82	83
ABplpaappaa NA																											
ABplpaappap NA																											
ABplpaappp 0.083	70	68	74	68	66	69	64	70	71	69	66	65	67	73	69	68	73	67	66	68	66	68	73	66	72	78	76
ABplpaapppa NA																											
ABplpaapppp NA																			113		107	111					
ABplpaappppa NA																											
ABplpaappppp NA																											
ABplpap 0.0065	30	28	28	27	30	28	27	29	28	29	29	28	29	29	28	30	29	30	29	26	30	29	24	27	23	26	26
ABplpapa 0.0134	35	35	36	34	35	37	38	36	38	36	38	36	35	34	36	36	36	36	37	34	38	37	32	36	33	33	34
ABplpapaa 0.0131	50	50	50	51	50	54	54	53	50	52	52	53	47	52	52	52	52	50	50	52	52	54	48	45	49	50	47
ABplpapaaa 0.2417	78	79	88	81	77	77	74	81	57	83	77	78	79	75	80	73	80	76	81	86	78	81	77	75	90	86	82
ABplpapaaaa NA																											
ABplpapaaap NA																											
ABplpapaap 0.0931	76	81	86	79	79	78	74	76	81	78	78	82	77	88	74	80	77	80	82	80	73	76	86	77	85	91	82
ABplpapaapa NA																											
ABplpapaapp NA																											
ABplpapap 0.7328	46	49	48	47	47	51	51	51	49	47	49	48	47	47	47	49	46	48	46	49	48	49	44	46	51	47	50
ABplpapapa 0.1154	68	65	72	68	71	72	75	68	73	69	68	70	67	69	68	66	70	65	67	69	68	66	77	70	73	73	68
ABplpapapaa NA																											
ABplpapapap NA																											
ABplpapapp 0.0073	73	71	77	68	69	69	72	73	72	67	69	67	74	76	71	68	77	68	71	74	70	63	79	72	79	80	78
ABplpapappa NA																											
ABplpapappp NA																											
ABplpapp 0.0358	32	34	35	33	33	34	34	32	35	35	37	32	34	32	33	32	33	33	34	33	35	35	30	32	30	30	34
ABplpappa 0.075	43	44	42	40	43	44	44	43	44	44	44	41	42	44	47	42	40	46	43	43	45	43	44	46	45	44	44
ABplpappaa 0.1107	50	42	55	54	56	57	56	54	49	56	53	53	51	53	53	51	54	57	52	55	50	54	59	53	53	60	55
ABplpappaaa NA																											
ABplpappaap NA																											
ABplpappap NA																											
ABplpappp 0.278	51	50	53	51	50	57	52	53	49	54	58	48	49	51	57	49	52	52	55	49	52	48	49	48	53	50	52
ABplpapppa 0.0204	78	74	81	72	75	82	80	75	78	80	77	73	74	81	73	75	80	71	71	71	71	79	77	81	88	81	84
ABplpapppaa NA																											
ABplpapppap NA																											
ABplpapppp 0.2969	80	79	88	79	84	86	85	76	79	90	78	85	76	81	79	78	79	76	82	77	78	76	84	72	94	83	100
ABplpappppa NA																											
ABplpappppp NA																											
ABplpp 0.0055	28	26	27	25	28	25	27	27	26	27	28	30	30	26	27	28	26	28	26	25	27	28	23	24	19	23	24
ABplppa 0.0036	32	33	28	29	34	30	32	31	31	32	34	30	29	31	30	32	32	31	30	31	31	31	26	29	26	26	29
ABplppaa 3e-04	41	41	42	38	42	46	46	41	40	41	44	40	39	38	43	41	40	38	39	39	43	41	35	38	34	37	37
ABplppaaa 0.1506	54	53	55	54	56	54	56	53	54	57	55	52	51	52	54	54	52	53	55	55	53	56	49	52	54	54	54
ABplppaaaa 0.0303	62	59	60	60	64	64	59	64	60	60	60	60	60	58	58	60	58	60	61	62	60	63	63	61	64	64	61
ABplppaaaaa NA																											
ABplppaaaap 0.5527															94				103		80	100		95			84
ABplppaaaapa NA																											
ABplppaaaapp NA																											
ABplppaaap NA																											
ABplppaap 0.2924	51	50	50	51	52	49	52	50	51	51	49	50	49	49	52	49	49	51	51	49	52	51	51	48	55	58	50
ABplppaapa 0.5392	77	89	86	83	88	89		83	94	85	80	84	83	86	80	82	90	85	82	84	83	84	93	83	84	82	88
ABplppaapaa NA																											
ABplppaapap NA																											
ABplppaapp 0.2209	72	72	81	78	90	77	80	78	78	75	74	78	77	82	78	73	74	73	76	83	75	71	78	76	87	77	84
ABplppaappa NA																											
ABplppaappp NA																											
ABplppap 0.0028	38	37	39	36	38	40	41	40	38	38	40	33	37	35	38	39	40	37	36	36	41	38	32	36	33	34	35
ABplppapa 0.7929	48	49	48	47	50	49	51	48	51	50	50	50	47	48	49	49	49	51	50	50	47	48	46	50	51	50	47
ABplppapaa 0.0064	72	68	69	67	68	68	70	70	71	67	66	67	69	70	64	66	67	70	67	70	68	65	76	70	74	77	78
ABplppapaaa NA																											
ABplppapaaaa NA																											
ABplppapaaap NA																											
ABplppapaap NA																											
ABplppapap 0.4011	83	88	89	85	92	80		94	86	90	86	90	95	85	86	87	92	82	81	90	85	84	96	83	94	83	93
ABplppapapa NA																											
ABplppapapp NA																											
ABplppapp 0.3043	50	52	52	51	58	54	56	54	54	55	52	56	49	53	52	51	52	52	56	55	52	52	49	55	58	66	54
