paste.Cells..round.CC_Dif_pValues..4..	X20110316_mir.1_L3	X20110316_mir.1_L2	X20110203_RW10890_pal.1_L4	X20110125_RW10890_pal.1_L3	X20110125_RW10890_pal.1_L4	X20101213_RW10889_pal.1_L2	X20101213_RW10889_pal.1_L3	X20110209_UP2051_mls.2_L1	X20110209_UP2051_mls.2_L2	X20110209_UP2051_mls.2_L3	X20110225_NX68_L3	X20110408_RW10425_pha.4_L2	X20110927_RW11144_L4	X20110929_ceh.43_L1	X20110726_RW10713_L1	X20110731_RW10434_L1	X20111116_RW10226_L4	X20110916_ceh.36_L1	X20120426_JIM122_L2	X20120612_JIM127_L4	X20120331_RW10871_L4	X20120807_mir.57_L4	X20230224_RW10265_tbx.8_die.1_L4	X20230224_RW10265_tbx.8_die.1_L3	X20230224_RW10265_tbx.8_die.1_L1	X20230223_JIM188_tbx.9_die.1_L4	X20230222_JIM188_tbx.9_die.1_L1
ABalapaaaa 0.4918		121													124		124		113	122	114	111	144	109		113	134
ABalapaaaaa NA																											
ABalapaaaap NA																											
ABalapaaap 0.0161	70	76	70	74	75	74	74	70	67	64	68	70	69	73	71	70	70	68	74	71	71	68	88	76	88	77	79
ABalapaaapa NA																											
ABalapaaapp NA																											
ABalapaap 0.6875	46	47	50	47	47	51	51	50	46	47	46	48	49	47	46	51	48	48	48	55	50	49	46	48	48	47	50
ABalapaapa 0.0332	85	95	89	92	97	92		91	95	93	90	90	105	119	94	90	88	94	93	114	91	87	101	107	99	121	104
ABalapaapaa NA																											
ABalapaapap NA																											
ABalapaapp 0.0034	60	65	67	62	66	66	70	64	60	64	62	68	67	73	66	63	66	61	64	65	65	63	74	72	74	82	72
ABalapaappa NA																			118		115	120					
ABalapaappaa NA																											
ABalapaappap NA																											
ABalapaappp NA																											
ABalapap 0.0276	34	35	36	34	35	34	34	35	35	35	38	36	35	35	33	34	34	37	32	37	36	33	32	34	34	32	34
ABalapapa 0.0038	51	53	56	51	49	54	57	51	49	47	53	55	52	52	51	56	52	55	53	56	52	52	49	50	45	49	49
ABalapapaa NA																											
ABalapapap 6e-04	62	62	61	62	64	66	64	64	63	60	57	63	65	68	61	68	63	63	66	68	63	62	74	74	77	72	70
ABalapapapa NA																			120		97	114					
ABalapapapaa NA																											
ABalapapapap NA																											
ABalapapapp NA																											
ABalapapp 0.9254	45	44	47	46	45	44	48	46	44	47	44	47	46	46	44	44	45	46	43	47	47	46	43	46	48	44	45
ABalapappa 0.021	57	59	55	56	60	64	61	60	57	62	62	57	60	56	56	56	60	57	57	61	58	60	59	64	64	62	61
ABalapappaa NA																			118		122	122					
ABalapappaaa NA																											
ABalapappaap NA																											
ABalapappap NA																											
ABalapappp 0.0144	75	73	74	70	75	77	74	76	75	75	77	77	77	72	73	73	76	72	70	80	75	66	84	77	96	87	90
ABalapapppa NA																											
ABalapapppp NA																											
ABalapp 6e-04	31	33	28	29	30	30	29	31	30	29	34	30	31	29	30	32	31	32	32	31	31	29	26	27	27	27	29
ABalappa 0.0035	46	44	42	42	38	42	41	41	41	43	46	42	42	39	41	42	41	42	40	40	41	43	35	38	38	37	40
ABalappaa 0.0933	55	57	64	61	63	60	61	58	60	60	58	63	56	58	56	57	59	57	56	62	60	59	56	50	54	57	60
ABalappaaa NA																											
ABalappaap 0.1301	101	104		101	94				84						91	101	106	102	105	94	98	97	136	109		112	
ABalappaapa NA																											
ABalappaapp NA																											
ABalappap 0.0147	45	46	52	47	49	46	49	46	46	47	47	50	47	44	47	47	46	46	46	50	47	51	45	45	45	46	47
ABalappapa 0.0813	104	114		108	114	101		84	86	78					109	88	111	118	103	117	111	98	139	103		126	118
ABalappapaa NA																											
ABalappapap NA																											
ABalappapp 0.0159	67	64	72	69	62	64	64	66	68	70	66	65	65	64	63	64	64	66	64	67	65	65	74	66	72	70	73
ABalappappa NA																											
ABalappappp NA																											
ABalappp 0.0134	37	35	36	34	35	34	34	36	36	36	38	36	34	35	33	34	34	37	34	36	35	35	32	34	32	30	34
ABalapppa 0.0929	44	44	48	44	45	44	49	43	43	44	46	47	47	46	44	46	45	46	45	49	45	48	44	46	41	43	42
ABalapppaa 1e-04	76	76	83	72	71	77	70	74	72	75	71	74	77	76	78	70	74	81	76	72	78	70	86	81	85	86	88
ABalapppaaa NA																											
ABalapppaap NA																											
ABalapppap 0.0398	62	64	67	61	66	61	66	60	60	62	63	65	67	65	64	63	66	62	66	66	63	63	72	64	71	74	66
ABalapppapa NA																			118		110	117					
ABalapppapaa NA																											
ABalapppapap NA																											
ABalapppapp NA																											
ABalapppp 0.1509	46	44	44	46	45	44	46	45	43	44	46	48	46	44	44	44	45	46	43	52	47	48	43	46	41	41	45
ABalappppa 0.1591	55	57	58	61	58	60	59	58	62	60	57	58	58	56	58	54	57	58	54	61	60	59	59	61	60	57	62
ABalappppaa NA																			125		107	128					
ABalappppaaa NA																											
ABalappppaap NA																											
ABalappppap NA																											
ABalappppp 0	65	73	70	74	73	75	70	66	70	67	71	74	72	72	71	70	76	68	71	68	70	68	82	81	86	84	80
ABalapppppa NA																											
ABalapppppp NA																											
ABalp 1e-04	20	19	17	11	19	18	17	17	18	17	20	19	18	16	16	16	19	18	17	16	18	16	14	15	14	13	13
ABalpa 0.0091	25	26	25	23	28	24	26	27	24	27	26	24	26	23	26	26	26	28	26	25	25	26	21	24	20	23	24
ABalpaa 0.0018	31	30	27	27	32	30	30	29	30	29	31	30	29	30	30	30	31	29	28	29	31	29	26	27	23	24	26
ABalpaaa 0.0017	44	43	42	40	38	38	43	40	43	43	46	41	44	39	40	44	43	43	44	42	44	43	37	39	37	40	37
ABalpaaaa 0.0563	51	50	56	54	52	54	56	51	55	54	52	50	51	53	54	54	54	56	50	58	55	51	52	48	51	49	42
ABalpaaaaa 0.5981	72	72	80	76	73	66	79	75	73	70	72	68	84	78	71	68	74	74	72	74	75	68	80	79	79	74	64
ABalpaaaaaa NA																											
ABalpaaaaap NA																											
ABalpaaaap 0.082	83	79	85	85	84	81	82	84	84	80	84	77	93	90	78	78	95	86	79	88	86	76	83	74	79	72	83
ABalpaaaapa NA																											
ABalpaaaapp NA																											
ABalpaaap 0.0085	50	49	53	52	50	51	51	51	51	54	52	50	51	51	49	54	49	52	52	53	53	51	46	50	49	48	49
ABalpaaapa 0.2112	83	82		88	82	77	85	80	81	83	78	80	84	90	78	82	86	86	83	86	88	79	86	76	93	98	91
ABalpaaapaa NA																											
ABalpaaapap NA																											
ABalpaaapp 0.9437	78	82	89	85	86	72	77	76	81	90	86	80	79	88	76	82	82	82	76	78	76	78	79	70	81	93	80
ABalpaaappa NA																											
ABalpaaappp NA																											
ABalpaap 0.0037	36	35	35	33	33	34	36	33	33	35	37	32	35	32	32	34	34	36	37	34	35	35	30	32	27	30	30
ABalpaapa 2e-04	40	38	42	39	38	38	43	40	40	42	41	40	39	40	38	41	42	42	41	43	42	40	37	36	36	36	39
ABalpaapaa 0.664	66	72	75	70	69	69	72	73	68	77	71	68	69	66	71	69	68	76	69	81	70	71	86	69	70	66	72
ABalpaapaaa NA																											
ABalpaapaap NA																											
ABalpaapap 0.0158	50	49	47	49	52	52	54	48	52	49	50	48	46	49	46	49	51	51	47	52	49	49	49	47	46	44	46
ABalpaapapa NA																											
ABalpaapapp NA																											
ABalpaapp 0	49	50	52	47	45	49	56	53	49	52	53	50	51	53	46	52	46	53	53	52	53	49	46	45	46	47	45
ABalpaappa 0.14	93	81	94	83	88	83	85	86	84	90	86	85	93	99	86	75	83	77	76	78	89	82	100	86	84	92	90
ABalpaappaa NA																											
ABalpaappap NA																											
ABalpaappp 0.3255	73	72	83	68	71	71	74	71	75	75	80	74	76	75	71	68	76	72	72	71	75	71	76	70	80	84	73
ABalpaapppa NA																											
ABalpaapppp NA																											
ABalpap 0.003	30	30	28	29	30	28	30	29	30	29	31	30	28	28	30	30	28	28	28	28	31	31	26	27	23	24	26
ABalpapa 0.0022	38	38	36	34	37	37	36	36	35	36	40	36	37	36	38	38	40	39	39	36	38	37	34	34	33	30	34
ABalpapaa 0.2093	46	47	50	49	47	49	51	48	49	51	49	52	47	49	49	51	48	48	50	52	50	49	44	48	45	46	52
ABalpapaaa 0.4426	63	65	70	65	64	68	66	63	70	69	63	67	67	64	68	66	70	61	67	66	66	66	64	66	66	68	73
ABalpapaaaa NA																											
ABalpapaaap NA																											
ABalpapaap 0.628	80	87	91	88	84	88	90	93	82	78	91	88	88	86	81	90	93	77	79	81	81	84	87	84	91	90	80
ABalpapaapa NA																											
ABalpapaapp NA																											
ABalpapap 0.1724	48	49	48	47	47	49	51	46	49	49	47	48	46	49	47	49	46	47	51	50	48	48	49	48	46	46	44
ABalpapapa 0.0623	72	65	69	63	64	68	67	66	68	65	65	70	65	68	64	68	68	66	64	68	66	66	69	66	71	68	71
ABalpapapaa NA																											
ABalpapapap NA																			108		102	116					
ABalpapapapa NA																											
ABalpapapapp NA																											
ABalpapapp 0.049	73	74	78	88	75	74	75	81	81	75	77	78	79	82	76	76	82	77	77	82	81	78	79	79	86	87	83
ABalpapappa NA																											
ABalpapappp NA																											
ABalpapp 0.0073	35	35	32	31	33	34	33	33	33	33	34	34	32	32	33	34	34	36	34	33	33	33	30	32	29	29	30
