"Cells","Fates","CCTermDefects","PosTermDefects","AngTermDefects","Expression","ceh36_peak.CellsLineageOrder...1..","unc30_peak.CellsLineageOrder...1..","mls2_peak.CellsLineageOrder...1..","nob1_peak.CellsLineageOrder...1..","ceh13_peak.CellsLineageOrder...1.."
"ABprpaapapa","AMsoR",5,0,1,10893,720,1298,8,0,0
"ABprpaapapp","CEMVR",5,1,1,10893,720,1298,58,0,0
"ABprpaappaa","ASHR",5,0,1,10964,731,1404,8,0,0
"ABprpaappap","RIBR",5,0,1,10964,731,1404,8,0,0
"ABprpaapppa","AIMR",1,0,1,10964,731,1404,8,0,0
"ABprpaapppp",NA,1,0,1,10964,731,1404,8,0,0
"ABprpapaaaa","SMDDR",1,0,0,6000,1308,900,8,0,8
"ABprpapaaap","AIYR",1,0,0,6000,1308,900,8,0,8
"ABprpapaapa","SIADR",4,0,0,6000,1308,900,8,0,8
"ABprpapaapp","SIBVR",4,2,0,6000,1308,900,59,0,8
"ABprpapapaa","exc_gl_R",2,0,0,4643,3405,641,8,11,0
"ABprpapapap","AVKR",2,0,0,4643,3405,641,8,11,0
"ABprpapappa","SIAVR",2,0,0,4643,3886,641,8,0,1
"ABprpapappp","DA8",2,1,0,4643,3814,641,8,0,1
"ABprpappaaa","RIH",5,0,0,3288,3707,647,8,0,0
"ABprpappaap","AVL",5,0,0,3288,3707,647,8,0,0
"ABprpappapa","RIS",2,0,0,3288,3619,647,8,0,0
"ABprpappapp","DB4",2,2,0,3288,3619,647,8,0,0
"ABprpapppaa","RIR",5,0,0,3355,6302,647,8,0,0
"ABprpapppap","AVG",5,2,0,3355,6302,647,8,0,0
"ABprpappppa","virR",2,5,0,3355,6013,647,8,0,0
"ABprpappppp","virL",2,4,0,3355,6013,647,8,0,0
"ABprppaaaaa","SIBDR",5,1,0,7158,1220,1693,8,0,2703
"ABprppaaaap",NA,6,1,0,7158,1220,1693,8,0,2703
"ABprppaaap","death",5,2,0,7158,1220,1693,8,5,2703
"ABprppaapaa","death",6,2,0,6777,3142,1693,63,43,2703
"ABprppaapap","RIMR",6,2,0,6777,3132,1693,8,43,2703
"ABprppaappa","AIAR",8,0,0,6777,4313,1693,280,0,2703
"ABprppaappp","DB7",8,2,0,6777,4956,1693,367,0,2703
"ABprppapaaa",NA,7,2,0,7831,1585,1360,8,0,3251
"ABprppapaap","DA1",7,2,0,7831,1585,1360,8,0,3251
"ABprppapapa","DA3",4,0,0,7831,1511,1360,8,0,3251
"ABprppapapp","DA5",4,1,0,7831,1511,1360,8,0,3251
"ABprppappaa","RIGR",7,1,0,7674,1451,1360,8,0,5866
"ABprppappap","DD2",7,0,0,7674,1451,1360,8,0,5866
"ABprppapppa","DD4",6,0,0,7674,1451,1360,8,0,7789
"ABprppapppp","DD6",6,1,0,7674,1451,1360,8,0,7789
"ABprpppaaaa","PDA/Y",6,0,0,8288,4044,1640,8,3025,2204
"ABprpppaaap","DA7",6,2,0,8288,4044,1640,8,3025,2204
"ABprpppaapa",NA,4,2,0,8288,3960,1640,8,2971,2204
"ABprpppaapp","PHAR",4,4,0,8288,3960,1640,36,2971,2204
"ABprpppapaa","PHshR",7,1,0,8382,4470,1640,8,2440,2204
"ABprpppapap","hyp8/9",7,1,0,8382,4470,1640,8,2440,2204
"ABprpppapp","death",4,0,0,8382,3770,1640,33,2440,2204
"ABprppppaaa","PVPR",1,0,0,4494,5722,1291,8,2591,1828
"ABprppppaap","rect_VR",1,2,0,4494,5722,1291,8,2591,1828
"ABprppppapa","B",2,0,0,4494,5446,1291,8,2456,1828
"ABprppppapp","DVA",2,0,0,4494,5446,1291,8,2456,1828
"ABprpppppaa","mu_bod",4,3,1,5334,3859,1291,8,1520,1828
"ABprpppppap","mu_sph",4,3,1,5334,3859,1291,8,1520,1828
"ABprppppppa","spike",2,2,1,5334,4001,1291,12,1427,1828
"ABprppppppp","hyp10",2,2,1,5334,4001,1291,8,1427,1828
"MSaaaaaa",NA,6,1,0,8309,213,1663,691,0,0
"MSaaaaapaa","I3",5,1,0,8309,213,0,691,0,0
"MSaaaaapap","g1P",5,0,0,8309,213,0,691,0,0
"MSaaaaapp","m4DL",5,0,0,8309,213,0,691,0,0
"MSaaaapaa","I4",5,3,0,7680,213,0,577,0,0
"MSaaaapap","m5DL",5,3,0,7680,213,0,577,0,0
"MSaaaappa","death",5,4,0,6996,213,0,577,0,0
"MSaaaappp","m7D",5,3,0,6996,213,0,577,0,0
"MSaaapaaa","m3DL",10,0,0,7364,1415,0,621,0,0
"MSaaapaap","m4L",8,0,0,7364,1415,0,621,0,0
"MSaaapapa","mc3DL",7,3,0,7296,1050,0,621,0,0
"MSaaapapp","m8",7,3,0,7296,1050,0,621,0,0
"MSaaappa","death",8,2,0,5239,2185,0,494,18,0
"MSaaappp","vpi3D",9,3,0,5239,2361,0,494,145,0
"MSaapaaaa","m4VL",5,3,1,3984,1855,0,426,0,0
"MSaapaaap","m5VL",5,2,1,3984,1855,0,426,0,0
"MSaapaapa",NA,4,1,0,6967,1855,0,426,0,0
"MSaapaapp","m7VL",4,1,0,6967,1855,0,426,0,0
"MSaapappa","m6VL",4,0,0,2144,1805,0,426,0,0
"MSaapappp","vpi2DL",4,1,0,2144,1805,0,426,0,0
"MSaappaa","vpi2V",3,2,0,2049,2197,0,441,11,0
"MSaappap","vpi3V",3,1,0,2049,2197,0,441,11,0
"MSaapppp",NA,4,0,0,2607,2223,0,441,11,60
"MSapaaaa",NA,3,0,1,10174,0,5226,29,0,0
"MSapaaap","mu_bod",3,1,1,10174,0,4680,29,0,0
"MSapaapa","death",3,0,1,8719,0,0,29,0,0
"MSapaapp","M",3,0,1,8719,0,0,29,0,0
"MSapapaa",NA,3,1,2,8493,0,0,11,0,0
"MSapapap","mu_bod",3,3,2,8493,0,0,11,0,0
"MSapappa","mu_bod",3,0,1,10517,0,0,11,0,0
"MSapappp","mu_bod",3,1,1,10517,0,0,11,0,0
"MSappaaa","hmc",4,0,1,4989,0,0,31,0,0
"MSappaap","Z4",4,4,1,4989,0,0,31,0,0
"MSappapa","death",3,0,1,4807,0,225,25,0,0
"MSappapp","mu_bod",3,3,1,4807,0,0,30,0,0
"MSapppaa","mu_bod",8,0,1,9218,0,0,30,0,0
"MSapppap","mu_bod",8,2,1,9218,0,0,57,0,146
"MSappppa","mu_bod",7,2,1,9820,0,0,30,0,0
"MSappppp","mu_bod",7,1,1,9820,0,0,30,0,0
"MSpaaaaaa","M4",9,2,1,6927,173,0,0,0,0
"MSpaaaaap","death",9,0,1,6927,173,0,0,0,0
"MSpaaaapa","m3DR",7,1,0,7809,197,0,0,0,0
"MSpaaaapp","m4DR",7,0,0,7809,173,0,0,0,0
"MSpaaapaa","I6",11,0,0,7225,173,0,0,0,0
"MSpaaapap","M5",11,1,0,7225,173,0,0,0,0
"MSpaaappa","m5DR",10,0,0,7225,173,0,0,0,0
"MSpaaappp","m6D",10,3,0,7225,173,0,0,0,0
"MSpaapaaa","M1",10,0,0,7404,915,0,33,0,9
"MSpaapaap","death",10,0,0,7404,915,0,0,0,9
"MSpaapapa","mc3DR",11,0,1,10259,1121,0,0,0,0
"MSpaapapp","vpi1",11,1,1,10259,1121,6,0,0,0
"MSpaapp","death",8,0,0,2443,152,11,0,0,4
"MSpapaaaa","m4VR",6,2,0,3455,1328,0,0,17,0
"MSpapaaap","m5VR",6,3,0,3455,1328,0,0,17,0
"MSpapaapa",NA,7,2,0,3524,1328,0,0,0,0
"MSpapaapp","m7VR",7,4,0,3524,1328,0,0,0,0
"MSpapapaa","g2R",6,5,0,1937,1245,0,0,0,0
"MSpapapap","death",6,5,0,1937,1245,0,0,0,0
"MSpapappa","m6VR",6,2,0,1972,1245,70,0,43,0
"MSpapappp","vpi2DR",6,1,0,1972,1245,0,0,43,0
"MSpappaa","mu_bod",8,1,2,1552,990,216,0,0,0
"MSpappap","mu_bod",9,3,2,1552,990,0,0,0,0
"MSpapppaa","mu_bod",8,1,0,2713,1289,0,0,0,87
"MSpapppap","mu_bod",8,2,0,2713,1289,0,0,0,87
"MSpapppp",NA,6,0,0,2713,1289,0,0,0,87
"MSppaaaa",NA,3,0,2,8035,0,4050,0,0,0
"MSppaaap","mu_bod",3,0,2,8035,0,3357,0,0,0
"MSppaapa","death",3,0,2,7181,0,0,0,0,0
"MSppaapp","mu_int_R",3,2,2,7181,0,0,0,0,0
"MSppapaa",NA,5,0,1,8036,0,0,0,0,0
"MSppapap","mu_bod",5,0,1,8036,0,0,0,0,0
"MSppappa","mu_bod",6,4,1,9725,0,0,0,63,0
"MSppappp","mu_bod",6,3,1,9725,0,0,0,0,0
"MSpppaaa","death",5,0,1,5657,0,0,0,0,0
"MSpppaap","Z1",5,0,1,5657,0,0,0,0,0
"MSpppapa","death",5,4,1,3741,0,0,0,0,0
"MSpppapp","mu_bod",5,3,1,3741,0,41,0,0,0
"MSppppaa","mu_bod",10,0,1,10140,0,0,0,0,0
"MSppppap","mu_bod",10,3,1,10140,0,0,0,0,0
"MSpppppa","mu_bod",7,3,1,9166,0,0,0,0,0
"MSpppppp","mu_bod",7,2,1,9166,0,0,0,0,0
"Ealaa",NA,6,1,1,12653,0,0,0,0,0
"Ealap","int",4,0,1,11891,0,0,0,0,0
"Ealpa","int",3,4,1,8461,0,0,0,0,0
"Ealpp","int",3,2,1,10589,0,0,0,0,0
"Earaa",NA,6,1,1,11574,0,0,0,0,0
"Earap","int",4,1,1,12745,0,0,0,0,0
"Earpa","int",6,4,1,9311,0,0,0,0,0
"Earpp","int",6,4,1,9509,0,0,0,0,0
"Eplaa","int",2,1,1,14413,0,0,0,661,2070
"Eplap","int",2,1,1,12967,0,0,0,661,2070
"Eplpa","int",2,2,1,11023,0,0,0,1298,2070
"Eplpp",NA,2,4,1,10451,0,0,0,820,2070
"Epraa","int",4,2,1,13943,0,0,0,803,1803
"Eprap","int",4,2,1,15502,0,0,0,803,1803
"Eprpa","int",1,2,1,12413,0,0,0,1656,1803
"Eprpp",NA,2,5,1,12413,0,0,0,1406,1803
"Caaaaa","hyp7",3,0,1,8571,0,2882,0,0,5402
"Caaaap","hyp7",3,2,1,8542,0,943,0,0,4513
"Caaapa","hyp7",3,3,1,9205,0,0,0,0,1096
"Caaapp","hyp7",3,4,1,9925,0,0,0,0,619
"Caapaa","DVC",3,3,0,6977,0,252,0,0,0
"Caapap","death",3,0,0,6977,0,0,0,0,0
"Caappd","hyp7",3,5,0,10116,0,0,0,286,0
"Caappv","PVR",3,1,0,10116,1,0,0,8,0
"Capaaaa","mu_bod",3,2,0,8617,0,0,0,0,0
"Capaaap","mu_bod",3,2,0,8617,0,0,0,0,0
"Capaapa","mu_bod",5,3,0,8617,0,0,0,0,0
"Capaapp","mu_bod",5,3,0,8617,0,0,0,0,0
"Capapaa","mu_bod",3,3,0,8617,0,0,11,0,0
"Capapap","mu_bod",3,4,0,8617,0,0,0,0,0
"Capappa","mu_bod",3,3,0,8617,0,0,0,0,0
"Capappp","mu_bod",3,3,0,8617,0,0,0,0,0
"Cappaaa","mu_bod",5,3,0,8954,0,0,0,0,0
"Cappaap","mu_bod",5,4,0,8954,0,0,0,0,0
"Cappapa","mu_bod",9,5,0,8954,0,0,0,0,0
"Cappapp","mu_bod",9,2,0,8954,0,0,0,0,0
"Capppaa","mu_bod",8,4,1,8954,0,0,0,0,0
"Capppap","mu_bod",8,2,1,8954,0,0,0,0,0
"Cappppd","mu_bod",6,2,0,8954,0,0,0,0,0
"Cappppv","mu_bod",6,1,0,8954,0,0,15,0,0
"Cpaaaa","hyp7",6,2,0,13693,0,2752,0,0,1959
"Cpaaap","hyp7",6,1,0,13128,0,67,0,0,1403
"Cpaapa","hyp7",6,4,0,13762,0,0,0,0,308
"Cpaapp","hyp7",6,4,0,16932,0,0,0,0,34
"Cpapaa","hyp7",6,0,0,17582,0,0,0,167,0
"Cpapap","hyp7",6,2,0,17582,0,0,0,222,0
"Cpappd","hyp7",8,0,0,15184,0,0,0,2063,0
"Cpappv","hyp11",8,2,0,15184,0,0,0,760,0
"Cppaaaa","mu_bod",8,2,1,9357,0,0,0,33,0
"Cppaaap","mu_bod",8,4,1,9357,0,129,0,33,0
"Cppaapa","mu_bod",9,1,1,9357,0,0,0,0,0
"Cppaapp","mu_bod",9,4,1,9357,0,0,0,0,0
"Cppapaa","mu_bod",8,5,1,9357,0,0,0,85,0
"Cppapap","mu_bod",8,4,1,9357,0,0,0,85,0
"Cppappa","mu_bod",8,2,1,9357,0,0,0,43,0
"Cppappp","mu_bod",8,4,1,9357,0,0,0,43,0
"Cpppaaa","mu_bod",7,3,0,12894,0,0,0,0,0
"Cpppaap","mu_bod",7,5,0,12894,0,0,0,0,0
"Cpppapa","mu_bod",7,5,0,12894,0,182,0,0,0
"Cpppapp","mu_bod",7,4,0,12894,0,568,0,0,0
"Cppppaa","mu_bod",8,5,0,11458,0,0,0,9,0
"Cppppap","mu_bod",8,4,0,11458,0,0,0,9,0
"Cpppppd","mu_bod",9,1,0,11458,0,0,0,0,0
"Cpppppv","mu_bod",9,2,0,11458,0,0,0,0,0
"Daaaa","mu_bod",4,0,1,8029,0,0,0,0,4466
"Daaap","mu_bod",4,0,1,8029,0,0,0,0,5024
"Daapa","mu_bod",3,0,1,7060,0,0,0,0,0
"Daapp","mu_bod",3,0,1,7060,0,0,0,0,10
"Dapaa","mu_bod",2,1,2,8980,0,0,0,0,305
"Dapap","mu_bod",2,4,2,8980,0,0,0,0,345
"Dappa",NA,3,6,2,7872,0,0,0,0,2376
"Dappp",NA,3,7,2,7872,0,0,0,0,2208
"Dpaaa","mu_bod",4,1,1,7814,0,0,0,0,3656
"Dpaap","mu_bod",4,4,1,7814,0,0,0,0,3373
"Dpapa","mu_bod",4,0,1,4706,0,0,0,0,0
"Dpapp","mu_bod",4,0,1,4706,0,0,0,0,21
"Dppaa","mu_bod",6,2,1,7321,0,0,0,0,157
"Dppap","mu_bod",6,4,1,7321,0,0,0,0,183
"Dpppa",NA,5,7,1,8980,0,0,0,0,519
"Dpppp",NA,5,3,1,8980,0,0,0,0,624
"Z2","Z2",3,0,0,4405,0,0,0,0,0
"Z3","Z3",3,0,0,4405,0,0,0,0,0
