Cell	20081128_sulston	20230224_RW10265_tbx-8_die-1_L4	20230224_RW10265_tbx-8_die-1_L3	20230224_RW10265_tbx-8_die-1_L1	20230223_JIM188_tbx-9_die-1_L4	20230222_JIM188_tbx-9_die-1_L1
ABalappappp	NA	NA	NA	NA	NA	NA
ABalappp	171	105.2	102.2	130.9	124.8	109.7
ABalapppa	220	150.6	144.5	177.1	171.1	150.6
ABalapppaa	304	236.4	216.9	271.6	262.6	235.1
ABalapppaaa	NA	NA	NA	NA	NA	NA
ABalapppaap	NA	NA	NA	NA	NA	NA
ABalapppap	284	223.3	202.4	256.5	250.8	213.8
ABalapppapa	404	NA	NA	NA	NA	NA
ABalapppapaa	NA	NA	NA	NA	NA	NA
ABalapppapap	NA	NA	NA	NA	NA	NA
ABalapppapp	NA	NA	NA	NA	NA	NA
ABalapppp	214	149	144.5	177.1	169.5	153.7
ABalappppa	279	208.8	199.2	244.9	230.8	213.8
ABalappppaa	394	NA	NA	NA	NA	NA
ABalappppaaa	NA	NA	NA	NA	NA	NA
ABalappppaap	NA	NA	NA	NA	NA	NA
ABalappppap	NA	NA	NA	NA	NA	NA
ABalappppp	289	231.5	216.9	273.3	259.2	230.1
ABalapppppa	NA	NA	NA	NA	NA	NA
ABalapppppp	NA	NA	NA	NA	NA	NA
ABalp	73	21	22.5	39.1	36.1	24
ABalpa	103	43.6	45.1	63.2	61.6	48.1
ABalpaa	132	70.6	70.7	90.3	88.7	73.6
ABalpaaa	171	108.2	106.8	132.4	132.4	109.7
ABalpaaaa	234	161.4	150.6	189.8	185.4	150.6
ABalpaaaaa	319	241.4	221.8	278.4	264.3	212.2
ABalpaaaaaa	NA	NA	NA	NA	NA	NA
ABalpaaaaap	NA	NA	NA	NA	NA	NA
ABalpaaaap	319	244.7	216.9	278.4	262.6	230.1
ABalpaaaapa	NA	NA	NA	NA	NA	NA
ABalpaaaapp	NA	NA	NA	NA	NA	NA
ABalpaaap	234	155.2	152.2	188.2	183.8	156.8
ABalpaaapa	344	241.4	220.1	292	288.3	243.3
ABalpaaapaa	NA	NA	NA	NA	NA	NA
ABalpaaapap	NA	NA	NA	NA	NA	NA
ABalpaaapp	339	234.8	215.3	278.4	283.1	233.4
ABalpaaappa	NA	NA	NA	NA	NA	NA
ABalpaaappp	NA	NA	NA	NA	NA	NA
ABalpaap	171	102.2	100.7	121.9	121.8	103.7
ABalpaapa	220	139.9	133.8	163.1	161.7	141.4
ABalpaapaa	299	226.6	196	241.6	232.5	210.6
ABalpaapaaa	NA	NA	NA	NA	NA	NA
ABalpaapaap	NA	NA	NA	NA	NA	NA
ABalpaapap	279	189.6	177	215.4	209.5	186.5
ABalpaapapa	NA	NA	NA	NA	NA	NA
ABalpaapapp	NA	NA	NA	NA	NA	NA
ABalpaapp	229	149	141.4	174	172.7	147.5
ABalpaappa	304	249.6	218.5	268.3	271.1	233.4
ABalpaappaa	NA	NA	NA	NA	NA	NA
ABalpaappap	NA	NA	NA	NA	NA	NA
ABalpaappp	294	225	204	263.2	262.6	217.1
ABalpaapppa	NA	NA	NA	NA	NA	NA
ABalpaapppp	NA	NA	NA	NA	NA	NA
ABalpap	132	70.6	70.7	90.3	88.7	73.6
ABalpapa	171	105.2	102.2	127.9	121.8	106.7
ABalpapaa	224	150.6	146	178.7	171.1	156.8
ABalpapaaa	284	215.2	205.6	253.2	244.1	226.8
ABalpapaaaa	NA	NA	NA	NA	NA	NA
ABalpapaaap	NA	NA	NA	NA	NA	NA
ABalpapaap	309	238.1	221.8	280.1	267.7	233.4
ABalpapaapa	NA	NA	NA	NA	NA	NA
ABalpapaapp	NA	NA	NA	NA	NA	NA
ABalpapap	224	155.2	146	180.3	171.1	149.1
ABalpapapa	284	225	205.6	259.9	244.1	217.1
ABalpapapaa	NA	NA	NA	NA	NA	NA
ABalpapapap	389	NA	NA	NA	NA	NA
ABalpapapapa	NA	NA	NA	NA	NA	NA
ABalpapapapp	NA	NA	NA	NA	NA	NA
ABalpapapp	304	234.8	216.9	276.7	264.3	228.5
ABalpapappa	NA	NA	NA	NA	NA	NA
ABalpapappp	NA	NA	NA	NA	NA	NA
ABalpapp	171	102.2	100.7	123.4	120.3	103.7
ABalpappa	214	141.4	138.4	172.4	166.4	143
ABalpappaa	299	220.1	207.2	258.2	240.8	212.2
ABalpappaaa	NA	NA	NA	NA	NA	NA
ABalpappaap	389	NA	303.9	NA	NA	NA
ABalpappaapa	NA	NA	NA	NA	NA	NA
ABalpappaapp	NA	NA	NA	NA	NA	NA
ABalpappap	269	199.1	189.6	235	230.8	197.7
ABalpappapa	NA	NA	NA	NA	NA	NA
ABalpappapp	NA	NA	NA	NA	NA	NA
ABalpappp	211	142.9	138.4	170.9	161.7	143
ABalpapppa	319	258	233.2	297.2	283.1	245
ABalpapppaa	NA	NA	NA	NA	NA	NA
ABalpapppap	NA	NA	NA	NA	NA	NA
ABalpapppp	259	192.7	184.9	223.5	212.8	188.1
ABalpappppa	NA	NA	NA	NA	NA	NA
ABalpappppp	NA	NA	NA	NA	NA	NA
ABalpp	103	45.1	45.1	63.2	61.6	48.1
ABalppa	132	73.6	72.2	91.8	90.2	78.1
ABalppaa	171	111.2	109.8	137	129.4	115.7
ABalppaaa	234	158.3	152.2	191.3	180.6	164.5
ABalppaaaa	NA	NA	NA	NA	NA	NA
ABalppaaap	299	251.3	231.6	304.1	281.4	255
ABalppaaapa	NA	NA	NA	NA	NA	NA
ABalppaaapp	NA	NA	NA	NA	NA	NA
ABalppaap	229	156.7	155.2	192.9	182.2	164.5
ABalppaapa	NA	NA	NA	NA	NA	NA
ABalppaapp	304	246.3	215.3	292	266	236.7
ABalppaappa	NA	NA	NA	NA	NA	NA
ABalppaappp	NA	NA	NA	NA	NA	NA
ABalppap	171	108.2	103.7	129.4	124.8	109.7
ABalppapa	219	152.1	144.5	178.7	169.5	150.6
ABalppapaa	299	239.7	215.3	270	259.2	226.8
ABalppapaaa	NA	NA	NA	NA	NA	NA
ABalppapaap	NA	NA	NA	NA	NA	NA
ABalppapap	294	244.7	215.3	273.3	255.8	230.1
ABalppapapa	NA	NA	NA	NA	NA	NA
ABalppapapp	NA	NA	NA	NA	NA	NA
ABalppapp	214	150.6	143	175.6	168	149.1
ABalppappa	289	233.1	215.3	264.9	259.2	233.4
ABalppappaa	NA	NA	NA	NA	NA	NA
ABalppappap	NA	NA	NA	NA	NA	NA
ABalppappp	284	221.7	204	251.5	244.1	213.8
ABalppapppa	409	NA	NA	NA	NA	NA
ABalppapppaa	NA	NA	NA	NA	NA	NA
ABalppapppap	NA	NA	NA	NA	NA	NA
ABalppapppp	NA	NA	NA	NA	NA	NA
ABalppp	132	72.1	70.7	91.8	88.7	75.1
ABalpppa	171	106.7	105.2	129.4	124.8	108.2
ABalpppaa	234	153.7	150.6	186.6	174.3	153.7
ABalpppaaa	314	268	236.5	288.6	295.2	240
ABalpppaaaa	NA	NA	NA	NA	NA	NA
ABalpppaaap	NA	NA	NA	NA	NA	NA
ABalpppaap	324	248	236.5	298.9	283.1	256.7
ABalpppaapd	NA	NA	NA	NA	NA	NA
ABalpppaapv	NA	NA	NA	NA	NA	NA
ABalpppap	224	152.1	144.5	180.3	168	149.1
ABalpppapa	299	236.4	213.7	270	252.5	223.6
ABalpppapad	NA	NA	NA	NA	NA	NA
ABalpppapav	NA	NA	NA	NA	NA	NA
ABalpppapp	284	221.7	200.8	259.9	252.5	213.8
ABalpppappa	NA	NA	NA	NA	NA	NA
ABalpppappp	379	NA	271.5	NA	NA	306.1
ABalpppapppa	NA	NA	NA	NA	NA	NA
ABalpppapppp	NA	NA	NA	NA	NA	NA
ABalpppp	171	105.2	102.2	126.4	123.3	105.2
ABalppppa	220	149	143	175.6	169.5	147.5
