"","Cells","20230222_JIM188_tbx.9_die.1_L1","20230223_JIM188_tbx.9_die.1_L4","20230224_RW10265_tbx.8_die.1_L1","20230224_RW10265_tbx.8_die.1_L3","20230224_RW10265_tbx.8_die.1_L4"
"ABalaappapp","ABalaappapp",2.64921762081236,NA,NA,2.44104108226226,NA
"ABalaappp","ABalaappp",3.60567582259689,5.75356410435758,2.19284355964779,3.04784937759257,2.75601872056904
"ABalaapppa","ABalaapppa",3.05540820793577,3.38058128769542,1.89194393719043,3.04261092324563,2.75757578364373
"ABalaapppaa","ABalaapppaa",2.25250172205503,3.19235327776523,1.82089350320287,3.14956232644491,2.99980890318511
"ABalaapppap","ABalaapppap",3.411693467349,3.36605884855083,2.35726117869009,3.19359010776937,4.53094989762156
"ABalaapppp","ABalaapppp",2.81275405150605,3.43447571437257,2.28646966924977,3.65992212993346,2.68738661569374
"ABalaappppa","ABalaappppa",2.78378777629216,3.37174155674605,2.58572054068152,4.63761763250111,3.92548887582707
"ABalaappppp","ABalaappppp",2.56991268047709,2.96825226979059,3.71143274988975,3.95815249486056,4.24385050197325
"ABalap","ABalap",2.89270917140257,2.93137190896611,2.58546832418227,2.69474531210473,2.90136956944851
"ABalapa","ABalapa",1.74371224819974,3.73893195877224,2.92506967553051,1.68474524478616,2.13089686954465
"ABalapaa","ABalapaa",2.08621785228162,3.24112397150106,2.7085358574861,2.35845010756337,2.88492859080903
"ABalapaaa","ABalapaaa",2.19244229693615,3.05677075143201,2.24077376497705,2.70824504455702,3.06079039129086
"ABalapaaaa","ABalapaaaa",1.93152548830977,4.12521146295747,2.59994859323281,4.38463279899015,2.21226915426877
"ABalapaaaaa","ABalapaaaaa",2.62563659387985,7.864339896088,NA,11.4458712428245,2.03001869359825
"ABalapaaaap","ABalapaaaap",1.92328874400281,10.6100471725525,NA,14.315358199548,1.88969224311954
"ABalapaaap","ABalapaaap",1.57865636843915,4.00884595149102,2.79410276256294,3.95741078400985,2.13213081772088
"ABalapaaapa","ABalapaaapa",1.76168520695681,3.70974042330298,3.05394930669739,4.97695563077592,1.3155390330308
"ABalapaaapp","ABalapaaapp",1.88471538495501,3.73456409245693,2.86294171321896,5.12667856679005,1.8742380731903
"ABalapaap","ABalapaap",2.18031635228464,2.57400034921205,2.61274343446644,4.74852807481527,5.53989336917804
"ABalapaapa","ABalapaapa",1.5658437254545,3.10858992726495,2.3559813792775,5.10014827698169,1.66279214563542
"ABalapaapaa","ABalapaapaa",1.59808960156203,1.88154044329519,1.43104634856741,2.16142343350436,1.47998064031917
"ABalapaapap","ABalapaapap",1.58949140331358,2.44649034939546,2.56972881027669,2.49813118128624,2.8485948537338
