Cell	20081128_sulston	20221004_JIM712_ceh-32_L4	20221004_JIM712_ceh-32_L2	20220915_JIM712_ceh-32_L4	20220923_JIM712_ceh-32_L4
ABalapppp	214	220.9	222.6	223	217.2
ABalappppa	279	279.3	281.8	285.2	277
ABalappppaa	394	NA	NA	NA	NA
ABalappppaaa	NA	NA	NA	NA	NA
ABalappppaap	NA	NA	NA	NA	NA
ABalappppap	NA	NA	NA	NA	NA
ABalappppp	289	290.1	296.6	293.4	294.8
ABalapppppa	NA	NA	NA	NA	NA
ABalapppppp	NA	NA	NA	NA	NA
ABalp	73	72.2	70.9	73	78.6
ABalpa	103	100.1	97.9	99	103.7
ABalpaa	132	131.1	128.3	132.8	133.1
ABalpaaa	171	174.5	170.6	175	177.5
ABalpaaaa	234	231.3	226.2	233.8	235.7
ABalpaaaaa	319	312	311.4	304.4	329.3
ABalpaaaaaa	NA	NA	NA	NA	NA
ABalpaaaaap	NA	NA	NA	NA	NA
ABalpaaaap	319	313.9	298.4	312.6	347.6
ABalpaaaapa	NA	NA	NA	NA	NA
ABalpaaaapp	NA	NA	NA	NA	NA
ABalpaaap	234	227.8	229.8	228.4	238.9
ABalpaaapa	344	319.3	316.9	309.9	349.3
ABalpaaapaa	NA	NA	NA	NA	NA
ABalpaaapap	NA	NA	NA	NA	NA
ABalpaaapp	339	NA	328.1	307.1	340.9
ABalpaaappa	NA	NA	NA	NA	NA
ABalpaaappp	NA	NA	NA	NA	NA
ABalpaap	171	167.7	165.5	167.1	167.1
ABalpaapa	220	212.1	210.3	212.3	209.4
ABalpaapaa	299	286.5	283.7	282.5	285.1
ABalpaapaaa	NA	NA	NA	NA	NA
ABalpaapaap	NA	NA	NA	NA	NA
ABalpaapap	279	266.8	261.8	263.6	269
ABalpaapapa	NA	NA	NA	NA	NA
ABalpaapapp	NA	NA	NA	NA	NA
ABalpaapp	229	217.4	219.1	217.7	218.6
ABalpaappa	304	306.6	305.8	298.9	317.7
ABalpaappaa	NA	NA	NA	NA	NA
ABalpaappap	NA	NA	NA	NA	NA
ABalpaappp	294	292	302.1	290.7	294.8
ABalpaapppa	NA	NA	NA	NA	NA
ABalpaapppp	NA	NA	NA	NA	NA
ABalpap	132	131.1	128.3	130.2	133.1
ABalpapa	171	171.1	165.5	169.7	174.5
ABalpapaa	224	222.6	217.3	223	227.9
ABalpapaaa	284	290.1	291	290.7	309.5
ABalpapaaaa	NA	NA	NA	NA	NA
ABalpapaaap	NA	NA	NA	NA	NA
ABalpapaap	309	301	304	304.4	304.6
ABalpapaapa	NA	NA	NA	NA	NA
ABalpapaapp	NA	NA	NA	NA	NA
ABalpapap	224	222.6	215.6	220.4	226.3
ABalpapapa	284	292	291	293.4	299.7
ABalpapapaa	NA	NA	NA	NA	NA
ABalpapapap	389	NA	NA	NA	NA
ABalpapapapa	NA	NA	NA	NA	NA
ABalpapapapp	NA	NA	NA	NA	NA
ABalpapapp	304	288.4	292.9	293.4	317.7
ABalpapappa	NA	NA	NA	NA	NA
ABalpapappp	NA	NA	NA	NA	NA
ABalpapp	171	167.7	163.8	167.1	170
ABalpappa	214	212.1	208.6	212.3	212.5
ABalpappaa	299	290.1	285.5	288	294.8
ABalpappaaa	NA	NA	NA	NA	NA
ABalpappaap	389	NA	NA	NA	NA
ABalpappaapa	NA	NA	NA	NA	NA
ABalpappaapp	NA	NA	NA	NA	NA
ABalpappap	269	268.6	272.7	268.9	270.6
ABalpappapa	NA	NA	NA	NA	NA
ABalpappapp	NA	NA	NA	NA	NA
ABalpappp	211	217.4	210.3	215	214
ABalpapppa	319	NA	326.3	320.9	339.2
ABalpapppaa	NA	NA	NA	NA	NA
ABalpapppap	NA	NA	NA	NA	NA
ABalpapppp	259	272.2	261.8	266.2	273.8
ABalpappppa	NA	NA	NA	NA	NA
ABalpappppp	NA	NA	NA	NA	NA
ABalpp	103	101.7	96.3	99	103.7
ABalppa	132	132.8	130	130.2	133.1
ABalppaa	171	176.2	175.7	172.3	179
ABalppaaa	234	238.3	231.4	228.4	237.3
ABalppaaaa	NA	NA	NA	NA	NA
ABalppaaap	299	NA	311.4	304.4	314.4
ABalppaaapa	NA	NA	NA	NA	NA
ABalppaaapp	NA	NA	NA	NA	NA
ABalppaap	229	229.6	229.8	228.4	229.5
ABalppaapa	NA	NA	NA	NA	NA
ABalppaapp	304	299.3	309.5	298.9	307.8
ABalppaappa	NA	NA	NA	NA	NA
ABalppaappp	NA	NA	NA	NA	NA
ABalppap	171	169.4	167.2	167.1	171.6
ABalppapa	219	215.6	217.3	217.7	220.2
ABalppapaa	299	293.8	305.8	301.7	299.7
ABalppapaaa	NA	NA	NA	NA	NA
ABalppapaap	NA	NA	NA	NA	NA
ABalppapap	294	288.4	300.3	293.4	304.6
ABalppapapa	NA	NA	NA	NA	NA
ABalppapapp	NA	NA	NA	NA	NA
ABalppapp	214	213.9	213.8	212.3	217.2
ABalppappa	289	295.6	300.3	298.9	301.4
ABalppappaa	NA	NA	NA	NA	NA
ABalppappap	NA	NA	NA	NA	NA
ABalppappp	284	282.9	285.5	279.9	288.4
ABalppapppa	409	NA	NA	NA	NA
ABalppapppaa	NA	NA	NA	NA	NA
ABalppapppap	NA	NA	NA	NA	NA
ABalppapppp	NA	NA	NA	NA	NA
ABalppp	132	131.1	128.3	130.2	131.7
ABalpppa	171	171.1	169	169.7	173
ABalpppaa	234	226.1	224.4	228.4	227.9
ABalpppaaa	314	312	318.8	312.6	317.7
ABalpppaaaa	NA	NA	NA	NA	NA
ABalpppaaap	NA	NA	NA	NA	NA
ABalpppaap	324	306.6	315.1	315.3	314.4
ABalpppaapd	NA	NA	NA	NA	NA
ABalpppaapv	NA	NA	NA	NA	NA
ABalpppap	224	217.4	220.9	220.4	220.2
ABalpppapa	299	310.2	307.7	301.7	307.8
ABalpppapad	NA	NA	NA	NA	NA
ABalpppapav	NA	NA	NA	NA	NA
ABalpppapp	284	282.9	296.6	290.7	285.1
ABalpppappa	NA	NA	NA	NA	NA
ABalpppappp	379	NA	NA	NA	NA
ABalpppapppa	NA	NA	NA	NA	NA
ABalpppapppp	NA	NA	NA	NA	NA
ABalpppp	171	167.7	165.5	167.1	167.1
ABalppppa	220	215.6	213.8	217.7	214
ABalppppaa	289	295.6	300.3	296.2	296.5
ABalppppaad	NA	NA	NA	NA	NA
ABalppppaav	NA	NA	NA	NA	NA
ABalppppap	299	286.5	292.9	288	288.4
ABalppppapa	409	NA	NA	NA	NA
ABalppppapaa	NA	NA	NA	NA	NA
ABalppppapap	NA	NA	NA	NA	NA
ABalppppapp	NA	NA	NA	NA	NA
ABalppppp	214	208.7	206.9	212.3	206.4
ABalpppppa	279	282.9	285.5	288	285.1
ABalpppppaa	NA	NA	NA	NA	NA
ABalpppppap	NA	NA	NA	NA	NA
ABalpppppp	259	263.2	265.5	268.9	257.8
ABalppppppa	349	NA	354.5	NA	342.6
ABalppppppaa	NA	NA	NA	NA	NA
ABalppppppap	NA	NA	NA	NA	NA
ABalppppppp	349	NA	358.3	NA	332.6
ABalpppppppa	NA	NA	NA	NA	NA
ABalpppppppp	NA	NA	NA	NA	NA
ABar	51	54.1	50.7	55.1	62.5
ABara	73	72.2	69.2	73	78.6
ABaraa	103	100.1	97.9	99	102.2
ABaraaa	132	132.8	130	132.8	133.1
ABaraaaa	171	181.2	172.3	177.7	176.1
ABaraaaaa	239	234.8	229.8	231.1	227.9
ABaraaaaaa	324	313.9	311.4	304.4	316
ABaraaaaaaa	NA	NA	NA	NA	NA
ABaraaaaaap	NA	NA	NA	NA	NA
ABaraaaaap	329	323	307.7	307.1	316
ABaraaaaapa	NA	NA	NA	NA	NA
ABaraaaaapp	NA	NA	NA	NA	NA
ABaraaaap	244	240	235	239.1	231
ABaraaaapa	324	NA	335.6	326.4	335.9
ABaraaaapaa	NA	NA	NA	NA	NA
ABaraaaapap	NA	NA	NA	NA	NA
ABaraaaapp	NA	NA	NA	NA	NA
ABaraaap	171	171.1	167.2	175	168.5
ABaraaapa	220	215.6	210.3	220.4	211
ABaraaapaa	294	297.4	289.2	296.2	291.6
ABaraaapaaa	NA	NA	NA	NA	NA
ABaraaapaap	NA	NA	NA	NA	NA
ABaraaapap	279	279.3	270.9	282.5	272.2
ABaraaapapa	NA	NA	NA	NA	NA
ABaraaapapp	NA	NA	NA	NA	NA
ABaraaapp	231	226.1	220.9	231.1	226.3
ABaraaappa	304	317.6	313.2	318.1	319.4
ABaraaappaa	NA	NA	NA	NA	NA
ABaraaappap	NA	NA	NA	NA	NA
ABaraaappp	299	299.3	302.1	307.1	309.5
ABaraaapppa	NA	NA	NA	NA	NA
ABaraaapppp	NA	NA	NA	NA	NA
ABaraap	132	132.8	130	132.8	131.7
ABaraapa	171	172.8	169	172.3	171.6
ABaraapaa	229	220.9	219.1	223	220.2
ABaraapaaa	299	308.3	302.1	296.2	311.2
ABaraapaaaa	NA	NA	NA	NA	NA
ABaraapaaap	NA	NA	NA	NA	NA
ABaraapaap	284	288.4	289.2	288	289.9
ABaraapaapa	NA	NA	NA	NA	NA
ABaraapaapp	NA	NA	NA	NA	NA
ABaraapap	229	220.9	217.3	220.4	215.6
ABaraapapa	279	275.8	280	279.9	269
ABaraapapaa	409	NA	NA	NA	NA
ABaraapapaad	NA	NA	NA	NA	NA
ABaraapapaav	NA	NA	NA	NA	NA
ABaraapapap	NA	NA	NA	NA	NA
ABaraapapp	324	324.9	302.1	315.3	324.3
ABaraapappa	NA	NA	NA	NA	NA
ABaraapappp	NA	NA	NA	NA	NA
ABaraapp	171	171.1	167.2	169.7	168.5
ABaraappa	229	220.9	217.3	220.4	214
ABaraappaa	304	302.9	300.3	296.2	309.5
ABaraappaaa	NA	NA	NA	NA	NA
ABaraappaap	NA	NA	NA	NA	NA
ABaraappap	284	290.1	285.5	285.2	278.7
ABaraappapa	NA	NA	NA	NA	NA
ABaraappapp	NA	NA	NA	NA	NA
ABaraappp	229	217.4	213.8	220.4	214
ABaraapppa	279	277.5	280	282.5	267.3
ABaraapppaa	409	NA	NA	NA	NA
ABaraapppaad	NA	NA	NA	NA	NA
ABaraapppaav	NA	NA	NA	NA	NA
ABaraapppap	NA	NA	NA	NA	NA
ABaraapppp	319	317.6	307.7	307.1	327.6
ABaraappppa	NA	NA	NA	NA	NA
ABaraappppp	NA	NA	NA	NA	NA
ABarap	103	100.1	97.9	99	103.7
ABarapa	132	131.1	131.7	132.8	133.1
ABarapaa	171	172.8	170.6	172.3	173
ABarapaaa	234	231.3	224.4	225.8	227.9
ABarapaaaa	319	315.7	304	298.9	322.7
ABarapaaaaa	NA	NA	NA	NA	NA
