Cells,WTDivMeans.Cells.,LateCalls,EarlyCalls,MissedCalls,EctopicCalls,TotalDefects,CC_Dif_pValues,WTCCMeans.Cells.,MutantCCMeans.Cells.
ABalapaappa,408.366666666667,0,0,0,0,0,NA,117.9,NA
ABalapaappaa,NA,0,0,0,0,0,NA,NA,NA
ABalapaappap,NA,0,0,0,0,0,NA,NA,NA
ABalapaappp,NA,0,0,0,0,0,NA,NA,NA
ABalapap,170.245454545455,0,0,0,0,0,0.620509584983331,34.9045454545455,34.575
ABalapapa,224.504545454545,0,0,0,0,0,0.39506963037459,52.6045454545455,50.875
ABalapapaa,NA,0,0,0,2,2,NA,NA,92.25
ABalapapaaa,NA,0,0,0,0,0,NA,NA,NA
ABalapapaap,NA,0,0,0,0,0,NA,NA,NA
ABalapapap,289.563636363636,1,0,0,0,1,0.136600634513617,63.4318181818182,70.05
ABalapapapa,400.866666666667,0,0,0,0,0,NA,110.366666666667,NA
ABalapapapaa,NA,0,0,0,0,0,NA,NA,NA
ABalapapapap,NA,0,0,0,0,0,NA,NA,NA
ABalapapapp,NA,0,0,0,0,0,NA,NA,NA
ABalapapp,217.336363636364,1,0,0,0,1,0.127448281885017,45.45,48.75
ABalapappa,277.586363636364,1,0,0,0,1,0.456089143757094,58.6454545454545,61
ABalapappaa,399.066666666667,0,0,0,0,0,NA,120.633333333333,NA
ABalapappaaa,NA,0,0,0,0,0,NA,NA,NA
ABalapappaap,NA,0,0,0,0,0,NA,NA,NA
ABalapappap,NA,0,0,0,0,0,NA,NA,NA
ABalapappp,293.05,3,0,0,0,3,0.0499265151602637,74.1045454545455,85.75
ABalapapppa,NA,0,0,0,0,0,NA,NA,NA
ABalapapppp,NA,0,0,0,0,0,NA,NA,NA
ABalapp,133.759090909091,0,0,0,0,0,0.48536722793739,30.45,30.925
ABalappa,177.286363636364,0,0,0,0,0,0.70278444248793,41.8863636363636,41.55
ABalappaa,238.009090909091,0,0,0,0,0,0.333522196017415,59.1,57.925
ABalappaaa,NA,0,0,0,0,0,NA,NA,NA
ABalappaap,337.869230769231,0,2,0,0,2,0.0641836676198906,98.2307692307692,82.95
ABalappaapa,NA,0,0,0,0,0,NA,NA,NA
ABalappaapp,NA,0,0,0,0,0,NA,NA,NA
ABalappap,226.290909090909,0,0,0,0,0,0.411117710423513,47.3681818181818,47.975
ABalappapa,330.76875,0,0,0,0,0,NA,102.86875,92.7
ABalappapaa,NA,0,0,0,0,0,NA,NA,NA
ABalappapap,NA,0,0,0,0,0,NA,NA,NA
ABalappapp,293.595454545455,0,0,0,0,0,0.0552404379225987,65.6863636363636,67.65
ABalappappa,NA,0,0,0,0,0,NA,NA,NA
ABalappappp,NA,0,0,0,0,0,NA,NA,NA
ABalappp,170.627272727273,0,0,0,0,0,0.246772444533407,35.2045454545455,36.2
ABalapppa,217.754545454545,0,0,0,0,0,0.0137314497879238,45.4909090909091,48.575
ABalapppaa,294.031818181818,0,0,0,0,0,0.0820894799487169,74.6545454545455,80.25
ABalapppaaa,NA,0,0,0,0,0,NA,NA,NA
ABalapppaap,NA,0,0,0,0,0,NA,NA,NA
ABalapppap,283.104545454545,1,0,0,0,1,0.238918185317122,63.7363636363636,72.7
ABalapppapa,400.266666666667,0,0,0,0,0,NA,115.2,NA
ABalapppapaa,NA,0,0,0,0,0,NA,NA,NA
ABalapppapap,NA,0,0,0,0,0,NA,NA,NA
ABalapppapp,NA,0,0,0,0,0,NA,NA,NA
ABalapppp,217.604545454545,0,0,0,0,0,0.221887653915151,45.35,48.275
ABalappppa,277.381818181818,0,0,0,0,0,0.803270118620575,58.1409090909091,57.95
ABalappppaa,398.5,0,0,0,0,0,NA,120.033333333333,NA
ABalappppaaa,NA,0,0,0,0,0,NA,NA,NA
ABalappppaap,NA,0,0,0,0,0,NA,NA,NA
ABalappppap,NA,0,0,0,0,0,NA,NA,NA
ABalappppp,289.836363636364,0,0,0,0,0,0.915304151093747,70.6045454545455,70.85
ABalapppppa,NA,0,0,0,0,0,NA,NA,NA
ABalapppppp,NA,0,0,0,0,0,NA,NA,NA
ABalp,74.0136363636364,0,0,0,0,0,0.333786233608794,17.2363636363636,16.225
ABalpa,101.372727272727,0,0,0,0,0,0.242385782595828,25.6136363636364,24.575
ABalpaa,132.75,0,0,0,0,0,0.676159354024475,29.6727272727273,29.325
ABalpaaa,176.472727272727,0,0,0,0,0,0.31666668601452,42.0863636363636,41.15
ABalpaaaa,231.3,0,0,0,0,0,0.0253069223974348,53.1818181818182,55.4
ABalpaaaaa,306.322727272727,1,0,0,0,1,0.251806095338469,73.3818181818182,80.5
ABalpaaaaaa,NA,0,0,0,0,0,NA,NA,NA
ABalpaaaaap,NA,0,0,0,0,0,NA,NA,NA
ABalpaaaap,316.554545454545,1,0,0,0,1,0.937508171311265,83.6136363636364,84.375
ABalpaaaapa,NA,0,0,0,0,0,NA,NA,NA
ABalpaaaapp,NA,0,0,0,0,0,NA,NA,NA
ABalpaaap,229.377272727273,2,0,0,0,2,0.205909940397883,51.2636363636364,54.85
ABalpaaapa,313.97619047619,1,0,0,0,1,0.321322572162372,82.9809523809524,90.65
