"","Cells","20220915_JIM712_ceh.32_L4","20220923_JIM712_ceh.32_L4","20221004_JIM712_ceh.32_L2","20221004_JIM712_ceh.32_L4"
"AB","AB",NA,NA,NA,NA
"ABa","ABa",NA,NA,NA,0.170602480750371
"ABal","ABal",0.182726035645045,0.224217927315001,0.172054518467561,0.104168804997416
"ABala","ABala",0.0718943656797734,0.0747411175721541,0.0904228899562772,0.0728299911417756
"ABalaa","ABalaa",0.179609620175333,0.146062652218364,0.199663419738232,0.137710266361442
"ABalaaa","ABalaaa",0.237664788169862,0.184604135951201,0.198249392356561,0.158783545279914
"ABalaaaa","ABalaaaa",0.524496139340847,0.358303819236858,0.545962818297014,0.460406334965889
"ABalaaaal","ABalaaaal",0.864100071457068,0.95502206320962,0.746682628246152,1.14274437716836
"ABalaaaala","ABalaaaala",1.33580054149744,0.945529429023129,0.82720550154532,1.23612853414032
"ABalaaaalal","ABalaaaalal",1.39097568281271,0.951732776893624,1.00373456470629,NA
"ABalaaaalar","ABalaaaalar",1.71334724610139,0.867651338694819,0.940956408075593,NA
"ABalaaaalp","ABalaaaalp",1.27494359555012,1.76997467227127,0.80635956352124,1.46859899545108
"ABalaaaalpa","ABalaaaalpa",1.56994401965781,1.8703936317113,0.9659458645682,1.44646371695991
"ABalaaaalpp","ABalaaaalpp",1.22760544142713,2.06230676266756,1.03189888491841,1.30346861158686
"ABalaaaar","ABalaaaar",0.50610081088675,0.682387688217879,0.553085499285713,1.09681769458136
"ABalaaaarl","ABalaaaarl",0.934537087568547,0.997158056298168,0.809437713964448,1.21948231588705
"ABalaaaarla","ABalaaaarla",1.31732336011935,1.08485535053409,0.939151020471505,1.4564287490221
"ABalaaaarlp","ABalaaaarlp",1.28374858893255,1.58589809901781,0.901315778902292,1.75216739169102
"ABalaaaarr","ABalaaaarr",1.11722763282388,1.52034029390276,1.06623872563651,1.38417941865555
"ABalaaaarra","ABalaaaarra",1.10436474381349,1.67572647482921,1.22575448302807,1.27617439440394
"ABalaaaarrp","ABalaaaarrp",1.25041286061198,1.81005042775526,1.03374450544585,1.47730358140499
"ABalaaap","ABalaaap",0.366617450108316,0.379350741463627,0.397289563925362,0.370921732005216
"ABalaaapa","ABalaaapa",0.590668449234394,0.542502927007473,0.621340641409755,0.745456527446554
"ABalaaapal","ABalaaapal",1.12902784444529,0.9109167940258,0.826195050876832,1.22299173772437
"ABalaaapall","ABalaaapall",1.69820659401294,1.35222443054669,0.759661547471597,1.5970806937425
"ABalaaapalr","ABalaaapalr",0.918681976921088,1.30597382499081,0.7477383671266,1.16995886076084
"ABalaaapar","ABalaaapar",0.632183408800778,1.22993959889891,0.722137845170812,1.26368380587546
"ABalaaaparl","ABalaaaparl",1.04580888543004,1.46620290077843,0.918561180929691,1.17750174799252
"ABalaaaparr","ABalaaaparr",1.30188985626872,1.40194285652822,0.847347077625405,1.30684155502053
"ABalaaapp","ABalaaapp",0.529777568851027,0.905134309510619,0.541477414695855,0.861593211135469
"ABalaaappl","ABalaaappl",0.579007445548485,1.11511502088185,0.833288114165508,1.15179478710054
"ABalaaappll","ABalaaappll",0.970060819267771,1.25220094041774,1.06322665591456,1.65701750453887
"ABalaaapplr","ABalaaapplr",0.895923431231031,1.51264650160985,1.21892367236892,1.38372151928979
"ABalaaappr","ABalaaappr",0.540010635116125,1.15711789711175,0.969629388409084,1.53595471673943
"ABalaaapprl","ABalaaapprl",0.859814468877165,1.59564774875176,1.06812948020958,1.50578385297296
"ABalaaapprr","ABalaaapprr",0.757530767557155,1.79668309871257,1.4556700081311,1.50241595066164
"ABalaap","ABalaap",0.349334046969479,0.229143082103803,0.330171920611839,0.241486798263805
"ABalaapa","ABalaapa",0.488889665854225,0.382581748294564,0.610467711795659,0.472737153317659
"ABalaapaa","ABalaapaa",0.48050695685121,0.789239053180414,0.550647156501942,0.857216849003833
"ABalaapaaa","ABalaapaaa",0.768892142716547,1.31899920067013,0.851851229736368,1.52607721115498
"ABalaapaaal","ABalaapaaal",1.23769923302028,NA,1.21687602982504,NA
"ABalaapaaar","ABalaapaaar",0.82035327024835,NA,1.04060997023852,NA
"ABalaapaap","ABalaapaap",0.667518247137212,1.53520503597071,0.766845576740103,1.65402274390675
"ABalaapaapa","ABalaapaapa",0.885981293413173,1.43782587280991,1.03050395210774,0.779781502533948
"ABalaapaapp","ABalaapaapp",0.899107885572179,1.88639367211054,0.773287394656182,1.05732839291269
"ABalaapap","ABalaapap",0.551675586870541,0.809543334954327,1.0886844999756,1.11274889702826
"ABalaapapa","ABalaapapa",0.837390198282457,1.17680802186492,1.52014448259978,1.5588351018982
"ABalaapapp","ABalaapapp",0.550566297901788,1.52059340370518,1.22884003091595,1.53279573284505
"ABalaapappa","ABalaapappa",1.40599436599775,1.77473510029853,1.39109736505321,1.66465788509876
"ABalaapappp","ABalaapappp",1.11168827086368,2.04873098188356,2.05439433291301,1.95408359545045
"ABalaapp","ABalaapp",0.58594524299748,0.701715784838081,0.800432523145941,0.609648004262298
"ABalaappa","ABalaappa",0.522699719720893,0.791102422427704,0.537528693997653,1.01147000485811
"ABalaappaa","ABalaappaa",0.979315954816364,1.31975775761402,1.21075952591294,1.53782987203276
"ABalaappap","ABalaappap",0.655264382044831,1.32808088986079,0.802994667291335,1.50841936698375
"ABalaappapa","ABalaappapa",0.894898056259334,1.72479151591105,1.03593411449308,1.58879119668187
"ABalaappapp","ABalaappapp",0.848821188777742,2.19333730176369,0.941325386077822,1.82034065871051
"ABalaappp","ABalaappp",0.482432422288097,0.899508990650252,0.491538766514349,0.832439657460951
"ABalaapppa","ABalaapppa",0.667064880296494,1.66576886222643,0.808584780473398,1.08811617234193
"ABalaapppaa","ABalaapppaa",0.816457150143043,1.46620778790011,0.946880563743163,1.68556432433554
"ABalaapppap","ABalaapppap",1.34645402448594,1.58003727879651,0.903119134823739,1.40519974666387
"ABalaapppp","ABalaapppp",0.449908128446344,1.57964712398594,0.678696111085675,0.910541226980442
"ABalaappppa","ABalaappppa",0.749670838542144,2.23219081263088,1.13409384892283,1.37623726797454
"ABalaappppp","ABalaappppp",0.685776340179956,2.2748863067375,1.01783811007191,1.18988193806332
"ABalap","ABalap",0.165371071064633,0.163551105721439,0.174591657178098,0.143454503319489
"ABalapa","ABalapa",0.212671604658763,0.192626478582982,0.228716621764228,0.198084401971345
"ABalapaa","ABalapaa",0.455258785725307,0.323421863126533,0.404733718639709,0.362274328411223
"ABalapaaa","ABalapaaa",0.77628964451439,0.84807898425262,0.660800180523804,0.915156579295868
"ABalapaaaa","ABalapaaaa",0.881708047712227,0.86302747527604,0.858396566340773,1.15451716348079
"ABalapaaaaa","ABalapaaaaa",NA,NA,1.16070165821571,NA
"ABalapaaaap","ABalapaaaap",NA,NA,1.15259899243978,NA
"ABalapaaap","ABalapaaap",0.708947105528297,0.94916027671588,0.6612288208015,1.39273165199125
"ABalapaaapa","ABalapaaapa",0.892447757198013,1.05326690126587,0.855617036355588,1.07554646636424
"ABalapaaapp","ABalapaaapp",0.815579762288243,0.97840513480546,0.821395224408996,1.74044349486202
"ABalapaap","ABalapaap",0.760765642736041,0.601736838815026,0.626215133940612,0.661967378191407
"ABalapaapa","ABalapaapa",0.799155300490928,0.715785889678458,0.881134321400232,1.07592299468611
"ABalapaapaa","ABalapaapaa",1.00670024691702,1.14854564931551,1.11706813888309,NA
"ABalapaapap","ABalapaapap",0.893536585939483,1.12098401636363,1.01238389917267,NA
"ABalapaapp","ABalapaapp",0.712276074351445,0.695046934496268,0.642886942087563,0.919584114642163
"ABalapaappa","ABalapaappa",0.871184406859009,0.994007819087005,0.836579678102804,1.01237488234098
"ABalapaappp","ABalapaappp",0.906420512220428,0.90573999826947,0.887838465522322,0.982495966739158
"ABalapap","ABalapap",0.444255392694672,0.322600997265612,0.388530044174818,0.361101021901741
"ABalapapa","ABalapapa",0.52027106400287,0.659789960516732,0.516493391730018,0.725876595993565
"ABalapapaa","ABalapapaa",0.918398923981999,0.993138833508045,0.955135847132051,1.02057335130715
"ABalapapap","ABalapapap",0.582023534553895,0.742806296008215,0.71942761031858,0.842762198240789
"ABalapapapa","ABalapapapa",0.883881850014126,0.959255835194678,1.04775412322033,1.25722671890044
"ABalapapapp","ABalapapapp",0.796215137401673,1.08168206080463,1.14680916523228,1.07777791399039
"ABalapapp","ABalapapp",0.53561797376008,0.489029495606249,0.55500813641188,0.671407996743465
"ABalapappa","ABalapappa",0.638290520415451,0.577793128509791,0.695530308916,0.835878370923848
"ABalapappaa","ABalapappaa",0.871608820015698,1.03181246118019,0.957413165410165,1.16517638138669
"ABalapappap","ABalapappap",0.848999349430527,0.910986962105461,0.905698637699994,1.00891417462127
"ABalapappp","ABalapappp",0.672075357423838,0.680377579467653,0.699225033593664,0.767158479253732
"ABalapapppa","ABalapapppa",0.7778643867843,0.868123945625263,1.04001403789754,0.78763960939632
"ABalapapppp","ABalapapppp",0.716718385277564,0.924668066651529,0.958824744475041,0.692341277790559
"ABalapp","ABalapp",0.31842876614574,0.241943162435239,0.319711106026449,0.229477673893876
"ABalappa","ABalappa",0.486709804588127,0.53373265257601,0.500270701290485,0.393876340138631
"ABalappaa","ABalappaa",0.63066404157909,0.798904075498243,0.617574640870771,0.833868443145131
"ABalappaaa","ABalappaaa",0.787551734480997,1.15842055533034,0.98546985026105,1.55819276969298
"ABalappaap","ABalappaap",0.808680119335974,1.04255115835236,1.12268513829067,1.48035232004993
"ABalappaapa","ABalappaapa",0.882355991028523,0.92300749514908,1.07663045652366,0.941412801896492
"ABalappaapp","ABalappaapp",0.926719926237985,0.927468603660144,1.15806487033795,1.35264595180533
"ABalappap","ABalappap",0.550910008319396,0.649790843344617,0.490644148016215,0.752644794872608
"ABalappapa","ABalappapa",0.61413097680303,1.29559480068647,0.885616020085845,1.0190180126859
"ABalappapaa","ABalappapaa",NA,NA,1.23515105534846,NA
"ABalappapap","ABalappapap",NA,NA,1.36279502823935,NA
"ABalappapp","ABalappapp",0.520173292121173,1.05853904300891,0.681818904650557,0.70791042672003
"ABalappappa","ABalappappa",0.685127604189102,1.30128538857623,1.23374087684218,1.21135226996514
"ABalappappp","ABalappappp",0.571793541604258,1.43230045333704,0.986351378452423,0.889040749360138
"ABalappp","ABalappp",0.424182429414191,0.458593919609877,0.531833769632699,0.402010984285124
"ABalapppa","ABalapppa",0.52667956689528,0.70295435210774,0.539837410934962,0.695261613829488
