Cell	20081128_sulston	20221004_JIM712_ceh-32_L4	20221004_JIM712_ceh-32_L2	20220915_JIM712_ceh-32_L4	20220923_JIM712_ceh-32_L4
ABalapppp	214	183.1	157.7	160.4	165.6
ABalappppa	279	236.8	210.5	217.2	226.8
ABalappppaa	394	NA	NA	NA	NA
ABalappppaaa	NA	NA	NA	NA	NA
ABalappppaap	NA	NA	NA	NA	NA
ABalappppap	NA	NA	NA	NA	NA
ABalappppp	289	246.7	223.7	224.7	245
ABalapppppa	NA	NA	NA	NA	NA
ABalapppppp	NA	NA	NA	NA	NA
ABalp	73	46.6	22.5	23.4	24
ABalpa	103	72.2	46.6	47.1	49.6
ABalpaa	132	100.7	73.7	78	79.7
ABalpaaa	171	140.5	111.4	116.5	125.1
ABalpaaaa	234	192.7	160.9	170.2	184.6
ABalpaaaaa	319	266.8	236.9	234.7	280.2
ABalpaaaaaa	NA	NA	NA	NA	NA
ABalpaaaaap	NA	NA	NA	NA	NA
ABalpaaaap	319	268.5	225.3	242.2	299
ABalpaaaapa	NA	NA	NA	NA	NA
ABalpaaaapp	NA	NA	NA	NA	NA
ABalpaaap	234	189.5	164.1	165.3	187.8
ABalpaaapa	344	273.5	241.8	239.7	300.7
ABalpaaapaa	NA	NA	NA	NA	NA
ABalpaaapap	NA	NA	NA	NA	NA
ABalpaaapp	339	NA	251.8	237.2	292.1
ABalpaaappa	NA	NA	NA	NA	NA
ABalpaaappp	NA	NA	NA	NA	NA
ABalpaap	171	134.3	106.8	109.3	114.4
ABalpaapa	220	175.1	146.8	150.6	157.7
ABalpaapaa	299	243.4	212.2	214.7	235.1
ABalpaapaaa	NA	NA	NA	NA	NA
ABalpaapaap	NA	NA	NA	NA	NA
ABalpaapap	279	225.3	192.7	197.4	218.6
ABalpaapapa	NA	NA	NA	NA	NA
ABalpaapapp	NA	NA	NA	NA	NA
ABalpaapp	229	179.9	154.6	155.5	167.1
ABalpaappa	304	261.8	231.9	229.7	268.4
ABalpaappaa	NA	NA	NA	NA	NA
ABalpaappap	NA	NA	NA	NA	NA
ABalpaappp	294	248.4	228.6	222.2	245
ABalpaapppa	NA	NA	NA	NA	NA
ABalpaapppp	NA	NA	NA	NA	NA
ABalpap	132	100.7	73.7	75.6	79.7
ABalpapa	171	137.4	106.8	111.7	122
ABalpapaa	224	184.7	153	160.4	176.6
ABalpapaaa	284	246.7	218.7	222.2	260
ABalpapaaaa	NA	NA	NA	NA	NA
ABalpapaaap	NA	NA	NA	NA	NA
ABalpapaap	309	256.7	230.3	234.7	255
ABalpapaapa	NA	NA	NA	NA	NA
ABalpapaapp	NA	NA	NA	NA	NA
ABalpapap	224	184.7	151.5	158	175
ABalpapapa	284	248.4	218.7	224.7	250
ABalpapapaa	NA	NA	NA	NA	NA
ABalpapapap	389	NA	NA	NA	NA
ABalpapapapa	NA	NA	NA	NA	NA
ABalpapapapp	NA	NA	NA	NA	NA
ABalpapapp	304	245.1	220.4	224.7	268.4
ABalpapappa	NA	NA	NA	NA	NA
ABalpapappp	NA	NA	NA	NA	NA
ABalpapp	171	134.3	105.3	109.3	117.4
ABalpappa	214	175.1	145.2	150.6	160.8
ABalpappaa	299	246.7	213.8	219.7	245
ABalpappaaa	NA	NA	NA	NA	NA
ABalpappaap	389	NA	NA	NA	NA
ABalpappaapa	NA	NA	NA	NA	NA
ABalpappaapp	NA	NA	NA	NA	NA
ABalpappap	269	226.9	202.4	202.3	220.2
ABalpappapa	NA	NA	NA	NA	NA
ABalpappapp	NA	NA	NA	NA	NA
ABalpappp	211	179.9	146.8	153.1	162.4
ABalpapppa	319	NA	250.2	249.8	290.4
ABalpapppaa	NA	NA	NA	NA	NA
ABalpapppap	NA	NA	NA	NA	NA
ABalpapppp	259	230.2	192.7	199.8	223.5
ABalpappppa	NA	NA	NA	NA	NA
ABalpappppp	NA	NA	NA	NA	NA
ABalpp	103	73.7	45.1	47.1	49.6
ABalppa	132	102.3	75.2	75.6	79.7
ABalppaa	171	142.1	115.9	114.1	126.6
ABalppaaa	234	199.1	165.6	165.3	186.2
ABalppaaaa	NA	NA	NA	NA	NA
ABalppaaap	299	NA	236.9	234.7	265
ABalppaaapa	NA	NA	NA	NA	NA
ABalppaaapp	NA	NA	NA	NA	NA
ABalppaap	229	191.1	164.1	165.3	178.2
ABalppaapa	NA	NA	NA	NA	NA
ABalppaapp	304	255.1	235.2	229.7	258.3
ABalppaappa	NA	NA	NA	NA	NA
ABalppaappp	NA	NA	NA	NA	NA
ABalppap	171	135.9	108.3	109.3	119
ABalppapa	219	178.3	153	155.5	168.7
ABalppapaa	299	250.1	231.9	232.2	250
ABalppapaaa	NA	NA	NA	NA	NA
ABalppapaap	NA	NA	NA	NA	NA
ABalppapap	294	245.1	227	224.7	255
ABalppapapa	NA	NA	NA	NA	NA
ABalppapapp	NA	NA	NA	NA	NA
ABalppapp	214	176.7	149.9	150.6	165.6
ABalppappa	289	251.7	227	229.7	251.7
ABalppappaa	NA	NA	NA	NA	NA
ABalppappap	NA	NA	NA	NA	NA
ABalppappp	284	240.1	213.8	212.3	238.4
ABalppapppa	409	NA	NA	NA	NA
ABalppapppaa	NA	NA	NA	NA	NA
ABalppapppap	NA	NA	NA	NA	NA
ABalppapppp	NA	NA	NA	NA	NA
ABalppp	132	100.7	73.7	75.6	78.2
ABalpppa	171	137.4	109.9	111.7	120.5
ABalpppaa	234	187.9	159.3	165.3	176.6
ABalpppaaa	314	266.8	243.5	242.2	268.4
ABalpppaaaa	NA	NA	NA	NA	NA
ABalpppaaap	NA	NA	NA	NA	NA
ABalpppaap	324	261.8	240.2	244.7	265
ABalpppaapd	NA	NA	NA	NA	NA
ABalpppaapv	NA	NA	NA	NA	NA
ABalpppap	224	179.9	156.2	158	168.7
ABalpppapa	299	265.1	233.6	232.2	258.3
ABalpppapad	NA	NA	NA	NA	NA
ABalpppapav	NA	NA	NA	NA	NA
ABalpppapp	284	240.1	223.7	222.2	235.1
ABalpppappa	NA	NA	NA	NA	NA
