"","Cells","20220915_JIM712_ceh.32_L4","20220923_JIM712_ceh.32_L4","20221004_JIM712_ceh.32_L2","20221004_JIM712_ceh.32_L4"
"ABalapa","ABalapa",1.39819012350178,3.09885077817595,3.94549253893337,2.05219983647855
"ABalapaa","ABalapaa",3.02333867911304,1.78601282319939,2.95301144519381,2.21029706252139
"ABalapaaa","ABalapaaa",4.5779546167813,5.02645528533616,2.63067618052633,3.48940105112294
"ABalapaaaa","ABalapaaaa",2.15983455773567,2.94168490188033,2.31930846875782,5.07251917764042
"ABalapaaaaa","ABalapaaaaa",NA,NA,2.1584225108571,NA
"ABalapaaaap","ABalapaaaap",NA,NA,1.74279723241332,NA
"ABalapaaap","ABalapaaap",2.64311066081812,4.79371207248165,2.22040918040933,7.39696671442322
"ABalapaaapa","ABalapaaapa",3.10650291275888,3.84408577219465,4.81207140136191,4.73966442002398
"ABalapaaapp","ABalapaaapp",2.99949005972208,4.79928799848471,4.49001755120292,10.0403784644943
"ABalapaap","ABalapaap",3.19281058836005,2.07576383940245,2.43657057877723,2.64623513618073
"ABalapaapa","ABalapaapa",2.19584547757151,1.43879117010862,3.17586508597501,3.10208985079736
"ABalapaapaa","ABalapaapaa",0.59154675438967,2.81716700827291,4.29634022584022,NA
"ABalapaapap","ABalapaapap",2.76526729113055,3.699482039487,3.37785199391321,NA
"ABalapaapp","ABalapaapp",1.71280244637929,1.77625561993658,2.46896389620728,3.07968069235572
"ABalapaappa","ABalapaappa",1.42030783264316,2.6790572782233,2.70264370149038,3.08234162102334
"ABalapaappp","ABalapaappp",1.86274890364619,1.73303619259928,2.81507543982073,3.36159176019524
"ABalapap","ABalapap",2.28267769641507,2.72821892955837,4.2597362971123,1.76469551300291
"ABalapapa","ABalapapa",3.06499577959004,2.86048958697715,1.88589086808946,4.03334065826339
"ABalapapaa","ABalapapaa",1.91714421882006,4.32428459821414,2.79507272942817,2.4150889223214
"ABalapapap","ABalapapap",1.59893691291618,2.02830050337205,1.53337818724368,1.91429614717161
"ABalapapapa","ABalapapapa",2.33435793478637,2.94065919971355,2.74029810477839,3.2560900236346
"ABalapapapp","ABalapapapp",2.75761973948897,3.95285079110448,2.19582907872859,2.8629626030293
"ABalapapp","ABalapapp",3.14798113854653,2.35718131304329,2.59963199924377,2.60073551992327
"ABalapappa","ABalapappa",1.12756659284957,1.22877243660375,1.35497518747505,3.41050163207251
"ABalapappaa","ABalapappaa",3.70819074111568,2.40077170371156,3.91747251073635,2.72745951331249
"ABalapappap","ABalapappap",3.5625912083023,2.05448823967514,3.51752699428479,1.4740452223086
"ABalapappp","ABalapappp",1.87668608671848,3.07622407358881,2.13786697574697,2.69247280741522
"ABalapapppa","ABalapapppa",3.90566285593982,2.93938520129939,4.03617885324221,1.15055751518584
"ABalapapppp","ABalapapppp",3.52187201798446,3.68303358893557,3.78435112462393,1.55434227670473
"ABalapp","ABalapp",1.29543577777438,1.39289664240878,3.3649435590089,2.04198097333073
"ABalappa","ABalappa",2.58862781825708,2.73007068524835,4.38225121174636,2.93575682723731
"ABalappaa","ABalappaa",3.58899886534102,3.59968136463297,3.32813964079901,4.77347329156902
"ABalappaaa","ABalappaaa",3.36644551698025,2.64492023881687,2.63396448474868,7.00610537699021
"ABalappaap","ABalappaap",3.16225678437735,3.04926386809582,4.30642320669445,5.15223967745991
"ABalappaapa","ABalappaapa",3.52484199907159,2.32782699158184,3.30721243959301,NA
"ABalappaapp","ABalappaapp",2.75859880667018,3.09016357734812,2.64270172080202,NA
"ABalappap","ABalappap",5.14567020114663,4.39922835685232,1.93489419262093,5.70575120801322
"ABalappapa","ABalappapa",1.96584667286989,3.56998926980927,2.79832581213106,4.34668734098331
"ABalappapaa","ABalappapaa",NA,NA,1.33756578245622,NA
"ABalappapap","ABalappapap",NA,NA,2.06929791071939,NA
"ABalappapp","ABalappapp",2.15034388109771,4.6379204967588,2.56161572212175,4.01560788910315
"ABalappappa","ABalappappa",3.8194828597839,4.14891817716401,6.00808273011373,6.26432839699114
"ABalappappp","ABalappappp",3.25887277308789,2.80311888046755,5.41087382946278,2.41880529075453
"ABalappp","ABalappp",1.62213758409989,3.31040624865331,3.01076346520527,2.48028844986975
"ABalapppa","ABalapppa",2.41455519442654,4.24807198048422,1.13775134393189,4.41570521247158
"ABalapppaa","ABalapppaa",1.61351052945038,3.64777306314071,1.78750314145083,3.63875550639843
"ABalapppaaa","ABalapppaaa",3.95829553808154,1.75034312687296,2.91385564199905,3.94227987980881
"ABalapppaap","ABalapppaap",3.55839622804897,2.39723709299515,2.92883811788483,3.95536122405439
"ABalapppap","ABalapppap",1.4698738616606,4.32465245812048,3.28910346384848,3.51561227195474
"ABalapppapa","ABalapppapa",2.59667900173837,2.20220096833828,3.44931984939632,2.19774339760359
"ABalapppapp","ABalapppapp",2.51130956793224,2.76855923333893,4.35671075751557,2.27675279460311
"ABalapppp","ABalapppp",2.38709744735099,4.8481322930791,2.28724099449542,5.16319082511402
"ABalappppa","ABalappppa",1.47027860822351,4.06663741923924,1.59294646769713,2.97190380968809
"ABalappppaa","ABalappppaa",3.55173110035579,2.36783132639062,4.1095945708802,4.06445534926079
"ABalappppap","ABalappppap",3.05755414549939,1.56222301203137,3.81750063405331,2.0987091357073
"ABalappppp","ABalappppp",1.59094584150044,3.05984890746228,2.24665806774241,2.59054940915813
"ABalapppppa","ABalapppppa",3.30159175462804,1.71259072972882,4.01763449337082,1.54775169007295
"ABalapppppp","ABalapppppp",3.61213229781025,1.75200533594034,4.49290660187906,1.10387651831695
"ABalp","ABalp",2.08943247650332,1.06618679819699,2.95950909383161,3.01827896003388
