"Cells","Fates","Times","CC_Defects","Pos_Defects","Angle_Defects","Cell_Count","Division_Count","Expression","ceh36_peak.Cells.","unc30_peak.Cells.","mls2_peak.Cells.","nob1_peak.Cells.","ceh13_peak.Cells.","MeanMaxPositionDev","MeanMeanPositionDev"
"ABalaappap",NA,230,0,0,0,4,3,17246,0,0,0,0,0,7.78196590907119,4.79111017332674
"ABalaappapa","AVAR",308,0,3,0,4,0,17246,0,399,0,0,0,7.74574530607116,6.53163165862943
"ABalaappapp","OLQsoVR",308,0,2,0,4,0,17246,0,0,0,0,0,10.4574767980916,8.64641681985057
"ABalaappp",NA,175,0,0,0,4,4,10880,0,0,0,0,0,6.86376111476922,5.02051730179361
"ABalaapppa",NA,223,1,0,0,4,4,28164,0,0,0,0,0,6.85900072470131,4.75446263943645
"ABalaapppaa","RIAR",316,0,2,0,4,0,28164,0,0,0,0,0,7.9219711384457,6.82035635578103
"ABalaapppap","death",316,0,2,0,4,0,28164,0,0,0,0,0,8.0305704303214,6.76977295596501
"ABalaapppp",NA,223,1,0,0,4,4,31475,0,0,0,0,0,7.11128014211571,4.92576791317813
"ABalaappppa",NA,289,0,1,0,4,0,31475,0,0,24,0,0,7.41461637288331,6.50376061134168
"ABalaappppaa","IL1R",400,0,0,0,NA,0,31475,0,0,24,0,0,NA,NA
"ABalaappppap","death",400,0,0,0,NA,0,31475,0,0,24,0,0,NA,NA
"ABalaappppp","IL2R",289,0,2,0,4,0,39406,0,0,0,0,0,8.37653804316716,7.13212997329796
"ABalap",NA,75,0,0,0,4,3,51,0,0,0,0,0,3.91092027800456,3.10944001442374
"ABalapa",NA,103,0,0,0,4,4,110,0,0,0,0,217,3.78235905634207,2.62368331927241
"ABalapaa",NA,135,0,0,0,4,4,2096,0,0,0,0,217,4.13787509427486,2.49316500250691
"ABalapaaa",NA,175,0,0,1,4,3,8288,0,0,0,0,217,5.71647909726078,3.93112178344168
"ABalapaaaa",NA,229,0,1,0,4,4,8632,0,0,171,0,217,5.16025652945623,3.12333677650356
"ABalapaaaaa","AVHL",348,0,0,0,1,0,21314,0,0,171,0,217,3.01197609552267,2.1584225108571
"ABalapaaaap","death",348,0,0,0,1,0,13962,0,0,171,0,217,2.30911238357946,1.74279723241332
"ABalapaaap",NA,229,0,0,0,4,4,11199,0,0,0,0,217,5.85217744421477,4.26354965703308
"ABalapaaapa","CANL",301,0,3,0,4,0,11199,0,132,4,0,217,5.51974132481567,4.12558112658485
"ABalapaaapp","OLLsoL",301,0,3,0,4,0,11199,0,119,0,0,217,7.12047850300864,5.582293518476
"ABalapaap",NA,175,0,0,0,4,4,8540,0,0,0,0,217,4.08019478731361,2.58784503568012
"ABalapaapa",NA,225,0,0,0,4,4,17036,0,0,0,0,217,4.44661612953825,2.47814789611312
"ABalapaapaa","RIAL",321,0,0,0,3,0,17036,0,0,0,0,217,3.34029491194034,2.56835132950093
"ABalapaapap","death",321,0,0,0,3,0,17036,0,0,0,0,217,4.01816068219087,3.28086710817692
"ABalapaapp",NA,225,0,0,0,4,4,22341,0,0,0,0,217,3.72680849184565,2.25942566371972
"ABalapaappa",NA,291,0,0,0,4,0,23347,0,54,0,0,217,3.79939608700948,2.47108760834505
"ABalapaappaa","IL1L",400,0,0,0,NA,0,23347,0,54,0,0,217,NA,NA
"ABalapaappap","death",400,0,0,0,NA,0,23347,0,54,0,0,217,NA,NA
"ABalapaappp","IL2L",291,0,0,0,4,0,30160,0,0,0,0,217,3.62915525675246,2.44311307406536
"ABalapap",NA,135,0,0,0,4,4,1572,0,0,0,0,217,4.03449020084706,2.75883210902216
"ABalapapa",NA,171,0,0,0,4,4,2560,4,0,917,0,217,4.4160224320609,2.96117922323001
"ABalapapaa","death",226,2,0,0,4,0,3301,4,0,1349,0,217,5.06777436628403,2.86289761719594
"ABalapapaaa",NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"ABalapapaap",NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"ABalapapap",NA,226,1,0,0,4,4,3034,4,0,2411,37,217,3.12586095824695,1.76872793767588
"ABalapapapa",NA,291,0,0,0,4,0,16680,4,0,2411,37,217,3.94268201015178,2.81785131572823
"ABalapapapaa","OLQDL",400,0,0,0,NA,0,16680,4,0,2411,37,217,NA,NA
"ABalapapapap","death",400,0,0,0,NA,0,16680,4,0,2411,37,217,NA,NA
"ABalapapapp","URYDL",291,0,1,0,4,0,10234,4,0,2411,37,217,4.65582177654128,2.94231555308783
