series	parent	daughter1	x1	y1	z1	daughter2	x2	y2	z2	dx	dy	dz	refx	refy	refz	dot
20220915_JIM712_ceh-32_L4	AB	ABa	-30.6362658693205	0.34006065536344	14	ABp	-11.1025166379706	-3.65450076821462	10	0.960583917092576	-0.196434970771986	-0.196702416052506	0.761663424615479	-0.512932353682236	-0.0539190446483779	0.843005494180437
20220915_JIM712_ceh-32_L4	ABa	ABal	-31.8352335501219	0.616242661283105	16	ABar	-19.2873094613654	-14.5212553176698	20	0.62537152404904	-0.754432375779954	0.199354576781159	0.267321344951963	-0.387703795413468	0.560700440856913	0.571449651464175
20220915_JIM712_ceh-32_L4	ABal	ABala	-31.0768496857023	-4.86131280755407	17.5	ABalp	-26.8554593884849	0.857997287077901	21	0.532773511526144	0.721823074410476	0.441728236209448	0.347193663487952	0.409712638120011	0.734965142874175	0.80537047958595
20220915_JIM712_ceh-32_L4	ABala	ABalaa	-30.0611317467876	-8.12549004976487	24	ABalap	-27.6995848549443	-9.93205814358949	17.5	0.330389400594837	-0.252745753943756	-0.909374745546624	0.438969301403456	-0.175802873448653	-0.805279949754001	0.921765483566823
20220915_JIM712_ceh-32_L4	ABalaa	ABalaaa	-30.9104867856056	-5.78344478589092	23.5	ABalaap	-26.3375227567705	-2.92280919375768	25.5	0.794904661938162	0.497255730409093	0.347654019111381	0.509266734486307	0.67774597121396	0.379815353072066	0.873875903376719
20220915_JIM712_ceh-32_L4	ABalaaa	ABalaaaa	-29.6946322630143	-2.14949957718261	26	ABalaaap	-29.4535313337643	-5.48776115200186	21	0.0400711570145093	-0.554821601626447	-0.831003786239379	0.245702381385887	-0.314717231521662	-0.847462604108424	0.888702129866026
20220915_JIM712_ceh-32_L4	ABalaaaa	ABalaaaal	-31.2425588892541	-5.58069341603488	20	ABalaaaar	-30.300271586403	-9.71176623539859	18	0.201108206534979	-0.881676579164248	-0.426851143863424	-0.126726816970437	-0.555238884836189	0.765968792380594	0.13710066252919
20220915_JIM712_ceh-32_L4	ABalaaaal	ABalaaaala	-31.3725333195913	-3.40435735571274	24	ABalaaaalp	-30.9124478752402	-0.858907025437916	26.5	0.127895316882267	0.707588515558622	0.694954157170911	0.519706621372971	0.776184290436468	0.0971249081885247	0.683184491606629
20220915_JIM712_ceh-32_L4	ABalaaaala	ABalaaaalal	-26.5428889128059	3.31116904986456	27	ABalaaaalar	-29.0136012139274	1.3551248977333	27	-0.784036005473402	-0.620715347096648	0	-0.358375603723389	-0.723020845817016	-0.411013032675348	0.729769512071825
20220915_JIM712_ceh-32_L4	ABalaaaalp	ABalaaaalpa	-26.2095094160677	-0.174607493626821	28.5	ABalaaaalpp	-24.9195705608679	2.68472070541675	28.5	0.411223756378104	0.91153443280563	0	0.684240662553775	0.445225972622768	0.514939249694884	0.687214819947036
20220915_JIM712_ceh-32_L4	ABalaaaar	ABalaaaarl	-32.8860325657063	-0.656809352126718	18	ABalaaaarr	-32.1659982606806	-2.46403114249619	22.5	0.146870861528922	-0.368632743568998	0.917899150453113	0.340037490232564	-0.865978102382106	-0.0681450060257178	0.306619239755751
20220915_JIM712_ceh-32_L4	ABalaaaarl	ABalaaaarla	-28.5704026113662	-0.00955198661985662	18.5	ABalaaaarlp	-30.9306421101199	-1.48600906643056	19	-0.834436466202719	-0.521985005685997	0.176769447897842	0.322207103402077	-0.817912062114628	-0.226298945488204	0.118073735991492
20220915_JIM712_ceh-32_L4	ABalaaaarr	ABalaaaarra	-32.3492480025673	-5.45202637878732	20	ABalaaaarrp	-32.2764710630485	-2.94361821481674	21.5	0.0248929616940401	0.857987554184278	0.513066952086157	0.128405837841803	0.751521562278952	-0.509297139465318	0.386689017687484
20220915_JIM712_ceh-32_L4	ABalaaap	ABalaaapa	-28.5476325006726	-10.8730380533509	15	ABalaaapp	-25.8930167611196	-7.57051125174617	16	0.609754523044001	0.758577079442612	0.229695964639565	0.814026490252884	-0.228157122022022	-0.397549090612412	0.231966149172032
20220915_JIM712_ceh-32_L4	ABalaaapa	ABalaaapal	-31.9814411257043	-2.7590610798404	14.5	ABalaaapar	-31.7773823627586	-5.71001414982729	15	0.0680204794784855	-0.983663920340467	0.166668851894828	-0.00697575473657635	-0.918780924108448	-0.0942406584538064	0.887590169214339
20220915_JIM712_ceh-32_L4	ABalaaapal	ABalaaapall	-29.7693702921676	0.266630019299809	13.5	ABalaaapalr	-30.0731704986792	-1.05223442958168	15.5	-0.125802870865056	-0.546138318522819	0.828194768592013	-0.446010311051153	-0.813274376513992	-0.298483079329631	0.253067553238662
20220915_JIM712_ceh-32_L4	ABalaaapar	ABalaaaparl	-31.0411149124877	-1.9655961387511	16	ABalaaaparr	-29.3073237581819	-2.11245741087837	13	0.499927808046925	-0.0423465269615848	-0.865031189261803	-0.0361646156499272	-0.943118168270808	-0.0380505333742628	0.054772980046697
20220915_JIM712_ceh-32_L4	ABalaaapp	ABalaaappl	-31.8319650673976	-7.59132027280523	16.5	ABalaaappr	-30.0416301188182	-10.7814131824075	18	0.4528215921865	-0.806856254297645	0.379388442826684	0.57478592985822	-0.755485464490547	0.0292741634271576	0.88094993125764
20220915_JIM712_ceh-32_L4	ABalaaappl	ABalaaappll	-30.1345623828512	-8.99238562691778	18.5	ABalaaapplr	-29.2481651777289	-11.7217393956241	20.5	0.253410796138801	-0.780290943468035	0.571777064896856	0.085965243901362	-0.877217633962916	0.386492832272662	0.927257233369567
