paste.Cells..round.CC_Dif_pValues..4..	X20110316_mir.1_L3	X20110316_mir.1_L2	X20110203_RW10890_pal.1_L4	X20110125_RW10890_pal.1_L3	X20110125_RW10890_pal.1_L4	X20101213_RW10889_pal.1_L2	X20101213_RW10889_pal.1_L3	X20110209_UP2051_mls.2_L1	X20110209_UP2051_mls.2_L2	X20110209_UP2051_mls.2_L3	X20110225_NX68_L3	X20110408_RW10425_pha.4_L2	X20110927_RW11144_L4	X20110929_ceh.43_L1	X20110726_RW10713_L1	X20110731_RW10434_L1	X20111116_RW10226_L4	X20110916_ceh.36_L1	X20120426_JIM122_L2	X20120612_JIM127_L4	X20120331_RW10871_L4	X20120807_mir.57_L4	X20221004_JIM712_ceh.32_L4	X20221004_JIM712_ceh.32_L2	X20220915_JIM712_ceh.32_L4	X20220923_JIM712_ceh.32_L4
ABalaappppaa NA																										
ABalaappppap NA																										
ABalaappppp NA																										
ABalap 0.043	1	0	0	0	2	-2	-2	2	0	1	0	-1	-1	-1	2	-1	1	1	0	-3	1	1	-1	0	-2	-2
ABalapa 0.8832	1	0	-2	-2	1	-1	0	0	-1	-2	3	0	1	-2	-2	1	0	2	0	0	1	1	1	2	1	-2
ABalapaa 0.1238	0	1	-1	1	-2	0	1	0	0	-1	4	2	-2	-1	-2	4	0	2	-3	0	-1	-2	0	-1	-2	0
ABalapaaa 0.5623	-1	-4	2	-2	-4	1	0	0	0	0	-2	2	0	1	-3	0	1	1	2	2	1	2	4	-2	-2	4
ABalapaaaa NA		3													6		6		-5	3	-4	-7		8		
ABalapaaaaa NA																										
ABalapaaaap NA																										
ABalapaaap 0.0589	-1	5	0	3	4	3	3	-1	-4	-7	-3	-1	-2	2	0	-1	-1	-2	3	0	1	-3	1	9	5	11
ABalapaaapa NA																										
ABalapaaapp NA																										
ABalapaap 0.868	-2	-1	1	-1	-2	2	2	1	-3	-1	-3	0	0	-2	-3	2	-1	0	0	6	2	1	0	-2	2	0
ABalapaapa 0.1385	-10	0	-5	-3	2	-2		-4	1	-1	-4	-4	10	24	0	-4	-7	-1	-2	20	-3	-7		39	17	8
ABalapaapaa NA																										
ABalapaapap NA																										
ABalapaapp 0.0299	-5	0	2	-3	1	1	6	0	-5	-1	-3	4	2	8	1	-2	1	-4	-1	0	0	-2	3	7	11	13
ABalapaappa NA																			0		-3	3				
ABalapaappaa NA																										
ABalapaappap NA																										
ABalapaappp NA																										
ABalapap 0.6205	-1	0	1	0	0	-1	-1	0	0	0	3	1	0	0	-2	-1	-1	2	-3	2	1	-2	-2	1	-1	0
ABalapapa 0.3951	-2	1	4	-2	-4	1	5	-1	-4	-5	1	2	0	-1	-2	3	-1	2	0	3	-1	0	-1	3	-5	-4
ABalapapaa NA																										
ABalapapaaa NA																										
ABalapapaap NA																										
ABalapapap 0.1366	-2	-1	-2	-2	0	3	0	1	0	-3	-6	0	2	4	-2	4	-1	0	2	5	0	-2	4	16	1	5
ABalapapapa NA																			10		-13	4				
ABalapapapaa NA																										
ABalapapapap NA																										
ABalapapapp NA																										
ABalapapp 0.1274	-1	-1	1	0	0	-1	2	1	-1	2	-1	1	0	0	-1	-1	-1	0	-2	2	1	1	8	3	3	0
ABalapappa 0.4561	-2	0	-4	-3	1	6	2	1	-2	4	3	-2	1	-3	-2	-3	1	-2	-2	2	0	1	3	10	-2	-2
ABalapappaa NA																			-2		1	2				
ABalapappaaa NA																										
ABalapappaap NA																										
ABalapappap NA																										
ABalapappp 0.0499	1	-1	-1	-4	1	3	0	2	0	1	3	3	3	-3	-1	-1	2	-2	-4	5	0	-8	19	11	2	15
ABalapapppa NA																										
ABalapapppp NA																										
ABalapp 0.4854	1	3	-2	-2	0	-1	-2	0	-1	-2	3	0	1	-2	-1	1	0	2	1	0	1	-1	1	2	1	-1
ABalappa 0.7028	4	2	1	0	-3	0	-1	-1	-1	1	4	0	0	-3	-1	1	0	0	-2	-2	-1	1	0	0	-2	1
ABalappaa 0.3335	-4	-2	5	2	4	1	2	-1	1	1	-1	4	-3	-1	-4	-2	0	-2	-3	3	1	0	0	0	0	-4
ABalappaaa NA																										
ABalappaap 0.0642	3	6		3	-5				-14						-7	2	8	3	6	-4	0	-2	-19	1	-25	-18
ABalappaapa NA																										
ABalappaapp NA																										
ABalappap 0.4111	-2	-2	4	0	1	-1	2	-1	-2	0	0	2	0	-3	0	0	-1	-2	-1	3	0	3	-1	1	1	2
ABalappapa NA	1	11		5	11	-1		-18	-17	-24					6	-14	8	15	0	15	8	-5		-10		
ABalappapaa NA																										
ABalappapap NA																										
ABalappapp 0.0552	1	-2	6	3	-4	-1	-2	1	3	5	1	0	0	-2	-3	-1	-1	0	-2	1	-1	-1	0	3	2	3
ABalappappa NA																										
ABalappappp NA																										
ABalappp 0.2468	1	0	1	-1	0	-2	-1	1	1	1	3	0	-2	0	-2	-1	-1	2	-1	1	0	0	1	2	-1	2
ABalapppa 0.0137	-1	-1	3	-2	0	-1	4	-3	-3	-1	0	1	2	0	-1	0	-1	0	-1	3	0	2	3	3	5	2
ABalapppaa 0.0821	2	1	8	-3	-4	2	-4	0	-3	1	-4	-1	3	1	3	-5	0	7	1	-2	3	-5	0	9	4	10
ABalapppaaa NA																										
ABalapppaap NA																										
