paste.Cells..round.CC_Dif_pValues..4..	X20110316_mir.1_L3	X20110316_mir.1_L2	X20110203_RW10890_pal.1_L4	X20110125_RW10890_pal.1_L3	X20110125_RW10890_pal.1_L4	X20101213_RW10889_pal.1_L2	X20101213_RW10889_pal.1_L3	X20110209_UP2051_mls.2_L1	X20110209_UP2051_mls.2_L2	X20110209_UP2051_mls.2_L3	X20110225_NX68_L3	X20110408_RW10425_pha.4_L2	X20110927_RW11144_L4	X20110929_ceh.43_L1	X20110726_RW10713_L1	X20110731_RW10434_L1	X20111116_RW10226_L4	X20110916_ceh.36_L1	X20120426_JIM122_L2	X20120612_JIM127_L4	X20120331_RW10871_L4	X20120807_mir.57_L4	X20221004_JIM712_ceh.32_L4	X20221004_JIM712_ceh.32_L2	X20220915_JIM712_ceh.32_L4	X20220923_JIM712_ceh.32_L4
ABaraapaa 0.9507	-1	0	1	2	-1	2	0	0	0	0	-2	-1	0	-2	-2	2	-1	2	-1	0	3	0	-1	1	1	0
ABaraapaaa 0.5883	-7	-5	10	7	1	-5	-4	0	0	3	-4	4	7	-2	-3	-4	1	2	-2	3	-3	0	7	2	-9	10
ABaraapaaaa NA																										
ABaraapaaap NA																										
ABaraapaap 0.3759	-1	-4	8	4	1	-2	-1	2	-3	2	-4	2	2	-1	-3	0	-2	1	-2	0	-1	0	1	4	-2	4
ABaraapaapa NA																										
ABaraapaapp NA																										
ABaraapap 0.539	-2	1	1	-1	-1	2	0	-2	0	1	0	2	-2	-2	1	1	-1	2	0	0	-1	2	2	2	1	-2
ABaraapapa 0.3642	0	-2	-2	-3	-3	2	2	-1	-1	4	4	-2	0	4	-2	-3	-1	-1	0	6	-2	0	0	7	3	-2
ABaraapapaa NA																			0		-1	1				
ABaraapapaad NA																										
ABaraapapaav NA																										
ABaraapapap NA																										
ABaraapapp 0.4658	-4	12	2	14	-4	8	-1	-2	-6	-3	-10	-5	-4	-1	-11	9	3	6	4	4	-6	-8	11	-9	1	15
ABaraapappa NA																										
ABaraapappp NA																										
ABaraapp 0.9667	0	-2	-2	1	0	1	1	1	1	-1	2	-3	0	0	-2	0	3	0	-2	-1	2	1	1	0	-1	0
ABaraappa 0.438	-2	0	4	1	-1	3	1	-2	0	-2	1	0	-1	-2	1	0	0	1	-1	0	1	-2	2	2	2	-2
ABaraappaa 0.9985	-1	5	17	2	4	2	1	1	0	-2	-7	-2	2	-8	-4	-1	1	4	-5	2	-9	-3	-2	-1	-9	12
ABaraappaaa NA																										
ABaraappaap NA																										
ABaraappap 0.3137	0	0	10	-4	2	1	1	1	-1	-1	-1	-2	0	-1	-2	-4	-2	2	-1	2	-3	0	4	3	-1	0
ABaraappapa NA																										
ABaraappapp NA																										
ABaraappp 0.6517	-1	0	-1	0	-3	3	0	0	-3	3	-2	0	-2	0	2	-2	-1	4	-1	2	1	0	-1	-1	2	-2
ABaraapppa 0.16	-2	-1	3	2	1	0	0	1	2	2	-4	1	0	-3	-1	0	-1	0	-3	3	-3	3	5	11	6	-2
ABaraapppaa NA																										
ABaraapppaad NA																										
ABaraapppaav NA																										
ABaraapppap NA																										
ABaraapppp 0.4304	3	2	12	6	2	-4	1	-2	-7	4	-8	2	-9	8	-7	1	1	0	0	0	-2	-2	7	1	-7	21
ABaraappppa NA																										
ABaraappppp NA																										
ABarap 0.7225	1	0	0	-2	1	-3	0	0	-1	2	4	-1	1	-1	0	-1	1	0	0	0	0	-1	1	2	-2	-2
ABarapa 0.8534	1	0	-2	-1	-1	-1	-2	2	1	0	2	0	-1	-2	0	1	0	1	0	0	1	1	-1	2	1	-2
ABarapaa 0.8473	2	0	-2	-2	-3	0	0	0	-1	2	2	1	-1	0	0	1	3	0	-2	-1	0	0	2	-1	-1	0
ABarapaaa 0.8082	-2	0	2	-2	0	2	3	3	-1	3	-1	0	-2	-3	-1	1	1	-1	-2	0	2	-2	4	-1	-2	1
ABarapaaaa 0.3575	-1	5	4	4	1	-2	9	2	-1	4	-3	1	-2	-2	-3	-3	3	-1	-5	-2	-4	-3	7	2	-5	17
ABarapaaaaa NA																										
ABarapaaaap NA																										
ABarapaaap 0.371	-3	-6		13	5	-3	2	11	10	-1	-5	-4	0	0	3	-5	-3	-4	-7	-2	0	1	2	6	-5	15
ABarapaaapa NA																										
ABarapaaapp NA																										
ABarapaap 0.4532	-1	2	-2	0	-1	0	-1	2	0	3	0	-1	-2	-1	-2	3	-1	0	-3	3	1	-1	1	3	1	-1
ABarapaapa 0.5902	-3	3	-1	7	1	2	1	4	13	1	3	3	-6	-10	-4	1	0	0	-8	5	-3	-7		0	-7	25
ABarapaapaa NA																										
ABarapaapap NA																										
ABarapaapp 0.1883	-1	4	1	1	1	5	1	0	-1	1	-2	-2	-2	-2	0	-2	2	2	-3	0	-3	0	4	3	22	3
ABarapaappa NA																										
ABarapaappp NA																										
ABarapap 0.1691	1	1	-2	-1	-1	-2	1	-1	-1	1	1	-1	0	-1	-1	2	2	0	0	1	-1	1	3	0	0	2
ABarapapa 0.4236	-1	3	-1	-2	-2	0	4	1	-1	3	0	-1	-2	-3	2	-2	2	-1	-1	2	3	-1	-1	1	0	-2
ABarapapaa 0.3662	-1	-6	-2	7	6	1	3	2	-3	1	6	-1	1	-4	-3	1	1	3	-7	4	-3	-5	-3	9	0	7
ABarapapaaa NA																										
ABarapapaap NA															-6				-1		-5	12				
ABarapapaapa NA																										
ABarapapaapp NA																										
ABarapapap 0.783	-7	6	1	3	4	-1	5	4	0	2	-5	0	2	-3	-6	3	-1	-1	-1	-2	-4	-2	-7	7	2	1
ABarapapapa NA																										
ABarapapapp NA																										
ABarapapp 0.1535	0	1	2	-1	-2	0	0	2	0	1	2	0	-1	-1	0	-1	1	2	-3	0	-1	-2	2	4	1	0
ABarapappa 0.3264	-3	-2		3	0	2	-5	-2	2	-9	3	4			-1	0	-10	3	3	7	-3	7		1	3	25
ABarapappaa NA																										
ABarapappap NA																										
ABarapappp 0.2132	-1	1	0	-3	1	4	1	5	-2	1	-3	0	-4	0	-4	1	1	5	-1	-1	-1	2	3	4	2	-2
ABarapapppa NA																										
ABarapapppp NA																										
ABarapp 0.7023	2	0	-2	0	1	-1	-2	0	1	0	0	0	-1	0	0	-1	0	0	0	0	1	2	1	0	1	-3
ABarappa 0.0707	1	2	-1	-3	-3	1	-2	0	0	-1	1	-1	1	-1	1	3	2	2	1	-2	0	-1	2	1	5	1
ABarappaa 0.7656	-1	1	4	3	-2	3	2	-1	0	1	-1	1	-2	-2	0	-2	-1	1	-3	1	1	0	1	1	-5	1
ABarappaaa 0.1467	-1	5	7	9	1	4	3	2	0	-2	-3	4	1	-7	-3	-5	1	-15	-5	6	2	-3	10	10	-3	9
ABarappaaaa NA																										
ABarappaaap NA																										
ABarappaap 0.8285	-6	-2	7	4	-2	2	0	-1	8	7	-9	-2	-1	-4	-6	-3	9	4	0	3	-3	-7	-7	11	-7	-1
ABarappaapa NA																										
ABarappaapp NA																										
ABarappap 0.2829	-1	-1	1	1	-3	3	5	-2	-3	1	-2	1	-1	0	1	1	-2	1	-3	2	-1	0	2	4	3	-2
ABarappapa 0.3322	0	-2	1	-4	0	6	3	2	2	0	-3	1	-3	0	-3	-1	1	4	2	-1	-2	-4	-1	4	0	2
ABarappapaa NA																										
ABarappapap NA																			3		0	-3				
ABarappapapa NA																										
ABarappapapp NA																										
ABarappapp 0.739	-3	1	2	-1	2	-1	2	1	-2	-3	-3	-1	-3	3	0	3	2	7	2	-3	1	-7	0	7	-6	3
ABarappappa NA																										
ABarappappp NA																										
ABarappp 0.9551	0	2	-2	-2	-2	0	-1	0	0	0	2	1	0	0	-2	1	2	2	-1	-1	1	0	2	-1	-1	0
ABarapppa 0.1284	-1	-1	3	0	2	2	1	-1	0	2	-3	1	0	-2	-1	-1	-1	0	1	2	-3	-1	3	3	-1	2
ABarapppaa 0.0254	-4	4	8	5	-1	1	5	1	1	2	-3	-3	-1	0	1	-5	0	-2	-3	1	-1	-4	4	5	2	1
ABarapppaaa NA																										
ABarapppaap NA																										
ABarapppap 0.1309	1	-1	4	-3	1	0	0	-1	0	-4	-3	-2	-2	1	-3	4	0	10	0	-2	1	-1	-1	2	4	2
ABarapppapa NA																										
ABarapppapp NA																										
ABarapppp 0.7304	-2	0	1	-1	-1	3	3	0	1	3	0	-1	-1	0	-2	-2	-2	1	-2	1	0	1	-2	2	-1	-1
ABarappppa 0.0597	1	2	6	2	-9	0	5	2	0	-2	-8	-1	1	2	7	-3	2	-2	0	2	-3	-5	3	18	8	9
ABarappppaa NA																										
ABarappppap NA																										
ABarappppp 0.1561	-2	0	-1	0	-1	-4	1	1	3	2	-2	0	2	5	1	0	2	-1	-4	-2	1	-3	-3	7	9	6
ABarapppppa NA																			2		-1	-1				
ABarapppppaa NA																										
ABarapppppap NA																										
ABarapppppp NA																										
ABarp 0.1491	2	2	0	-6	0	-1	0	0	0	0	2	0	1	0	-1	1	0	1	0	0	1	0	0	0	-1	-2
ABarpa 0.2002	1	-1	0	0	3	-2	0	2	1	0	1	1	1	-1	0	-1	1	1	-2	-2	-2	-1	-1	0	-1	-5
ABarpaa 0.6911	1	1	0	0	1	-1	0	0	-1	0	0	-1	-1	-1	-1	1	0	1	-1	2	1	0	0	1	-1	1
ABarpaaa 0.3443	-1	-1	0	1	-3	7	7	-4	-4	-4	3	-1	2	-1	4	2	-1	-1	0	-2	-1	-1	5	0	2	-1
ABarpaaaa 0.21	-1	0	3	0	2	3	2	-3	0	2	0	-1	0	-2	-3	0	-1	-1	1	1	-1	-1	1	0	0	3
ABarpaaaaa 0.7099	-2	10		1	7			0	-1		-11	0	-1	6	5	-6	2	5	-5	-3	0	-7		-13	-7	11
ABarpaaaaal NA																										
ABarpaaaaar NA																										
ABarpaaaap 4e-04	5	7		-1	6			-7	2	-9	-1	-4	5	13	3	-4	0	0	-4	-7	3	-6	-18	-12	-10	-14
ABarpaaaapa NA																										
ABarpaaaapp NA																										
ABarpaaap 0.5651	-3	1	7	2	2	-1	1	-1	1	1	-1	-3	-3	5	-2	-2	-1	-2	-3	2	-3	3	5	-2	0	1
ABarpaaapa 0.9755	16	2		-2	9			-1	-9	-7	-5	0	-4	10	-2	0	1	2	1	-3	-1	-6		-3	-8	12
ABarpaaapaa NA																										
ABarpaaapap NA																										
ABarpaaapp NA																										
ABarpaap 3e-04	0	-1	0	0	2	2	0	-1	-1	-2	2	-2	-1	0	3	-1	1	2	-1	-3	0	-1	4	2	2	2
ABarpaapa 0.2943	-1	-1	3	0	1	1	0	-3	-3	-3	2	-1	2	1	3	-1	-1	-1	-1	1	1	-1	6	-1	8	-1
ABarpaapaa NA																										
ABarpaapap NA																										
ABarpaapp 0.3036	-1	0	3	1	1	3	2	-5	-3	-2	0	-1	1	1	5	-2	-3	0	-1	2	-1	0	4	1	5	-2
ABarpaappa NA																										
ABarpaappp NA																										
ABarpap 0.729	3	0	0	-1	0	-1	0	-1	-1	0	1	0	-1	0	0	1	-1	0	0	-1	1	-1	1	2	-2	1
ABarpapa 0.1032	0	1	-1	1	1	0	-3	-1	-2	1	2	0	2	-2	1	0	2	0	0	-1	-1	1	1	5	1	1
ABarpapaa 0.3341	-1	0	4	0	0	2	2	2	-2	0	0	-2	-2	-1	1	-2	1	0	1	0	1	-1	3	1	0	0
ABarpapaaa 0.198	-6	1		3	4	0	-2	-5	3	-1	0	1	0	9	0	-2	11	-7	-3	-1	-1	-2	-3	-7	-1	-27
ABarpapaaaa NA																										
ABarpapaaap NA																										
ABarpapaap 0.5972	-2	0	7	-3	0	-4	2	0	1	0	0	1	-4	8	1	-3	0	-2	2	0	-2	-1	-6	1	3	-2
ABarpapaapa NA																										
ABarpapaapp NA											-2								8	-3	-8	6				
ABarpapaappa NA																										
ABarpapaappp NA																										
ABarpapap 0.1629	-2	0	1	0	-1	2	1	1	-1	0	-1	0	-3	-1	0	2	0	2	1	-1	0	-1	0	0	-2	-3
ABarpapapa NA																										
ABarpapapp NA																										
ABarpapp 0.1349	-1	0	1	0	2	-1	-3	-1	-3	0	1	1	1	-2	5	1	1	-2	3	0	-3	0	0	4	1	2
ABarpappa 0.5327	-2	0	3	1	1	-1	2	1	-3	-1	1	2	-1	1	2	1	-2	-1	-2	0	0	-3	4	-1	-4	-3
ABarpappaa NA																										
ABarpappap NA																										
ABarpappp 0.0669	-1	0	0	0	0	1	6	-1	-4	0	2	-2	-1	1	2	0	-2	0	1	0	0	-2	0	-2	0	-1
ABarpapppa NA																										
ABarpapppp NA																										
ABarpp 0.8123	2	0	-1	-1	5	-1	1	1	-1	0	1	1	1	-1	1	-2	-1	1	-1	-2	-1	-2	1	2	0	-5
ABarppa 0.2165	1	0	-1	1	0	0	-1	-1	1	-1	-1	0	-1	0	0	2	1	1	-2	0	0	1	0	0	-2	-2
ABarppaa 0.068	-1	-2	1	0	0	-1	3	0	-2	0	0	-1	-1	0	2	-1	0	4	-1	-2	3	-2	2	2	2	8
ABarppaaa 0.3978	-2	-1	0	2	-2	2	0	-2	1	1	-1	-3	3	-4	3	-2	-4	2	0	-1	4	3	1	0	-5	-1
ABarppaaaa NA																										
ABarppaaap NA																										
ABarppaap 0.886	-3	-1	3	-1	1	1	0	-4	1	1	-1	-2	1	-2	3	1	-2	1	2	1	0	0	2	1	-4	2
ABarppaapa NA																										
ABarppaapp NA																										
ABarppaappa NA																										
ABarppaappp NA																										
ABarppap 0.065	3	0	0	-2	2	0	1	-2	-2	0	1	-1	1	-2	0	-1	0	3	1	-3	0	0	0	6	3	3
ABarppapa 0.2559	-3	2	-3	-1	-3	0	-2	-4	1	0	-4	2	0	4	2	0	-1	4	1	0	1	3	1	-1	-2	-4
ABarppapaa NA																										
ABarppapap NA																										
ABarppapp 0.3239	-4	-2	0	5	-1	2	-1	-4	0	1	-3	2	-1	1	-1	-3	-3	3	2	1	5	1	2	-2	-3	-3
ABarppappa NA																										
ABarppappp NA																										
ABarppp 0.3279	2	0	0	0	1	0	1	0	-1	0	0	-1	0	0	-2	1	0	-1	-1	-1	1	0	1	0	-3	-1
ABarpppa 0	-1	0	0	2	-1	1	0	-1	-1	-2	1	-1	1	-1	2	1	-1	3	-1	0	-1	2	2	3	2	2
ABarpppaa 0.5209	-2	0	1	5	-2	1	-2	0	-3	1	-1	-2	1	2	3	-2	-3	8	0	-2	0	-2	-3	1	-4	2
ABarpppaaa NA																										
ABarpppaap NA																										
ABarpppap 0.2482	-1	-2	1	1	3	-2	-2	-3	-4	-2	-1	-1	7	3	3	-2	6	-1	0	0	1	-2	-1	1	-4	-2
ABarpppapa NA																										
ABarpppapp NA																										
ABarpppappa NA																										
ABarpppappp NA																										
ABarpppp 0.2359	1	1	-1	-1	0	1	1	-1	-1	1	2	-2	0	1	-1	-3	1	3	-2	-2	1	-1	0	7	2	1
ABarppppa 0.4966	-5	1	0	4	1	-1	1	-2	-6	-1	0	-2	3	3	1	-1	0	5	0	1	-2	2	0	-1	0	6
ABarppppaa NA																										
ABarppppap NA																										
ABarppppp 0.4477	-2	2	0	1	5	1	3	-2	-4	-2	0	2	5	4	-2	-4	-3	0	3	0	-1	-5	2	0	-1	4
ABarpppppa NA																										
ABarpppppp NA																										
ABp NA						-1							0	0	0		0		1				1			
ABpl 0.2108	3	-4	3		-5	2	1	3	-3	-7	-6	-5	3	1	3	4	2	2	1	3	3	-2	4	-9	-7	-6
ABpla 0.3528	2	0	0	-8	2	1	1	1	0	0	2	0	-1	-2	-1	-1	1	0	1	0	2	0	0	0	-1	-2
ABplaa 0.0643	1	2	0	0	1	-3	-2	0	0	0	3	0	-1	-1	0	1	1	1	0	-1	0	1	-3	0	-2	-5
ABplaaa 0.5421	2	-1	-1	-2	0	-2	-1	0	2	1	1	-1	0	1	0	0	1	-1	1	-2	2	1	1	-1	-1	-2
ABplaaaa 0.1425	2	-1	2	-2	-1	-1	-2	-1	2	2	2	0	1	-1	-1	0	1	2	-1	-2	0	0	2	8	6	-1
ABplaaaaa 0.2216	1	0	0	-3	-1	0	-1	-1	4	2	0	0	-3	-4	0	0	-3	1	3	4	0	2	0	0	-1	-3
ABplaaaaaa 0.2106	-2	0		0	-9	7	-8	-5	4	2	5	5	-4	17	0	4	1	-5	-1	-3	-4	-4	2	7	-2	8
ABplaaaaaaa NA																										
ABplaaaaaap NA																										
ABplaaaaap 0.2926	-1	3	3	2	-1	3	-2	0	1	0	2	-1	-1	2	-3	-2	0	-2	0	-2	-1	-1	5	4	-3	4
ABplaaaaapa NA																										
ABplaaaaapp NA															-4				8		-6	1				
ABplaaaaappa NA																										
ABplaaaaappp NA																										
ABplaaaap 0.1897	-2	-3	1	-3	2	3	2	1	0	5	-2	0	-1	-3	-3	2	-3	-1	1	1	-2	2	3	5	3	-2
ABplaaaapa NA																										
ABplaaaapp NA																										
ABplaaap 0.031	-1	1	0	-3	3	-1	0	-1	0	0	5	-2	-1	-3	0	0	2	3	-1	-2	0	0	1	4	4	5
ABplaaapa 0.8399	-4	-3	1	-1	-1	2	-1	1	4	2	0	-2	-1	2	2	-1	0	-3	0	1	2	-1	7	1	-7	-3
ABplaaapaa NA																										
ABplaaapap NA																										
ABplaaapp 0.3498	-4	-2	1	-1	2	0	0	1	4	0	0	-4	-1	1	-1	0	0	0	6	-1	0	1	4	1	-1	0
ABplaaappa NA																										
ABplaaappp NA																										
ABplaap 0.6977	3	0	-2	-1	1	1	2	1	1	-2	1	-2	-1	-1	0	0	2	-1	0	-2	1	1	2	0	-3	-2
ABplaapa 0.2349	-1	1	4	-1	-1	-1	0	-1	1	-3	2	0	-2	-2	-1	0	4	0	0	-2	1	1	1	1	5	-1
ABplaapaa 0.6062	0	-3	0	-1	1	2	1	1	2	1	2	-2	-1	-2	-1	-3	-2	-1	1	3	0	-1	3	-2	-4	-1
ABplaapaaa 0.4957	2	-1	-2	3	-3	5	-1	3	4	-1	-2	0	1	2	-2	2	-4	-2	-4	0	3	-4	1	4	-4	8
ABplaapaaaa NA																										
ABplaapaaap NA																										
ABplaapaap 0.5617	-4	-1	1	3	2	0	0	1	4	1	3	-1	0	-3	0	1	-5	2	-3	0	1	-4	-1	3	0	1
ABplaapaapa NA																										
ABplaapaapp NA																										
ABplaapap 0.6943	-2	-2	-1	-1	-1	0	1	2	1	4	2	-1	-2	1	-1	-1	-3	2	0	1	-1	3	2	2	-3	-4
ABplaapapa 0.7034	-2	4	2	0	0	4	6	5	1	-4	0	1	-2	5	1	-6	0	-11	3	-4	1	-4	-4	2	-5	3
ABplaapapaa NA																										
ABplaapapap NA																										
ABplaapapp 0.739	-5	-1	-1	0	1	3	1	1	2	-3	2	4	0	-2	1	-4	0	-1	4	-2	0	0	1	9	-4	-2
ABplaapappa NA																										
ABplaapappp NA																			4		-3	-1				
ABplaapapppa NA																										
ABplaapapppp NA																										
ABplaapp 0.0765	-2	-1	1	-3	0	0	2	0	0	-1	3	-1	-2	-2	1	-1	2	2	0	-1	1	0	1	2	6	2
ABplaappa 0.8007	-2	1	2	-4	5	1	0	0	0	0	1	-3	-2	-3	1	-4	-2	1	4	-1	5	0	6	-4	-5	0
ABplaappaa NA																										
ABplaappap NA																										
ABplaappp 0.0332	-1	2	1	-5	1	2	4	-1	-1	-1	0	-4	0	-4	0	-1	1	0	4	0	0	2	4	1	3	1
ABplaapppa NA																										
ABplaapppp NA																										
ABplap 0.0611	3	1	0	0	0	-3	-2	0	0	0	2	2	1	-1	0	1	2	1	-2	-1	0	-1	-1	0	-2	-4
ABplapa 0.682	1	0	0	0	1	-1	-2	1	-1	-2	4	0	-1	-1	0	0	1	0	0	1	-1	1	1	0	0	-2
ABplapaa 0.3758	0	0	-1	-2	0	4	3	0	0	1	1	-1	-1	-2	-1	-1	3	1	-2	-3	3	1	0	0	-2	0
ABplapaaa 0.9408	0	-1	2	-2	-1	3	-2	0	0	-1	1	-1	-1	-1	-1	-2	0	1	2	1	1	4	2	0	-3	1
ABplapaaaa 0.3825	1	-3	-2	-3	-2	6	-2	-1	-1	-2	-2	-4	2	1	7	5	-1	-1	2	1	-1	-1	2	4	-3	4
ABplapaaaaa NA																										
ABplapaaaap NA																					5	-5				
ABplapaaaapa NA																										
ABplapaaaapp NA																										
ABplapaaap 0.0409	5	-2	-1	-8	-5	2	1	-3	-5	-4	-1	-1	1	10	1	7	1	1	1	8	2	-7	11	5	2	11
ABplapaaapa NA																										
ABplapaaapad NA																										
ABplapaaapav NA																										
ABplapaaapp NA																										
ABplapaap 0.436	0	-2	-3	-2	2	7	0	-1	-2	-4	1	1	-4	1	1	0	1	-2	2	3	-1	3	1	5	-2	2
ABplapaapa NA																										
ABplapaapp NA																										
ABplapap 0.6501	2	1	-3	0	0	4	2	-1	0	0	1	-2	-1	-2	-2	1	1	1	-1	-2	2	0	0	2	0	-1
ABplapapa 0.2383	-1	0	2	-2	1	0	-3	0	-2	1	1	-3	3	-1	5	-2	0	0	-1	1	2	-2	0	3	4	-1
ABplapapaa NA																										
ABplapapaaa NA																										
ABplapapaap NA																										
ABplapapap NA																										
ABplapapp 0.1987	0	0	3	-2	-3	0	-3	2	2	3	3	-1	0	1	-2	-2	-1	-1	-1	2	1	-1	2	1	0	1
ABplapappa NA																										
ABplapappp 0.875	0	1	2	-1		0	-7	-2	4	2	-6	-1	5	2	0	1	3	-1	0	-7	3	3	2	10	-4	-5
ABplapapppa NA																										
ABplapapppp NA																					-3	3				
ABplapappppa NA																										
ABplapappppaa NA																										
ABplapappppap NA																										
ABplapappppp NA																										
ABplapp 0.7662	0	1	-1	0	1	0	-1	0	0	-1	1	-3	-2	1	-1	1	1	0	-1	0	0	0	0	1	-1	-1
ABplappa 0.2015	1	0	2	-3	1	0	1	1	-1	-2	0	-1	2	-1	-1	-3	0	4	2	0	1	-1	3	3	5	-2
ABplappaa 0.7797	0	-2	-1	-2	1	2	0	-3	-2	0	0	-4	2	4	3	-3	-1	0	1	1	4	0	2	-1	-1	-2
ABplappaaa NA																										
ABplappaap NA																										
ABplappap 0.2058	-3	-3	1	0	0	2	2	-1	0	0	3	-2	2	1	2	0	-1	-2	1	0	1	-1	3	5	-1	1
ABplappapa NA																										
ABplappapp NA																										
ABplappp 0.2231	0	-2	1	-2	0	1	-2	0	1	-2	1	2	0	-1	-2	-1	0	1	0	0	1	3	3	4	2	-2
ABplapppa 0.1561	3	-2	4	3	0	1	0	-3	0	1	-1	-3	-4	2	-2	3	-1	-3	2	-1	2	0	-3	1	-6	-6
ABplapppaa 0.284	8	5		3	1		-6	0	2	-1	0	-6	7	4	-4	1	5	-7	-9	-5	8	-6		-5	-8	1
ABplapppaaa NA																										
ABplapppaap NA																										
ABplapppap 0.6602	1	1	5	-2	2	-1	-5	-1	4	3	-4	0	3	-1	-1	-1	3	-4	-3	-1	3	-1	-5	4	-4	1
ABplapppapa NA																										
ABplapppapp NA																			5		0	-5				
ABplapppappa NA																										
ABplapppappp NA																										
ABplapppp 0.6732	1	-3	1	-3	2	0	-1	1	-3	-1	1	1	-1	0	0	-1	3	0	-2	3	1	1	2	2	-5	-2
ABplappppa NA																										
ABplappppp NA																										
ABplp 0.1104	3	1	0	-6	2	1	0	0	1	0	1	0	-1	-1	-1	-1	2	1	0	-1	1	-1	-1	0	-2	-2
ABplpa 0.4395	0	-1	-1	-1	2	-2	1	1	0	1	3	2	0	-2	1	0	0	1	-2	-1	1	0	2	1	-3	-4
ABplpaa 0.9575	3	0	0	-3	0	-1	-1	-1	1	0	2	0	-1	0	-2	0	1	1	0	-2	1	2	-1	0	1	-1
ABplpaaa 0.5172	0	2	-1	-2	-2	0	3	0	1	0	2	-3	-1	-1	0	1	2	-2	1	-1	1	-2	-2	1	3	0
ABplpaaaa 0.6131	-3	-3	1	-2	-3	-1	0	2	3	1	2	-3	0	2	0	-2	-1	-1	-1	5	1	2	0	1	2	-2
ABplpaaaaa 0.1353	-2	-1	3	-1	0	2	2	3	7	0	-3	-5	-1	8	-1	-4	-1	2	-1	3	-4	-4	5	4	-1	11
ABplpaaaaaa NA																										
ABplpaaaaap NA																										
ABplpaaaap 0.2292	-3	-2	7	0	1	1	2	0	3	-5	3	0	-1	3	1	0	-3	-3	1	3	-2	-6	6	6	-3	5
ABplpaaaapa NA																										
ABplpaaaapp NA																										
ABplpaaap 0.481	-1	-5	3	-2	-2	2	0	1	0	0	1	-2	-2	2	3	0	-1	-1	-1	3	1	0	1	-1	-2	0
ABplpaaapa 0.6213	2	0		5	-6	4	6	0	0	1	-2	-1	0	7	-2	1	7	-7	-3	-1	-3	-7	1	7	-10	13
ABplpaaapaa NA																										
ABplpaaapap NA																										
ABplpaaapp 0.7254	-5	-3	-1	-3	-3	3	4	2	-1	-3	3	0	2	0	0	2	2	0	-3	6	-2	-1	-1	7	-7	5
ABplpaaappa NA																			4		-4	0				
ABplpaaappaa NA																										
ABplpaaappap NA																										
ABplpaaappp NA																										
ABplpaap 0.89	1	1	1	-1	0	1	-1	0	-1	-1	1	-2	0	-2	-1	-1	3	-1	-2	-1	4	0	0	0	1	-1
ABplpaapa 0.3675	-3	-2	1	-2	-2	2	2	0	1	0	1	-1	0	2	3	0	-1	-1	1	0	-1	2	-1	-3	2	-2
ABplpaapaa 0.7047	-1	-1	1	2	5	3	8	-5	-4	-1	-2	-2	-5	6	-3	-1	-1	-2	10	0	-1	-3	-5	0	0	10
ABplpaapaaa NA																										
ABplpaapaap NA																										
ABplpaapap 0.0273	5	-2	3	-1	-1	0	3	9	-1	0	-1	2	-3	4	-6	-2	4	-2	0	0	-4	-7	5	6	1	6
ABplpaapapa NA																										
ABplpaapapp NA																										
ABplpaapp 0.7751	-4	-1	4	-3	0	2	0	-1	2	0	0	1	-2	0	4	-1	-1	0	1	-1	-2	1	1	-1	3	-1
ABplpaappa 0	-1	-2	7	-1	0	-1	-4	2	2	-1	-2	-1	-3	5	-2	0	6	1	-1	-1	-3	-2	4	4	3	5
ABplpaappaa NA																										
ABplpaappap NA																										
ABplpaappp 0.0449	2	0	5	0	-3	1	-5	1	3	0	-2	-3	-2	4	1	-1	5	-1	-3	0	-2	0	1	3	2	1
ABplpaapppa NA																										
ABplpaapppp NA																			3		-4	1				
ABplpaappppa NA																										
ABplpaappppp NA																										
ABplpap 0.9429	1	0	0	-2	1	-1	-2	0	-1	0	1	0	1	0	0	1	0	1	0	-2	1	1	-1	2	0	-1
ABplpapa 0.6242	-1	-1	0	-2	-1	1	2	0	2	0	2	-1	-1	-2	0	0	0	0	1	-2	2	1	2	-1	1	-1
ABplpapaa 0.1073	-2	-1	-2	-1	-1	2	3	1	-1	1	0	2	-4	1	1	1	0	-2	-2	0	0	3	2	2	10	3
ABplpapaaa 0.2901	0	1	10	3	-1	-1	-4	3	-21	5	-1	0	1	-3	1	-5	2	-2	3	7	0	3	2	3	-2	7
ABplpapaaaa NA																										
ABplpapaaap NA																										
ABplpapaap 0.7157	-2	2	7	0	0	0	-5	-3	2	-1	-1	3	-2	10	-4	1	-2	1	3	1	-6	-3	0	6	-6	4
ABplpapaapa NA																										
ABplpapaapp NA																										
ABplpapap 0.3765	-2	1	0	-1	-1	2	2	3	1	-1	0	0	-1	-1	-1	1	-2	0	-2	1	0	1	0	0	8	0
ABplpapapa 0.2503	-1	-4	3	0	2	3	7	-1	4	0	-1	1	-2	0	-1	-3	1	-4	-2	0	-1	-2	0	5	-1	9
ABplpapapaa NA																										
ABplpapapap NA																										
ABplpapapp 0.309	2	0	6	-2	-2	-2	1	2	1	-4	-1	-4	3	5	0	-3	7	-3	0	3	-1	-8	4	1	0	1
ABplpapappa NA																										
ABplpapappp NA																										
ABplpapp 0.6954	-2	0	1	-1	-1	0	1	-2	1	1	3	-1	0	-1	-1	-1	-1	-1	0	-1	1	1	1	0	3	-3
