"","Cell","Embryo","Div time","WT Div time","WT Div time SD","CC","WT CC","WT CC SD","CC Deviation","CC Z score","Terminal Cell Length","Terminal cell delta","Terminal Cell Z"
"ABalpppapp_X20221004_JIM712_ceh.32_L2","ABalpppapp","X20221004_JIM712_ceh.32_L2",296.6,285.6,2.71311628943545,74,65.1380952380952,1.65936017503018,8.86190476190477,5.34055529068219,NA,NA,NA
"ABalpppppp_X20221004_JIM712_ceh.32_L2","ABalpppppp","X20221004_JIM712_ceh.32_L2",265.5,262.777272727273,3.05550741140086,56.9,50.9090909090909,1.8428521091243,5.99090909090909,3.25088978179366,NA,NA,NA
"ABalppppppp_X20221004_JIM712_ceh.32_L2","ABalppppppp","X20221004_JIM712_ceh.32_L2",358.3,337.209090909091,5.61007211102577,90.9,73.6727272727273,3.50773171981293,17.2272727272727,4.91122870941551,NA,NA,NA
"ABaraapppa_X20221004_JIM712_ceh.32_L2","ABaraapppa","X20221004_JIM712_ceh.32_L2",280,272.590909090909,3.32650382618564,64.3,53.6181818181818,2.11133818175794,10.6818181818182,5.05926443906978,NA,NA,NA
"ABarappppa_X20221004_JIM712_ceh.32_L2","ABarappppa","X20221004_JIM712_ceh.32_L2",311.4,295.140909090909,3.93163713518561,94.1,75.7136363636364,3.85193772566798,18.3863636363636,4.77327645092579,NA,NA,NA
"ABarappppp_X20221004_JIM712_ceh.32_L2","ABarappppp","X20221004_JIM712_ceh.32_L2",291,285.990909090909,3.3645079015977,73.6,66.5545454545454,2.25783867843464,7.04545454545455,3.12044195750033,NA,NA,NA
"ABarpapa_X20221004_JIM712_ceh.32_L2","ABarpapa","X20221004_JIM712_ceh.32_L2",172.3,169.713636363636,1.52262162843453,40.6,35.4863636363636,1.23222425855711,5.11363636363637,4.14992346411378,NA,NA,NA
"ABarppap_X20221004_JIM712_ceh.32_L2","ABarppap","X20221004_JIM712_ceh.32_L2",180.8,176.645454545455,2.02877567412731,47.4,41.3590909090909,1.61176008226118,6.04090909090909,3.74802004181301,NA,NA,NA
"ABarpppp_X20221004_JIM712_ceh.32_L2","ABarpppp","X20221004_JIM712_ceh.32_L2",180.8,176.345454545455,1.77193122319696,47.4,40.3590909090909,1.4059936635057,7.04090909090909,5.00778152396029,NA,NA,NA
"ABplaaaa_X20221004_JIM712_ceh.32_L2","ABplaaaa","X20221004_JIM712_ceh.32_L2",172.3,169.786363636364,2.51098452604617,43.9,36.1681818181818,1.40047147286917,7.73181818181818,5.52086803023403,NA,NA,NA
"ABplaapapp_X20221004_JIM712_ceh.32_L2","ABplaapapp","X20221004_JIM712_ceh.32_L2",292.9,284.354545454545,3.82444857808376,72,63.1545454545455,2.21030643700247,8.84545454545454,4.00191321772125,NA,NA,NA
"ABplppapaa_X20221004_JIM712_ceh.32_L2","ABplppapaa","X20221004_JIM712_ceh.32_L2",302.1,295.445454545455,3.19638594617157,75.9,68.1136363636364,1.9337344709988,7.78636363636365,4.02659400922914,NA,NA,NA
"ABplpppaap_X20221004_JIM712_ceh.32_L2","ABplpppaap","X20221004_JIM712_ceh.32_L2",309.5,299.072727272727,3.57227176193603,85.1,75.2227272727273,3.02417746679148,9.87727272727273,3.26610221646551,NA,NA,NA
"ABplpppap_X20221004_JIM712_ceh.32_L2","ABplpppap","X20221004_JIM712_ceh.32_L2",226.2,222.354545454545,2.15864315247802,55.5,49.2,1.89837022832995,6.3,3.31863611532839,NA,NA,NA
"ABplpppapa_X20221004_JIM712_ceh.32_L2","ABplpppapa","X20221004_JIM712_ceh.32_L2",289.2,277.113636363636,3.97723228179806,61.2,53.1409090909091,2.47399023959831,8.05909090909091,3.25752736615462,NA,NA,NA
"ABplppppp_X20221004_JIM712_ceh.32_L2","ABplppppp","X20221004_JIM712_ceh.32_L2",226.2,220.963636363636,2.57396219577549,55.5,48.85,2.05049355266575,6.65,3.24312163349875,NA,NA,NA
"ABprapaaaa_X20221004_JIM712_ceh.32_L2","ABprapaaaa","X20221004_JIM712_ceh.32_L2",313.2,306.022727272727,3.76752183526795,90.6,80.1227272727273,2.92166485776954,10.4772727272727,3.58606248057872,NA,NA,NA
"ABprpaapap_X20221004_JIM712_ceh.32_L2","ABprpaapap","X20221004_JIM712_ceh.32_L2",311.4,299.722727272727,3.96603818368645,88.8,75.9818181818182,3.00676006036499,12.8181818181818,4.26312095439562,NA,NA,NA
"ABprpaappa_X20221004_JIM712_ceh.32_L2","ABprpaappa","X20221004_JIM712_ceh.32_L2",300.3,292.009090909091,3.62187916115497,79.4,71.8590909090909,2.36817371686428,7.5409090909091,3.18427192955004,NA,NA,NA
"ABprpaappp_X20221004_JIM712_ceh.32_L2","ABprpaappp","X20221004_JIM712_ceh.32_L2",300.3,289.65,4.35439023121657,79.4,69.5,2.42212028327799,9.90000000000001,4.08732797803162,NA,NA,NA
"ABprpapap_X20221004_JIM712_ceh.32_L2","ABprpapap","X20221004_JIM712_ceh.32_L2",222.6,221.159090909091,1.81597647638139,53.6,48.3363636363636,1.57496650139598,5.26363636363637,3.34206242416644,NA,NA,NA
"ABprpappap_X20221004_JIM712_ceh.32_L2","ABprpappap","X20221004_JIM712_ceh.32_L2",296.6,288.1,2.73095134304793,77.5,68.7727272727273,2.82980427022651,8.72727272727273,3.08405525396078,NA,NA,NA
"ABprpppapa_X20221004_JIM712_ceh.32_L2","ABprpppapa","X20221004_JIM712_ceh.32_L2",287.4,279.428571428571,3.15628624448779,63,54,1.70528589978338,9,5.27770739272709,NA,NA,NA
