"","Cell","Embryo","Div time","WT Div time","WT Div time SD","CC","WT CC","WT CC SD","CC Deviation","CC Z score","Terminal Cell Length","Terminal cell delta","Terminal Cell Z"
"ABalaaapalr_X20221004_JIM712_ceh.32_L4","ABalaaapalr","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,25.7,NA,NA
"ABalaaapar_X20221004_JIM712_ceh.32_L4","ABalaaapar","X20221004_JIM712_ceh.32_L4",295.6,311.804761904762,5.56493272110959,76.4,86.0714285714286,4.6272176150623,-9.67142857142856,-2.09011751250829,NA,NA,NA
"ABalaaaparl_X20221004_JIM712_ceh.32_L4","ABalaaaparl","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,21.8,NA,NA
"ABalaaaparr_X20221004_JIM712_ceh.32_L4","ABalaaaparr","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,29.3,NA,NA
"ABalaaapp_X20221004_JIM712_ceh.32_L4","ABalaaapp","X20221004_JIM712_ceh.32_L4",222.6,224.531818181818,3.03776019675468,49.7,48.5090909090909,1.64950471380527,1.19090909090909,0.721979804569196,NA,NA,NA
"ABalaaappl_X20221004_JIM712_ceh.32_L4","ABalaaappl","X20221004_JIM712_ceh.32_L4",310.2,311.059090909091,5.48432042852809,85.8,84.9227272727273,4.09946939867214,0.877272727272725,0.213996652239161,NA,NA,NA
"ABalaaappll_X20221004_JIM712_ceh.32_L4","ABalaaappll","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,14.7,NA,NA
"ABalaaapplr_X20221004_JIM712_ceh.32_L4","ABalaaapplr","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,14.7,NA,NA
"ABalaaappr_X20221004_JIM712_ceh.32_L4","ABalaaappr","X20221004_JIM712_ceh.32_L4",302.9,298.890909090909,5.5896084785719,78.5,72.7636363636364,5.24645417260852,5.73636363636363,1.09337915621429,NA,NA,NA
"ABalaaapprl_X20221004_JIM712_ceh.32_L4","ABalaaapprl","X20221004_JIM712_ceh.32_L4",NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA
