series	offset	slope	ABala	ABalp	ABara	ABarp	ABpla	ABplp	ABpra	ABprp	E	MS	C	D
20081128_sulston	0	1	1	1	1	1	1	1	1	1	1	1	1	1
20221004_JIM712_ceh-32_L4	-19.7	0.918	0.893	0.894	0.923	0.896	0.936	0.944	0.941	0.948	0.912	0.896	0.925	0.946
20221004_JIM712_ceh-32_L2	-40.7	0.891	0.926	0.905	0.901	0.875	0.931	0.955	0.923	0.95	0.48	0.868	0.922	0.952
20220915_JIM712_ceh-32_L4	-43.3	0.913	0.927	0.887	0.898	0.908	0.908	0.963	0.919	0.942	0.85	0.85	0.908	0.926
20220923_JIM712_ceh-32_L4	-56.4	1.022	1.006	1.04	1.046	1.003	1.017	1.055	1.037	1.05	0.984	0.984	1.019	1.042
