"Cells","CellNames.Cells.","CellTimes.Cells.","CCDefectCount.Cells.","CCDefectCount.Parents.","CCDefectCount.Sisters.","CCDefectCount.Aunts.","PosDefectCount.Cells.","PosDefectCount.Parents.","PosDefectCount.Sisters.","PosDefectCount.Aunts.","AngDefectCount.Cells.","AngDefectCount.Parents.","AngDefectCount.Sisters.","AngDefectCount.Aunts.","cellObservedCounts.Cells.","cellObservedCounts.Parents.","cellObservedCounts.Sisters.","cellObservedCounts.Aunts.","divObservedCounts.Cells.","divObservedCounts.Parents.","divObservedCounts.Sisters.","divObservedCounts.Aunts.","ExpPeak.Cells.","ceh36_peak.Cells.","unc30_peak.Cells.","mls2_peak.Cells.","nob1_peak.Cells.","ceh13_peak.Cells."
"ABalaapaaar","AINR",334,0,1,0,1,1,1,2,0,0,0,0,1,2,4,2,4,0,4,0,4,11901,0,945,0,0,0
"ABalaapaap",NA,236,1,0,1,0,0,0,1,0,1,0,0,0,4,4,4,4,4,4,4,4,11270,0,0,0,0,0
"ABalaapaapa","death",325,0,1,0,1,2,0,3,1,0,1,0,0,4,4,4,4,0,4,0,4,11270,0,287,0,0,0
"ABalaapaapp","ILshR",325,0,1,0,1,3,0,2,1,0,1,0,0,4,4,4,4,0,4,0,4,11270,0,0,0,0,0
"ABalaapap",NA,181,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,2,4,4,9456,0,0,0,0,0
"ABalaapapa","death",235,3,0,0,0,1,0,0,0,0,0,0,0,4,4,4,4,0,4,4,4,9456,17,0,0,45,15
"ABalaapapaa",NA,NA,0,3,0,0,0,1,0,0,0,0,0,0,NA,4,NA,4,0,0,0,4,NA,NA,NA,NA,NA,NA
"ABalaapapap",NA,NA,0,3,0,0,0,1,0,0,0,0,0,0,NA,4,NA,4,0,0,0,4,NA,NA,NA,NA,NA,NA
"ABalaapapp",NA,235,0,0,3,0,0,0,1,0,0,0,0,0,4,4,4,4,4,4,0,4,9456,0,0,1216,0,15
"ABalaapappa","death",309,0,0,0,3,4,0,4,1,0,0,0,0,4,4,4,4,0,4,0,0,9456,0,0,4610,0,15
"ABalaapappp","CEPsoVR",309,0,0,0,3,4,0,4,1,0,0,0,0,4,4,4,4,0,4,0,0,9456,0,0,6299,0,15
"ABalaapp",NA,137,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,2,4,3259,0,0,0,0,0
"ABalaappa",NA,175,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,3,4,4,2,9698,0,0,0,0,0
"ABalaappaa","death",230,1,0,0,0,1,0,0,0,0,0,0,0,4,4,4,4,0,3,3,4,9698,0,258,4,0,0
"ABalaappaaa",NA,NA,0,1,0,0,0,1,0,0,0,0,0,0,NA,4,NA,4,0,0,0,3,NA,NA,NA,NA,NA,NA
"ABalaappaap",NA,NA,0,1,0,0,0,1,0,0,0,0,0,0,NA,4,NA,4,0,0,0,3,NA,NA,NA,NA,NA,NA
"ABalaappap",NA,230,0,0,1,0,0,0,1,0,0,0,0,0,4,4,4,4,3,3,0,4,17246,0,0,0,0,0
"ABalaappapa","AVAR",308,0,0,0,1,3,0,2,1,0,0,0,0,4,4,4,4,0,3,0,0,17246,0,399,0,0,0
"ABalaappapp","OLQsoVR",308,0,0,0,1,2,0,3,1,0,0,0,0,4,4,4,4,0,3,0,0,17246,0,0,0,0,0
"ABalaappp",NA,175,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,3,2,10880,0,0,0,0,0
"ABalaapppa",NA,223,1,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,3,28164,0,0,0,0,0
"ABalaapppaa","RIAR",316,0,1,0,1,2,0,2,0,0,0,0,0,4,4,4,4,0,4,0,4,28164,0,0,0,0,0
"ABalaapppap","death",316,0,1,0,1,2,0,2,0,0,0,0,0,4,4,4,4,0,4,0,4,28164,0,0,0,0,0
"ABalaapppp",NA,223,1,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,3,31475,0,0,0,0,0
"ABalaappppa",NA,289,0,1,0,1,1,0,2,0,0,0,0,0,4,4,4,4,0,4,0,4,31475,0,0,24,0,0
"ABalaappppaa","IL1R",400,0,0,0,0,0,1,0,2,0,0,0,0,NA,4,NA,4,0,0,0,0,31475,0,0,24,0,0
"ABalaappppap","death",400,0,0,0,0,0,1,0,2,0,0,0,0,NA,4,NA,4,0,0,0,0,31475,0,0,24,0,0
"ABalaappppp","IL2R",289,0,1,0,1,2,0,1,0,0,0,0,0,4,4,4,4,0,4,0,4,39406,0,0,0,0,0
"ABalap",NA,75,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,3,4,4,3,51,0,0,0,0,0
"ABalapa",NA,103,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,3,4,4,110,0,0,0,0,217
"ABalapaa",NA,135,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,2096,0,0,0,0,217
"ABalapaaa",NA,175,0,0,0,0,0,0,0,0,1,0,0,0,4,4,4,4,3,4,4,4,8288,0,0,0,0,217
"ABalapaaaa",NA,229,0,0,0,0,1,0,0,0,0,1,0,0,4,4,4,4,4,3,4,4,8632,0,0,171,0,217
"ABalapaaaaa","AVHL",348,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,4,0,4,0,4,21314,0,0,171,0,217
"ABalapaaaap","death",348,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,4,0,4,0,4,13962,0,0,171,0,217
"ABalapaaap",NA,229,0,0,0,0,0,0,1,0,0,1,0,0,4,4,4,4,4,3,4,4,11199,0,0,0,0,217
"ABalapaaapa","CANL",301,0,0,0,0,3,0,3,1,0,0,0,0,4,4,4,4,0,4,0,4,11199,0,132,4,0,217
"ABalapaaapp","OLLsoL",301,0,0,0,0,3,0,3,1,0,0,0,0,4,4,4,4,0,4,0,4,11199,0,119,0,0,217
"ABalapaap",NA,175,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,4,4,4,3,4,8540,0,0,0,0,217
"ABalapaapa",NA,225,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,3,17036,0,0,0,0,217
"ABalapaapaa","RIAL",321,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,0,4,0,4,17036,0,0,0,0,217
"ABalapaapap","death",321,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,0,4,0,4,17036,0,0,0,0,217
"ABalapaapp",NA,225,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,3,22341,0,0,0,0,217
"ABalapaappa",NA,291,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,4,0,4,23347,0,54,0,0,217
"ABalapaappaa","IL1L",400,0,0,0,0,0,0,0,0,0,0,0,0,NA,4,NA,4,0,0,0,0,23347,0,54,0,0,217
"ABalapaappap","death",400,0,0,0,0,0,0,0,0,0,0,0,0,NA,4,NA,4,0,0,0,0,23347,0,54,0,0,217
"ABalapaappp","IL2L",291,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,4,0,4,30160,0,0,0,0,217
"ABalapap",NA,135,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,1572,0,0,0,0,217
"ABalapapa",NA,171,0,0,1,0,0,0,0,0,0,0,1,0,4,4,4,4,4,4,4,4,2560,4,0,917,0,217
"ABalapapaa","death",226,2,0,1,1,0,0,0,0,0,0,0,1,4,4,4,4,0,4,4,4,3301,4,0,1349,0,217
"ABalapapaaa",NA,NA,0,2,0,1,0,0,0,0,0,0,0,0,NA,4,NA,4,0,0,0,4,NA,NA,NA,NA,NA,NA
"ABalapapaap",NA,NA,0,2,0,1,0,0,0,0,0,0,0,0,NA,4,NA,4,0,0,0,4,NA,NA,NA,NA,NA,NA
"ABalapapap",NA,226,1,0,2,1,0,0,0,0,0,0,0,1,4,4,4,4,4,4,0,4,3034,4,0,2411,37,217
"ABalapapapa",NA,291,0,1,0,2,0,0,1,0,0,0,0,0,4,4,4,4,0,4,0,0,16680,4,0,2411,37,217
"ABalapapapaa","OLQDL",400,0,0,0,0,0,0,0,1,0,0,0,0,NA,4,NA,4,0,0,0,0,16680,4,0,2411,37,217
"ABalapapapap","death",400,0,0,0,0,0,0,0,1,0,0,0,0,NA,4,NA,4,0,0,0,0,16680,4,0,2411,37,217
"ABalapapapp","URYDL",291,0,1,0,2,1,0,0,0,0,0,0,0,4,4,4,4,0,4,0,0,10234,4,0,2411,37,217
"ABalapapp",NA,171,1,0,0,0,0,0,0,0,1,0,0,0,4,4,4,4,4,4,4,4,2952,0,0,922,0,217
"ABalapappa",NA,218,0,1,2,0,0,0,0,0,0,1,0,0,4,4,4,4,4,4,4,4,2952,0,0,6274,0,217
"ABalapappaa",NA,279,0,0,0,2,2,0,2,0,0,0,0,0,4,4,4,4,0,4,0,4,15639,0,0,9532,0,217
"ABalapappaaa","IL1DL",400,0,0,0,0,0,2,0,2,0,0,0,0,NA,4,NA,4,0,0,0,0,15639,0,0,9532,0,217
"ABalapappaap","death",400,0,0,0,0,0,2,0,2,0,0,0,0,NA,4,NA,4,0,0,0,0,15639,0,0,9532,0,217
"ABalapappap","IL2DL",279,0,0,0,2,2,0,2,0,0,0,0,0,4,4,4,4,0,4,0,4,11060,0,0,8299,0,217
"ABalapappp",NA,218,2,1,0,0,0,0,0,0,0,1,0,0,4,4,4,4,4,4,4,4,2952,0,0,5496,0,217
"ABalapapppa","AVJL",294,0,2,0,0,2,0,2,0,0,0,0,0,4,4,4,4,0,4,0,4,2952,0,0,10446,0,217
"ABalapapppp","CEPsoDL",294,0,2,0,0,2,0,2,0,0,0,0,0,4,4,4,4,0,4,0,4,2952,0,0,10112,0,217
"ABalapp",NA,103,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,3,4,4,95,0,0,0,0,88
"ABalappa",NA,135,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,863,0,0,469,0,92
"ABalappaa",NA,178,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,932,0,0,1761,0,92
"ABalappaaa","death",239,0,0,0,0,2,0,0,0,0,0,0,0,4,4,4,4,0,4,4,4,5141,2,0,1761,0,92
"ABalappaap",NA,239,0,0,0,0,0,0,2,0,0,0,0,0,4,4,4,4,4,4,0,4,15871,0,0,1761,0,92
"ABalappaapa","RID",339,0,0,0,0,0,0,0,2,0,0,0,0,3,4,3,4,0,4,0,0,15960,0,0,1761,0,92
"ABalappaapp","death",339,0,0,0,0,0,0,0,2,0,0,0,0,3,4,3,4,0,4,0,0,15871,0,0,1761,0,92
"ABalappap",NA,178,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,1251,3,0,1315,0,92
"ABalappapa",NA,227,0,0,0,0,1,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,7459,3,0,1653,0,92
"ABalappapaa","AVHR",332,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,4,0,4,0,4,7459,3,0,2409,0,92
"ABalappapap","death",332,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1,4,0,4,0,4,7459,3,0,2756,0,92
"ABalappapp",NA,227,0,0,0,0,0,0,1,0,0,0,0,0,4,4,4,4,4,4,4,4,8599,3,0,2003,0,92
"ABalappappa","CANR",295,0,0,0,0,3,0,1,1,0,0,0,0,4,4,4,4,0,4,0,4,9314,3,100,2003,0,92
"ABalappappp","OLLsoR",295,0,0,0,0,1,0,3,1,0,0,0,0,4,4,4,4,0,4,0,4,8599,3,1,2541,0,92
"ABalappp",NA,135,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,669,0,0,322,0,88
"ABalapppa",NA,172,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,669,0,0,3239,0,88
"ABalapppaa",NA,219,0,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,2,4,4,4,669,0,0,7177,0,88
"ABalapppaaa","ALA",295,0,0,0,1,1,0,2,0,0,0,0,0,4,4,4,4,0,2,0,4,3359,0,0,7177,0,88
"ABalapppaap","RMED",295,0,0,0,1,2,0,1,0,0,0,0,0,4,4,4,4,0,2,0,4,1152,0,0,7177,0,88
"ABalapppap",NA,219,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,2,4,831,0,0,6513,0,88
"ABalapppapa",NA,284,0,1,0,0,0,0,1,0,0,0,0,0,4,4,4,4,0,4,0,2,14993,0,0,6513,0,88
"ABalapppapaa","OLQDR",400,0,0,0,0,0,0,0,1,0,0,0,0,NA,4,NA,4,0,0,0,0,14993,0,0,6513,0,88
"ABalapppapap","death",400,0,0,0,0,0,0,0,1,0,0,0,0,NA,4,NA,4,0,0,0,0,14993,0,0,6513,0,88
"ABalapppapp","URYDR",284,0,1,0,0,1,0,0,0,0,0,0,0,4,4,4,4,0,4,0,2,8104,0,0,6513,0,88
"ABalapppp",NA,172,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,772,0,0,2802,0,88
"ABalappppa",NA,219,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,3,4,772,0,0,7483,0,88
"ABalappppaa",NA,278,0,0,0,0,3,0,1,0,0,0,0,0,4,4,4,4,0,4,0,3,15441,0,0,7483,0,88
"ABalappppaaa","IL1DR",400,0,0,0,0,0,3,0,1,0,0,0,0,NA,4,NA,4,0,0,0,0,15441,0,0,7483,0,88
"ABalappppaap","death",400,0,0,0,0,0,3,0,1,0,0,0,0,NA,4,NA,4,0,0,0,0,15441,0,0,7483,0,88
"ABalappppap","IL2DR",278,0,0,0,0,1,0,3,0,0,0,0,0,4,4,4,4,0,4,0,3,8908,0,0,7483,0,88
"ABalappppp",NA,219,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,3,4,4,4,772,0,0,7313,0,88
"ABalapppppa","AVJR",291,0,0,0,0,1,0,1,0,0,0,0,0,4,4,4,4,0,3,0,4,1157,0,0,12621,0,88
"ABalapppppp","CEPsoDR",291,0,0,0,0,1,0,1,0,0,0,0,0,4,4,4,4,0,3,0,4,772,0,0,10742,0,88
"ABalp",NA,56,0,0,0,0,0,0,0,0,1,0,0,0,4,4,4,4,3,4,4,4,51,0,0,0,0,0
"ABalpa",NA,75,0,0,0,0,0,0,0,0,0,1,0,0,4,4,4,4,4,3,4,4,80,0,0,0,0,0
"ABalpaa",NA,102,0,0,0,0,0,0,0,0,1,0,1,0,4,4,4,4,4,4,4,4,80,0,0,0,0,0
"ABalpaaa",NA,134,0,0,0,0,0,0,0,0,0,1,0,1,4,4,4,4,4,4,4,4,581,0,0,0,0,0
"ABalpaaaa",NA,177,0,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4787,0,0,0,0,0
"ABalpaaaaa",NA,232,0,0,1,1,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,6949,0,0,0,29,0
"ABalpaaaaaa","e3VL",307,0,0,0,1,2,0,2,0,0,0,0,0,4,4,4,4,0,4,0,4,6949,0,0,0,29,0
"ABalpaaaaap","m2VL",307,0,0,0,1,2,0,2,0,0,0,0,0,4,4,4,4,0,4,0,4,6949,0,0,0,29,0
"ABalpaaaap",NA,232,1,0,0,1,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4948,0,0,0,11,0
"ABalpaaaapa","m1VL",318,0,1,0,0,1,0,2,0,0,0,0,0,4,4,4,4,0,4,0,4,4948,1,28,0,11,0
"ABalpaaaapp","death",318,0,1,0,0,2,0,1,0,0,0,0,0,4,4,4,4,0,4,0,4,5424,0,0,0,11,0
"ABalpaaap",NA,177,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,3126,0,0,0,0,0
"ABalpaaapa",NA,230,1,1,0,0,0,0,1,0,0,0,0,0,4,4,4,4,4,4,4,4,3126,136,0,0,0,0
"ABalpaaapaa","m2L",315,0,1,0,0,1,0,3,1,0,0,0,0,4,4,4,4,0,4,0,4,3126,303,0,3,0,0
"ABalpaaapap","death",315,0,1,0,0,3,0,1,1,0,0,0,0,4,4,4,4,0,4,0,4,3126,193,0,0,0,0
"ABalpaaapp",NA,230,0,1,1,0,1,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,3126,268,0,19,0,0
"ABalpaaappa","death",313,0,0,0,1,2,1,2,0,0,0,0,0,3,4,3,4,0,4,0,4,6050,1191,216,19,0,0
"ABalpaaappp","MCL",313,0,0,0,1,2,1,2,0,0,0,0,0,3,4,3,4,0,4,0,4,3126,341,0,108,0,0
"ABalpaap",NA,134,0,0,0,0,0,0,0,0,0,1,0,1,4,4,4,4,4,4,4,4,398,0,0,0,0,0
"ABalpaapa",NA,170,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,2603,0,0,0,0,0
"ABalpaapaa",NA,212,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,4,3,4,4,4,2603,212,0,0,0,0
"ABalpaapaaa","arcpost",284,0,0,0,0,2,0,4,0,0,0,0,1,4,4,4,4,0,3,0,4,2603,212,0,0,0,0
"ABalpaapaap","e2DL",284,0,0,0,0,4,0,2,0,0,0,0,1,4,4,4,4,0,3,0,4,2603,251,0,0,0,0
"ABalpaapap",NA,212,0,0,0,0,0,0,0,0,1,0,0,0,4,4,4,4,4,4,3,4,2603,25,0,0,0,0
"ABalpaapapa","mc1DL",263,0,0,0,0,1,0,1,0,0,1,0,0,4,4,4,4,0,4,0,3,2603,364,0,0,0,0
"ABalpaapapp","m3L",263,0,0,0,0,1,0,1,0,0,1,0,0,4,4,4,4,0,4,0,3,2603,353,0,0,0,0
"ABalpaapp",NA,170,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,1941,0,0,0,0,0
"ABalpaappa",NA,222,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,1941,0,0,0,0,0
"ABalpaappaa","arc_ant",309,0,0,0,0,0,0,2,0,0,0,0,0,4,4,4,4,0,4,0,4,1941,0,0,36,0,0
"ABalpaappap","arcpost",309,0,0,0,0,2,0,0,0,0,0,0,0,4,4,4,4,0,4,0,4,1941,0,0,0,0,0
"ABalpaappp",NA,222,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,1941,0,0,0,0,0
"ABalpaapppa","hyp1",297,0,0,0,0,2,0,0,0,0,0,0,0,4,4,4,4,0,4,0,4,1941,0,0,0,0,0
"ABalpaapppp","hyp2",297,0,0,0,0,0,0,2,0,0,0,0,0,4,4,4,4,0,4,0,4,1941,0,193,39,0,0
"ABalpap",NA,102,0,0,0,0,0,0,0,0,1,0,1,0,4,4,4,4,4,4,4,4,80,0,0,0,0,0
"ABalpapa",NA,133,0,0,0,0,0,0,0,0,0,1,0,1,4,4,4,4,4,4,4,4,200,0,0,0,0,0
"ABalpapaa",NA,172,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,1334,0,0,0,0,0
"ABalpapaaa",NA,223,1,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4101,0,0,0,0,0
"ABalpapaaaa","RIPL",291,0,1,0,0,1,0,1,0,0,0,0,0,4,4,4,4,0,4,0,4,4101,0,0,0,0,0
"ABalpapaaap","hyp2",291,0,1,0,0,1,0,1,0,0,0,0,0,4,4,4,4,0,4,0,4,4101,0,0,0,0,0
"ABalpapaap",NA,223,0,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,3505,0,0,0,0,0
"ABalpapaapa","arc_ant",310,0,0,0,1,2,0,2,0,0,0,0,0,4,4,4,4,0,4,0,4,3505,0,54,0,0,0
"ABalpapaapp","death",310,0,0,0,1,2,0,2,0,0,0,0,0,4,4,4,4,0,4,0,4,3505,251,334,0,0,0
"ABalpapap",NA,172,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,1483,0,0,0,0,0
"ABalpapapa",NA,222,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,3149,1732,0,0,0,0
"ABalpapapaa","RMDDL",290,0,0,0,0,2,0,2,0,0,0,0,0,4,4,4,4,0,4,0,4,3149,1784,0,0,0,0
"ABalpapapap",NA,290,0,0,0,0,2,0,2,0,0,0,0,0,4,4,4,4,0,4,0,4,3149,2235,0,0,0,0
"ABalpapapapa","death",400,0,0,0,0,0,2,0,2,0,0,0,0,NA,4,NA,4,0,0,0,0,3149,2235,0,0,0,0
"ABalpapapapp","SMBDL",400,0,0,0,0,0,2,0,2,0,0,0,0,NA,4,NA,4,0,0,0,0,3149,2235,0,0,0,0
"ABalpapapp",NA,222,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,2121,2007,0,0,43,0
"ABalpapappa","death",302,0,0,0,0,3,0,3,0,0,0,0,0,4,4,4,4,0,4,0,4,2121,3056,9,174,43,0
"ABalpapappp","SMBVL",302,0,0,0,0,3,0,3,0,0,0,0,0,4,4,4,4,0,4,0,4,2121,3638,0,0,43,0
