"Cells","Fates","CCTermDefects","PosTermDefects","AngTermDefects","Expression","ceh36_peak.CellsLineageOrder...1..","unc30_peak.CellsLineageOrder...1..","mls2_peak.CellsLineageOrder...1..","nob1_peak.CellsLineageOrder...1..","ceh13_peak.CellsLineageOrder...1.."
"ABprpaapppp",NA,0,1,1,1006,731,1404,8,0,0
"ABprpapaaaa","SMDDR",0,1,1,1438,1308,900,8,0,8
"ABprpapaaap","AIYR",0,2,1,1578,1308,900,8,0,8
"ABprpapaapa","SIADR",0,2,1,718,1308,900,8,0,8
"ABprpapaapp","SIBVR",0,2,1,1137,1308,900,59,0,8
"ABprpapapaa","exc_gl_R",0,1,1,1360,3405,641,8,11,0
"ABprpapapap","AVKR",0,0,1,1257,3405,641,8,11,0
"ABprpapappa","SIAVR",0,2,1,889,3886,641,8,0,1
"ABprpapappp","DA8",0,2,1,2048,3814,641,8,0,1
"ABprpappaaa","RIH",0,3,1,1002,3707,647,8,0,0
"ABprpappaap","AVL",0,2,1,1031,3707,647,8,0,0
"ABprpappapa","RIS",0,2,1,1071,3619,647,8,0,0
"ABprpappapp","DB4",0,2,1,1087,3619,647,8,0,0
"ABprpapppaa","RIR",0,2,1,752,6302,647,8,0,0
"ABprpapppap","AVG",0,2,1,1088,6302,647,8,0,0
"ABprpappppa","virR",0,2,1,930,6013,647,8,0,0
"ABprpappppp","virL",0,1,1,685,6013,647,8,0,0
"ABprppaaaaa","SIBDR",0,2,3,1232,1220,1693,8,0,2703
"ABprppaaaap",NA,0,2,3,1232,1220,1693,8,0,2703
"ABprppaaap","death",0,0,3,731,1220,1693,8,5,2703
"ABprppaapaa","death",0,2,3,1225,3142,1693,63,43,2703
"ABprppaapap","RIMR",0,2,3,723,3132,1693,8,43,2703
"ABprppaappa","AIAR",0,2,3,1116,4313,1693,280,0,2703
"ABprppaappp","DB7",0,2,3,1496,4956,1693,367,0,2703
"ABprppapaaa",NA,0,2,2,795,1585,1360,8,0,3251
"ABprppapaap","DA1",0,2,2,610,1585,1360,8,0,3251
"ABprppapapa","DA3",0,2,2,1599,1511,1360,8,0,3251
"ABprppapapp","DA5",0,2,2,898,1511,1360,8,0,3251
"ABprppappaa","RIGR",0,2,2,797,1451,1360,8,0,5866
"ABprppappap","DD2",0,2,2,1228,1451,1360,8,0,5866
"ABprppapppa","DD4",0,2,2,649,1451,1360,8,0,7789
"ABprppapppp","DD6",0,2,2,979,1451,1360,8,0,7789
"ABprpppaaaa","PDA/Y",0,2,2,781,4044,1640,8,3025,2204
"ABprpppaaap","DA7",0,1,2,843,4044,1640,8,3025,2204
"ABprpppaapa",NA,0,1,2,988,3960,1640,8,2971,2204
"ABprpppaapp","PHAR",0,1,2,867,3960,1640,36,2971,2204
"ABprpppapaa","PHshR",1,1,2,1361,4470,1640,8,2440,2204
"ABprpppapap","hyp8/9",1,1,2,461,4470,1640,8,2440,2204
"ABprpppapp","death",0,1,2,896,3770,1640,33,2440,2204
"ABprppppaaa","PVPR",0,1,2,1153,5722,1291,8,2591,1828
"ABprppppaap","rect_VR",0,1,2,896,5722,1291,8,2591,1828
"ABprppppapa","B",0,1,3,1164,5446,1291,8,2456,1828
"ABprppppapp","DVA",0,1,3,864,5446,1291,8,2456,1828
"ABprpppppaa","mu_bod",0,0,2,792,3859,1291,8,1520,1828
"ABprpppppap","mu_sph",0,1,2,936,3859,1291,8,1520,1828
"ABprppppppa","spike",0,0,2,855,4001,1291,12,1427,1828
"ABprppppppp","hyp10",0,0,2,855,4001,1291,8,1427,1828
"MSaaaaaa",NA,0,1,0,4306,213,1663,691,0,0
"MSaaaaapaa","I3",1,1,0,4867,213,0,691,0,0
"MSaaaaapap","g1P",1,1,0,4867,213,0,691,0,0
"MSaaaaapp","m4DL",0,0,0,3230,213,0,691,0,0
"MSaaaapaa","I4",0,2,1,224,213,0,577,0,0
"MSaaaapap","m5DL",0,1,1,251,213,0,577,0,0
"MSaaaappa","death",0,1,1,582,213,0,577,0,0
"MSaaaappp","m7D",0,1,1,224,213,0,577,0,0
"MSaaapaaa","m3DL",0,1,0,2781,1415,0,621,0,0
"MSaaapaap","m4L",0,0,0,2478,1415,0,621,0,0
"MSaaapapa","mc3DL",0,0,0,2273,1050,0,621,0,0
"MSaaapapp","m8",0,1,0,2273,1050,0,621,0,0
"MSaaappa","death",0,1,1,555,2185,0,494,18,0
"MSaaappp","vpi3D",0,2,1,326,2361,0,494,145,0
"MSaapaaaa","m4VL",0,0,3,776,1855,0,426,0,0
"MSaapaaap","m5VL",0,0,3,533,1855,0,426,0,0
"MSaapaapa",NA,0,0,3,533,1855,0,426,0,0
"MSaapaapp","m7VL",0,2,3,533,1855,0,426,0,0
"MSaapappa","m6VL",0,1,2,616,1805,0,426,0,0
"MSaapappp","vpi2DL",0,0,2,904,1805,0,426,0,0
"MSaappaa","vpi2V",0,1,1,730,2197,0,441,11,0
"MSaappap","vpi3V",0,1,1,730,2197,0,441,11,0
"MSaapppp",NA,0,0,1,583,2223,0,441,11,60
"MSapaaaa",NA,0,0,0,270,0,5226,29,0,0
"MSapaaap","mu_bod",0,0,0,181,0,4680,29,0,0
"MSapaapa","death",0,0,1,1448,0,0,29,0,0
"MSapaapp","M",0,1,1,742,0,0,29,0,0
"MSapapaa",NA,0,0,0,542,0,0,11,0,0
"MSapapap","mu_bod",0,1,0,1202,0,0,11,0,0
"MSapappa","mu_bod",0,1,0,233,0,0,11,0,0
"MSapappp","mu_bod",0,0,0,836,0,0,11,0,0
"MSappaaa","hmc",0,0,0,276,0,0,31,0,0
"MSappaap","Z4",0,2,0,577,0,0,31,0,0
"MSappapa","death",0,0,0,751,0,225,25,0,0
"MSappapp","mu_bod",0,0,0,417,0,0,30,0,0
"MSapppaa","mu_bod",0,0,1,764,0,0,30,0,0
"MSapppap","mu_bod",0,0,1,222,0,0,57,0,146
"MSappppa","mu_bod",0,0,1,169,0,0,30,0,0
"MSappppp","mu_bod",0,0,1,169,0,0,30,0,0
"MSpaaaaaa","M4",0,3,2,460,173,0,0,0,0
"MSpaaaaap","death",0,2,2,466,173,0,0,0,0
"MSpaaaapa","m3DR",0,1,3,508,197,0,0,0,0
"MSpaaaapp","m4DR",0,0,3,841,173,0,0,0,0
"MSpaaapaa","I6",0,2,2,217,173,0,0,0,0
"MSpaaapap","M5",0,3,2,309,173,0,0,0,0
"MSpaaappa","m5DR",0,0,3,217,173,0,0,0,0
"MSpaaappp","m6D",0,1,3,206,173,0,0,0,0
"MSpaapaaa","M1",0,1,3,4892,915,0,33,0,9
"MSpaapaap","death",0,1,3,4667,915,0,0,0,9
"MSpaapapa","mc3DR",0,0,5,3843,1121,0,0,0,0
"MSpaapapp","vpi1",0,1,5,4691,1121,6,0,0,0
"MSpaapp","death",0,0,2,574,152,11,0,0,4
"MSpapaaaa","m4VR",0,0,5,522,1328,0,0,17,0
"MSpapaaap","m5VR",0,1,5,591,1328,0,0,17,0
"MSpapaapa",NA,0,0,6,522,1328,0,0,0,0
"MSpapaapp","m7VR",0,1,6,522,1328,0,0,0,0
"MSpapapaa","g2R",0,1,4,572,1245,0,0,0,0
"MSpapapap","death",0,0,4,1291,1245,0,0,0,0
"MSpapappa","m6VR",0,1,4,568,1245,70,0,43,0
"MSpapappp","vpi2DR",0,1,4,568,1245,0,0,43,0
"MSpappaa","mu_bod",0,1,2,847,990,216,0,0,0
"MSpappap","mu_bod",0,0,2,653,990,0,0,0,0
"MSpapppaa","mu_bod",1,0,5,832,1289,0,0,0,87
"MSpapppap","mu_bod",1,0,5,503,1289,0,0,0,87
"MSpapppp",NA,0,0,3,718,1289,0,0,0,87
"MSppaaaa",NA,0,0,7,418,0,4050,0,0,0
"MSppaaap","mu_bod",0,1,7,418,0,3357,0,0,0
"MSppaapa","death",0,0,7,1142,0,0,0,0,0
"MSppaapp","mu_int_R",0,1,7,815,0,0,0,0,0
"MSppapaa",NA,0,0,7,472,0,0,0,0,0
"MSppapap","mu_bod",0,0,7,418,0,0,0,0,0
"MSppappa","mu_bod",0,1,8,418,0,0,0,63,0
"MSppappp","mu_bod",0,1,8,418,0,0,0,0,0
"MSpppaaa","death",0,0,6,766,0,0,0,0,0
"MSpppaap","Z1",0,0,6,694,0,0,0,0,0
"MSpppapa","death",0,1,6,1281,0,0,0,0,0
"MSpppapp","mu_bod",0,1,6,590,0,41,0,0,0
"MSppppaa","mu_bod",0,1,5,441,0,0,0,0,0
"MSppppap","mu_bod",0,1,5,408,0,0,0,0,0
"MSpppppa","mu_bod",0,2,5,408,0,0,0,0,0
"MSpppppp","mu_bod",0,1,5,408,0,0,0,0,0
"Ealaa",NA,0,1,3,65,0,0,0,0,0
"Ealap","int",0,0,3,28,0,0,0,0,0
"Ealpa","int",0,0,3,115,0,0,0,0,0
"Ealpp","int",0,1,3,28,0,0,0,0,0
"Earaa",NA,0,0,3,148,0,0,0,0,0
"Earap","int",0,0,3,47,0,0,0,0,0
"Earpa","int",1,1,3,150,0,0,0,0,0
"Earpp","int",1,0,3,79,0,0,0,0,0
"Eplaa","int",0,0,2,28,0,0,0,661,2070
"Eplap","int",0,0,2,43,0,0,0,661,2070
"Eplpa","int",0,0,1,28,0,0,0,1298,2070
"Eplpp",NA,0,0,1,266,0,0,0,820,2070
"Epraa","int",0,0,1,74,0,0,0,803,1803
"Eprap","int",0,0,1,98,0,0,0,803,1803
"Eprpa","int",0,0,1,74,0,0,0,1656,1803
"Eprpp",NA,0,0,1,106,0,0,0,1406,1803
"Caaaaa","hyp7",0,0,1,63,0,2882,0,0,5402
"Caaaap","hyp7",0,0,1,96,0,943,0,0,4513
"Caaapa","hyp7",0,1,2,157,0,0,0,0,1096
"Caaapp","hyp7",0,1,2,320,0,0,0,0,619
"Caapaa","DVC",0,0,1,552,0,252,0,0,0
"Caapap","death",0,0,1,635,0,0,0,0,0
"Caappd","hyp7",0,0,1,348,0,0,0,286,0
"Caappv","PVR",0,0,1,500,1,0,0,8,0
"Capaaaa","mu_bod",0,1,0,341,0,0,0,0,0
"Capaaap","mu_bod",0,1,0,363,0,0,0,0,0
"Capaapa","mu_bod",0,0,0,529,0,0,0,0,0
"Capaapp","mu_bod",0,1,0,529,0,0,0,0,0
"Capapaa","mu_bod",0,0,1,442,0,0,11,0,0
"Capapap","mu_bod",0,0,1,442,0,0,0,0,0
"Capappa","mu_bod",0,0,1,442,0,0,0,0,0
"Capappp","mu_bod",0,0,1,627,0,0,0,0,0
"Cappaaa","mu_bod",1,1,0,121,0,0,0,0,0
"Cappaap","mu_bod",1,2,0,148,0,0,0,0,0
"Cappapa","mu_bod",0,1,0,193,0,0,0,0,0
"Cappapp","mu_bod",0,0,0,330,0,0,0,0,0
"Capppaa","mu_bod",0,1,0,275,0,0,0,0,0
"Capppap","mu_bod",0,0,0,275,0,0,0,0,0
"Cappppd","mu_bod",0,0,0,578,0,0,0,0,0
"Cappppv","mu_bod",0,0,0,542,0,0,15,0,0
"Cpaaaa","hyp7",0,1,1,57,0,2752,0,0,1959
"Cpaaap","hyp7",0,1,1,73,0,67,0,0,1403
"Cpaapa","hyp7",0,1,1,83,0,0,0,0,308
"Cpaapp","hyp7",0,2,1,126,0,0,0,0,34
"Cpapaa","hyp7",0,1,1,205,0,0,0,167,0
"Cpapap","hyp7",0,1,1,162,0,0,0,222,0
"Cpappd","hyp7",0,1,1,254,0,0,0,2063,0
"Cpappv","hyp11",0,1,1,680,0,0,0,760,0
"Cppaaaa","mu_bod",0,0,7,580,0,0,0,33,0
"Cppaaap","mu_bod",0,0,7,370,0,129,0,33,0
"Cppaapa","mu_bod",0,1,8,574,0,0,0,0,0
"Cppaapp","mu_bod",0,1,8,1002,0,0,0,0,0
"Cppapaa","mu_bod",0,2,4,456,0,0,0,85,0
"Cppapap","mu_bod",0,3,4,456,0,0,0,85,0
"Cppappa","mu_bod",0,0,4,742,0,0,0,43,0
"Cppappp","mu_bod",0,0,4,972,0,0,0,43,0
"Cpppaaa","mu_bod",0,0,2,284,0,0,0,0,0
"Cpppaap","mu_bod",0,0,2,284,0,0,0,0,0
"Cpppapa","mu_bod",0,0,3,430,0,182,0,0,0
"Cpppapp","mu_bod",0,0,3,430,0,568,0,0,0
"Cppppaa","mu_bod",0,1,2,390,0,0,0,9,0
"Cppppap","mu_bod",0,1,2,390,0,0,0,9,0
"Cpppppd","mu_bod",0,0,2,582,0,0,0,0,0
"Cpppppv","mu_bod",0,0,2,751,0,0,0,0,0
"Daaaa","mu_bod",0,1,1,391,0,0,0,0,4466
"Daaap","mu_bod",0,1,1,391,0,0,0,0,5024
"Daapa","mu_bod",0,1,1,391,0,0,0,0,0
"Daapp","mu_bod",0,0,1,406,0,0,0,0,10
"Dapaa","mu_bod",0,1,1,124,0,0,0,0,305
"Dapap","mu_bod",0,1,1,188,0,0,0,0,345
"Dappa",NA,0,0,2,84,0,0,0,0,2376
"Dappp",NA,0,0,1,84,0,0,0,0,2208
"Dpaaa","mu_bod",0,1,1,597,0,0,0,0,3656
"Dpaap","mu_bod",0,0,1,344,0,0,0,0,3373
"Dpapa","mu_bod",0,0,1,409,0,0,0,0,0
"Dpapp","mu_bod",0,0,1,652,0,0,0,0,21
"Dppaa","mu_bod",0,0,1,288,0,0,0,0,157
"Dppap","mu_bod",0,0,1,288,0,0,0,0,183
"Dpppa",NA,0,0,1,294,0,0,0,0,519
"Dpppp",NA,0,0,1,294,0,0,0,0,624
"Z2","Z2",0,0,1,401,0,0,0,0,0
"Z3","Z3",0,0,1,396,0,0,0,0,0
