"","Cell","Embryo","Div time","WT Div time","WT Div time SD","CC","WT CC","WT CC SD","CC Deviation","CC Z score","Terminal Cell Length","Terminal cell delta","Terminal Cell Z"
"ABplpppppa_X20111116_RW10226_L4","ABplpppppa","X20111116_RW10226_L4",NA,312.075,7.93565405389864,NA,89.53,7.42500044302675,NA,NA,135.7,46.17,6.21818144716219
"ABprpppaaa_X20111116_RW10226_L4","ABprpppaaa","X20111116_RW10226_L4",NA,301.695238095238,4.64321830097145,NA,76.9047619047619,3.49720977215783,NA,NA,131.3,54.3952380952381,15.5538962884904
"ABprpppapa_X20111116_RW10226_L4","ABprpppapa","X20111116_RW10226_L4",NA,279.428571428571,3.15628624448779,NA,54,1.70528589978338,NA,NA,108,54,31.6662443563626
"Capapp_X20111116_RW10226_L4","Capapp","X20111116_RW10226_L4",NA,342.330769230769,7.38177763317489,NA,94.8230769230769,7.70228903704973,NA,NA,118.1,23.2769230769231,3.02207862688038
"Capppp_X20111116_RW10226_L4","Capppp","X20111116_RW10226_L4",NA,336.38125,8.93145891404833,NA,93.88125,5.93039838459441,NA,NA,121,27.11875,4.57283781650273
"ABalaapa_X20110916_ceh.36_L1","ABalaapa","X20110916_ceh.36_L1",188.5,179.909090909091,2.74571685338475,49.6,42.4318181818182,2.33368426550857,7.16818181818182,3.07161595256319,NA,NA,NA
"ABalppaap_X20110916_ceh.36_L1","ABalppaap","X20110916_ceh.36_L1",234.2,230.345454545455,2.55971115794756,55.9,50.6772727272727,1.70431715642863,5.22272727272727,3.06441043149,NA,NA,NA
"ABaraaapaa_X20110916_ceh.36_L1","ABaraaapaa","X20110916_ceh.36_L1",320.4,289.895454545455,8.46136751711803,100.1,74.8772727272727,6.83937701271672,25.2227272727273,3.68786911817109,NA,NA,NA
"ABarapppap_X20110916_ceh.36_L1","ABarapppap","X20110916_ceh.36_L1",309.1,298.936363636364,3.40860891253525,87.6,77.2409090909091,3.12709496877261,10.3590909090909,3.31268829777718,NA,NA,NA
"ABpraappp_X20110916_ceh.36_L1","ABpraappp","X20110916_ceh.36_L1",222.7,216.590909090909,3.59959112637203,52.1,46.6909090909091,1.7312008193899,5.40909090909091,3.12447339933512,NA,NA,NA
"ABplapapppp_X20120426_JIM122_L2","ABplapapppp","X20120426_JIM122_L2",NA,399.5,0.848528137423889,NA,91.15,3.6062445840514,NA,NA,118.3,27.15,7.5286074938097
"ABprapapppp_X20120426_JIM122_L2","ABprapapppp","X20120426_JIM122_L2",NA,393.95,9.26309883354379,NA,86.35,5.44472221513642,NA,NA,114.9,28.55,5.24361002672102
"ABalapppp_X20120612_JIM127_L4","ABalapppp","X20120612_JIM127_L4",224.8,217.604545454545,2.82125896799676,51.7,45.35,1.99230663159206,6.35,3.18726038417374,NA,NA,NA
"Ealaa_X20120612_JIM127_L4","Ealaa","X20120612_JIM127_L4",NA,357.08,8.81770945314031,NA,130.88,6.1601136353155,NA,NA,154.8,23.92,3.88304525144931
