"","WT_Mean","WT_SD","Mutant_Mean","Mutant_SD","pVals","ceh36_peak.names.WT_Mean..","X20101213_RW10889_pal.1_L2","X20101213_RW10889_pal.1_L3","X20110125_RW10890_pal.1_L3","X20110125_RW10890_pal.1_L4","X20110203_RW10890_pal.1_L4","X20110209_UP2051_mls.2_L1","X20110209_UP2051_mls.2_L2","X20110209_UP2051_mls.2_L3","X20110225_NX68_L3","X20110316_mir.1_L2","X20110316_mir.1_L3","X20110408_RW10425_pha.4_L2","X20110726_RW10713_L1","X20110731_RW10434_L1","X20110916_ceh.36_L1","X20110927_RW11144_L4","X20110929_ceh.43_L1","X20111116_RW10226_L4","X20120331_RW10871_L4","X20120426_JIM122_L2","X20120612_JIM127_L4","X20120807_mir.57_L4"
"EMS",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P3",0.96989681944925,0.0349716187474837,0.96989681944925,0.0349716187474837,1,-198,0.95890892361101,0.991120572330171,NA,0.996375901349494,0.993670351117127,0.992431263391992,0.962247111874032,0.894955700796368,0.972722465982316,0.876924928670151,0.994107292619904,0.912779626793122,0.994950480659057,0.94706911599186,0.971177971858533,0.984053327488624,0.973470525580388,0.990543993755675,0.99679471788764,0.99769911210168,0.995458619362596,0.97037120521251
"P2",0.952677749116293,0.0395303858938218,0.952677749116293,0.0395303858938218,1,NA,0.984116397600618,0.959585074752515,0.950101214644904,0.928443097107653,0.875005413654403,0.935569637609682,0.924038397557739,0.96666390855243,0.956369325251038,0.923692085249936,0.945085358101793,0.991739370471529,0.997359241655395,0.921924294067572,0.999319881536038,0.999096557862711,0.909076620314461,0.992696442785622,0.861308400448584,0.975809420909571,0.972316566108722,0.989593774315526
"P0",0.982452802870166,0.0249343268288944,0.982452802870166,0.0249343268288944,1,NA,0.971236925150008,0.994023135738067,NA,0.999699874237514,0.978912615200082,0.998282686344546,0.993235805390888,0.992374423789352,0.997701332601818,0.994299629562705,0.995460647435904,0.984708029655196,0.98510982233582,0.99019701159207,0.980130207530223,0.927521317003717,0.995248756287197,0.903317676252056,0.999270731023513,0.957280328163437,0.994399223697335,0.999098681282039
