paste.Cells..round.CC_Dif_pValues..4..	X20110316_mir.1_L3	X20110316_mir.1_L2	X20110203_RW10890_pal.1_L4	X20110125_RW10890_pal.1_L3	X20110125_RW10890_pal.1_L4	X20101213_RW10889_pal.1_L2	X20101213_RW10889_pal.1_L3	X20110209_UP2051_mls.2_L1	X20110209_UP2051_mls.2_L2	X20110209_UP2051_mls.2_L3	X20110225_NX68_L3	X20110408_RW10425_pha.4_L2	X20110927_RW11144_L4	X20110929_ceh.43_L1	X20110726_RW10713_L1	X20110731_RW10434_L1	X20111116_RW10226_L4	X20110916_ceh.36_L1	X20120426_JIM122_L2	X20120612_JIM127_L4	X20120331_RW10871_L4	X20120807_mir.57_L4	X20110316_mir.1_L3.1	X20110316_mir.1_L2.1	X20110203_RW10890_pal.1_L4.1	X20110125_RW10890_pal.1_L3.1	X20110125_RW10890_pal.1_L4.1	X20101213_RW10889_pal.1_L2.1	X20101213_RW10889_pal.1_L3.1	X20110209_UP2051_mls.2_L1.1	X20110209_UP2051_mls.2_L2.1	X20110209_UP2051_mls.2_L3.1	X20110225_NX68_L3.1	X20110408_RW10425_pha.4_L2.1	X20110927_RW11144_L4.1	X20110929_ceh.43_L1.1	X20110726_RW10713_L1.1	X20110731_RW10434_L1.1	X20111116_RW10226_L4.1	X20110916_ceh.36_L1.1	X20120426_JIM122_L2.1	X20120612_JIM127_L4.1	X20120331_RW10871_L4.1	X20120807_mir.57_L4.1
ABalpaappa 1	8	-4	9	-3	2	-2	0	1	-1	5	1	0	8	14	1	-11	-2	-8	-10	-7	4	-3	8	-4	9	-3	2	-2	0	1	-1	5	1	0	8	14	1	-11	-2	-8	-10	-7	4	-3
ABalpaappaa NA																																												
ABalpaappap NA																																												
ABalpaappp 1	0	-2	10	-5	-2	-3	0	-2	1	2	7	0	2	2	-2	-5	3	-1	-1	-2	1	-2	0	-2	10	-5	-2	-3	0	-2	1	2	7	0	2	2	-2	-5	3	-1	-1	-2	1	-2
ABalpaapppa NA																																												
ABalpaapppp NA																																												
ABalpap 1	0	1	-1	0	1	-1	1	0	0	-1	1	1	-2	-2	1	1	-2	-1	-1	-1	2	2	0	1	-1	0	1	-1	1	0	0	-1	1	1	-2	-2	1	1	-2	-1	-1	-1	2	2
ABalpapa 1	1	1	-1	-3	0	0	-1	-1	-2	-1	3	-2	0	-1	1	0	3	2	2	-1	1	-1	1	1	-1	-3	0	0	-1	-1	-2	-1	3	-2	0	-1	1	0	3	2	2	-1	1	-1
ABalpapaa 1	-3	-2	1	0	-2	0	2	-1	0	2	0	3	-2	0	0	2	-1	-1	1	3	1	0	-3	-2	1	0	-2	0	2	-1	0	2	0	3	-2	0	0	2	-1	-1	1	3	1	0
ABalpapaaa 1	-3	-1	4	-1	-2	2	-1	-3	4	3	-3	0	1	-2	2	0	4	-5	1	0	0	0	-3	-1	4	-1	-2	2	-1	-3	4	3	-3	0	1	-2	2	0	4	-5	1	0	0	0
ABalpapaaaa NA																																												
ABalpapaaap NA																																												
ABalpapaap 1	-6	2	5	3	-2	2	5	7	-3	-7	5	3	2	1	-4	5	8	-8	-6	-5	-4	-2	-6	2	5	3	-2	2	5	7	-3	-7	5	3	2	1	-4	5	8	-8	-6	-5	-4	-2
ABalpapaapa NA																																												
ABalpapaapp NA																																												
ABalpapap 1	0	0	0	-1	-1	1	2	-2	1	1	-1	0	-3	1	-1	1	-2	-1	3	2	0	-1	0	0	0	-1	-1	1	2	-2	1	1	-1	0	-3	1	-1	1	-2	-1	3	2	0	-1
ABalpapapa 1	5	-2	2	-3	-3	1	1	0	2	-1	-2	3	-1	1	-2	1	2	-1	-3	1	0	0	5	-2	2	-3	-3	1	1	0	2	-1	-2	3	-1	1	-2	1	2	-1	-3	1	0	0
ABalpapapaa NA																																												
ABalpapapap 1																			0		-7	7																			0		-7	7
ABalpapapapa NA																																												
ABalpapapapp NA																																												
ABalpapapp 1	-5	-4	0	10	-4	-4	-3	3	3	-3	-1	0	1	4	-2	-2	3	-1	-1	4	3	-1	-5	-4	0	10	-4	-4	-3	3	3	-3	-1	0	1	4	-2	-2	3	-1	-1	4	3	-1
ABalpapappa NA																																												
ABalpapappp NA																																												
ABalpapp 1	2	2	-2	-2	0	0	-1	0	0	0	1	1	-1	-1	0	1	1	2	0	0	0	0	2	2	-2	-2	0	0	-1	0	0	0	1	1	-1	-1	0	1	1	2	0	0	0	0
ABalpappa 1	-2	0	0	0	-2	1	2	-1	-1	4	1	0	0	1	-3	1	-2	1	0	1	2	-2	-2	0	0	0	-2	1	2	-1	-1	4	1	0	0	1	-3	1	-2	1	0	1	2	-2
ABalpappaa 1	-5	1	9	13	-4	-6	-3	3	4	-2	2	9	-3	0	-4	-2	-2	-3	-5	1	-2	1	-5	1	9	13	-4	-6	-3	3	4	-2	2	9	-3	0	-4	-2	-2	-3	-5	1	-2	1
ABalpappaaa NA																																												
ABalpappaap 1																			0		-2	2																			0		-2	2
ABalpappaapa NA																																												
ABalpappaapp NA																																												
ABalpappap 1	1	1	3	0	0	-1	3	4	1	3	-2	3	-5	-3	-2	0	1	-1	-2	0	-4	-1	1	1	3	0	0	-1	3	4	1	3	-2	3	-5	-3	-2	0	1	-1	-2	0	-4	-1
ABalpappapa NA																																												
ABalpappapp NA																																												
ABalpappp 1	-2	1	0	-3	-2	3	1	-2	0	2	1	0	-1	1	-2	1	-3	1	3	0	0	0	-2	1	0	-3	-2	3	1	-2	0	2	1	0	-1	1	-2	1	-3	1	3	0	0	0
ABalpapppa 1	-2	6		11	6	-3	-3	-8	7		5	1	-1	9	-8	-11	-1	-8	7	-3	0	-5	-2	6		11	6	-3	-3	-8	7		5	1	-1	9	-8	-11	-1	-8	7	-3	0	-5
ABalpapppaa NA																																												
ABalpapppap NA																																												
ABalpapppp 1	1	-1	3	-2	2	0	3	1	0	-3	-2	1	-1	-3	-1	-3	0	1	5	-1	1	-2	1	-1	3	-2	2	0	3	1	0	-3	-2	1	-1	-3	-1	-3	0	1	5	-1	1	-2
ABalpappppa NA																																												
ABalpappppp NA																																												
ABalpp 1	0	1	-1	-1	3	-3	1	1	0	1	1	-2	0	-2	1	0	0	0	-1	-1	1	2	0	1	-1	-1	3	-3	1	1	0	1	1	-2	0	-2	1	0	0	0	-1	-1	1	2
ABalppa 1	1	0	-2	-1	0	1	-1	0	-1	0	2	2	-1	-1	-2	1	0	1	1	0	1	-1	1	0	-2	-1	0	1	-1	0	-1	0	2	2	-1	-1	-2	1	0	1	1	0	1	-1
ABalppaa 1	4	0	-1	-3	2	1	0	-1	-1	2	0	1	1	-2	1	-3	2	0	-2	-2	2	-1	4	0	-1	-3	2	1	0	-1	-1	2	0	1	1	-2	1	-3	2	0	-2	-2	2	-1
ABalppaaa 1	-3	-1	-3	-2	-2	2	3	-2	1	2	3	2	0	3	-2	0	-1	0	0	0	0	-1	-3	-1	-3	-2	-2	2	3	-2	1	2	3	2	0	3	-2	0	-1	0	0	0	0	-1
ABalppaaaa NA																																												
ABalppaaap 1	4	5	-2	-5	-1	1	0	0	-3	-2	-5	1	5	13	-6	4	-3	1	2	4	-6	-6	4	5	-2	-5	-1	1	0	0	-3	-2	-5	1	5	13	-6	4	-3	1	2	4	-6	-6
ABalppaaapa NA																																												
ABalppaaapp NA																																												
ABalppaap 1	-3	0	-1	0	0	0	-1	-1	3	2	0	1	-2	0	-2	0	0	5	-1	0	0	2	-3	0	-1	0	0	0	-1	-1	3	2	0	1	-2	0	-2	0	0	5	-1	0	0	2
ABalppaapa NA																																												
ABalppaapp 1	-2	1	-5	-6	4	5	7	3	1	5	-6	-3	-1	5	-2	-2	-1	6	-1	-3	0	-2	-2	1	-5	-6	4	5	7	3	1	5	-6	-3	-1	5	-2	-2	-1	6	-1	-3	0	-2
ABalppaappa NA																																												
ABalppaappp NA																																												
ABalppap 1	1	1	1	-1	-1	-2	-1	-1	-1	1	3	-2	0	0	1	0	0	0	0	-1	1	0	1	1	1	-1	-1	-2	-1	-1	-1	1	3	-2	0	0	1	0	0	0	0	-1	1	0
ABalppapa 1	-2	1	-1	-3	0	-1	-1	1	2	1	-1	2	-1	-1	1	-3	0	3	0	2	0	0	-2	1	-1	-3	0	-1	-1	1	2	1	-1	2	-1	-1	1	-3	0	3	0	2	0	0
ABalppapaa 1	4	3	5	-2	-4	0	3	-3	1	-1	-3	-1	3	-3	-5	-3	3	10	-2	0	2	-7	4	3	5	-2	-4	0	3	-3	1	-1	-3	-1	3	-3	-5	-3	3	10	-2	0	2	-7
ABalppapaaa NA																																												
ABalppapaap NA																																												
ABalppapap 1	-2	-2	2	2	2	-3	-3	1	1	3	3	2	-5	0	3	1	2	-2	2	0	-4	-2	-2	-2	2	2	2	-3	-3	1	1	3	3	2	-5	0	3	1	2	-2	2	0	-4	-2
ABalppapapa NA																																												
ABalppapapp NA																																												
ABalppapp 1	-3	-1	0	-2	1	-2	0	-1	2	2	2	1	-2	0	0	-2	-1	2	-1	2	1	1	-3	-1	0	-2	1	-2	0	-1	2	2	2	1	-2	0	0	-2	-1	2	-1	2	1	1
ABalppappa 1	5	9	-2	-3	-6	2	-1	-1	4	0	-6	5	-3	0	-7	-1	1	4	-3	6	4	-6	5	9	-2	-3	-6	2	-1	-1	4	0	-6	5	-3	0	-7	-1	1	4	-3	6	4	-6
ABalppappaa NA																																												
ABalppappap NA																																												
ABalppappp 1	0	1	0	-6	-2	-1	-1	2	22	-2	1	0	-4	2	2	-1	-4	-2	-2	-1	-2	-4	0	1	0	-6	-2	-1	-1	2	22	-2	1	0	-4	2	2	-1	-4	-2	-2	-1	-2	-4
ABalppapppa 1																			-8		4	4																			-8		4	4
ABalppapppaa NA																																												
ABalppapppap NA																																												
ABalppapppp NA																																												
ABalppp 1	1	0	0	-2	1	1	0	0	-1	0	2	-1	0	-1	-1	1	0	2	-1	0	1	-1	1	0	0	-2	1	1	0	0	-1	0	2	-1	0	-1	-1	1	0	2	-1	0	1	-1
ABalpppa 1	2	0	0	-1	-1	-1	2	-1	0	2	2	0	-1	0	1	0	-1	0	-1	-2	-1	0	2	0	0	-1	-1	-1	2	-1	0	2	2	0	-1	0	1	0	-1	0	-1	-2	-1	0
ABalpppaa 1	-1	-2	3	2	-3	2	4	1	-3	-1	3	0	-1	1	2	0	-2	0	-2	-2	1	0	-1	-2	3	2	-3	2	4	1	-3	-1	3	0	-1	1	2	0	-2	0	-2	-2	1	0
ABalpppaaa 1	-2	2	-5	5	-3	-3	0	-1	-2	2	-5	0	1	23	-1	-2	-2	-1	1	1	0	-9	-2	2	-5	5	-3	-3	0	-1	-2	2	-5	0	1	23	-1	-2	-2	-1	1	1	0	-9
ABalpppaaaa NA																																												
ABalpppaaap NA																																												
ABalpppaap 1	3	4	3	8	0	-5	-4	-2	3	1	-2	2	-3	7	-2	2	-6	2	2	-4	-5	-4	3	4	3	8	0	-5	-4	-2	3	1	-2	2	-3	7	-2	2	-6	2	2	-4	-5	-4
ABalpppaapd NA																																												
ABalpppaapv NA																																												
ABalpppap 1	1	-1	0	-1	-2	0	1	-4	-1	1	1	0	1	2	1	-1	-3	0	0	4	-1	3	1	-1	0	-1	-2	0	1	-4	-1	1	1	0	1	2	1	-1	-3	0	0	4	-1	3
ABalpppapa 1	5	1	-3	-1	-8	3	2	-1	1	3	-4	2	-8	4	3	-4	1	2	4	6	-4	-1	5	1	-3	-1	-8	3	2	-1	1	3	-4	2	-8	4	3	-4	1	2	4	6	-4	-1
ABalpppapad NA																																												
ABalpppapav NA																																												
ABalpppapp 1	-2	0	2	-2	0	1	-3	-1	-2	0	1	0	0	1	4	-1		-1	2	0	0	-2	-2	0	2	-2	0	1	-3	-1	-2	0	1	0	0	1	4	-1		-1	2	0	0	-2
ABalpppappa NA																																												
ABalpppappp 1																			1	3	-8	4																			1	3	-8	4
ABalpppapppa NA																																												
ABalpppapppp NA																																												
ABalpppp 1	3	0	1	-1	-1	-1	-1	0	0	-1	0	-1	0	-1	-2	0	-1	2	0	-1	0	3	3	0	1	-1	-1	-1	-1	0	0	-1	0	-1	0	-1	-2	0	-1	2	0	-1	0	3
ABalppppa 1	0	0	-1	-2	-2	0	-2	-3	0	0	0	0	-2	2	10	-2	-2	1	-3	3	1	2	0	0	-1	-2	-2	0	-2	-3	0	0	0	0	-2	2	10	-2	-2	1	-3	3	1	2
ABalppppaa 1	4	8	1	0	-3	6	-4	-3	0	-1	-4	1	0	-1	7	-5	4	-2	-5	1	-5	0	4	8	1	0	-3	6	-4	-3	0	-1	-4	1	0	-1	7	-5	4	-2	-5	1	-5	0
ABalppppaad NA																																												
ABalppppaav NA																																												
ABalppppap 1	-2	3	8	-2	-5	-1	4	-1	3	3	1	3	-2	4	1	-4	1	0	-5	-2	-5	-2	-2	3	8	-2	-5	-1	4	-1	3	3	1	3	-2	4	1	-4	1	0	-5	-2	-5	-2
ABalppppapa 1																			-5		-1	6																			-5		-1	6
ABalppppapaa NA																																												
ABalppppapap NA																																												
ABalppppapp NA																																												
ABalppppp 1	-1	-1	0	-4	-1	1	2	-1	-1	2	2	-3	0	1	2	-2	-2	1	-1	2	1	2	-1	-1	0	-4	-1	1	2	-1	-1	2	2	-3	0	1	2	-2	-2	1	-1	2	1	2
ABalpppppa 1	-5	1	0	2	1	-3	-1	-4	1	2	-4	8	1	-3	-4	1	1	-1	2	5	-3	0	-5	1	0	2	1	-3	-1	-4	1	2	-4	8	1	-3	-4	1	1	-1	2	5	-3	0
ABalpppppaa NA																																												
ABalpppppap NA																																												
ABalpppppp 1	-1	1	1	0	0	-2	1	-1	5	0	-1	-1	-1	1	-5	-2	2	1	-1	1	1	1	-1	1	1	0	0	-2	1	-1	5	0	-1	-1	-1	1	-5	-2	2	1	-1	1	1	1
ABalppppppa 1	-3			4											-2	4	-1		0	1	-2	-1	-3			4											-2	4	-1		0	1	-2	-1
ABalppppppaa NA																																												
ABalppppppap NA																																												
ABalppppppp 1	1			6				-2				2			-6	-4	-2		-1	0	1	4	1			6				-2				2			-6	-4	-2		-1	0	1	4
ABalpppppppa NA																																												
ABalpppppppp NA																																												
ABar 1	3	-6	3		-3	4	1	3	-3	-7	-6	-5	2	3	3	2	2	2	1	3	3	-2	3	-6	3		-3	4	1	3	-3	-7	-6	-5	2	3	3	2	2	2	1	3	3	-2
ABara 1	3	2	0	-6	0	-1	0	0	1	0	1	2	0	-1	-2	1	2	1	0	-1	1	-1	3	2	0	-6	0	-1	0	0	1	0	1	2	0	-1	-2	1	2	1	0	-1	1	-1
ABaraa 1	1	0	-2	-2	3	-2	-1	0	-1	2	2	-1	1	-1	2	-1	-1	0	0	0	0	1	1	0	-2	-2	3	-2	-1	0	-1	2	2	-1	1	-1	2	-1	-1	0	0	0	0	1
ABaraaa 1	1	2	-1	-2	-3	-2	-1	1	0	-1	1	-1	2	0	-1	0	1	2	-1	-2	2	1	1	2	-1	-2	-3	-2	-1	1	0	-1	1	-1	2	0	-1	0	1	2	-1	-2	2	1
ABaraaaa 1	0	0	1	-1	-2	5	-2	-1	-3	0	6	-2	-1	-1	-3	1	6	1	-1	-3	2	0	0	0	1	-1	-2	5	-2	-1	-3	0	6	-2	-1	-1	-3	1	6	1	-1	-3	2	0
ABaraaaaa 1	0	-1	0	1	-3	-1	1	-2	-1	1	0	-2	3	1	1	1	-1	4	-2	-3	2	-1	0	-1	0	1	-3	-1	1	-2	-1	1	0	-2	3	1	1	1	-1	4	-2	-3	2	-1
ABaraaaaaa 1	-7	5	7	10	0	4	-2	-6	-6	5	-2	-5	4	1	-9	1	6	5	-1	-1	-2	-6	-7	5	7	10	0	4	-2	-6	-6	5	-2	-5	4	1	-9	1	6	5	-1	-1	-2	-6
ABaraaaaaaa NA																																												
ABaraaaaaap NA																																												
ABaraaaaap 1	-3	1	6	9	2	2	0	-2	3	-3	-2	-6	9	15	0	-7	-1	-20	6	-2	-3	-2	-3	1	6	9	2	2	0	-2	3	-3	-2	-6	9	15	0	-7	-1	-20	6	-2	-3	-2
ABaraaaaapa NA																																												
ABaraaaaapp NA																																												
ABaraaaap 1	-1	1	7	2	-1	-5	-2	2	-2	-2	1	-1	2	4	-3	2	1	-1	-1	0	1	-2	-1	1	7	2	-1	-5	-2	2	-2	-2	1	-1	2	4	-3	2	1	-1	-1	0	1	-2
ABaraaaapa 1	1	1		10	-5	-5	1	-4	0		-2	-4			-1	3	-3	6	-5	-2	10	-2	1	1		10	-5	-5	1	-4	0		-2	-4			-1	3	-3	6	-5	-2	10	-2
ABaraaaapaa NA																																												
ABaraaaapap NA																																												
ABaraaaapp NA																																												
ABaraaap 1	0	-1	0	0	0	2	0	2	0	1	3	-2	-1	-2	-2	1	4	2	-3	-2	0	0	0	-1	0	0	0	2	0	2	0	1	3	-2	-1	-2	-2	1	4	2	-3	-2	0	0
ABaraaapa 1	-1	0	-1	-1	-2	2	1	-2	1	-1	0	0	-1	-1	-1	-1	1	3	0	2	1	0	-1	0	-1	-1	-2	2	1	-2	1	-1	0	0	-1	-1	-1	-1	1	3	0	2	1	0
ABaraaapaa 1	-7	-3	-1	2	0	7	2	1	6	2	-1	-1	-3	-5	-6	-2	4	25	-4	-6	-4	-7	-7	-3	-1	2	0	7	2	1	6	2	-1	-1	-3	-5	-6	-2	4	25	-4	-6	-4	-7
ABaraaapaaa NA																																												
ABaraaapaap NA																																												
ABaraaapap 1	-2	0	4	2	-3	6	1	0	7	1	-5	-3	-4	-3	-3	-2	1	8	1	-3	1	-4	-2	0	4	2	-3	6	1	0	7	1	-5	-3	-4	-3	-3	-2	1	8	1	-3	1	-4
ABaraaapapa NA																																												
ABaraaapapp NA																																												
ABaraaapp 1	-1	0	-1	0	-5	2	2	-1	0	2	0	-1	-2	0	-3	5	1	0	-1	1	1	2	-1	0	-1	0	-5	2	2	-1	0	2	0	-1	-2	0	-3	5	1	0	-1	1	1	2
ABaraaappa 1	-8	-7	11	4	8	0	3	-1	2	-1	-5	1	4	2	0	1	9	-8	-5	-3	-6	-2	-8	-7	11	4	8	0	3	-1	2	-1	-5	1	4	2	0	1	9	-8	-5	-3	-6	-2
ABaraaappaa NA																																												
ABaraaappap NA																																												
ABaraaappp 1	-2	-3	3	7	-3	-3	3	5	-1	5	-2	-2	2	8	-6	-1	3	0	-2	-3	-6	-4	-2	-3	3	7	-3	-3	3	5	-1	5	-2	-2	2	8	-6	-1	3	0	-2	-3	-6	-4
ABaraaapppa NA																																												
ABaraaapppp NA																																												
ABaraap 1	3	0	0	-1	-2	-1	0	1	-1	-1	1	0	-1	0	0	0	2	1	-2	-1	1	1	3	0	0	-1	-2	-1	0	1	-1	-1	1	0	-1	0	0	0	2	1	-2	-1	1	1
ABaraapa 1	-1	-1	-3	2	-3	-1	0	1	2	2	4	0	-1	-1	-1	0	2	3	-1	-2	0	-2	-1	-1	-3	2	-3	-1	0	1	2	2	4	0	-1	-1	-1	0	2	3	-1	-2	0	-2
ABaraapaa 1	-1	0	1	2	-1	2	0	0	0	0	-2	-1	0	-2	-2	2	-1	2	-1	0	3	0	-1	0	1	2	-1	2	0	0	0	0	-2	-1	0	-2	-2	2	-1	2	-1	0	3	0
ABaraapaaa 1	-7	-5	10	7	1	-5	-4	0	0	3	-4	4	7	-2	-3	-4	1	2	-2	3	-3	0	-7	-5	10	7	1	-5	-4	0	0	3	-4	4	7	-2	-3	-4	1	2	-2	3	-3	0
ABaraapaaaa NA																																												
ABaraapaaap NA																																												
ABaraapaap 1	-1	-4	8	4	1	-2	-1	2	-3	2	-4	2	2	-1	-3	0	-2	1	-2	0	-1	0	-1	-4	8	4	1	-2	-1	2	-3	2	-4	2	2	-1	-3	0	-2	1	-2	0	-1	0
ABaraapaapa NA																																												
ABaraapaapp NA																																												
ABaraapap 1	-2	1	1	-1	-1	2	0	-2	0	1	0	2	-2	-2	1	1	-1	2	0	0	-1	2	-2	1	1	-1	-1	2	0	-2	0	1	0	2	-2	-2	1	1	-1	2	0	0	-1	2
ABaraapapa 1	0	-2	-2	-3	-3	2	2	-1	-1	4	4	-2	0	4	-2	-3	-1	-1	0	6	-2	0	0	-2	-2	-3	-3	2	2	-1	-1	4	4	-2	0	4	-2	-3	-1	-1	0	6	-2	0
ABaraapapaa 1																			0		-1	1																			0		-1	1
ABaraapapaad NA																																												
ABaraapapaav NA																																												
ABaraapapap NA																																												
ABaraapapp 1	-4	12	2	14	-4	8	-1	-2	-6	-3	-10	-5	-4	-1	-11	9	3	6	4	4	-6	-8	-4	12	2	14	-4	8	-1	-2	-6	-3	-10	-5	-4	-1	-11	9	3	6	4	4	-6	-8
ABaraapappa NA																																												
ABaraapappp NA																																												
ABaraapp 1	0	-2	-2	1	0	1	1	1	1	-1	2	-3	0	0	-2	0	3	0	-2	-1	2	1	0	-2	-2	1	0	1	1	1	1	-1	2	-3	0	0	-2	0	3	0	-2	-1	2	1
ABaraappa 1	-2	0	4	1	-1	3	1	-2	0	-2	1	0	-1	-2	1	0	0	1	-1	0	1	-2	-2	0	4	1	-1	3	1	-2	0	-2	1	0	-1	-2	1	0	0	1	-1	0	1	-2
ABaraappaa 1	-1	5	17	2	4	2	1	1	0	-2	-7	-2	2	-8	-4	-1	1	4	-5	2	-9	-3	-1	5	17	2	4	2	1	1	0	-2	-7	-2	2	-8	-4	-1	1	4	-5	2	-9	-3
ABaraappaaa NA																																												
ABaraappaap NA																																												
ABaraappap 1	0	0	10	-4	2	1	1	1	-1	-1	-1	-2	0	-1	-2	-4	-2	2	-1	2	-3	0	0	0	10	-4	2	1	1	1	-1	-1	-1	-2	0	-1	-2	-4	-2	2	-1	2	-3	0
ABaraappapa NA																																												
ABaraappapp NA																																												
ABaraappp 1	-1	0	-1	0	-3	3	0	0	-3	3	-2	0	-2	0	2	-2	-1	4	-1	2	1	0	-1	0	-1	0	-3	3	0	0	-3	3	-2	0	-2	0	2	-2	-1	4	-1	2	1	0
ABaraapppa 1	-2	-1	3	2	1	0	0	1	2	2	-4	1	0	-3	-1	0	-1	0	-3	3	-3	3	-2	-1	3	2	1	0	0	1	2	2	-4	1	0	-3	-1	0	-1	0	-3	3	-3	3
ABaraapppaa NA																																												
ABaraapppaad NA																																												
ABaraapppaav NA																																												
ABaraapppap NA																																												
ABaraapppp 1	3	2	12	6	2	-4	1	-2	-7	4	-8	2	-9	8	-7	1	1	0	0	0	-2	-2	3	2	12	6	2	-4	1	-2	-7	4	-8	2	-9	8	-7	1	1	0	0	0	-2	-2
ABaraappppa NA																																												
ABaraappppp NA																																												
ABarap 1	1	0	0	-2	1	-3	0	0	-1	2	4	-1	1	-1	0	-1	1	0	0	0	0	-1	1	0	0	-2	1	-3	0	0	-1	2	4	-1	1	-1	0	-1	1	0	0	0	0	-1
ABarapa 1	1	0	-2	-1	-1	-1	-2	2	1	0	2	0	-1	-2	0	1	0	1	0	0	1	1	1	0	-2	-1	-1	-1	-2	2	1	0	2	0	-1	-2	0	1	0	1	0	0	1	1
ABarapaa 1	2	0	-2	-2	-3	0	0	0	-1	2	2	1	-1	0	0	1	3	0	-2	-1	0	0	2	0	-2	-2	-3	0	0	0	-1	2	2	1	-1	0	0	1	3	0	-2	-1	0	0
ABarapaaa 1	-2	0	2	-2	0	2	3	3	-1	3	-1	0	-2	-3	-1	1	1	-1	-2	0	2	-2	-2	0	2	-2	0	2	3	3	-1	3	-1	0	-2	-3	-1	1	1	-1	-2	0	2	-2
ABarapaaaa 1	-1	5	4	4	1	-2	9	2	-1	4	-3	1	-2	-2	-3	-3	3	-1	-5	-2	-4	-3	-1	5	4	4	1	-2	9	2	-1	4	-3	1	-2	-2	-3	-3	3	-1	-5	-2	-4	-3
ABarapaaaaa NA																																												
ABarapaaaap NA																																												
ABarapaaap 1	-3	-6		13	5	-3	2	11	10	-1	-5	-4	0	0	3	-5	-3	-4	-7	-2	0	1	-3	-6		13	5	-3	2	11	10	-1	-5	-4	0	0	3	-5	-3	-4	-7	-2	0	1
ABarapaaapa NA																																												
ABarapaaapp NA																																												
ABarapaap 1	-1	2	-2	0	-1	0	-1	2	0	3	0	-1	-2	-1	-2	3	-1	0	-3	3	1	-1	-1	2	-2	0	-1	0	-1	2	0	3	0	-1	-2	-1	-2	3	-1	0	-3	3	1	-1
ABarapaapa 1	-3	3	-1	7	1	2	1	4	13	1	3	3	-6	-10	-4	1	0	0	-8	5	-3	-7	-3	3	-1	7	1	2	1	4	13	1	3	3	-6	-10	-4	1	0	0	-8	5	-3	-7
ABarapaapaa NA																																												
ABarapaapap NA																																												
ABarapaapp 1	-1	4	1	1	1	5	1	0	-1	1	-2	-2	-2	-2	0	-2	2	2	-3	0	-3	0	-1	4	1	1	1	5	1	0	-1	1	-2	-2	-2	-2	0	-2	2	2	-3	0	-3	0
ABarapaappa NA																																												
ABarapaappp NA																																												
ABarapap 1	1	1	-2	-1	-1	-2	1	-1	-1	1	1	-1	0	-1	-1	2	2	0	0	1	-1	1	1	1	-2	-1	-1	-2	1	-1	-1	1	1	-1	0	-1	-1	2	2	0	0	1	-1	1
ABarapapa 1	-1	3	-1	-2	-2	0	4	1	-1	3	0	-1	-2	-3	2	-2	2	-1	-1	2	3	-1	-1	3	-1	-2	-2	0	4	1	-1	3	0	-1	-2	-3	2	-2	2	-1	-1	2	3	-1
ABarapapaa 1	-1	-6	-2	7	6	1	3	2	-3	1	6	-1	1	-4	-3	1	1	3	-7	4	-3	-5	-1	-6	-2	7	6	1	3	2	-3	1	6	-1	1	-4	-3	1	1	3	-7	4	-3	-5
ABarapapaaa NA																																												
ABarapapaap 1															-6				-1		-5	12															-6				-1		-5	12
ABarapapaapa NA																																												
ABarapapaapp NA																																												
ABarapapap 1	-7	6	1	3	4	-1	5	4	0	2	-5	0	2	-3	-6	3	-1	-1	-1	-2	-4	-2	-7	6	1	3	4	-1	5	4	0	2	-5	0	2	-3	-6	3	-1	-1	-1	-2	-4	-2
ABarapapapa NA																																												
ABarapapapp NA																																												
ABarapapp 1	0	1	2	-1	-2	0	0	2	0	1	2	0	-1	-1	0	-1	1	2	-3	0	-1	-2	0	1	2	-1	-2	0	0	2	0	1	2	0	-1	-1	0	-1	1	2	-3	0	-1	-2
ABarapappa 1	-3	-2		3	0	2	-5	-2	2	-9	3	4			-1	0	-10	3	3	7	-3	7	-3	-2		3	0	2	-5	-2	2	-9	3	4			-1	0	-10	3	3	7	-3	7
ABarapappaa NA																																												
ABarapappap NA																																												
ABarapappp 1	-1	1	0	-3	1	4	1	5	-2	1	-3	0	-4	0	-4	1	1	5	-1	-1	-1	2	-1	1	0	-3	1	4	1	5	-2	1	-3	0	-4	0	-4	1	1	5	-1	-1	-1	2
ABarapapppa NA																																												
ABarapapppp NA																																												
ABarapp 1	2	0	-2	0	1	-1	-2	0	1	0	0	0	-1	0	0	-1	0	0	0	0	1	2	2	0	-2	0	1	-1	-2	0	1	0	0	0	-1	0	0	-1	0	0	0	0	1	2
ABarappa 1	1	2	-1	-3	-3	1	-2	0	0	-1	1	-1	1	-1	1	3	2	2	1	-2	0	-1	1	2	-1	-3	-3	1	-2	0	0	-1	1	-1	1	-1	1	3	2	2	1	-2	0	-1
ABarappaa 1	-1	1	4	3	-2	3	2	-1	0	1	-1	1	-2	-2	0	-2	-1	1	-3	1	1	0	-1	1	4	3	-2	3	2	-1	0	1	-1	1	-2	-2	0	-2	-1	1	-3	1	1	0
ABarappaaa 1	-1	5	7	9	1	4	3	2	0	-2	-3	4	1	-7	-3	-5	1	-15	-5	6	2	-3	-1	5	7	9	1	4	3	2	0	-2	-3	4	1	-7	-3	-5	1	-15	-5	6	2	-3
ABarappaaaa NA																																												
ABarappaaap NA																																												
