"Cells","CellNames.Cells.","CellTimes.Cells.","CCDefectCount.Cells.","PosDefectCount.Cells.","AngDefectCount.Cells.","cellObservedCounts.Cells.","divObservedCounts.Cells.","ExpPeak.Cells.","ceh36_peak.Cells.","unc30_peak.Cells.","mls2_peak.Cells.","nob1_peak.Cells.","ceh13_peak.Cells.","theseMaxMean.Cells.","theseMeanMean.Cells."
"ABalaappap",NA,230,0,0,0,22,0,7736,-3,-293,0,-32,-24,3.3771428677884,1.81602624413213
"ABalaappapa","AVAR",308,0,0,0,22,0,7736,-3,399,0,-32,-24,2.63332777937927,1.6138683762721
"ABalaappapp","OLQsoVR",308,0,0,0,22,0,7736,-3,-230,0,-32,-24,2.89893582327132,1.86274466543563
"ABalaappp",NA,175,1,0,0,22,0,-39,-52,-294,0,-65,-38,3.25315160507638,1.96413581495295
"ABalaapppa",NA,223,1,0,0,22,0,-39,-8,-294,0,-27,-38,3.48035011496918,1.6398371893709
"ABalaapppaa","RIAR",316,0,0,0,22,0,-39,-8,-226,0,-27,-38,2.09230674207408,1.39541717857845
"ABalaapppap","death",316,0,0,0,22,0,-39,-8,-294,0,-27,-38,3.06195024934435,1.99966331173293
"ABalaapppp",NA,223,0,0,0,22,0,14,-49,-43,0,-21,-38,3.02379150410746,1.68015301969867
"ABalaappppa",NA,289,0,0,0,22,0,14,-49,-43,24,-21,-38,2.59799261439667,1.47497730684457
"ABalaappppaa","IL1R",400,0,0,0,NA,0,14,-49,-43,24,-21,-38,NA,NA
"ABalaappppap","death",400,0,0,0,NA,0,14,-49,-43,24,-21,-38,NA,NA
"ABalaappppp","IL2R",289,0,0,0,22,0,14,-49,-43,0,-21,-38,2.73077871711268,1.65494543993521
"ABalap",NA,75,0,0,0,22,0,-71,-103,-294,0,-106,-38,3.3898359003259,2.24209720402817
"ABalapa",NA,103,0,0,0,22,0,-71,-89,-294,0,-106,217,3.90009758935923,2.4950125651797
"ABalapaa",NA,135,0,0,0,22,0,-54,-37,-294,0,-73,217,4.5497782156709,2.46956773379562
"ABalapaaa",NA,175,0,0,0,22,0,37,-37,-294,0,-51,217,3.45505920413715,2.00914208498957
"ABalapaaaa",NA,229,0,0,0,22,0,37,-22,-182,171,-36,217,3.40759646169519,1.76617778933779
"ABalapaaaaa","AVHL",348,0,0,0,7,0,37,-22,-182,171,-36,217,2.37643285794506,1.27996378104122
"ABalapaaaap","death",348,0,0,0,7,0,37,-22,-182,171,-36,217,2.35714042116325,1.48764141791808
"ABalapaaap",NA,229,0,0,0,22,0,108,-37,-294,0,-51,217,2.89346993894348,1.56922536042751
"ABalapaaapa","CANL",301,0,0,0,22,0,108,-37,132,4,-51,217,2.53445174557098,1.54224304007581
"ABalapaaapp","OLLsoL",301,0,0,0,22,0,108,-37,119,0,-51,217,2.52331175988621,1.46362145098124
"ABalapaap",NA,175,0,0,0,22,0,-29,-37,-294,0,-73,217,3.96433792814698,2.20456893510957
"ABalapaapa",NA,225,0,0,0,22,0,-21,-23,-264,0,-61,217,3.31873361262222,1.54207056254211
"ABalapaapaa","RIAL",321,0,0,0,21,0,-21,-23,-264,0,-61,217,2.20301105584042,1.3872178621739
"ABalapaapap","death",321,0,0,0,21,0,-21,-23,-264,0,-61,217,2.63148345754632,1.75606983219237
"ABalapaapp",NA,225,0,0,0,22,0,-6,-37,-294,0,-71,217,2.87771825663613,1.64159756416716
"ABalapaappa",NA,291,0,0,0,22,0,-6,-37,54,0,-71,217,2.44141578083128,1.42062242937787
"ABalapaappaa","IL1L",400,0,0,0,NA,0,-6,-37,54,0,-71,217,NA,NA
"ABalapaappap","death",400,0,0,0,NA,0,-6,-37,54,0,-71,217,NA,NA
"ABalapaappp","IL2L",291,0,0,0,22,0,-6,-37,-207,0,-71,217,2.43749139440831,1.34749609408056
"ABalapap",NA,135,0,0,0,22,0,-52,-18,-294,0,-73,217,3.80586022237564,2.25211039084092
"ABalapapa",NA,171,0,0,0,22,0,-37,4,-294,917,-44,217,3.8165415946854,2.10803683061723
"ABalapapaa","death",226,0,0,0,22,0,38,4,-294,1349,-44,217,4.17273080170874,2.15628010112949
"ABalapapap",NA,226,0,0,0,22,0,24,4,-294,2411,37,217,3.30112862910602,1.75916283529233
"ABalapapapa",NA,291,0,0,0,22,0,24,4,-294,2411,37,217,2.78628268246897,1.52836278004581
"ABalapapapaa","OLQDL",400,0,0,0,NA,0,24,4,-294,2411,37,217,NA,NA
"ABalapapapap","death",400,0,0,0,NA,0,24,4,-294,2411,37,217,NA,NA
"ABalapapapp","URYDL",291,0,0,0,22,0,24,4,-294,2411,37,217,2.85682333679527,1.66637207826696
"ABalapapp",NA,171,0,0,0,22,0,-52,-18,-294,922,-73,217,3.63406274457207,2.20908713411763
"ABalapappa",NA,218,0,0,0,22,0,-50,-18,-294,6274,-68,217,3.1143024726625,1.74264970359852
"ABalapappaa",NA,279,0,0,0,22,0,-50,-18,-294,9532,-68,217,2.6849135573192,1.50550068571054
"ABalapappaaa","IL1DL",400,0,0,0,NA,0,-50,-18,-294,9532,-68,217,NA,NA
"ABalapappaap","death",400,0,0,0,NA,0,-50,-18,-294,9532,-68,217,NA,NA
"ABalapappap","IL2DL",279,0,0,0,22,0,-50,-18,-294,8299,-68,217,2.81394541448369,1.45428001674061
"ABalapappp",NA,218,0,0,0,22,0,0,-18,-294,5496,-18,217,3.42773096469664,1.9112605688964
"ABalapapppa","AVJL",294,0,0,0,22,0,0,-18,-294,10446,-18,217,2.62111723461773,1.58469000535031
"ABalapapppp","CEPsoDL",294,0,0,0,22,0,0,-18,-294,10112,-18,217,2.68360543921693,1.49387588671165
"ABalapp",NA,103,0,0,0,22,0,-71,-89,-294,0,-83,88,3.18587359606563,1.95481675267827
"ABalappa",NA,135,0,0,0,22,0,-71,-52,-294,469,-55,92,3.8101782647951,2.24936905560331
"ABalappaa",NA,178,0,0,0,22,0,-51,-52,-231,1761,-55,92,3.92076929454613,2.16668629376189
"ABalappaaa","death",239,0,0,0,22,0,-6,2,-231,1761,0,92,3.43077855915913,1.94880825609929
"ABalappaap",NA,239,0,0,0,22,0,43,-51,-125,1761,-55,92,3.26837472370009,1.75159781482226
"ABalappaapa","RID",339,0,0,0,13,0,43,-51,-125,1761,-55,92,2.26229876267794,1.6220526228552
"ABalappaapp","death",339,0,0,0,13,0,43,-51,-125,1761,-55,92,2.36957834227528,1.67530197597865
"ABalappap",NA,178,0,0,0,22,0,-15,3,-294,1315,-55,92,3.23216474515733,1.93729244361926
"ABalappapa",NA,227,0,0,0,22,0,260,3,-182,1653,-55,92,3.39412374753288,1.74927527687389
"ABalappapaa","AVHR",332,0,0,0,16,0,260,3,-182,2409,-55,92,2.7300245175555,2.05470514479164
"ABalappapap","death",332,0,0,0,16,0,260,3,-182,2756,-55,92,3.00572118779939,2.24792850628012
"ABalappapp",NA,227,0,0,0,22,0,164,3,-257,2003,-8,92,3.08524120938122,1.62387377012589
"ABalappappa","CANR",295,0,0,0,22,0,164,3,100,2003,-8,92,3.208973469172,1.7317169757781
"ABalappappp","OLLsoR",295,0,0,0,22,0,164,3,1,2541,-8,92,3.37490618708945,1.86296609417047
"ABalappp",NA,135,0,0,0,22,0,-71,-89,-294,322,-83,88,3.7187264269558,2.25979079430485
"ABalapppa",NA,172,0,0,0,22,0,-38,-60,-294,3239,-83,88,3.20948535153671,1.88392059694424
"ABalapppaa",NA,219,0,0,0,22,0,-38,-47,-294,7177,-73,88,3.49241406960181,1.66552839740064
"ABalapppaaa","ALA",295,0,0,0,22,0,-38,-47,-68,7177,-73,88,2.42592105714186,1.41776950135967
"ABalapppaap","RMED",295,0,0,0,22,0,-38,-47,-163,7177,-73,88,2.57839256398834,1.46348893957694
